x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.013224477142892392,100000.0,1322.4477142892392,99338.77614285538,7494028.761,74.94028761
1-2,0.0009225224363652351,98677.55228571076,91.03225594917177,98632.03615773618,7394689.984857145,74.93791458716544
2-3,0.00034100992986884227,98586.52002976158,33.61898228136221,98569.7105386209,7296057.948699408,74.00664864219625
3-4,0.0003373795422726679,98552.90104748022,33.249732645042414,98536.2761811577,7197488.238160787,73.03172369013495
4-5,0.0003231682335829565,98519.65131483518,31.838421688624084,98503.73210399087,7098951.9619796295,72.05620266858033
5-6,0.00030791004299396543,98487.81289314656,30.32538670231038,98472.6501997954,7000448.229875638,71.07933483578023
6-7,0.000292703294678562,98457.48750644425,28.818830978909585,98443.07809095479,6901975.579675843,70.10107361539258
7-8,0.0002773710244877183,98428.66867546533,27.301260669476004,98415.0180451306,6803532.501584888,69.1214520437861
8-9,0.0002621231828390167,98401.36741479585,25.793279622477794,98388.47077498461,6705117.483539758,68.14049092707589
9-10,0.00024788712082929234,98375.57413517337,24.38603783229673,98363.38111625722,6606729.012764773,67.15822571654596
10-11,0.00023662055342882164,98351.18809734107,23.271912557974982,98339.55214106209,6508365.631648516,66.17475352923032
11-12,0.00023144162805961984,98327.9161847831,22.757173005516044,98316.53759828034,6410026.079507454,65.19029720370956
12-13,0.0002360738278870169,98305.15901177758,23.207275188952206,98293.5553741831,6311709.541909174,64.2052726973667
13-14,0.0002528674668659177,98281.95173658863,24.85230817426955,98269.52558250149,6213415.986534991,63.22031539613643
14-15,0.0002806243291699395,98257.09942841435,27.573332613282822,98243.31276210771,6115146.46095249,62.23617933488569
15-16,0.0003069582628575586,98229.52609580108,30.15236469168832,98214.44991345523,6016903.148190382,61.253508871886744
16-17,0.00033922602767247426,98199.37373110939,33.311783470728955,98182.71783937402,5918688.698276927,60.272163389590915
17-18,0.00039691683387973244,98166.06194763866,38.96376250269842,98146.58006638731,5820505.980437553,59.29244654371675
18-19,0.00048806718196765266,98127.09818513597,47.892616285882475,98103.15187699303,5722359.400371165,58.31579152146958
19-20,0.000604221310642726,98079.20556885008,59.26154613560795,98049.57479578228,5624256.248494172,57.34402329091084
20-21,0.000739535196589259,98019.94402271448,72.48919857250631,97983.69942342823,5526206.673698389,56.3783904265216
21-22,0.0008686789264884312,97947.45482414197,85.08488990890976,97904.91237918752,5428222.97427496,55.419745046167534
22-23,0.0009688641519936707,97862.36993423307,94.81534205842162,97814.96226320385,5330318.061895773,54.46749414997749
23-24,0.001023533637347831,97767.55459217464,100.06838076633115,97717.52040179147,5232503.099632569,53.519832028726846
24-25,0.0010446695556278593,97667.48621140831,102.03024941976199,97616.47108669842,5134785.579230777,52.57415521186
25-26,0.0010600253396176016,97565.45596198854,103.42185559105306,97513.74503419301,5037169.108144078,51.62861238619699
26-27,0.0010828206623709946,97462.03410639749,105.5339043271138,97409.26715423394,4939655.363109886,50.68286752272537
27-28,0.0011242256084192988,97356.50020207038,109.45067067324617,97301.77486673376,4842246.095955652,49.737265471799255
28-29,0.0011892157033637708,97247.04953139713,115.6477184085319,97189.22567219287,4744944.3210889185,48.79268156672423
29-30,0.0012735422082101456,97131.4018129886,123.70093995146044,97069.55134301286,4647755.095416726,47.850180360469366
30-31,0.001374506479909886,97007.70087303713,133.33771345114945,96941.03201631155,4550685.544073713,46.91055970937413
31-32,0.00148500066546497,96874.36315958598,143.85849375848036,96802.43391270674,4453744.512057401,45.97443912710451
32-33,0.0015992694211710344,96730.5046658275,154.69813820649998,96653.15559672425,4356942.078144695,45.042069130069315
33-34,0.0017158632831710307,96575.806527621,165.71088046337402,96492.95108738932,4260288.92254797,44.11341800525904
34-35,0.001843377075458331,96410.09564715762,177.72016015871537,96321.23556707826,4163795.971460581,43.18838129462367
35-36,0.001981237662046093,96232.3754869989,190.65920662300348,96137.0458836874,4067474.7358935024,42.26721740276506
36-37,0.0021479665845297448,96041.7162803759,206.2943972911338,95938.56908173033,3971337.690009815,41.35013246135913
37-38,0.002355558723321414,95835.42188308477,225.74596401988825,95722.54890107483,3875399.120928085,40.43806605928976
38-39,0.002595467366089743,95609.67591906487,248.15179373034923,95485.6000221997,3779676.57202701,39.532364645044574
39-40,0.0028476895038752298,95361.52412533453,271.56001132525967,95225.7441196719,3684190.9720048103,38.633935497535084
40-41,0.003103265532670882,95089.96411400927,295.089408137916,94942.41940994031,3588965.2278851382,37.74283922940705
41-42,0.003374153749952651,94794.87470587135,319.85248196510753,94634.94846488879,3494022.8084751978,36.85877342331449
42-43,0.003668811050816446,94475.02222390624,346.6110055611965,94301.71672112565,3399387.860010309,35.98186885792674
43-44,0.003989302802213157,94128.41121834505,375.50673464121627,93940.65785102444,3305086.1432891833,35.112524481291175
44-45,0.004337871134158945,93752.90448370384,406.68801810341967,93549.56047465213,3211145.4854381587,34.251157370770535
