x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.014857730124795415,100000.0,1485.7730124795414,99257.11349376023,7081855.2111,70.818552111
1-2,0.0011185174426684033,98514.22698752047,110.189881236536,98459.1320469022,6982598.09760624,70.87908326673241
2-3,0.00044717019607760743,98404.03710628393,44.00335256764514,98382.0354300001,6884138.965559337,69.95789164751379
3-4,0.00039967942204749716,98360.03375371628,39.31248144325764,98340.37751299466,6785756.930129337,68.98896504163669
4-5,0.0003627671191647771,98320.72127227303,35.66752481014551,98302.88750986796,6687416.552616343,68.01634961665228
5-6,0.00033862279370608866,98285.0537474629,33.28155947951896,98268.41296772314,6589113.665106475,67.04085121667408
6-7,0.000319440661550083,98251.77218798337,31.38561110619745,98236.07938243027,6490845.2521387525,66.06339109812629
7-8,0.0002980739503142558,98220.38657687718,29.276938628363087,98205.74810756299,6392609.172756323,65.08434140353155
8-9,0.00027008314200113525,98191.10963824882,26.519763407676194,98177.84975654498,6294403.42464876,64.10359805320779
9-10,0.0002375382232363936,98164.58987484114,23.317842263599037,98152.93095370934,6196225.5748922145,63.12078095362431
10-11,0.00020984946457048296,98141.27203257754,20.594893388302513,98130.97458588339,6098072.643938505,62.135659316849676
11-12,0.00020375431231046086,98120.67713918924,19.99251109393226,98110.68088364227,5999941.669352622,61.14859624176253
12-13,0.00023956192151886605,98100.6846280953,23.501188511822797,98088.9340338394,5901830.9884689795,60.16095617317169
13-14,0.0003282530879679674,98077.18343958347,32.19413832324407,98061.08637042185,5803742.05443514,59.1752520912298
14-15,0.0004555555774709569,98044.98930126023,44.66494171926939,98022.65683040059,5705680.968064719,58.19451874825571
15-16,0.0005857120088086027,98000.32435954096,57.39996684452137,97971.62437611869,5607658.311234319,57.2208137869125
16-17,0.0007145992837686183,97942.92439269644,69.98994362122481,97907.92942088583,5509686.6868582,56.25405531866122
17-18,0.0008697442623243012,97872.93444907521,85.1244231739256,97830.37223748825,5411778.757437314,55.293925617946456
18-19,0.001060051573232163,97787.81002590129,103.66012186088453,97735.97996497084,5313948.385199825,54.34162380558791
19-20,0.0012774648805321082,97684.1499040404,124.78807088704552,97621.75586859688,5216212.405234855,53.398759270147494
20-21,0.0015297301599267283,97559.36183315335,149.23949817937924,97484.74208406366,5118590.649366258,52.466422014117974
