x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.01778203462195329,100000.0,1778.203462195329,99110.89826890234,6642180.888,66.42180888
1-2,0.0013103287979122542,98221.79653780466,128.7028485861636,98157.44511351158,6543069.989731098,66.615254662062
2-3,0.0005508005224118898,98093.0936892185,54.029727249020006,98066.07882559398,6444912.544617586,65.70200105051791
3-4,0.00046043279967933093,98039.06396196948,45.14040069795061,98016.49376162051,6346846.465791992,64.7379341387226
4-5,0.00040138151211514936,97993.92356127153,39.33294921711953,97974.25708666297,6248829.972030371,63.767525015193804
5-6,0.00036857240992490566,97954.59061205441,36.103359525092436,97936.53893229186,6150855.714943709,62.79292962699368
6-7,0.00034549517967428665,97918.48725252932,33.830365346746966,97901.57206985595,6052919.176011417,61.81589754752941
7-8,0.000318207543511076,97884.65688718257,31.14763621549489,97869.08306907483,5955017.603941561,60.83708921618885
8-9,0.00027779586395622753,97853.50925096708,27.1833001435211,97839.91760089532,5857148.520872486,59.856295044570416
9-10,0.00022756020386019877,97826.32595082356,22.261378676263664,97815.19526148544,5759308.603271591,58.87278855966383
10-11,0.0001841663877703703,97804.0645721473,18.012221281512414,97795.05846150655,5661493.408010105,57.88607490677221
11-12,0.00017727027004831893,97786.05235086578,17.33455990719703,97777.38507091218,5563698.349548598,56.89664543963296
12-13,0.000242904076624282,97768.71779095859,23.748420117752808,97756.84358089972,5465920.964477685,55.90664466076449
13-14,0.00040105362056681556,97744.96937084083,39.20097385836821,97725.36888391165,5368164.1208967855,54.92010643054343
14-15,0.0006266076568725105,97705.76839698246,61.223182598161365,97675.15680568338,5270438.752012874,53.94194056791888
15-16,0.0008618052751399668,97644.5452143843,84.15058415439938,97602.4699223071,5172763.595207191,52.97544869352493
16-17,0.0010911853070059339,97560.3946302299,106.45646916620747,97507.1663956468,5075161.125284884,52.02071131959426
17-18,0.0013518838048651252,97453.93816106369,131.7464007202694,97388.06496070356,4977653.958889238,51.07699137476198
18-19,0.0016555989091575146,97322.19176034343,161.12651451524303,97241.6285030858,4880265.893928534,50.145458149424165
19-20,0.0019958428103285975,97161.06524582818,193.91821351475394,97064.1061390708,4783024.265425448,49.22778742003158
20-21,0.0023970633967392014,96967.14703231343,232.4363988373868,96850.92883289473,4685960.159286378,48.32523491409749
21-22,0.0027934332163103487,96734.71063347605,270.22195385372186,96599.59965654918,4589109.230453483,47.44015049408102
22-23,0.0030719733470803653,96464.48867962233,296.3363381635354,96316.32051054057,4492509.630796934,46.57164198234075
23-24,0.003153808754910654,96168.15234145879,303.29596079807425,96016.50436105975,4396193.310286393,45.713608957330074
24-25,0.00307598315502236,95864.85638066071,294.8786833855502,95717.41703896793,4300176.805925334,44.85665517350975
25-26,0.0029368769488711272,95569.97769727516,280.6772645032551,95429.63906502353,4204459.388886366,43.99351648071214
26-27,0.0028020226698858464,95289.3004327719,267.00278001019007,95155.7990427668,4109029.7498213425,43.12162783396996
27-28,0.002748508311504337,95022.2976527617,261.1695748768546,94891.71286532326,4013873.9507785756,42.24139017819169
28-29,0.0028022859311487513,94761.12807788484,265.5477760324416,94628.35418986862,3918982.2379132523,41.35643293199521
29-30,0.0029398213183240546,94495.5803018524,277.8001214587883,94356.680241123,3824353.883723384,40.471246078462514
30-31,0.0031112109827943117,94217.78018039362,293.13139247174087,94071.21448415774,3729997.203482261,39.58910087183799
31-32,0.003301051597511663,93924.64878792188,310.0501119270914,93769.62373195833,3635925.988998103,38.711094860816345
32-33,0.0035337715895278564,93614.59867599478,330.81260916628247,93449.19237141164,3542156.3652661447,37.83764941967802
33-34,0.0038052943578830503,93283.7860668285,354.972264802072,93106.29993442746,3448707.172894733,36.97006005335246
34-35,0.004111724378117498,92928.81380202643,382.0976691393339,92737.76496745677,3355600.872960306,36.109369480482194
35-36,0.0044512052444447515,92546.7161328871,411.94442820684674,92340.74391878367,3262863.107992849,35.25638990050959
36-37,0.004827809001397728,92134.77170468026,444.80908017758003,91912.36716459147,3170522.3640740653,34.41178944076126
37-38,0.005245223715407687,91689.96262450267,480.9343664228859,91449.49544129123,3078609.996909474,33.57630332468654
38-39,0.005704451929446509,91209.0282580798,520.2975172297444,90948.87949946492,2987160.501468183,32.75071074122055
39-40,0.006203429883280137,90688.73074085005,562.5811823545353,90407.44014967278,2896211.6219687182,31.935738854311055
40-41,0.006740209109376358,90126.14955849551,607.4690942471875,89822.41501137192,2805804.1818190455,31.131965534575126
41-42,0.007194144967720875,89518.68046424832,644.0103645788851,89196.67528195887,2715981.7668076735,30.339832454214665
42-43,0.0076737300078493125,88874.67009966943,682.0002228815413,88533.66998822866,2626785.091525715,29.556060107788635
43-44,0.008180492578932688,88192.66987678788,721.4594814433236,87831.94013606622,2538251.4215374864,28.78075269842294
44-45,0.008716088068806678,87471.21039534456,762.4067732909414,87090.00700869909,2450419.48140142,28.014011356722207
45-46,0.009282311919767623,86708.80362205362,804.8581614097783,86306.37454134873,2363329.474392721,27.255934526487103
46-47,0.009881113986696017,85903.94546064384,848.8266770035397,85479.53212214207,2277023.099851372,26.506618382208895
47-48,0.010514614366453158,85055.1187836403,894.3217739028441,84607.95789668888,2191543.56772923,25.766157276247984
48-49,0.01118512083782171,84160.79700973745,941.3486843612974,83690.1226675568,2106935.609832541,25.03464421313367
49-50,0.011895148061920916,83219.44832537616,989.907659461726,82724.4944956453,2023245.4871649842,24.312171347908766
50-51,0.0126474387038959,82229.54066591444,1039.993075221668,81709.5441283036,1940520.9926693388,23.598830504883487
51-52,0.01344498664758,81189.54759069276,1091.5923832799251,80643.7513990528,1858811.4485410352,22.89471371255826
52-53,0.01429106248552792,80097.95520741283,1144.684882832153,79525.61276599675,1778167.6971419824,22.199913749825892
53-54,0.01518924147700602,78953.27032458068,1199.2402883593895,78353.65018040099,1698642.0843759857,21.514524697872382
