x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.008077319600698109,100000.0,807.7319600698108,99596.13401996509,7834261.8897,78.34261889700001
1-2,0.0006180078498367753,99192.26803993019,61.30160029179034,99161.61723978429,7734665.755680035,77.97649865780284
2-3,0.00029905181998933993,99130.9664396384,29.645295931076042,99116.14379167286,7635504.13844025,77.0244093513359
3-4,0.00025348409399567734,99101.32114370733,25.120608603887316,99088.7608394054,7536387.994648578,76.04730096100357
4-5,0.00022485252536646574,99076.20053510345,22.277533894032395,99065.06176815643,7437299.233809172,75.06645585560258
5-6,0.00021096393391150875,99053.92300120942,20.89680526570282,99043.47459857656,7338234.172041016,74.08322608233718
6-7,0.00020424747124885993,99033.02619594372,20.227245170643606,99022.9125733584,7239190.697442439,73.09875276475141
7-8,0.00019823860111175553,99012.79895077308,19.62815875616075,99002.984871395,7140167.784869081,72.11358390564244
8-9,0.00018843148335391773,98993.17079201691,18.65343001424747,98983.8440770098,7041164.799997686,71.12778329720403
9-10,0.0001753385026803456,98974.51736200266,17.354043677763414,98965.84034016378,6942180.955920677,70.14109430338937
10-11,0.00016478528171123602,98957.16331832489,16.30668403475496,98949.00997630751,6843215.115580513,69.1533072099823
11-12,0.0001673845565999045,98940.85663429013,16.561171417345374,98932.57604858145,6744266.105604205,68.16462212908344
12-13,0.00019575005829171373,98924.29546287279,19.36443660332406,98914.61324457113,6645333.529555623,67.17595003797302
13-14,0.00025619608895893504,98904.93102626946,25.339056507683466,98892.26149801562,6546418.916311053,66.18900441447457
14-15,0.0003378907986235599,98879.59196976178,33.41050429823455,98862.88671761267,6447526.654813037,65.2058379931902
15-16,0.0004286208650590558,98846.18146546354,42.36753580751139,98824.99769755978,6348663.768095424,64.22770889044027
16-17,0.0005117540533544205,98803.81392965603,50.56325226537742,98778.53230352333,6249838.770397864,63.25503562896342
17-18,0.0005785165270196329,98753.25067739065,57.13038761378324,98724.68548358376,6151060.238094341,62.287167216285
18-19,0.000621610133384658,98696.12028977687,61.35050849787645,98665.44503552793,6052335.552610757,61.32293280466131
19-20,0.0006472540306766835,98634.76978127898,63.84175230579957,98602.84890512608,5953670.107575228,60.36076447258301
20-21,0.0006722805037855752,98570.92802897318,66.26731315392978,98537.79437239622,5855067.258670103,59.399534687845374
21-22,0.0007017658580349731,98504.66071581925,69.1272077476808,98470.0971119454,5756529.464297706,58.43915833490346
22-23,0.0007246783232635387,98435.53350807157,71.33409737218119,98399.86645938548,5658059.367185761,57.47984661170967
23-24,0.000740073214285269,98364.1994106994,72.79670922847347,98327.80105608515,5559659.500726376,56.52116861657325
24-25,0.0007513310391608793,98291.40270147093,73.84938173227661,98254.47801060478,5461331.699670291,55.56265908888654
25-26,0.0007609469533281204,98217.55331973865,74.73834796199735,98180.18414575765,5363077.2216596855,54.60406047990889
26-27,0.0007863651995607783,98142.81497177665,77.17609428073769,98104.22692463628,5264897.037513928,53.64526215218074
27-28,0.0008322474774697261,98065.63887749592,81.61488058225308,98024.83143720479,5166792.810589291,52.68708662616958
28-29,0.000895760746483279,97984.02399691366,87.7702424789109,97940.13887567421,5068767.979152086,51.730555374126546
29-30,0.0009685897402112323,97896.25375443474,94.82130699166082,97848.84310093892,4970827.840276412,50.77648683825382
30-31,0.0010441673184405618,97801.43244744308,102.1210594582924,97750.37191771393,4872978.997175473,49.825231341004475
31-32,0.001107579636034727,97699.31138798478,108.20976774794765,97645.2065041108,4775228.625257758,48.87678897033683
32-33,0.0011758611267749367,97591.10162023683,114.75358271437904,97533.72482887964,4677583.418753647,47.930429527846286
33-34,0.0012495451575434539,97476.34803752246,121.80109866530654,97415.4474881898,4580049.693924768,46.9862667830121
34-35,0.0013292099369750137,97354.54693885715,129.40463120082933,97289.84462325674,4482634.246436578,46.04442614531261
35-36,0.0014154827193960282,97225.14230765632,137.62050882730722,97156.33205324267,4385344.401813322,45.10504482406896
36-37,0.0015090444134098,97087.52179882901,146.5093823823251,97014.26710763785,4288188.0697600795,44.16827199117776
37-38,0.001610634622678422,96941.01241644668,156.13655095542782,96862.94414096898,4191173.8026524414,43.23426894540438
38-39,0.001721057150376825,96784.87586549125,166.5723026566371,96701.58971416294,4094310.8585114726,42.303209276226426
39-40,0.0018411860026181185,96618.30356283461,177.89226811659938,96529.35742877632,3997609.2687973096,41.375279024615764
40-41,0.001971971929935368,96440.41129471801,190.17778398460575,96345.32240272571,3901079.9113685335,40.450676837606906
41-42,0.0021144495496986365,96250.23351073341,203.51626290515887,96148.47537928083,3804734.5889658076,39.529614113003895
42-43,0.0022697450961788016,96046.71724782824,218.00156547733008,95937.71646508959,3708586.113586527,38.612315130118446
43-44,0.0024390848488596894,95828.71568235091,233.73436850650504,95711.84849809766,3612648.3971214374,37.69901716200075
44-45,0.002623804293554696,95594.98131384442,250.82252241354593,95469.57005263765,3516936.5486233397,36.78997056421836
45-46,0.0028253580748986928,95344.15879143086,269.38138893579236,95209.46809696297,3421466.978570702,35.885438834856124
46-47,0.0030453308028449717,95074.77740249506,289.5341481974473,94930.01032839634,3326257.510473739,34.98569864005222
47-48,0.0032854487798714923,94785.24325429762,311.4120617996547,94629.53722339778,3231327.5001453427,34.09103979905472
48-49,0.003547592719647974,94473.83119249796,335.15467573575745,94306.25385463008,3136697.962921945,33.20176522248444
49-50,0.0038338115318766477,94138.6765167622,360.9099436255683,93958.22154494943,3042391.709067315,32.31819079722871
50-51,0.004146337251817029,93777.76657313664,388.8342469343982,93583.34944966945,2948433.4875223655,31.440645211174893
51-52,0.004487601196539433,93388.93232620225,419.09228445060535,93179.38618397695,2854850.138072696,30.56946971083111
52-53,0.004860251433098027,92969.84004175165,451.8567982978178,92743.91164260275,2761670.751888719,29.705017784783596
53-54,0.005267171646416776,92517.98324345384,487.30809812358245,92274.32919439205,2668926.8402461163,28.847654765917714
54-55,0.005711501496550224,92030.67514533026,525.6333388210812,91767.85847591971,2576652.511051724,27.997757345393836
55-56,0.006196658555884237,91505.04180650918,567.0255002168499,91221.52905640076,2484884.6525758044,27.15571299153314
56-57,0.006726361916499916,90938.01630629232,611.682009644693,90632.17530146998,2393663.123519404,26.32191926704451
57-58,0.007304657556001764,90326.33429664763,659.8029403259484,89996.43282648466,2303030.948217934,25.49678303842569
58-59,0.007935945546210093,89666.53135632169,711.5887101613088,89310.73700124104,2213034.5153914494,24.68071957191222
59-60,0.008625009182764378,88954.94264616039,767.2371971754119,88571.32404757268,2123723.7783902083,23.874151511038896
60-61,0.009377046104323383,88187.70544898497,826.9401798296225,87774.23535907015,2035152.4543426356,23.07750773173178
61-62,0.010197701457028994,87360.76526915535,890.8790032724335,86915.32576751914,1947378.2189835655,22.291222071873612
62-63,0.011093103142467114,86469.88626588292,959.2193670648397,85990.2765823505,1860462.8932160463,21.515731933489317
63-64,0.012069899164640309,85510.66689881808,1032.10512696988,84994.61433533314,1774472.6166336958,20.751476757085406
64-65,0.013135297062462102,84478.5617718482,1109.6510042827808,83923.7362697068,1689478.0022983626,19.998896369248648
65-66,0.014297105377857357,83368.91076756541,1191.9341024810697,82772.94371632488,1605554.2660286557,19.25842920636184
66-67,0.01556377706442813,82176.97666508434,1278.9841446440853,81537.4845927623,1522781.3223123308,18.530510419219837
67-68,0.016944454686395778,80897.99252044025,1370.7723684829846,80212.60633619876,1441243.8377195685,17.815569865413085
68-69,0.018449017190589966,79527.22015195727,1467.1990517032923,78793.62062610562,1361031.2313833698,17.114029998568647
69-70,0.020088127953924218,78060.02110025397,1568.0796919479262,77275.98125428,1282237.610757264,16.426303665873494
70-71,0.02187328371326536,76491.94140830604,1673.1299362023487,75655.37644020487,1204961.629502984,15.75279182771717
71-72,0.023816863871991317,74818.8114721037,1781.949447895276,73927.83674815606,1129306.253062779,15.093881215740009
72-73,0.02593217954593365,73036.86202420843,1894.005019483356,72089.85951446675,1055378.416314623,14.449941948009933
73-74,0.028233521558992763,71142.85700472507,2008.6133870112444,70138.55031121944,983288.5568001564,13.821325122420227
74-75,0.030736206423828877,69134.24361771383,2124.9243827893265,68071.78142631917,913150.006488937,13.208360411640728
75-76,0.03345661914435353,67009.31923492451,2241.9052727652725,65888.36659854188,845078.2250626178,12.611353684998676
76-77,0.036412251453458847,64767.41396215923,2358.327363180403,63588.25028056903,779189.858464076,12.030584684442125
77-78,0.03962173385150173,62409.08659897883,2472.7562191400625,61172.7084894088,715601.6081835069,11.466304783175852
78-79,0.04310485953955022,59936.330379838764,2583.5471023390264,58644.55682866925,654428.899694098,10.918734856584301
79-80,0.046882598048800184,57352.78327749974,2688.847485378969,56008.35953481025,595784.3428654288,10.388063295598819
80-81,0.05097709605827794,54663.93579212077,2786.608705798478,53270.63143922153,539775.9833306185,9.874444192663153
81-82,0.05541166257374337,51877.32708632229,2874.6089437350083,50440.02261445479,486505.3518913969,9.377995729846814
82-83,0.060210735321345375,49002.718142587284,2950.489692109812,47527.47329653238,436065.3292769421,8.898798797407249
83-84,0.06539982490333056,46052.22845047747,3011.8076770694047,44546.32461194277,388537.8559804098,8.436895869180928
84-85,0.07100543298737441,43040.42077340807,3056.103712974624,41512.36891692076,343991.531368467,7.99229015858036
85-86,0.07705494057794868,39984.317060433445,3080.9891751415585,38443.82247286267,302479.1624515463,7.56494507569982
86-87,0.08357646227463783,36903.32788529189,3084.249590813688,35361.20308988504,264035.3399786836,7.154784002120226
87-88,0.09059866239076358,33819.078294478204,3063.9632567682315,32287.096666094087,228674.1368887986,6.761690395510728
88-89,0.09815052892333348,30755.115037709973,3018.6308080492013,29245.799633685372,196387.0402227045,6.385508231131867
89-90,0.10626110167371394,27736.48422966077,2947.3093707993467,26262.829544261098,167141.24058901911,6.026042781957276
90-91,0.11495915136192701,24789.174858861425,2849.742504737126,23364.30360649286,140878.41104475802,5.683061733472665
91-92,0.12427280740102904,21939.4323541243,2726.4748514319945,20576.194928408302,117514.10743826516,5.356296623425363
92-93,0.13422913314393153,19212.957502692305,2578.9386307175837,17923.488187333514,96937.91250985686,5.045444591040863
93-94,0.14485364891846067,16634.01887197472,2409.4983297840754,15429.269707082683,79014.42432252335,4.750170414658372
94-95,0.15616980505003025,14224.520542190645,2221.4406000040635,13113.800242188612,63585.15461544067,4.470108811530335
95-96,0.1681984093386024,12003.079942186581,2018.8989534398665,10993.630465466647,50471.354373252056,4.20486696884048
