x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.010930787065408147,100000.0,1093.0787065408147,99453.4606467296,7132010.4668,71.320104668
1-2,0.0008624444177408203,98906.92129345919,85.30172214547456,98864.27043238646,7032557.00615327,71.10277940294498
2-3,0.0005023838110321483,98821.61957131371,49.646381852605714,98796.79638038742,6933692.735720883,70.1637229363282
3-4,0.0003771727221293544,98771.9731894611,37.25409399795666,98753.34614246212,6834895.9393404955,69.19873845417693
4-5,0.0003064465930445797,98734.71909546315,30.256918282018287,98719.59063632214,6736142.593198033,68.22465952108591
5-6,0.00027611676682852627,98704.46217718114,27.253956967911815,98690.83519869718,6637423.002561711,67.24541987420073
6-7,0.00026426232932903846,98677.20822021323,26.07666889596009,98664.16988576525,6538732.167363013,66.26385449384458
7-8,0.000252713167714501,98651.13155131727,24.930439952953343,98638.66633134079,6440067.997477248,65.28123799702382
8-9,0.00022896555390392826,98626.20111136432,22.582002766903756,98614.91010998088,6341429.331145908,64.29761320711772
9-10,0.0001949598546630594,98603.61910859741,19.22374725066382,98594.00723497209,6242814.421035927,63.31222400833364
10-11,0.0001677006953060371,98584.39536134675,16.532671648423108,98576.12902552253,6144220.413800955,62.32447225831441
11-12,0.00017755881676404097,98567.86268969832,17.501593070143294,98559.11189316325,6045644.284775432,61.33484200431267
12-13,0.00026064682287077804,98550.36109662817,25.68683851260406,98537.51767737187,5947085.172882269,60.34564568516578
13-14,0.00043618597472019,98524.67425811557,42.97508107526535,98503.18671757793,5848547.655204897,59.361248329355895
14-15,0.0006755505740122584,98481.69917704031,66.52936840875213,98448.43449283594,5750044.468487319,58.38693398405401
15-16,0.0009368016502626588,98415.16980863156,92.19549348760584,98369.07206188775,5651596.033994483,57.426065971171106
16-17,0.0011786599925413018,98322.97431514395,115.88935617292617,98265.02963705748,5553226.961932595,56.47944440872425
17-18,0.0013918777387748969,98207.08495897103,136.69225534436677,98138.73883129885,5454961.932295538,55.54550300087323
18-19,0.0015611855913122378,98070.39270362665,153.10608402323476,97993.83966161504,5356823.193464239,54.6222264007121
19-20,0.0016945689052757817,97917.28661960342,165.9275891945563,97834.32282500614,5258829.353802624,53.70685335912675
20-21,0.001836398836653882,97751.35903040886,179.51048200477877,97661.60378940646,5160995.030977618,52.79716908459673
21-22,0.00198619218983301,97571.84854840407,193.79644353440946,97474.95032663687,5063333.427188211,51.89338423445324
22-23,0.002054446302417292,97378.05210486967,200.05797908344786,97278.02311532795,4965858.476861575,50.99566452113538
23-24,0.002042098633511684,97177.99412578622,198.44704901167452,97078.77060128038,4868580.453746247,50.09961872071989
24-25,0.001991352739578609,96979.54707677454,193.12048675442765,96882.98683339733,4771501.683144967,49.201113296266215
25-26,0.0019372619153682797,96786.42659002011,187.50065815743375,96692.6762609414,4674618.69631157,48.29828790056375
26-27,0.0018714768706305748,96598.92593186269,180.78265560923705,96508.53460405806,4577926.020050628,47.39106543772265
27-28,0.001814274807166101,96418.14327625345,174.92900829983822,96330.67877210354,4481417.48544657,46.47898552253376
28-29,0.0017738775276303393,96243.21426795362,170.72367497683456,96157.8524304652,4385086.8066744665,45.562555656815604
29-30,0.0017555707892730472,96072.49059297678,168.66205813773965,95988.15956390792,4288928.954244001,44.64263315931497
30-31,0.0017622243722825684,95903.82853483905,169.00406403930182,95819.3265028194,4192940.794680093,43.72026496478105
31-32,0.0017949301366536616,95734.82447079975,171.8373215698869,95648.90581001481,4097121.4681772734,42.796563223729976
