x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.009197087482166374,100000.0,919.7087482166374,99540.14562589169,7479997.8353,74.799978353
1-2,0.0007425975727549747,99080.29125178336,73.57678379143029,99043.50285988765,7380457.689674108,74.48966486098482
2-3,0.0004028907831954764,99006.71446799193,39.888892733620175,98986.77002162513,7281414.186814221,73.54465023852744
3-4,0.00031673338715322813,98966.8255752583,31.346097880254288,98951.15252631818,7182427.416792596,72.5740911163286
4-5,0.00026661323286913523,98935.47947737804,26.377508028921742,98922.29072336358,7083476.264266278,71.59692662010032
5-6,0.0002443323913451528,98909.10196934913,24.16669740997263,98897.01862064414,6984553.973542914,70.61588705665686
6-7,0.00023500509764901422,98884.93527193915,23.238463869598508,98873.31604000434,6885656.95492227,69.63302282583616
7-8,0.00022617979336464095,98861.69680806955,22.360518155726954,98850.51654899168,6786783.638882265,68.6492732575504
8-9,0.00020924453711798144,98839.33628991383,20.681591171031524,98828.99549432831,6687933.122333273,67.6646907332152
9-10,0.00018542593988804445,98818.6546987428,18.323541925986504,98809.49292777981,6589104.126838945,66.67874751914401
10-11,0.00016628580321750714,98800.33115681681,16.42909242456698,98792.11661060453,6490294.633911165,65.69102105143462
11-12,0.00017262412149200574,98783.90206439224,17.05248431141804,98775.37582223653,6391502.517300561,64.7018631956274
12-13,0.0002291540578301746,98766.84958008083,22.632824360378,98755.53316790065,6292727.141478324,63.71294789934692
13-14,0.00034866708661560205,98744.21675572045,34.428858376356565,98727.00232653227,6193971.608310424,62.72743672303821
14-15,0.0005108533062176601,98709.7878973441,50.4262215034022,98684.57478659239,6095244.6059838915,61.749140949657445
15-16,0.0006881295696472443,98659.3616758407,67.8904240916681,98625.41646379487,5996560.031197299,60.78044626824007
16-17,0.0008512601839880747,98591.47125174903,83.92699395741886,98549.50775477031,5897934.614733504,59.821955589580206
17-18,0.0009909557835119627,98507.54425779161,97.61662070181923,98458.7359474407,5799385.106978734,58.87249703232778
18-19,0.001095694365365376,98409.92763708979,107.82720320797365,98356.0140354858,5700926.371031294,57.9303989741241
19-20,0.001172713822416951,98302.10043388182,115.28023195143257,98244.4603179061,5602570.356995808,56.99339416215331
20-21,0.0012525494318434956,98186.82020193039,122.98384585844735,98125.32827900116,5504325.896677902,56.05972253055696
21-22,0.0013380898066310638,98063.83635607194,131.2182198271966,97998.22724615835,5406200.568398901,55.129401105305206
22-23,0.0013808266024142772,97932.61813624475,135.22796436660568,97865.00415406145,5308202.3411527425,54.2025980942113
23-24,0.0013820090044867961,97797.39017187814,135.1568738328441,97729.81173496172,5210337.336998681,53.276854605644935
24-25,0.0013636607410765808,97662.23329804529,133.17815343440637,97595.64422132808,5112607.525263719,52.349893634534034
25-26,0.0013432499097813288,97529.05514461089,131.0058945240568,97463.55219734886,5015011.881042391,51.420695849112846
26-27,0.0013245121275404417,97398.04925008683,129.00489743052123,97333.54680137157,4917548.328845042,50.48918707004451
27-28,0.0013197166779583159,97269.0443526563,128.36758008126765,97204.86056261566,4820214.78204367,49.55548616852465
28-29,0.001331367045473602,97140.67677257504,129.3298958300094,97076.01182466003,4723009.921481054,48.62031106226001
29-30,0.0013582737012494974,97011.34687674502,131.76796118547534,96945.46289615228,4625933.909656394,47.68446226742673
30-31,0.001399024025952231,96879.57891555956,135.536858527003,96811.81048629606,4528988.446760242,46.74863885099787
31-32,0.0014467294358229588,96744.04205703255,139.9624533844033,96674.06083034036,4432176.636273946,45.81343245572775
32-33,0.0015097481935268937,96604.07960364815,145.84783466893603,96531.15568631368,4335502.575443605,44.879083711904435
33-34,0.0015880030832420638,96458.23176897921,153.17596945321657,96381.6437842526,4238971.419757292,43.94618626132163
34-35,0.00168129264441708,96305.05579952599,161.9169819359195,96224.09730855803,4142589.775973039,43.01528867390396
35-36,0.001789415103038841,96143.13881759006,172.03998465375554,96057.11882526318,4046365.6786644813,42.08688969830232
36-37,0.0019123425908962692,95971.0988329363,183.52961979333932,95879.33402303963,3950308.559839218,41.16143930701263
37-38,0.002050288982895859,95787.56921314297,196.39219785608157,95689.37311421493,3854429.225816178,40.23934689520562
38-39,0.0022036406052181943,95591.17701528688,210.64859917148632,95485.85271570114,3758739.8527019634,39.320991435233275
39-40,0.002372978307808165,95380.5284161154,226.3359249187221,95267.36045365603,3663253.999986262,38.40672788060715
40-41,0.00255912124824619,95154.19249119668,243.51111586392946,95032.43693326472,3567986.639532606,37.49689368508596
41-42,0.002763048949164,94910.68137533274,262.2428584385524,94779.55994611347,3472954.2025993415,36.59181613990563
42-43,0.002985901131250452,94648.4385168942,282.61087963868323,94507.13307707486,3378174.6426532282,35.69181589879313
43-44,0.003229017848223017,94365.82763725551,304.7089417030349,94213.473166404,3283667.5095761535,34.79720987769693
44-45,0.003494017668927627,94061.11869555248,328.6512106813591,93896.7930902118,3189454.0364097496,33.90831494076795
45-46,0.0037825215585933713,93732.46748487111,354.5450790016772,93555.19494537027,3095557.243319538,33.025453467542356
46-47,0.004096789055881291,93377.92240586944,382.5496505732983,93186.6475805828,3002002.0483741676,32.14894882032063
47-48,0.004439691592934729,92995.37275529614,412.8707746035196,92788.93736799438,2908815.400793585,31.27914125843349
48-49,0.004814237340817436,92582.50198069261,445.7141381417546,92359.64491162174,2816026.4634255907,30.416400542003625
49-50,0.005222951514966305,92136.78784255085,481.22597564638,91896.17485472767,2723666.818513969,29.561121917646428
50-51,0.00566855863058273,91655.56186690448,519.5549262615507,91395.78440377371,2631770.6436592415,28.713703675516243
51-52,0.00615306155998543,91136.00694064292,560.7654610370354,90855.62421012441,2540374.859255468,27.87454645571667
52-53,0.006678400667701454,90575.24147960589,604.8977531746204,90272.79260301858,2449519.2350453436,27.044026546668192
53-54,0.007246538812565593,89970.34372643127,651.9735877934515,89644.35693253455,2359246.442442325,26.22249004200738
54-55,0.007860983991368746,89318.37013863781,702.1302777949801,88967.30499974031,2269602.0855097906,25.410249671898057
55-56,0.008526538678451831,88616.23986084283,755.5897967124414,88238.44496248661,2180634.7805100502,24.607620272924883
56-57,0.009249165975616596,87860.65006413039,812.637735168711,87454.33119654603,2092396.3355475636,23.81494257122275
57-58,0.010034291542555512,87048.01232896167,873.465133908768,86611.2797620073,2004942.0043510175,23.032599489741077
58-59,0.010889177508190835,86174.5471950529,938.3699410948997,85705.36222450546,1918330.7245890102,22.26098989817654
59-60,0.011819822821680042,85236.177253958,1007.4765131390981,84732.43899738845,1832625.3623645047,21.500557878191394
60-61,0.012829623443974895,84228.7007408189,1080.6225136799558,83688.38948397891,1747892.9233671164,20.751749795423983
61-62,0.013923782820652153,83148.07822713893,1157.7357831892784,82569.2103355443,1664204.5338831374,20.01494886432568
62-63,0.015112165782199299,81990.34244394966,1239.0516475522588,81370.81662017353,1581635.323547593,19.290507593974652
63-64,0.016403200022077034,80751.2907963974,1324.579574974215,80089.00100891029,1500264.5069274195,18.57883003641536
64-65,0.01780442188978502,79426.71122142319,1414.1466759043406,78719.63788347102,1420175.505918509,17.880326203604103
65-66,0.019325878009707507,78012.56454551885,1507.6613056311303,77258.73389270328,1341455.868035038,17.195382254769026
66-67,0.020972801129810127,76504.90323988772,1604.5221211055316,75702.64217933496,1264197.1341423348,16.524393608842765
67-68,0.022746846629909546,74900.38111878218,1703.7474818307112,74048.50737786683,1188494.4919629998,15.867669485929628
68-69,0.024651397140664246,73196.63363695148,1804.399285144194,72294.43399437937,1114445.984585133,15.22537211359585
