x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006512204690742032,100000.0,651.2204690742032,99674.3897654629,7596418.9832,75.964189832
1-2,0.0005499274555399659,99348.77953092579,54.634621538443064,99321.46222015657,7496744.593434537,75.45884940741433
2-3,0.00039077756710456185,99294.14490938735,38.8019243754182,99274.74394719965,7397423.13121438,74.50009401828306
3-4,0.000283185749408649,99255.34298501193,28.107698686023095,99241.28913566892,7298148.387267181,73.52902289974696
4-5,0.00022347909907721275,99227.2352863259,22.175213145710728,99216.14767975305,7198907.098131511,72.54970953648613
5-6,0.00019988900363937504,99205.06007318018,19.830000614012334,99195.14507287317,7099690.950451759,71.56581473983846
6-7,0.00019412785741081657,99185.23007256618,19.254616200786163,99175.60276446579,7000495.805378886,70.58002285478557
7-8,0.00019080725292397677,99165.97545636538,18.921587360355584,99156.51466268521,6901320.20261442,69.59362998099193
8-9,0.00017889415280165948,99147.05386900503,17.73682820467615,99138.18545490269,6802163.687951735,68.60681606272318
9-10,0.00015903662703683233,99129.31704080035,15.765192222633672,99121.43444468903,6703025.502496833,67.61900215390321
10-11,0.0001439455928419263,99113.55184857771,14.26695897951252,99106.41836908796,6603904.068052144,66.62967823150322
11-12,0.00015666313346798918,99099.2848895982,15.525204495241407,99091.52228735058,6504797.6496830555,65.63919867766695
12-13,0.00022442173839848766,99083.75968510297,22.236549595588794,99072.64141030518,6405706.127395705,64.64940518762722
13-14,0.0003613631397633644,99061.52313550738,35.79718302998811,99043.62454399238,6306633.4859854,63.66380494027418
14-15,0.0005442922080639083,99025.72595247738,53.89893103380538,98998.77648696049,6207589.861441407,62.68663826226773
15-16,0.0007496170010224911,98971.82702144358,74.19096415753128,98934.73153936482,6108591.084954447,61.720504397993366
16-17,0.0009343515776996555,98897.63605728604,92.40516228089156,98851.4334761456,6009656.353415082,60.76643075608009
17-18,0.0010693982944563491,98805.23089500515,105.66214540248428,98752.39982230391,5910804.919938937,59.82279345331445
18-19,0.00113245196046876,98699.56874960267,111.77252012790869,98643.68248953871,5812052.520116633,58.88630106238463
19-20,0.00114044319339241,98587.79622947476,112.43378116146239,98531.57933889402,5713408.837627094,57.952495705740894
20-21,0.0011375709701959599,98475.36244831329,112.02271360072655,98419.35109151293,5614877.2582882,57.01809182205628
21-22,0.001143506911893142,98363.33973471256,112.47915886353715,98307.10015528079,5516457.907196688,56.0824583841364
22-23,0.0011363283291659502,98250.86057584902,111.64523623727123,98195.03795773038,5418150.807041407,55.146090072754426
23-24,0.0011185121977333855,98139.21533961175,109.76990943333912,98084.33038489507,5319955.769083676,54.208256614584855
24-25,0.0010955300060986049,98029.44543017841,107.39419894996621,97975.74833070343,5221871.438698781,53.268397222731046
25-26,0.0010664550630972874,97922.05123122844,104.42946732441554,97869.83649756623,5123895.690368078,52.326269986611656
26-27,0.0010428974972357882,97817.62176390403,102.01375292313247,97766.61488744245,5026025.853870511,51.381599380953055
27-28,0.0010380509126726536,97715.6080109809,101.43377607816198,97664.89112294182,4928259.238983069,50.434719071995644
28-29,0.0010580265188182376,97614.17423490273,103.27838495307104,97562.5350424262,4830594.347860127,49.48660771575639
29-30,0.0010968087690497066,97510.89584994967,106.95080564611744,97457.42044712661,4733031.8128177,48.53849174046065
30-31,0.0011484689342115845,97403.94504430355,111.86540495303504,97348.01234182702,4635574.392370573,47.59123863270746
31-32,0.001205694130373497,97292.07963935052,117.30448935299573,97233.42739467401,4538226.380028746,46.64538364121088
32-33,0.001266330564253185,97174.77514999751,123.05538784687272,97113.24745607408,4440992.952634072,45.701088021855696
33-34,0.0013298940904231333,97051.71976215063,129.06850857708613,96987.18550786209,4343879.705177998,44.75840011721333
