x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007826605851810362,100000.0,782.6605851810363,99608.66970740948,7285393.0862,72.853930862
1-2,0.0006484352689920145,99217.33941481897,64.33602217212014,99185.17140373291,7185784.416492591,72.42468361754247
2-3,0.0004910881659924106,99153.00339264685,48.6928665887342,99128.65695935248,7086599.245088858,71.47135238078323
3-4,0.0003451535557107672,99104.3105260581,34.206205164332964,99087.20742347593,6987470.5881295055,70.5062226964613
4-5,0.000265081621485259,99070.10432089378,26.261663894096287,99056.97348894672,6888383.38070603,69.5303939359361
5-6,0.00023373713435702076,99043.84265699968,23.150223958354758,99032.2675450205,6789326.4072170835,68.54869747662465
6-7,0.00022630134144136256,99020.69243304133,22.408515528049833,99009.4881752773,6690294.139672063,67.56460670274649
7-8,0.00022198506618857639,98998.28391751328,21.976140607984664,98987.29584720929,6591284.651496786,66.57978694851654
8-9,0.00020598006969986006,98976.3077769053,20.387146774521756,98966.11420351804,6492297.3556495765,65.59445893135711
9-10,0.0001793609354711639,98955.92063013079,17.748826494630503,98947.04621688346,6393331.241446058,64.60786985492784
10-11,0.00015954220079440656,98938.17180363616,15.784813672127212,98930.27939680009,6294384.195229175,63.619370365178355
11-12,0.0001778963413351238,98922.38698996403,17.59793072165185,98913.5880246032,6195453.915832374,62.62944217531793
12-13,0.0002715105622861459,98904.78905924238,26.85369489026755,98891.36221179724,6096540.327807771,61.640496742337135
13-14,0.0004599691998541539,98877.93536435212,45.480804812771794,98855.19496194573,5997648.965595974,60.65710154136441
14-15,0.0007124501272596837,98832.45455953934,70.41319482833072,98797.24796212518,5898793.770634028,59.684784688621036
15-16,0.0009942137327799444,98762.04136471101,98.19057780217662,98712.94607580992,5799996.522671903,58.726980958742296
16-17,0.0012494152727445696,98663.85078690884,123.27212204095522,98602.21472588836,5701283.576596092,57.78492863520552
17-18,0.001444615498998053,98540.57866486788,142.353247219505,98469.40204125813,5602681.361870204,56.85659083578831
18-19,0.0015517006164903547,98398.22541764837,152.68458704212188,98321.88312412731,5504211.959828946,55.93812222188439
19-20,0.001589759416150575,98245.54083060625,156.18677363026205,98167.44744379111,5405890.076704819,55.02427928027378
20-21,0.001617242747023334,98089.35405697598,158.63429640884826,98010.03690877155,5307722.629261028,54.11109778720732
21-22,0.0016515443487104037,97930.71976056712,161.73692678570688,97849.85129717427,5209712.592352256,53.197940391836106
22-23,0.0016516951953280347,97768.98283378141,161.48455919866586,97688.24055418208,5111862.741055082,52.28511735409828
23-24,0.0016143781670269965,97607.49827458274,157.57541415261161,97528.71056750644,5014174.5005009,51.37079209217479
24-25,0.0015535952303710157,97449.92286043013,151.39773535598766,97374.22399275214,4916645.789933394,50.45304958296498
25-26,0.0014793102129496162,97298.52512507414,143.934701922457,97226.55777411291,4819271.565940642,49.5307771597321
26-27,0.0014195671693271708,97154.59042315169,137.9174669141341,97085.63168969462,4722045.008166529,48.603416345022005
27-28,0.0013893769191097355,97016.67295623755,134.79272617421412,96949.27659315045,4624959.3764768345,47.67179945000865
28-29,0.0013987203009965471,96881.88023006334,135.51065267650563,96814.12490372508,4528010.099883684,46.737430045031275
29-30,0.0014371321889422594,96746.36957738684,139.03732188296675,96676.85091644536,4431195.9749799585,45.802193863568924
30-31,0.0014920690628496228,96607.33225550388,144.1448117028718,96535.25984965244,4334519.124063513,44.86739280409608
31-32,0.0015536780039162783,96463.187443801,149.87273251908653,96388.25107754146,4237983.864213861,43.93369093969542
32-33,0.0016225838453713347,96313.31471128191,156.27642854469136,96235.17649700957,4141595.613136319,43.00127791833939
33-34,0.0016980648198543274,96157.03828273722,163.28088388930186,96075.39784079258,4045360.4366393094,42.07035188359748
34-35,0.0017879372167860267,95993.75739884793,171.6308114325292,95907.94199313167,3949285.0387985166,41.14106110452047
35-36,0.0018939611641153199,95822.1265874154,181.48338641950681,95731.38489420565,3853377.096805385,40.2138549209725
36-37,0.0020277373670668664,95640.6432009959,193.934106028969,95543.67614798142,3757645.711911179,39.28921414731819
