x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007216534252572828,100000.0,721.6534252572828,99639.17328737136,7418156.4979,74.181564979
1-2,0.0015890293983879993,99278.34657474271,157.7562113306187,99199.4684690774,7318517.324612629,73.71715562469414
2-3,0.000813789914079809,99120.59036341209,80.66333671538106,99080.2586950544,7219317.856143551,72.83368500606089
3-4,0.0005378896638923316,99039.9270266967,53.27255306031094,99013.29075016655,7120237.597448496,71.89259737165598
4-5,0.00036674285452671244,98986.6544736364,36.30264822171078,98968.50314952554,7021224.30669833,70.93101937866106
5-6,0.0002782289660267279,98950.35182541469,27.530854076366076,98936.5863983765,6922255.8035488045,69.95685892822539
6-7,0.0002374527281880249,98922.82097133833,23.48949371969985,98911.07622447847,6823319.217150428,68.97618921651457
7-8,0.0002160061423552181,98899.33147761863,21.362863073990393,98888.65004608163,6724408.140925949,67.99245293632458
8-9,0.00019385855180720018,98877.96861454465,19.168339801253417,98868.38444464402,6625519.490879868,67.0070348705088
9-10,0.00016940734037015532,98858.8002747434,16.74740642672866,98850.42657153003,6526651.106435224,66.01993032786848
10-11,0.0001588371491114608,98842.05286831666,15.699789889927706,98834.2029733717,6427800.679863694,65.03103176567161
11-12,0.00019277581997536225,98826.35307842674,19.05133124986838,98816.8274128018,6328966.476890323,64.04128331911402
12-13,0.00030857160207657295,98807.30174717687,30.489127396989733,98792.05718347838,6230149.649477521,63.05353490391746
13-14,0.0005287460596599328,98776.81261977988,52.227850458476134,98750.69869455065,6131357.592294043,62.07284310636127
14-15,0.0008252441154025515,98724.5847693214,81.47188262644285,98683.84882800818,6032606.8935994925,61.105416727709766
15-16,0.001114102064258909,98643.11288669496,109.89849569199144,98588.16363884896,5933923.044771484,60.155472299291716
16-17,0.0013303226163528619,98533.21439100297,131.08096356629653,98467.67390921983,5835334.881132635,59.222008712479976
17-18,0.0014723020432236393,98402.13342743667,144.8776621027802,98329.69459638528,5736867.207223415,58.300231990944326
18-19,0.0015747912485050742,98257.25576533389,154.73466648137256,98179.8884320932,5638537.51262703,57.385456867363075
19-20,0.0016939560518325575,98102.52109885252,166.1813593154324,98019.4304191948,5540357.624194937,56.475180883600565
20-21,0.0018493894557985216,97936.33973953708,181.1224340538016,97845.77852251018,5442338.193775742,55.57016127261554
21-22,0.001973466162800691,97755.21730548328,192.9166135895998,97658.75899868849,5344492.415253232,54.6721961504294
22-23,0.0020648413887560634,97562.30069189369,201.4506764508864,97461.57535366825,5246833.656254544,53.779314541016106
23-24,0.0021246584193745834,97360.8500154428,206.8585497027766,97257.42074059142,5149372.080900876,52.88955550495002
24-25,0.002155965004546935,97153.99146574002,209.46060565218707,97049.26116291393,5052114.6601602845,52.00110241422084
25-26,0.0021631016872233288,96944.53086008783,209.70087827053007,96839.68042095257,4955065.39899737,51.112376892602775
26-27,0.002151140464751067,96734.82998181731,208.09020712470192,96630.78487825496,4858225.718576417,50.22209393958298
27-28,0.0021254177866670337,96526.73977469261,205.1596496061119,96424.15994988955,4761594.933698162,49.32928372814015
28-29,0.0020911788627677856,96321.5801250865,201.42565238597453,96220.86729889351,4665170.773748273,48.43328740755626
29-30,0.0020533316424907674,96120.15447270052,197.36655465989645,96021.47119537057,4568949.906449379,47.53373453792176
30-31,0.0020162977524956676,95922.78791804063,193.4089016922639,95826.0834671945,4472928.4352540085,46.63050910359085
31-32,0.001983942461445177,95729.37901634836,189.92157983831245,95634.4182264292,4377102.351786814,45.72370986590549
32-33,0.001959564582335536,95539.45743651006,187.21573700813855,95445.84956800599,4281467.933560384,44.813609459794115
33-34,0.0019459285614661214,95352.24169950192,185.54865052288167,95259.46737424047,4186022.0839923783,43.90061533303464
34-35,0.001945323640562473,95166.69304897904,185.1300177823313,95074.12804008787,4090762.616618138,42.98523449283629
