x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004367095156465314,100000.0,436.70951564653143,99781.64524217673,7760653.5935,77.60653593500001
1-2,0.00070422003365722,99563.29048435346,70.11446377591497,99528.2332524655,7660871.9482578235,76.94474450361544
2-3,0.00041146327398266613,99493.17602057755,40.93778794436053,99472.70712660537,7561343.715005358,75.99861636180448
3-4,0.00026392986750156357,99452.23823263319,26.248416059472813,99439.11402460345,7461871.007878752,75.02969405700408
4-5,0.00018781328965905127,99425.98981657371,18.67352222505804,99416.65305546118,7362431.893854149,74.04936986231417
5-6,0.00015111563178801628,99407.31629434865,15.021999406171663,99399.80529464557,7263015.240798688,73.06318600627581
6-7,0.0001348634633794897,99392.29429494248,13.40438904184944,99385.59210042155,7163615.435504042,72.07415309527228
7-8,0.00012724200963849742,99378.88990590062,12.645169667269782,99372.56732106699,7064229.84340362,71.08380713542445
8-9,0.00012095615925591711,99366.24473623335,12.018959322978276,99360.23525657186,6964857.276082553,70.0927895038269
9-10,0.00011536961784933367,99354.22577691037,11.462459059598567,99348.49454738057,6865497.040825981,69.10120819865018
10-11,0.00011626538580628689,99342.76331785078,11.550124704212566,99336.98825549867,6766148.546278601,68.1091236070217
11-12,0.00013501657260951865,99331.21319314657,13.41135995848405,99324.50751316732,6666811.558023102,67.11698512188396
12-13,0.0001858539233182145,99317.80183318809,18.458603126038962,99308.57253162508,6567487.050509934,66.12598073344934
13-14,0.0002779850349635237,99299.34323006205,27.603731399663737,99285.54136436222,6468178.47797831,65.1381798466933
14-15,0.00040318920320236106,99271.73949866238,40.02529354897804,99251.7268518879,6368892.936613947,64.15615328972616
15-16,0.00055051137055774,99231.7142051134,54.62818698985094,99204.40011161848,6269641.209762059,63.18182911566578
16-17,0.0006940572542244609,99177.08601812355,68.834576003722,99142.66873012169,6170436.809650441,62.21635518231358
17-18,0.0008140902680507771,99108.25144211983,80.68306298255914,99067.90991062854,6071294.140920319,61.25921961670379
18-19,0.0008948031631215348,99027.56837913727,88.61018142188611,98983.26328842633,5972226.23100969,60.308723406641725
19-20,0.0009407742489341671,98938.95819771539,93.07922408878466,98892.418585671,5873242.967721264,59.36228837162835
20-21,0.0009756394261606972,98845.8789736266,96.43793664017878,98797.66000530652,5774350.549135593,58.41771664225138
21-22,0.001010173921035666,98749.44103698642,99.75411005241287,98699.56398196021,5675552.889130286,57.47427863419012
22-23,0.0010266652238079415,98649.68692693401,101.28020290742407,98599.0468254803,5576853.325148325,56.53189076290616
23-24,0.001022329368696516,98548.40672402659,100.7489304322216,98498.03225881048,5478254.278322845,55.5894758772109
24-25,0.0010048163547762632,98447.65779359436,98.92181664042047,98398.19688527416,5379756.246064034,54.64585310239931
25-26,0.0009818828561132247,98348.73597695395,96.566937776177,98300.45250806586,5281358.0491787605,53.70031446480757
26-27,0.00097273974976877,98252.16903917777,95.57379032540867,98204.38214401506,5183057.596670695,52.75260228203171
27-28,0.0009793521169836248,98156.59524885236,96.12986935286837,98108.53031417592,5084853.214526679,51.80347995603618
28-29,0.0010039636353481047,98060.4653794995,98.44914130632928,98011.24080884633,4986744.684212503,50.853773382713634
29-30,0.001040646084930349,97962.01623819317,101.94378867015901,97911.0443438581,4888733.443403657,49.90437754483099
30-31,0.0010823467274533392,97860.07244952301,105.91852916408791,97807.11318494097,4790822.399059799,48.955843574824065
31-32,0.001122568310388881,97754.15392035892,109.73571539987192,97699.28606265898,4693015.285874858,48.00834642483115
32-33,0.0011602885321500998,97644.41820495905,113.29569867168242,97587.7703556232,4595315.999812199,47.061737724387584
33-34,0.0011951128744733688,97531.12250628736,116.56070016910336,97472.84215620281,4497728.229456576,46.115825532169275
34-35,0.0012318172021457757,97414.56180611825,119.99693297226932,97354.5633396321,4400255.387300373,45.1704068233463
35-36,0.0012737175363460253,97294.56487314598,123.92579347008203,97232.60197641094,4302900.823960741,44.22550046419266
36-37,0.0013262973071506113,97170.6390796759,128.8771569454781,97106.20050120316,4205668.221984331,43.28126542973394
37-38,0.0013919494366750331,97041.76192273041,135.07722584229728,96974.22330980925,4108562.0214831275,42.33808146182026
38-39,0.001470237568892902,96906.68469688811,142.47584851822378,96835.446772629,4011587.798173318,41.39639913098935
39-40,0.001558914347658855,96764.20884836989,150.84711351358175,96688.7852916131,3914752.351400689,40.45661508518227
40-41,0.0016575291880335052,96613.36173485631,160.13946702956372,96533.29200134153,3818063.566109076,39.51900128045735
41-42,0.0017792062682630437,96453.22226782674,171.61017765308594,96367.4171790002,3721530.2741077347,38.583783792872836
42-43,0.0019174734556763973,96281.61209017366,184.61743545263968,96189.30337244734,3625162.8569287346,37.65166347166629
43-44,0.0020738349074343127,96096.99465472101,199.28930201448898,95997.35000371377,3528973.553556287,36.723037658315754
44-45,0.0022495987406034785,95897.70535270653,215.73135718821206,95789.83967411242,3432976.2035525735,35.79831436973674
45-46,0.002445821167863332,95681.97399551832,234.02099738118758,95564.96349682772,3337186.363878461,34.877900450034325
46-47,0.002664127954290612,95447.95299813713,254.28555976215355,95320.81021825605,3241621.4003816335,33.96218880089446
47-48,0.002907004332419817,95193.66743837498,276.7284036622873,95055.30323654384,3146300.5901633776,33.05157448839947
48-49,0.003176854532643268,94916.93903471269,301.53730799705176,94766.17038071416,3051245.286926834,32.14647794121282
49-50,0.00347604637991136,94615.40172671565,328.88752465600896,94450.95796438764,2956479.1165461196,31.247334605052224
50-51,0.003807865135261734,94286.51420205964,359.03033015538324,94106.99903698194,2862028.158581732,30.35458657903393
51-52,0.004174298535767068,93927.48387190426,392.08135839477484,93731.44319270687,2767921.15954475,29.46870335970636
52-53,0.004576135496412713,93535.40251350949,428.0306756133217,93321.38717570282,2674189.716352043,28.59013426457223
53-54,0.005014279596257867,93107.37183789616,466.86639486795707,92873.93864046219,2580868.3291763403,27.71926946525502
54-55,0.00549178380581485,92640.5054430282,508.76162755452475,92386.12462925095,2487994.390535878,26.856442315785266
55-56,0.006013578461496034,92131.74381547367,554.041470228803,91854.72308035927,2395608.2659066273,26.00198549052407
56-57,0.006586258270088977,91577.70234524488,603.1543994271158,91276.12514553132,2303753.542826268,25.156271492171687
57-58,0.007215346030937065,90974.54794581776,656.4128434371498,90646.34152409919,2212477.4176807366,24.319740714715447
58-59,0.007909202087184585,90318.1351023806,714.344382662368,89960.96291104943,2121831.0761566376,23.49285748373153
59-60,0.008674205518785187,89603.79071971824,777.2416959650529,89215.1698717357,2031870.1132455883,22.676162436043615
60-61,0.009514091763476331,88826.54902375318,845.1039384449167,88403.99705453072,1942654.9433738526,21.870206202138572
61-62,0.010431456426045944,87981.44508530827,917.7746107079472,87522.5577799543,1854250.9463193219,21.075477272752334
62-63,0.011432414629752759,87063.67047460032,995.347980053794,86565.99648457342,1766728.3885393676,20.292371995214552
63-64,0.01252062213337484,86068.32249454653,1077.628943607663,85529.5080227427,1680162.3920547941,19.52126337958141
64-65,0.013703456772886853,84990.69355093887,1164.6662951729643,84408.36040335239,1594632.8840320515,18.762441126290067
65-66,0.014989679346676959,83826.0272557659,1256.525269469734,83197.76462103103,1510224.5236286991,18.016176754038163
66-67,0.015918205022903663,82569.50198629616,1314.3582612569135,81912.3228556677,1427026.7590076681,17.28273423817559
67-68,0.01749661160959544,81255.14372503925,1421.6896910388677,80544.29887951982,1345114.4361520004,16.554206595261928
68-69,0.019248101264140234,79833.45403400039,1536.6424075125242,79065.13283024413,1264570.1372724806,15.84010303166779
69-70,0.021188269052730788,78296.81162648786,1658.973910713005,77467.32467113135,1185505.0044422366,15.141165774382305
70-71,0.023335042264264198,76637.83771577486,1788.347182139427,75743.66412470514,1108037.6797711053,14.458102065463555
71-72,0.025691150800543447,74849.49053363543,1922.969548643477,73888.00575931369,1032294.0156464002,13.791597087524783
72-73,0.02825290378242281,72926.52098499195,2060.3859805758157,71896.32799470404,958406.0098870865,13.14207776460807
73-74,0.031014821152974787,70866.13500441614,2197.9005029645327,69767.18475293387,886509.6818923824,12.509637809895208
74-75,0.03399544675913379,68668.2345014516,2334.407310037812,67501.0308464327,816742.4971394485,11.894036639636965
75-76,0.03722187544813275,66333.82719141379,2469.069453716765,65099.29246455541,749241.4662930159,11.295013389337457
76-77,0.04075931080126477,63864.75773769702,2603.083509878272,62563.21598275789,684142.1738284605,10.71235839707314
77-78,0.044672049097250865,61261.67422781875,2736.6845188849074,59893.3319683763,621578.9578457027,10.146294003232537
78-79,0.04903990217913641,58524.98970893385,2870.059770361081,57089.95982375331,561685.6258773264,9.59736394095572
79-80,0.05390020173235302,55654.929938572765,2999.8119510890456,54155.023963028245,504595.666053573,9.066504379944478
80-81,0.05955059284559238,52655.11798748372,3135.6434925092703,51087.29624122908,450440.6420905448,8.554546249381037
81-82,0.0654478805507973,49519.47449497445,3240.944651685341,47899.00216913178,399353.34584931575,8.064571563453176
82-83,0.07188985049314887,46278.52984328911,3326.9565914767823,44615.05154755071,351454.343680184,7.594328187829172
83-84,0.07891792278026978,42951.573251812326,3389.648941177626,41256.74878122351,306839.2921326333,7.143842911963331
84-85,0.08657482853966092,39561.9243106347,3425.066813892242,37849.390903688574,265582.5433514098,6.713084562472058
85-86,0.09490424333800772,36136.85749674246,3429.5411173417547,34422.08693807158,227733.15244772122,6.301963375433244
86-87,0.103950322126842,32707.3163794007,3399.9360735432388,31007.34834262908,193311.06550964963,5.910330987332189
87-88,0.11375712559056526,29307.380305857463,3333.9233421838862,27640.41863476552,162303.71716702054,5.537981063922729
88-89,0.12436792949421958,25973.456963673576,3230.2650643793017,24358.324431483925,134663.29853225502,5.184650573106031
89-90,0.13582441139047619,22743.191899294274,3089.0806528622907,21198.651572863128,110304.9741007711,4.850021693929157
90-91,0.1481657130298445,19654.11124643198,2912.06540679548,18198.07854303424,89106.32252790796,4.533724339434803
91-92,0.1614273821687383,16742.0458396365,2702.6246320415366,15390.73352361573,70908.24398487373,4.235339256866667
92-93,0.1756402042586068,14039.421207594964,2465.8868085745953,12806.477803307665,55517.510461257996,3.9544016551924845
93-94,0.19082894268582096,11573.534399020367,2208.565332503035,10469.25173276885,42711.03265795033,3.6904052975870165
94-95,0.2070110156208472,9364.969066517333,1938.6517577175705,8395.643187658548,32241.780925181483,3.442806985925436
95=96,0.22419514773424645,7426.317308799763,1664.9443061677543,6593.845155715886,23846.137737522935,3.2110313559140033
96-97,0.2423800454267745,5761.373002632008,1396.4418500985382,5063.152077582739,17252.29258180705,2.994475895576552
97-98,0.2615531539458034,4364.93115253347,1141.6615097014198,3794.1003976827596,12189.140504224311,2.792516096651274
98-99,0.28168956275304335,3223.26964283205,907.9614163245184,2769.2889346697907,8395.040106541552,2.6045106481272993
99-100,0.3027511305581216,2315.308226507532,700.9621831656747,1964.8271349246945,5625.7511718717615,2.429806583617501
100-101,0.3246859023021207,1614.346043341857,524.1554017103093,1352.2683424867023,3660.924036947067,2.2677442993378234
101-102,0.3474278859668335,1090.1906416315478,378.76262992287445,900.8093266701106,2308.655694460365,2.117662366836407
102-103,0.37089724663775675,711.4280117086734,263.8666907237207,579.494666346813,1407.8463677902541,1.9789020738851102
103-104,0.3950009585383915,447.56132098495266,176.78715079376502,359.16774558807015,828.3517014434411,1.8508116376555492
104-105,0.4196339332628045,270.77417019118764,113.6260300633001,213.96115515953758,469.183955855371,1.7327500460036147
105-106,0.4446806154395142,157.14814012788753,69.88073166724405,122.2077742942655,255.2228006958334,1.6240904950458368
106-107,0.47001700760509246,87.26740846064348,41.01716618612298,66.75882536758199,133.0150264015679,1.5242234042226201
107-108,0.49551305678947694,46.2502422745205,22.917598926701544,34.79144281116973,66.2562010339859,1.4325590045716752
108-109,0.521035309150656,23.33264334781896,12.157131040032848,17.254077827802533,31.464758222816172,1.3485295152277452
109-110,0.5464497187757863,11.17551230778611,6.1068555577650585,8.122084528903581,14.21068039501364,1.2715909574107749
