x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005008402272637418,100000.0,500.84022726374184,99749.57988636813,7544609.6866,75.44609686599999
1-2,0.0005996867469147461,99499.15977273625,59.66832744486277,99469.32560901382,7444860.106713631,74.82334648572174
2-3,0.0004666711668514744,99439.4914452914,46.405543503891344,99416.28867353944,7345390.781104618,73.86794395610752
3-4,0.0003207268703615671,99393.0859017875,31.878033376858706,99377.14688509908,7245974.492431078,72.90219864579902
4-5,0.00023228866817274514,99361.20786841065,23.080482643788397,99349.66762708875,7146597.345545979,71.9254274264721
5-6,0.00018953547253419779,99338.12738576687,18.828098914723657,99328.7133363095,7047247.6779188905,70.94202259875313
6-7,0.00017220479178882357,99319.29928685215,17.10325925430423,99310.747657225,6947918.964582581,69.95537639181012
7-8,0.00016402308494051058,99302.19602759785,16.287852533813915,99294.05210133095,6848608.216925357,68.96733900045882
8-9,0.00015383164023911818,99285.90817506403,15.273314107200573,99278.27151801043,6749314.164824026,67.97857106693755
9-10,0.00014146103966901046,99270.63486095684,14.042927216033668,99263.61339734882,6650035.893306015,66.98895300327605
10-11,0.00013725813691437374,99256.5919337408,13.623774885295518,99249.78004629815,6550772.279908666,65.9983599304081
11-12,0.00016007376958974824,99242.9681588555,15.886196018463355,99235.02506084627,6451522.499862368,65.00735134740825
12-13,0.00023249165337249137,99227.08196283704,23.069468344867698,99215.5472286646,6352287.474801522,64.01767893548062
13-14,0.0003676618080124883,99204.01249449217,36.47352659581847,99185.77573119426,6253071.927572858,63.032449699754125
14-15,0.0005485095699753914,99167.53896789635,54.3943441547987,99140.34179581895,6153886.151841664,62.05544894921583
15-16,0.0007583591215067631,99113.14462374155,75.1633572866334,99075.56294509824,6054745.810045845,61.08923123195399
16-17,0.0009568789343102611,99037.98126645492,94.767357970485,98990.59758746969,5955670.247100746,60.13521449995454
17-18,0.0011170154583686595,98943.21390848444,110.52109943645407,98887.95335876622,5856679.649513276,59.19233283578494
18-19,0.0012176290963150233,98832.69280904798,120.34156243146138,98772.52202783225,5757791.69615451,58.25796639254772
19-20,0.0012718072816860905,98712.35124661651,125.54308710780191,98649.57970306261,5659019.174126677,57.32837991051953
20-21,0.0013225086022802496,98586.80815950871,130.38190186230298,98521.61720857756,5560369.594423614,56.40074669449896
21-22,0.0013869999147317878,98456.42625764641,136.55905482415213,98388.14673023434,5461847.977215037,55.47477381437917
22-23,0.0014308014733593534,98319.86720282226,140.67621085429406,98249.52909739512,5363459.830484803,54.551129726615876
23-24,0.0014458500682405413,98179.19099196797,141.95238999553803,98108.2147969702,5265210.301387408,53.62857697430155
24-25,0.001439779177010805,98037.23860197244,141.15197471075982,97966.66261461706,5167102.086590437,52.70550415611644
25-26,0.0014211886553408826,97896.08662726167,139.12880771693256,97826.5222234032,5069135.42397582,51.78077693009834
26-27,0.0014207372635465772,97756.95781954474,138.88695274517815,97687.51434317215,4971308.901752417,50.85376031166237
27-28,0.0014389208748306816,97618.07086679956,140.4646799309387,97547.8385268341,4873621.387409245,49.9254015586861
28-29,0.0014783493424774948,97477.60618686862,144.10595501263742,97405.5532093623,4776073.548882411,48.996623283161874
29-30,0.0015289944300594033,97333.50023185599,148.82237971269345,97259.08904199964,4678667.995673048,48.0684243814113
30-31,0.0015795954313606489,97184.67785214329,153.51247313350197,97107.92161557653,4581408.906631049,47.14126761423444
31-32,0.0016215025264695432,97031.16537900978,157.33627980834842,96952.4972391056,4484300.985015472,46.2150585072282
32-33,0.0016549405214847368,96873.82909920142,160.32042524765566,96793.6688865776,4387348.487776367,45.28930598256422
33-34,0.0016806021589094535,96713.50867395377,162.53693147315485,96632.24020821719,4290554.818889789,44.363552493523514
34-35,0.001705496288660354,96550.97174248061,164.66732397335142,96468.63808049394,4193922.578681572,43.43739377235418
35-36,0.0017330214382414056,96386.30441850726,167.0395319101354,96302.7846525522,4097453.940601078,42.51074844419826
36-37,0.0017722261188931065,96219.26488659713,170.5222943727218,96134.00373941076,4001151.1559485258,41.58368036446999
37-38,0.0018281237877483631,96048.7425922244,175.5889911161648,95960.94809666633,3905017.152209115,40.65661919998154
38-39,0.0018993467453945817,95873.15360110824,182.09636226297974,95782.10541997674,3809056.2041124487,39.7301649214595
39-40,0.0019813029125302648,95691.05723884526,189.59297041042439,95596.26075364005,3713274.098692472,38.80481840036656
40-41,0.0020733569551155597,95501.46426843484,198.00862516467947,95402.4599558525,3617677.837938832,37.88086251505306
41-42,0.002200027459151765,95303.45564327015,209.67021936724657,95198.62053358652,3522275.3779829796,36.95852741339401
42-43,0.002346811728103133,95093.7854239029,223.1672109025381,94982.20181845163,3427076.757449393,36.03891402758228
43-44,0.002515166142662762,94870.61821300036,238.6153668628237,94751.31052956895,3332094.5556309414,35.12251335971938
44-45,0.00270667429644958,94632.00284613753,256.13800972518396,94503.93384127493,3237343.2451013722,34.20981430948871
45-46,0.0029230738999303156,94375.86483641235,275.8676272866682,94237.93102276901,3142839.311260097,33.30130342866557
46-47,0.0031662825959987155,94099.99720912568,297.94718344678233,93951.02361740229,3048601.3802373284,32.397465150420636
47-48,0.0034384231428970253,93802.0500256789,322.5311396594788,93640.78445584915,2954650.356619926,31.498782338030697
48-49,0.00374184841381521,93479.51888601942,349.7861894678607,93304.62579128549,2861009.572164077,30.605737024091198
49-50,0.004079166643415102,93129.73269655155,379.89169912593786,92939.78684698859,2767704.946372791,29.718811234978183
50-51,0.004453267325259874,92749.84099742562,413.0398363368842,92543.32107925718,2674765.159525803,28.838487815844818
51-52,0.004867348134459722,92336.80116108873,449.4353568734035,92112.08348265203,2582221.8384465454,27.965251188869523
52-53,0.005324943219152626,91887.36580421533,489.2950054649533,91642.71830148285,2490109.7549638934,27.099587991994216
53-54,0.005829953174031055,91398.07079875037,532.8464729534898,91131.64756227363,2398467.0366624105,26.241987557304146
54-55,0.006386676979492913,90865.22432579688,580.3268364380264,90575.06090757786,2307335.3891001367,25.392942197855533
55-56,0.006999846161012769,90284.89748935886,631.9803930883199,89968.9072928147,2216760.328192559,24.552947279514058
56-57,0.007674661394400426,89652.91709627054,688.0557817341294,89308.88920540348,2126791.420899744,23.722501060573034
57-58,0.008416831752774249,88964.8613145364,748.8022695933474,88590.46017973973,2037482.5316943408,22.902104286891372
58-59,0.00923261675906097,88216.05904494306,814.4650651566533,87808.82651236473,1948892.0715146011,22.092259534306642
59-60,0.010128871372115976,87401.59397978641,885.2795031391627,86958.95422821683,1861083.2450022365,21.293470293375357
