x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.01695875200020668,100000.0,1695.875200020668,99152.06239998966,7769514.2521,77.69514252100001
1-2,0.0023899436060032665,98304.12479997933,234.94131450945773,98186.6541427246,7670362.18970001,78.02686006621792
2-3,0.0005764504551927417,98069.18348546987,56.53202546057962,98040.91747273957,7572175.535557286,77.2125887708568
3-4,0.00030115364048725977,98012.65146000929,29.516866800990734,97997.8930266088,7474134.618084546,76.25683528349512
4-5,0.00025485350448417685,97983.1345932083,24.971345231423918,97970.64892059259,7376136.725057937,75.27965660295597
5-6,0.00022788533517055235,97958.16324797689,22.323228864456897,97947.00163354466,7278166.076137344,74.29871931870527
6-7,0.00020539536380900113,97935.84001911244,20.115567490665732,97925.7822353671,7180219.0745038,73.3155407979608
7-8,0.00018160264831903764,97915.72445162178,17.781754872491664,97906.83357418553,7082293.292268433,72.33049984497285
8-9,0.00015304437599522028,97897.94269674929,14.982729551239828,97890.45133197367,6984386.4586942475,71.34354682334059
9-10,0.00012107138514108917,97882.95996719805,11.850825544938449,97877.03455442558,6886496.0073622735,70.35439068935017
10-11,9.327652947755318e-05,97871.10914165311,9.129077396852232,97866.54460295469,6788618.972807848,69.36284908125833
11-12,8.064411443023607e-05,97861.98006425626,7.891992718671363,97858.03406789692,6690752.428204893,68.36927296802844
12-13,9.13123620045538e-05,97854.0880715376,8.935287913613731,97849.62042758078,6592894.394136996,67.37474666686555
13-14,0.0001327390152638579,97845.15278362398,12.987869228839973,97838.65884900956,6495044.773709415,66.3808537155912
14-15,0.00020669821087513168,97832.16491439515,20.22173345384631,97822.05404766822,6397206.114860406,65.38959983618959
15-16,0.00029884612218567295,97811.9431809413,29.230719923069685,97797.32782097977,6299384.060812738,64.40301517330631
16-17,0.0003949667428691478,97782.71246101824,38.620919449638805,97763.40200129342,6201586.732991758,63.42211805040757
17-18,0.0004901931015556767,97744.0915415686,47.9134793915035,97720.13480187285,6103823.330990464,62.44698001407718
18-19,0.0005823907222449495,97696.1780621771,56.89734770220252,97667.729388326,6006103.196188591,61.47736088883751
19-20,0.0006732946627535894,97639.2807144749,65.74000658015542,97606.41071118481,5908435.466800265,60.51289423237576
20-21,0.0007662382734169729,97573.54070789475,74.76458136319799,97536.15841721314,5810829.05608908,59.55332781747585
21-22,0.0008468835077547301,97498.77612653155,82.57010552783018,97457.49107376764,5713292.897671867,58.598611435463496
22-23,0.000880267124159869,97416.20602100372,85.75228352067425,97373.32987924338,5615835.4065980995,57.64785589563281
23-24,0.0008308900234077909,97330.45373748304,80.8709029842282,97290.01828599093,5518462.076718857,56.698205595579545
24-25,0.0007491584885343821,97249.58283449881,72.85535048689232,97213.15515925536,5421172.058432866,55.74493895422379
