x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.01589196683920978,100000.0,1589.1966839209779,99205.40165803951,7402645.7836,74.02645783599999
1-2,0.0022275918152729474,98410.80331607902,219.21910000133346,98301.19376607836,7303440.38194196,74.21380718217016
2-3,0.0006764118948379447,98191.5842160777,66.41795553673673,98158.37523830932,7205139.188175882,73.37837805244543
3-4,0.00047466720877731896,98125.16626054097,46.576798779701335,98101.87786115111,7106980.812937573,72.427707221073
4-5,0.00036458717954568576,98078.58946176126,35.75819630568276,98060.71036360842,7008878.935076421,71.46186515874632
5-6,0.0002985470892329698,98042.83126545558,29.270401894460967,98028.19606450835,6910818.224712812,70.48774638098166
6-7,0.0002504516690766622,98013.56086356111,24.547659910425896,98001.2870336059,6812790.028648304,69.50864725884193
7-8,0.00020871558153889288,97989.01320365068,20.451833875222206,97978.78728671308,6714788.7416146975,68.52593491945208
8-9,0.00016633311057634315,97968.56136977546,16.295415551324123,97960.4136619998,6616809.954327985,67.54013595599612
9-10,0.0001250931100045705,97952.26595422413,12.253153580208705,97946.13937743402,6518849.540665985,66.5512888054313
10-11,9.700338114150541e-05,97940.01280064392,9.500512390704781,97935.26254444856,6420903.401288551,65.55955240028656
11-12,9.548230635060839e-05,97930.51228825322,9.350631175379013,97925.83697266552,6322968.138744103,64.56586400909234
12-13,0.00013540255719033406,97921.16165707784,13.25877569141643,97914.53226923214,6225042.301771437,63.57198174968224
13-14,0.00023760646363562727,97907.90288138643,23.26355056562667,97896.27110610361,6127127.769502205,62.58052301380721
14-15,0.000402079415169765,97884.6393308208,39.357398536239806,97864.96063155269,6029231.498396101,61.59527725304378
15-16,0.0005998734640958319,97845.28193228456,58.69478821815285,97815.93453817548,5931366.537764548,60.6198522875068
16-17,0.0007994085288549568,97786.5871440664,78.17143177058516,97747.50142818112,5833550.603226373,59.655938238563905
17-18,0.000973680209868184,97708.41571229581,95.13675071663596,97660.8473369375,5735803.101798192,58.70326583420784
18-19,0.0011079794847656452,97613.27896157918,108.1535105301357,97559.20220631412,5638142.254461254,57.75999243586971
19-20,0.001209194016001732,97505.12545104905,117.9026142249067,97446.1741439366,5540583.052254939,56.82350570418479
20-21,0.0012988701264248638,97387.22283682415,126.49335443823216,97323.97615960504,5443136.878111003,55.8916942033677
21-22,0.001377759372844966,97260.72948238591,134.0018816540959,97193.72854155887,5345812.901951398,54.96373439106822
22-23,0.001421828308703616,97126.72760073181,138.09753083446535,97057.67883531458,5248619.173409839,54.03887583843907
23-24,0.0014088691658308036,96988.63006989735,136.64429034164868,96920.30792472653,5151561.494574524,53.115107315794845
24-25,0.0013663433878724142,96851.9857795557,132.33307037220902,96785.8192443696,5054641.1866497975,52.18933970186878
25-26,0.0013190761983450652,96719.6527091835,127.58059180088476,96655.86241328306,4957855.367405428,51.26006171995571
26-27,0.0012975482184548,96592.07211738262,125.33287109276738,96529.40568183623,4861199.504992144,50.32710654643185
27-28,0.0013068571948008489,96466.73924628984,126.06825224299129,96403.70512016835,4764670.099310308,49.391843619235416
28-29,0.001351207033597453,96340.67099404686,130.17619226865423,96275.58289791254,4668266.394190139,48.45582188729621
29-30,0.0014212983070147128,96210.4948017782,136.7438133788152,96142.12289508879,4571990.811292226,47.520707805441255
30-31,0.0015024638280396367,96073.75098839939,144.34733568415737,96001.5773205573,4475848.688397137,46.58763337904421
31-32,0.001591689917383544,95929.40365271523,152.68986457464297,95853.05872042791,4379847.11107658,45.65698257577577
32-33,0.0016952332037741328,95776.7137881406,162.36386536202772,95695.53185545959,4283994.052356153,44.72897307619477
33-34,0.0018137485818427352,95614.34992277857,173.42039157625467,95527.63972699044,4188298.520500693,43.804078821675894
