x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004464744624549533,100000.0,446.4744624549533,99776.76276877252,8116371.2556,81.163712556
1-2,0.0010195265462656976,99553.52553754505,101.49746205986723,99502.77680651512,8016594.492831227,80.52547059026949
2-3,0.00046697304983060116,99452.02807548518,46.44141686224789,99428.80736705406,7917091.716024713,79.607141948031
3-4,0.0002828630391018671,99405.58665862294,28.1181663459621,99391.52757544996,7817662.908657659,78.64410010983538
4-5,0.00020337041391233277,99377.46849227698,20.21043690083418,99367.36327382656,7718271.381082209,77.66621044167599
5-6,0.00016482943864678468,99357.25805537615,16.377001070751376,99349.06955484078,7618904.017808382,76.68190695804059
6-7,0.0001456295088002925,99340.8810543054,14.466963711726777,99333.64757244954,7519554.948253541,75.69446604910745
7-8,0.00013684779789684736,99326.41409059367,13.592601041288134,99319.61779007303,7420221.300681092,74.70541817721572
8-9,0.00013430724073582297,99312.82148955237,13.338431023951124,99306.15227404039,7320901.682891019,73.71557441514409
9-10,0.00013598052478067932,99299.48305852842,13.50279581674887,99292.73166062005,7221595.530616978,72.72540911779444
10-11,0.00014139828325969024,99285.98026271167,14.03886716090292,99278.96082913122,7122302.798956358,71.73523170250901
11-12,0.00015223391277544607,99271.94139555078,15.11255606745947,99264.38511751704,7023023.838127227,70.74530566642055
12-13,0.0001727836414176352,99256.82883948332,17.14995632245288,99248.2538613221,6923759.45300971,69.75600101235061
13-14,0.00020825562926277821,99239.67888316087,20.66722177364871,99229.34527227405,6824511.199148388,68.76796938433444
14-15,0.0002606418159280777,99219.01166138722,25.860623374013084,99206.08134970022,6725281.853876114,67.78218953468343
15-16,0.0003253007763160939,99193.15103801321,32.26760903790525,99177.01723349426,6626075.772526413,66.79973065869378
16-17,0.0003916239644637915,99160.8834289753,38.8337782881872,99141.4665398312,6526898.7552929185,65.82130503070655
17-18,0.00044761406595494137,99122.04965068711,44.36842366993164,99099.86543885215,6427757.288753088,64.84689644135634
18-19,0.00048504840314216843,99077.68122701718,48.05747106619348,99053.65249148408,6328657.423314235,63.87571191551557
19-20,0.0005020897555954686,99029.62375595099,49.721759588336646,99004.76287615682,6229603.770822751,62.906467121141574
20-21,0.0005026215996474058,98979.90199636265,49.74943667435525,98955.02727802547,6130599.007946595,61.937816509172585
21-22,0.0004936291865924139,98930.1525596883,48.83481073750235,98905.73515431955,6031643.980668569,60.96871201153208
22-23,0.0004824146783099993,98881.3177489508,47.70179909272892,98857.46684940443,5932738.245514249,59.998575874330925
23-24,0.0004747616656950113,98833.61594985807,46.922412135015655,98810.15474379055,5833880.778664845,59.02729271409626
24-25,0.00047427543944061597,98786.69353772305,46.85210248848906,98763.26748647881,5735070.623921054,58.055092427311976
25-26,0.0004825764754458698,98739.84143523457,47.649524665899555,98716.01667290162,5636307.356434575,57.08240234648889
26-27,0.0004998878723636067,98692.19191056867,49.33502983307493,98667.52439565213,5537591.3397616735,56.109720866060414
27-28,0.0005256649884458414,98642.85688073559,51.85309622247666,98616.93033262435,5438923.815366021,55.13753339425243
28-29,0.0005590870869750364,98591.00378451312,55.12095710782823,98563.4433059592,5340306.885033397,54.1662695381976
29-30,0.0005993658958950288,98535.8828274053,59.059047688655355,98506.35330356097,5241743.441727438,53.19629044080151
30-31,0.0006458987479998543,98476.82377971664,63.60605718632126,98445.02075112348,5143237.088423877,52.22789374207289
31-32,0.0006983172691285444,98413.21772253032,68.72364944615023,98378.85589780724,5044792.067672754,51.26132631793646
32-33,0.0007564786455874343,98344.49407308416,74.39550967738816,98307.29631824547,4946413.211774946,50.29679859961501
33-34,0.0008204328076012073,98270.09856340678,80.6240128676232,98229.78655697296,4848105.915456701,49.33449733266075
34-35,0.0008903850903026775,98189.47455053915,87.42644416445425,98145.76132845692,4749876.128899728,48.374595654393865
35-36,0.0009666637492501863,98102.0481063747,94.8316936316303,98054.63225955889,4651730.367571271,47.417260468683324
36-37,0.001049695479559705,98007.21641274307,102.87773203268613,97955.77754672673,4553675.735311712,46.462657567322104
37-38,0.0011399888913783641,97904.33868071038,111.60985851375492,97848.5337514535,4455719.957764985,45.51095505885761
38-39,0.0012381246079000113,97792.72882219663,121.07958402845433,97732.1890301824,4357871.424013532,44.56232560947208
39-40,0.0013447503895696118,97671.64923816817,131.34398836293315,97605.97724398671,4260139.234983349,43.616947888278006
40-41,0.0014605798791752806,97540.30524980524,142.46540725648052,97469.072546177,4162533.2577393623,42.67500749642849
41-42,0.001586393892365762,97397.83984254877,154.51133825583804,97320.58417342085,4065064.185193185,41.736697567057746
42-43,0.0017230434991350957,97243.32850429293,167.5544850135805,97159.55126178614,3967743.6010197643,40.80221915526681
43-44,0.0018714544005245808,97075.77401927936,181.6728844727101,96984.937577043,3870584.049757978,39.87178149091323
44-45,0.0020326322935696845,96894.10113480665,196.95007902301504,96795.62609529514,3773599.1121809348,38.94560213661313
45-46,0.00220766904694834,96697.15105578364,213.47530731394156,96590.41340212668,3676803.48608564,38.02390707420664
46-47,0.0023977495948835645,96483.6757484697,231.34369443877043,96368.00390125031,3580213.072683513,37.10693073113249
47-48,0.0026041595112579158,96252.33205403094,250.65642599925982,96127.0038410313,3483845.068782263,36.19491595098826
48-49,0.002828293260115051,96001.67562803168,271.5208921385133,95865.91518196242,3387718.0649412316,35.28811390821231
49-50,0.0030716631401413157,95730.15473589316,294.0507877022676,95583.12934204203,3291852.1497592693,34.386783964165254
50-51,0.003335908954229627,95436.1039481909,318.3661537175595,95276.92087133211,3196269.0204172274,33.49119346020638
51-52,0.0036228084439264546,95117.73779447333,344.5933436490004,94945.44112264883,3100992.099545895,32.60161744223141
52-53,0.003934288534337977,94773.14445082433,372.864895576035,94586.71200303631,3006046.6584232464,31.71833831031128
53-54,0.004272437439030242,94400.2795552483,403.319288626764,94198.61991093493,2911459.94642021,30.841645386402288
54-55,0.004639517677214693,93996.96026662154,436.10055876143775,93778.90998724081,2817261.326509275,29.97183439249672
55-56,0.005037980057375086,93560.8597078601,471.3577453590674,93325.18083518057,2723482.416522034,29.109206830997437
56-57,0.005470478682585174,93089.50196250103,509.24413605833263,92834.87989447186,2630157.2356868535,28.25406925849009
57-58,0.005939887033087288,92580.2578264427,549.9162729831648,92305.29968995112,2537322.355792382,27.406732443422445
58-59,0.006449315181168437,92030.34155345954,593.5326789088431,91733.57521400512,2445017.0561024304,26.56751039745021
59-60,0.007002128191838754,91436.8088745507,640.2522571922634,91116.68274595456,2353283.4808884254,25.736719269338007
60-61,0.007601965760094468,90796.55661735844,690.2323145396376,90451.44046008862,2262166.798142471,24.91467608926913
61-62,0.008252763131392468,90106.3243028188,743.6261511115961,89734.511227263,2171715.357682382,24.101697350165292
62-63,0.008958773346091692,89362.6981517072,800.5801583363517,88962.40807253902,2081980.8464551193,23.298097411076714
63-64,0.00972459084069025,88562.11799337085,861.2303614704633,88131.50281263562,1993018.4383825804,22.504186705785017
64-65,0.010555176428320706,87700.88763190039,925.698341875038,87238.03846096287,1904886.9355699448,21.720269737350524
65-66,0.011455883667715093,86775.18929002536,994.0864737504872,86278.14605315012,1817648.8971089819,20.946642836282663
66-67,0.012689352139661053,85781.10281627487,1088.5066205641822,85236.84950599278,1731370.7510558318,20.183591656125763
67-68,0.013843751665305723,84692.59619571069,1172.463269623435,84106.36456089898,1646133.901549839,19.436573862323144
68-69,0.015101565035293613,83520.13292608726,1261.284719139674,82889.49056651742,1562027.53698894,18.70240721924241
69-70,0.016471751757036173,82258.84820694759,1354.9473274845607,81581.37454320531,1479138.0464224226,17.981506897606845
70-71,0.017963989982860643,80903.90087946302,1453.3568649730241,80177.2224469765,1397556.6718792173,17.274280432551787
71-72,0.019588723206889563,79450.54401448999,1556.3347153366408,78672.37665682167,1317379.4494322408,16.581125601757748
72-73,0.021357207840981805,77894.20929915336,1663.602817610956,77062.40789034788,1238707.072775419,15.902428228241645
73-74,0.02328156118958255,76230.6064815424,1774.7675293190175,75343.2227168829,1161644.664885071,15.238559923648754
74-75,0.02537480921847,74455.83895222339,1889.3027086137959,73511.18759791649,1086301.4421681883,14.589875790201532
75-76,0.027650933367813695,72566.53624360959,2006.5324584050863,71563.27001440704,1012790.2545702718,13.956712101708739
76-77,0.030124915494077628,70560.0037852045,2125.614151291083,69497.19670955896,941226.9845558648,13.339383986161684
77-78,0.03281277983683299,68434.38963391342,2245.522560325647,67311.6283537506,871729.7878463059,12.738183134380005
78-79,0.035731630694675116,66188.86707358778,2365.03615437238,65006.34899640159,804418.1594925553,12.153375560850971
79-80,0.03889968425906918,63823.830919215405,2482.7268709616965,62582.46748373456,739411.8104961538,11.585199444264939
80-81,0.042336292796958754,61341.10404825371,2596.9549414755807,60042.62657751592,676829.3430124192,11.033863076217122
81-82,0.04606195909459526,58744.149106778124,2705.870593203219,57391.213810176516,616786.7164349032,10.499542947056424
82-83,0.05009833878022888,56038.27851357491,2807.4246616338964,54634.56618275796,559395.5026247267,9.982381997855569
83-84,0.05446822783823014,53230.853851941014,2899.3902756310536,51781.158714125486,504760.9364419688,9.482488066900755
84-85,0.05919553232075801,50331.46357630996,2979.397778882511,48841.7646868687,452979.77772784326,8.99993255791298
85-86,0.06430521696743606,47352.06579742744,3044.98486495988,45829.5733649475,404138.01304097456,8.534749355389911
86-87,0.06982322917461409,44307.080932467565,3093.6634660058567,42760.24919946463,358308.43967602705,8.086934009987193
87-88,0.07577639453399972,41213.41746646171,3123.0041820330375,39651.91537544519,315548.1904765624,7.65644321375063
88-89,0.08219228001075253,38090.41328442867,3130.7379143990493,36525.044327229145,275896.2751011172,7.24319458129648
89-90,0.08909902078346553,34959.675370029625,3114.8728423774774,33402.23894884089,239371.23077388806,6.84706674876899
90-91,0.09652510685746687,31844.802527652148,3073.8229668365548,30307.89104423387,205968.99182504718,6.467899797657588
91-92,0.10449912582738029,28770.97956081559,3006.542213302655,27267.708454164265,175661.1007808133,6.105496005428107
92-93,0.11304945864663062,25764.437347512936,2912.655694471369,24308.109500277253,148393.39232664905,5.759620919529748
93-94,0.12220392600327382,22851.781653041566,2792.5774341712618,21455.492935955936,124085.2828263718,5.430004745816223
94-95,0.13198938394390258,20059.204218870305,2647.602007253623,18735.403215243492,102629.78989041586,5.116344036911937
95-96,0.14243126876527512,17411.602211616682,2479.9565942368345,16171.623914498265,83894.38667517237,4.818303660716512
96-97,0.15355309293069153,14931.645617379849,2292.800367093681,13785.245433833008,67722.7627606741,4.535519024229149
97-98,0.16537589587213758,12638.845250286167,2090.160356055386,11593.765072258475,53937.517326841094,4.267598523339768
98-99,0.17791765599355666,10548.68489423078,1876.7972901961796,9610.28624913269,42343.75225458262,4.014126185316332
99-100,0.191192672948771,8671.8876040346,1658.0013705266886,7842.886918771256,32733.466005449933,3.7746644675399934
