x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007617409715495918,100000.0,761.7409715495918,99619.1295142252,7524751.3584,75.247513584
1-2,0.0006472064002129044,99238.25902845041,64.22763638919915,99206.14521025581,7425132.228885775,74.82126653146021
2-3,0.0004434300450250826,99174.03139206121,43.976745205500656,99152.04301945846,7325926.08367552,73.86939888239688
3-4,0.0003411647932027461,99130.05464685571,33.81968459377145,99113.14480455883,7226774.040656061,72.90194751128674
4-5,0.0002807043158468025,99096.23496226194,27.816740838075727,99082.3265918429,7127660.895851502,71.92665693672292
5-6,0.00025158771167031925,99068.41822142387,24.92439663912619,99055.9560231043,7028578.569259659,70.94671233722904
6-7,0.0002372244288841976,99043.49382478475,23.49553625728011,99031.7460566561,6929522.613236555,69.96444032452442
7-8,0.00022312587659645007,99019.99828852747,22.093923918706675,99008.95132656812,6830490.867179899,68.98092289677695
8-9,0.00019899365128546367,98997.90436460875,19.699954459122637,98988.05438737919,6731481.915853331,67.9962061728228
9-10,0.00016622454943229548,98978.20441014963,16.452607431694762,98969.97810643379,6632493.861465951,67.00964016261572
10-11,0.00013902424084002955,98961.75180271793,13.758082416572286,98954.87276150964,6533523.883359518,66.02069753559151
11-12,0.00014343284272267588,98947.99372030135,14.192392021008304,98940.89752429085,6434569.0105980085,65.02980776736877
12-13,0.0002112152947637507,98933.80132828034,20.896332009651083,98923.35316227553,6335628.113073718,64.0390647888981
13-14,0.0003606014238440312,98912.90499627069,35.6681343782046,98895.07092908159,6236704.759911442,63.05248804639379
14-15,0.000568415162166173,98877.23686189248,56.20332062539572,98849.13520157979,6137809.688982361,62.07505269949435
15-16,0.0008004979597748273,98821.03354126708,79.10603573262408,98781.48052340077,6038960.553780781,61.11007279901547
16-17,0.0010179402054137344,98741.92750553446,100.51337796793182,98691.6708165505,5940179.07325738,60.15862990849996
17-18,0.0012038522326629864,98641.41412756653,118.74968663050521,98582.03928425128,5841487.402440829,59.21942070788253
18-19,0.0013376392497680555,98522.66444093603,131.78778294792355,98456.77054946207,5742905.363156578,58.29019541589263
19-20,0.001427999204409477,98390.8766579881,140.50209358875802,98320.62561119373,5644448.592607115,57.3676013908029
20-21,0.0015162322462543404,98250.37456439935,148.97038612110953,98175.8893713388,5546127.966995922,56.44892440955172
21-22,0.0016090228277221932,98101.40417827823,157.847398754451,98022.48047890101,5447952.077624583,55.533884792557096
22-23,0.0016596247800308177,97943.55677952377,162.54955387565303,97862.28200258594,5349929.597145681,54.62257827933144
23-24,0.0016695827993290456,97781.00722564812,163.25348776501122,97699.38048176562,5252067.315143095,53.712550771981306
24-25,0.0016602442072672335,97617.7537378831,162.06931016975975,97536.71908279823,5154367.93466133,52.80154210986565
25-26,0.001648129797137491,97455.68442771335,160.61961740574253,97375.37461901047,5056831.215578532,51.88851984646806
26-27,0.0016153413347730532,97295.06481030761,157.164739857513,97216.48244037885,4959455.840959521,50.97335461596926
27-28,0.0015854939745304022,97137.9000704501,154.01155526023496,97060.89429281998,4862239.3585191425,50.055018226590875
28-29,0.001564905736104106,96983.88851518986,151.77064344710172,96908.00319346631,4765178.464226322,49.13371217818296
29-30,0.0015580640605733535,96832.11787174275,150.87064276516512,96756.68255036017,4668270.461032856,48.20993864056687
30-31,0.001567834350870471,96681.24722897759,151.5801804905916,96605.4571387323,4571513.778482496,47.28438978094098
31-32,0.001595788465076775,96529.667048487,154.0409292136772,96452.64658388015,4474908.321343764,46.357855135831045
32-33,0.001642562774826137,96375.62611927332,158.30301586407992,96296.47461134128,4378455.674759883,45.431151537642506
33-34,0.00170818906551787,96217.32310340925,164.3573792386436,96135.14441378992,4282159.200148542,44.50507519884238
34-35,0.0017923695741017944,96052.9657241706,172.16241326624592,95966.88451753747,4186024.0557347527,43.58037280967982
35-36,0.0018946873998672243,95880.80331090436,181.66414992231813,95789.9712359432,4090057.1712172152,42.65772740717182
36-37,0.002014755765420308,95699.13916098204,192.81039237034892,95602.73396479686,3994267.199981272,41.73775474889323
37-38,0.0021523157899413885,95506.3287686117,205.55977944801643,95403.54887888768,3898664.4660164756,40.821006484941734
38-39,0.0023072944752689528,95300.76898916368,219.8869377775801,95190.8255202749,3803260.917137588,39.90797721233544
39-40,0.002479834167235323,95080.8820513861,235.78481996189902,94962.98964140515,3708070.091617313,38.99911329822646
40-41,0.0026703030853548995,94845.0972314242,253.26515576785746,94718.46465354027,3613107.101975908,38.094822056640886
41-42,0.0028792944335907606,94591.83207565633,272.35773555858924,94455.65320787704,3518388.6373223676,37.19548041429512
42-43,0.0031076195887549153,94319.47434009775,293.10904606035433,94172.91981706757,3423932.9841144904,36.30144260313042
43-44,0.0033562991415920893,94026.36529403739,315.58060912340187,93868.57498947569,3329760.0642974228,35.41304669051774
44-45,0.0036265542139508433,93710.78468491399,339.847241091715,93540.86106436813,3235891.489307947,34.53061993011863
45-46,0.003919799481687119,93370.93744382227,365.99535219693496,93187.9397677238,3142350.628243579,33.654483014419895
46-47,0.0042376386441356564,93004.94209162534,394.1213367030705,92807.88142327381,3049162.688475855,32.78495335733796
47-48,0.00458186263148901,92610.82075492227,424.3300588885052,92398.65572547802,2956354.8070525816,31.922347550250503
48-49,0.0049544505682656385,92186.49069603377,456.7334112153795,91958.12399042607,2863956.1513271034,31.066983130645653
49-50,0.005357573360861899,91729.75728481839,491.44890402747075,91484.03283280466,2771998.0273366775,30.219179788404972
50-51,0.005793599708190098,91238.30838079093,528.5982368107085,90974.00926238557,2680513.994503873,29.37926011644711
51-52,0.006265104315784238,90709.71014398022,568.3057965065877,90425.55724572693,2589539.985241487,28.547549993613746
52-53,0.006774878103878598,90141.40434747364,610.6970265665663,89836.05583419035,2499114.42799576,27.724378670230934
53-54,0.007325940224350243,89530.70732090707,655.8966100767618,89202.75901586868,2409278.3721615695,26.910078611642543
54-55,0.007921551730828225,88874.81071083031,704.0264106134086,88522.7975055236,2320075.6131457007,26.10498514246597
55-56,0.008565230775142603,88170.7843002169,755.203115156678,87793.18274263856,2231552.815640177,25.309435924283683
56-57,0.009260769228492999,87415.58118506022,809.5355243294373,87010.8134228955,2143759.6328975386,24.523770291696216
57-58,0.010012250645692989,86606.04566073079,867.1214365875683,86172.484942437,2056748.819474643,23.74832846579464
58-59,0.010824069504951838,85738.92422414322,928.044075081925,85274.90218660227,1970576.3345322062,22.983450659826588
59-60,0.011700951663754518,84810.8801490613,992.3680091846438,84314.69614446898,1885301.4323456038,22.229476088823148
60-61,0.012647975973590906,83818.51213987665,1060.1345276872976,83288.444876033,1800986.7362011347,21.486741892956072
61-62,0.013670596992730634,82758.37761218935,1131.3564281084618,82192.69939813511,1717698.2913251016,20.755581983184076
62-63,0.01477466872707092,81627.02118408088,1206.0121971723952,81024.01508549468,1635505.5919269666,20.03632581714163
63-64,0.01596646931435285,80421.00898690848,1284.0395722187689,79778.98920079909,1554481.576841472,19.329297113078024
64-65,0.017252726546691927,79136.96941468971,1365.3284930455643,78454.30516816693,1474702.587640673,18.63481250985248
65-66,0.018640644100241938,77771.64092164414,1449.7134795121804,77046.78418188806,1396248.282472506,17.953180181439695
66-67,0.02013792830865165,76321.92744213196,1536.9655032077662,75553.44469052808,1319201.498290618,17.2846984150243
67-68,0.021752815278437303,74784.96193892419,1626.7834626623821,73971.57020759299,1243648.0536000899,16.62965416250074
68-69,0.023494098099085533,73158.1784762618,1718.7854218717025,72298.78576532596,1169676.4833924968,15.988321575994824
69-70,0.025371153848178264,71439.39305439011,1812.4998320034092,70533.1431383884,1097377.697627171,15.360960538840057
70-71,0.027393970031656487,69626.8932223867,1907.3570263314075,68673.21470922099,1026844.5544887825,14.747815204235303
71-72,0.02957317003110508,67719.5361960553,2002.6813583535181,66718.19551687854,958171.3397795615,14.149112554544866
72-73,0.03192003705331051,65716.85483770179,2097.684441446469,64668.01261697855,891453.144262683,13.565060994843227
73-74,0.03444653599212191,63619.170396255315,2191.4600428435456,62523.44037483354,826785.1316457044,12.99584899482389
74-75,0.0371653325188202,61427.71035341177,2282.9812811543225,60286.21971283461,764261.6912708709,12.441643793555832
75-76,0.04008980861503507,59144.72907225745,2371.1008690949016,57959.17863771,703975.4715580363,11.902590181755427
76-77,0.043234073652365736,56773.628203162545,2454.555223247558,55546.350591538765,646016.2929203262,11.378809376222678
77-78,0.04661297000633441,54319.072979914985,2531.973319584667,53053.08632012265,590469.9423287874,10.870398000848054
78-79,0.05024207207079624,51787.09966033032,2601.8911934718235,50486.15406359441,537416.8560086647,10.377427188113682
79-80,0.05413767741480156,49185.208466858494,2662.7729495585518,47853.82199207922,486930.7019450703,9.899941814278764
80-81,0.05831678870036866,46522.43551729994,2713.039041888907,45165.91599635549,439076.8799529911,9.43795988044768
81-82,0.0627970848608693,43809.396475411035,2751.1023881698547,42433.84528132611,393910.9639566356,8.991472050470419
82-83,0.06759687993108465,41058.29408724118,2775.4125755904047,39670.58779944597,351477.1186753095,8.560441355125143
83-84,0.07273506782802949,38282.881511650776,2784.5079834023354,36890.62751994961,311806.53087586357,8.1448030702958
84-85,0.07823105131431592,35498.37352824844,2777.0750810631575,34109.83598771686,274915.90335591394,7.7444647749042606
85-86,0.08410465334247987,32721.298447185283,2752.013462816343,31345.29171577711,240806.06736819708,7.359306592214755
86-87,0.09037600899007442,29969.28498436894,2708.5043691734295,28615.032799782224,209460.77565241998,6.989181615833287
87-88,0.09706543626347292,27260.780615195512,2646.079563296778,25937.740833547123,180845.74285263775,6.633916519317572
88-89,0.10419328418630655,24614.701051898734,2564.6865418614634,23332.357780968003,154908.00201909064,6.29331234584063
89-90,0.11177975680998972,22050.01451003727,2464.7452595887107,20817.641880242914,131575.64423812262,5.967145471864828
90-91,0.11984471210265385,19585.269250448557,2347.1909547729665,18411.673773062073,110758.00235787971,5.655168736337033
91-92,0.128407435101976,17238.07829567559,2213.497420034744,16131.329585658217,92346.32858481765,5.35711272456536
92-93,0.13748638526807067,15024.580875640846,2065.6753147596437,13991.743218261025,76214.99899915943,5.072687193739015
93-94,0.1470989186527926,12958.905560881201,1906.2409949292853,12005.785063416559,62223.25578089841,4.8015826250582885
94-95,0.1572609863149264,11052.664565951916,1738.1529310496364,10183.588100427098,50217.470717481854,4.543471885700609
95-96,0.1679868113538025,9314.51163490228,1564.7151088651276,8532.154080469716,40033.882617054755,4.298011982404353
96-97,0.1792885479958581,7749.796526037151,1389.4497664165463,7055.071642828878,31501.72853658504,4.064845887340143
97-98,0.19117592732868532,6360.346759620605,1215.945189902468,5752.374164669371,24446.65689375616,3.843604416186643
98-99,0.20365589550305016,5144.401569718137,1047.687708508244,4620.557715464015,18694.28272908679,3.63390813795103
99-100,0.21673225147091996,4096.7138612098925,887.8900187721459,3652.7688518238197,14073.725013622774,3.4353692960792594
100-101,0.23040529253995978,3208.8238424377464,739.3299961260668,2839.158844374713,10420.956161798955,3.2475937207827976
101-102,0.24467147713386933,2469.4938463116796,604.2147071500791,2167.38649273664,7581.797317424242,3.0701827132503525
102-103,0.25952311507540193,1865.2791391616004,484.08305268038265,1623.2376128214091,5414.410824687602,2.902734883488406
103-104,0.2749480963709267,1381.1960864812177,379.75723469298464,1191.3174691347253,3791.173211866193,2.7448479249059528
104-105,0.29092966978688345,1001.438851788233,291.34827446250637,855.7647145569798,2599.8557427314677,2.596120310380409
105-106,0.3074462823895987,710.0905773257267,218.31470815867854,600.9332232463875,1744.0910281744877,2.4561528963571266
106-107,0.32447149060364855,491.77586916704814,159.56724931153695,411.99224451127964,1143.1578049281002,2.3245504234771395
107-108,0.34197395218386645,332.2086198555112,113.60669468153685,275.40527251474276,731.1655604168205,2.2009229042125074
108-109,0.3599175067742655,218.60192517397434,78.67865988467139,179.26259523163864,455.7602879020778,2.0848868898998076
109-110,0.37826135046075104,139.92326528930295,52.927563289209665,113.45948364469811,276.49769267043916,1.976066611215492
