x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00585247997690356,100000.0,585.247997690356,99707.37600115483,7814575.0647,78.145750647
1-2,0.0008286334455387823,99414.75200230964,82.37838848905739,99373.56280806512,7714867.688698845,77.60284598929151
2-3,0.0004549303956191898,99332.37361382059,45.18931602592857,99309.77895580762,7615494.12589078,76.66678897151814
3-4,0.00031268108661345256,99287.18429779465,31.045224673024556,99271.66168545814,7516184.346934972,75.70145532973807
4-5,0.00024292172189485626,99256.13907312162,24.111472212278027,99244.08333701549,7416912.685249514,74.72497675721098
5-6,0.00020920441819992144,99232.02760090935,20.759778601046786,99221.64771160882,7317668.6019124985,73.74301199752408
6-7,0.00019248516780048442,99211.2678223083,19.096697534475815,99201.71947354107,7218446.95420089,72.75833796549644
7-8,0.00018099150411834806,99192.17112477383,17.952940248637386,99183.1946546495,7119245.234727349,71.77224930153056
8-9,0.00016741020129633718,99174.21818452519,16.602775829678226,99165.91679661036,7020062.0400727,70.78515130828717
9-10,0.0001514615460399786,99157.6154086955,15.018565731438626,99150.10612582979,6920896.123276089,69.79691972976964
10-11,0.00014018262977960591,99142.59684296406,13.898069948625958,99135.64780798975,6821746.01715026,68.80741713832145
11-12,0.00014772443042861052,99128.69877301544,14.643730565373007,99121.37690773275,6722610.369342269,67.81699399419819
12-13,0.00019249519545297555,99114.05504245007,19.078979397533402,99104.5155527513,6623488.992434537,66.82693982803679
13-14,0.0002865106924006203,99094.97606305254,28.39177020524808,99080.78017794991,6524384.476881785,65.83970990346094
14-15,0.00041903778480766735,99066.5842928473,41.51264203053678,99045.82797183203,6425303.696703835,64.85843579415454
15-16,0.0005703040877343611,99025.07165081677,56.474403150648804,98996.83444924145,6326257.8687320035,63.88541571613015
16-17,0.0007151574460497108,98968.59724766613,70.77812924676336,98933.20818304275,6227261.034282762,62.92158530548045
17-18,0.0008393291057795495,98897.81911841936,83.00781808421056,98856.31520937725,6128327.826099719,61.966258515384595
18-19,0.0009283431678325385,98814.81130033515,91.73405495132765,98768.94427285949,6029471.510890341,61.017892272895445
19-20,0.000985609284073837,98723.07724538381,97.30238148538886,98674.42605464112,5930702.566617481,60.07412584877458
20-21,0.0010344945985330347,98625.77486389842,102.02783137283807,98574.760948212,5832028.140562841,59.13290058923159
21-22,0.0010813388170653356,98523.74703252559,106.53755206899558,98470.47825649109,5733453.379614629,58.193618820870135
22-23,0.0011040261942146248,98417.20948045659,108.65517722793197,98362.88189184263,5634982.901358138,57.256072704206446
23-24,0.0011052969744660699,98308.55430322865,108.66014763549197,98254.2242294109,5536620.019466295,56.318802150104055
24-25,0.0010985342349982023,98199.89415559315,107.87594560311896,98145.95618279159,5438365.795236884,55.38056677148803
25-26,0.0010939087980852006,98092.01820999003,107.3037217418418,98038.36634911911,5340219.839054092,54.440921254388314
26-27,0.0010830846034646686,97984.71448824818,106.12573563710305,97931.65162042963,5242181.472704973,53.49999232108489
27-28,0.001078596501963164,97878.58875261107,105.57150344565738,97825.80300088825,5144249.821084543,52.55745803698372
28-29,0.001083578109895072,97773.01724916542,105.94470122958894,97720.04489855062,5046424.018083655,51.613667656622624
29-30,0.0010995524611932081,97667.07254793584,107.39006999761847,97613.37751293703,4948703.973185104,50.66911338779237
30-31,0.001127351899497882,97559.68247793822,109.98409335591388,97504.69043126026,4851090.595672167,49.7243376819023
31-32,0.001167001556430143,97449.6983845823,113.72394968845553,97392.83640973807,4753585.905240906,48.77989346340532
32-33,0.0012183802491510737,97335.97443489384,118.5922287833485,97276.67832050216,4656193.068831168,47.83630200307499
33-34,0.0012812483422137498,97217.38220611049,124.55960978593956,97155.10240121752,4558916.390510666,46.89404597261539
34-35,0.0013558926307553549,97092.82259632455,131.64744265759347,97026.99887499576,4461761.288109449,45.953564525153155
35-36,0.001442627778297241,96961.17515366696,139.87888469302422,96891.23571132045,4364734.289234453,45.015278355662375
36-37,0.0015419301354520657,96821.29626897394,149.29167447066357,96746.6504317386,4267843.053523133,44.07959011070118
