x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005534452342829698,100000.0,553.4452342829699,99723.27738285852,8164489.6017,81.64489601700001
1-2,0.0005313988817718285,99446.55476571702,52.845787998562926,99420.13187171775,8064766.324317142,81.09648789057267
2-3,0.00030262792897721804,99393.70897771846,30.07931230129126,99378.66932156781,7965346.192445424,80.13933954543393
3-4,0.0002453334439948674,99363.62966541717,24.377221473647367,99351.44105468036,7865967.523123857,79.16344792969608
4-5,0.00020321427063823321,99339.25244394352,20.187153731143308,99329.15886707795,7766616.082069176,78.18275144008987
5-6,0.00017670428876687304,99319.06529021238,17.550104793097606,99310.29023781583,7667286.923202098,77.19854089240697
6-7,0.00015963519406332122,99301.51518541928,15.852016647406247,99293.58917709558,7567976.632964282,76.21209624881443
7-8,0.0001463241366509396,99285.66316877188,14.527888944986536,99278.39922429938,7468683.043787187,75.22418449370137
8-9,0.00013258144483410667,99271.13527982689,13.161510545721509,99264.55452455403,7369404.644562888,74.23512004561955
9-10,0.00011812698131979847,99257.97376928118,11.725044813284924,99252.11124687453,7270140.090038334,73.24489725064619
10-11,0.00010697566361807096,99246.24872446789,10.616933318904081,99240.94025780844,7170887.978791459,72.25349140096586
11-12,0.00010712941127603092,99235.63179114899,10.631054811390769,99230.3162637433,7071647.038533651,71.26116809954532
12-13,0.00012855084372201975,99225.00073633759,12.755457562974229,99218.6230075561,6972416.722269908,70.2687495140175
13-14,0.0001767110871418288,99212.24527877462,17.531903720994034,99203.47932691412,6873198.099262351,69.27771949873205
14-15,0.0002431994373120022,99194.71337505362,24.12409847713838,99182.65132581505,6773994.619935437,68.28987543240407
15-16,0.00032223738998767997,99170.58927657647,31.956471852024205,99154.61104065046,6674811.968609622,67.30636590243772
16-17,0.0003950304019504397,99138.63280472445,39.16277396566735,99119.05141774162,6575657.357568971,66.32790035062506
17-18,0.00044362401527057543,99099.47003075878,43.962904806231265,99077.48857835567,6476538.306151229,65.35391464899885
18-19,0.00045623275340073193,99055.50712595254,45.19236675557915,99032.91094257476,6377460.817572873,64.38269817208354
19-20,0.00044252050475015087,99010.31475919696,43.814094462711154,98988.4077119656,6278427.906630298,63.41185685451123
20-21,0.0004218366902116763,98966.50066473425,41.74770108224316,98945.62681419314,6179439.498918332,62.43970896629182
21-22,0.00040978090380259954,98924.752963652,40.53747467789421,98904.48422631306,6080493.872104139,61.46584843470167
22-23,0.00040587416851479595,98884.2154889741,40.134548740825274,98864.14821460369,5981589.387877826,60.49084131678014
23-24,0.0004159043400811575,98844.08094023328,41.10968225437624,98823.5260991061,5882725.239663222,59.51519993615248
24-25,0.0004367313195786697,98802.9712579789,43.1503520157905,98781.396081971,5783901.713564116,58.53975482642211
