x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0069196978396884315,100000.0,691.9697839688431,99654.01510801558,7550716.1726,75.507161726
1-2,0.0005711681769587091,99308.03021603115,56.721586575850914,99279.66942274323,7451062.157491985,75.02980515556708
2-3,0.0003814333061292638,99251.3086294553,37.85775478818907,99232.37975206121,7351782.488069242,74.0723985364906
3-4,0.00029977866647414,99213.45087466712,29.742075999505307,99198.57983666737,7252550.108317181,73.10047220793754
4-5,0.00024953618694695403,99183.70879866762,24.749924500876574,99171.33383641718,7153351.528480513,72.1222428070426
5-6,0.00022511774851953034,99158.95887416674,22.32244156729312,99147.7976533831,7054180.194644095,71.14011960932233
6-7,0.00021284082536078878,99136.63643259945,21.10032352180691,99126.08627083855,6955032.396990713,70.15602553471004
7-8,0.00020072279250100866,99115.53610907764,19.894747188048623,99105.58873548362,6855906.310719874,69.17085433685068
8-9,0.00018026322743157165,99095.64136188959,17.863300136295763,99086.70971182144,6756800.72198439,68.18464090977602
9-10,0.00015283146092053592,99077.7780617533,15.14220156593838,99070.20696097033,6657714.012272568,67.19684416139148
10-11,0.0001306897227374398,99062.63586018737,12.946468414207848,99056.16262598026,6558643.805311598,66.20703909563015
11-12,0.00013623680579112526,99049.68939177315,13.494213297338279,99042.94228512447,6459587.642685617,65.21562745276147
12-13,0.00019673468944361228,99036.19517847581,19.48385510211441,99026.45325092475,6360544.700400493,64.22444530444635
13-14,0.00032764020939710347,99016.7113233737,32.44185603180271,99000.4903953578,6261518.247149568,63.23698458031382
14-15,0.0005089190179141928,98984.2694673419,50.37497720627346,98959.08197873876,6162517.75675421,62.25754647598246
15-16,0.000709332556455502,98933.89449013563,70.17703229878681,98898.80597398624,6063558.674775472,61.2889920691442
16-17,0.000897914135781235,98863.71745783684,88.77112942127376,98819.3318931262,5964659.868801486,60.33214228814812
17-18,0.0010644431731276934,98774.94632841556,105.14031729533627,98722.3761697679,5865840.536908359,59.385914697489184
18-19,0.001193356259796554,98669.80601112022,117.74823065628198,98610.93189579208,5767118.160738591,58.44866219853142
19-20,0.0012898785344198976,98552.05778046393,127.12018385392989,98488.49768853697,5668507.228842799,57.51789822055316
20-21,0.0013852910687001832,98424.93759661,136.34718698995673,98356.76400311502,5570018.731154262,56.59153937168569
21-22,0.0014768196350586822,98288.59040962005,145.15452021916738,98216.01314951047,5471661.967151147,55.66935027095073
22-23,0.0015290214204760585,98143.43588940089,150.06341575401274,98068.40418152389,5373445.954001637,54.75094595278937
23-24,0.0015329738784884538,97993.37247364687,150.22128026709012,97918.26183351333,5275377.549820113,53.83402383910001
24-25,0.0015035000479447246,97843.15119337979,147.10718251030946,97769.59760212463,5177459.2879866,52.91590903234231
25-26,0.0014602783170875927,97696.04401086947,142.66341473430788,97624.71230350233,5079689.6903844755,51.9948350193107
26-27,0.0014314004982676027,97553.38059613516,139.63795759299697,97483.56161733867,4982064.978080973,51.07014177915994
27-28,0.0014181084255546375,97413.74263854216,138.14324920052766,97344.67101394189,4884581.416463634,50.14263166736219
28-29,0.0014282621907470057,97275.59938934163,138.93506069004917,97206.13185899661,4787236.745449692,49.213130276267655
29-30,0.0014556205581388337,97136.66432865158,141.39412554581634,97065.96726587867,4690030.613590695,48.28280491208217
30-31,0.001490937473453403,96995.27020310576,144.61388309354862,96922.96326155898,4592964.646324816,47.35245993652329
31-32,0.001530739355832524,96850.6563200122,148.25311126725265,96776.52976437857,4496041.6830632575,46.42241832835409
32-33,0.0015801608726785565,96702.40320874495,152.80535384444406,96626.00053182272,4399265.153298879,45.49282135008044
33-34,0.001639961440197504,96549.5978549005,158.33761754861246,96470.42904612618,4302639.152767057,44.56402976668298
34-35,0.0017140932385917408,96391.26023735187,165.22360743218178,96308.64843363578,4206168.7237209305,43.63641178011104
35-36,0.0018038665279441514,96226.03662991969,173.57892659343997,96139.24716662297,4109860.0752872946,42.71047856926293
36-37,0.001914756015417787,96052.45770332625,183.91702118310647,95960.4991927347,4013720.8281206717,41.786758237021964
37-38,0.002049492139042804,95868.54068214314,196.48182050955762,95770.29977188836,3917760.328927937,40.86596396535819
38-39,0.002205601540785033,95672.05886163359,211.0144404352954,95566.55164141594,3821990.029156049,39.948863593325925
39-40,0.0023766173634613926,95461.0444211983,226.87437570557918,95347.60723334551,3726423.477514633,39.03606439787846
40-41,0.0025582124217929077,95234.17004549272,243.6292367895175,95112.35542709797,3631075.8702812875,38.12786805982293
41-42,0.002766858084816638,94990.5408087032,262.82534581766527,94859.12813579437,3535963.5148541895,37.22437502461528
42-43,0.0029939346187623835,94727.71546288554,283.60858668060575,94585.91116954523,3441104.386718395,36.326268082192115
43-44,0.003240604248890124,94444.10687620493,306.05597402566264,94291.0788891921,3346518.47554885,35.433851684736524
44-45,0.0035082260975646297,94138.05090217927,330.2575669488928,93972.92211870482,3252227.396659658,34.547426524043
45-46,0.0037983439744279104,93807.79333523038,356.314266569251,93629.63620194576,3158254.474540953,33.66729311342666
46-47,0.004112679891373931,93451.47906866112,384.33601878483444,93259.3110592687,3064624.8383390075,32.79375424424638
47-48,0.004453132458370527,93067.1430498763,414.44031552321707,92859.92289211469,2971365.527279739,31.92711659460023
48-49,0.004821779325732452,92652.70273435308,446.7508865177383,92429.3272910942,2878505.604387624,31.067691707177296
49-50,0.005220882941014956,92205.95184783534,481.39648106241,91965.25360730414,2786076.27709653,30.215796499713015
