x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.012372601187663857,100000.0,1237.2601187663856,99381.3699406168,7357784.6886,73.577846886
1-2,0.001302664683772771,98762.73988123362,128.65473331591963,98698.41251457566,7258403.318659383,73.49333693443418
2-3,0.0007367593104960172,98634.08514791769,72.66958056498528,98597.7503576352,7159704.906144807,72.58854680314292
3-4,0.0005555028186712009,98561.41556735271,54.75114415988801,98534.03999527277,7061107.155787172,71.64169787072416
4-5,0.0004081615514923094,98506.66442319282,40.206632983302654,98486.56110670118,6962573.115791899,70.68123924976392
5-6,0.0002973502583502378,98466.45779020952,29.279026662751583,98451.81827687814,6864086.554685198,69.70989622993923
6-7,0.00022012373576954817,98437.17876354676,21.668359528046746,98426.34458378275,6765634.736408319,68.73048193162732
7-8,0.0001726590764911634,98415.51040401871,16.992331138764353,98407.01423844934,6667208.391824537,67.74550438700247
8-9,0.00015137082966331993,98398.51807287995,14.894665318333018,98391.07074022078,6568801.377586087,66.75711693870056
9-10,0.00015290891858502762,98383.62340756161,15.043733461726855,98376.10154083074,6470410.306845866,65.76714785185032
10-11,0.0001740499956487501,98368.57967409988,17.12105086425081,98360.01914866775,6372034.205305035,64.777129307101
11-12,0.00021114705385240153,98351.45862323562,20.766620730382574,98341.07531287044,6273674.186156368,63.78831868868904
12-13,0.0002595821735092612,98330.69200250524,25.52489475268004,98317.9295551289,6175333.110843497,62.8016846529074
13-14,0.00031440842454539555,98305.16710775255,30.907972715020318,98289.71312139505,6077015.181288368,61.8178612587814
14-15,0.00037295804258219293,98274.25913503753,36.65217532321879,98255.93304737592,5978725.468166973,60.83714617427617
15-16,0.00044014323290362135,98237.6069597143,43.23861791996395,98215.98765075432,5880469.535119598,59.85965779409799
16-17,0.0005116265691662398,98194.36834179434,50.23884778615827,98169.24891790126,5782253.547468844,58.88579605036016
17-18,0.0005767221602437783,98144.12949400819,56.60189437702952,98115.82854681967,5684084.298550943,57.915683065872656
18-19,0.0006328987331130114,98087.52759963115,62.079471951994094,98056.48786365516,5585968.470004124,56.94881507060362
19-20,0.0006849962601767819,98025.44812767916,67.14706536961336,97991.87459499435,5487911.982140468,55.98456407965007
20-21,0.0007368766121200231,97958.30106230955,72.18318101582791,97922.20947180163,5389920.107545475,55.02259685084822
21-22,0.0007962518141119032,97886.11788129371,77.94199893935173,97847.14688182404,5291997.898073673,54.06280290420004
22-23,0.0008699758356029786,97808.17588235436,85.09074954205434,97765.63050758334,5194150.751191849,53.105486369968474
23-24,0.0009638271511890602,97723.08513281231,94.18816274896449,97675.99105143783,5096385.120684265,52.15129172147944
24-25,0.0010738445281923078,97628.89697006335,104.8382568047531,97576.47784166096,4998709.129632827,51.20112266725309
25-26,0.0012029923283425113,97524.0587132586,117.32069446087473,97465.39836602815,4901132.651791166,50.25562631885056
26-27,0.0013260187206621304,97406.73801879773,129.16315813155745,97342.15643973195,4803667.253425137,49.31555404820267
27-28,0.0014180427654888984,97277.57486066617,137.94376127547238,97208.60298002843,4706325.096985405,48.380370334338906
