x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0093482657581734,100000.0,934.8265758173401,99532.58671209133,7204813.9311,72.048139311
1-2,0.0015975968826042162,99065.17342418266,158.26621223712027,98986.0403180641,7105281.3443879085,71.7233019313874
2-3,0.0006452865673823395,98906.90721194554,63.82329864519989,98874.99556262293,7006295.304069844,70.8372701317634
3-4,0.0004743194146139697,98843.08391330033,46.8831937003961,98819.64231645013,6907420.308507221,69.88268713434748
4-5,0.0003670501544217378,98796.20071959993,36.26316073041016,98778.06913923472,6808600.66619077,68.91561230694197
5-6,0.0003074624110248306,98759.93755886953,30.364968514511748,98744.75507461227,6709822.597051536,67.94073348873775
6-7,0.00027469123297698956,98729.57259035502,27.120148026135812,98716.01251634196,6611077.841976924,66.96147535660218
7-8,0.0002513398506283043,98702.45244232888,24.80785965350225,98690.04851250214,6512361.829460582,65.97973675746007
8-9,0.0002246001685394242,98677.64458267538,22.16301560434229,98666.56307487321,6413671.780948079,64.99619856222343
9-10,0.00019487501532509659,98655.48156707104,19.22548848228775,98645.8688228299,6315005.217873206,64.0106876735475
10-11,0.00017626681892466943,98636.25607858875,17.386299089611928,98627.56292904394,6216359.349050377,63.023066732150426
11-12,0.00019470402674066396,98618.86977949913,19.201491058681658,98609.26903396979,6117731.786121333,62.03408941716635
12-13,0.0002805183647517744,98599.66828844044,27.659017713340702,98585.83877958378,6019122.517087364,61.046072685348264
13-14,0.0004478094742025097,98572.0092707271,44.14147964260921,98549.9385309058,5920536.67830778,60.06306173639092
14-15,0.000668095297841756,98527.86779108449,65.82600517759775,98494.95478849568,5821986.739776874,59.08974658947902
15-16,0.000907470584063293,98462.04178590688,89.35140656752128,98417.36608262312,5723491.784988378,58.12891629277178
16-17,0.0011257077811717062,98372.69037933936,110.73890301481735,98317.32092783196,5625074.4189057555,57.181260339781836
17-18,0.0013085582619238724,98261.95147632454,128.5814884371071,98197.66073210599,5526757.097977923,56.24513878405471
18-19,0.0014428278758770083,98133.36998788743,141.58956177227617,98062.5752070013,5428559.437245817,55.3181801248226
19-20,0.0015405348091275376,97991.78042611516,150.9597487548129,97916.30055173776,5330496.862038815,54.397387605973314
20-21,0.001645074501173695,97840.82067736035,160.9554392702335,97760.34295772522,5232580.561487078,53.48054651689833
21-22,0.0017619124086869083,97679.86523809012,172.10336664185596,97593.81355476919,5134820.218529353,52.56784707896011
22-23,0.0018331844811836887,97507.76187144827,178.74971585769356,97418.38701351942,5037226.404974584,51.65974798617092
23-24,0.0018598814406139096,97329.01215559058,181.02042334146853,97238.50194391985,4939808.017961064,50.75370548366674
24-25,0.0018713840682715323,97147.99173224911,181.80120399230552,97057.09113025296,4842569.516017145,49.84734557729012
25-26,0.0018896585100414479,96966.1905282568,183.2329871180209,96874.5740346978,4745512.424886892,48.9398665559003
26-27,0.0018697345155012626,96782.95754113878,180.95843622696037,96692.4783230253,4648637.850852194,48.031574658960324
27-28,0.0018476996779932884,96601.99910491181,178.4914826396535,96512.75336359198,4551945.372529169,47.12061256191665
28-29,0.0018300939468246264,96423.50762227215,176.4640776311185,96335.27558345659,4455432.619165577,46.206912909860264
29-30,0.0018222040721651148,96247.04354464104,175.38175468089804,96159.3526673006,4359097.343582121,45.29071421877282
30-31,0.00182806656786862,96071.66178996014,175.62539303780727,95983.84909344124,4262937.99091482,44.37248103644558
31-32,0.0018505980728913648,95896.03639692234,177.46502015406466,95807.3038868453,4166954.1418213784,43.45282973504744
32-33,0.0018917929595447921,95718.57137676828,181.07971942825588,95628.03151705414,4071146.837934533,42.532465532834266
33-34,0.0019529432207602215,95537.49165734003,186.57929666063842,95444.2020090097,3975518.806417479,41.612132969497374
34-35,0.0020348508104299735,95350.91236067939,194.02488129236582,95253.8999200332,3880074.6044084695,40.692579738843975
35-36,0.002138015372701409,95156.88747938702,203.44688824934767,95055.16403526235,3784820.704488436,39.774532403745425
36-37,0.002262789856076648,94953.44059113767,214.85968216920293,94846.01075005307,3689765.5404531737,38.8586818706341
37-38,0.0024095029505722693,94738.58090896846,228.27289023318917,94624.44446385186,3594919.5297031207,37.945676357104965
38-39,0.002578551135543925,94510.30801873528,243.69966206231598,94388.45818770412,3500295.085239269,37.036119748391755
39-40,0.002770465041748018,94266.60835667296,261.162343056314,94136.0271851448,3405906.627051565,36.130573555428725
40-41,0.0029859554370845,94005.44601361665,280.6960726399121,93865.09797729668,3311770.59986642,35.22956105528941
41-42,0.0032259439508741513,93724.74994097673,302.3507901192864,93573.57454591709,3217905.5018891236,34.33357255064007
42-43,0.003491583033198772,93422.39915085744,326.1920637958572,93259.3031189595,3124331.9273432065,33.44307099519111
43-44,0.00378426885902202,93096.20708706159,352.3010773726323,92920.05654837527,3031072.624224247,32.558497484109665
44-45,0.004105650089323411,92743.90600968896,380.77402599288155,92553.51899669252,2938152.567675872,31.680276301592503
45-46,0.004457634679873331,92363.13198369608,411.72110027224124,92157.27143355996,2845599.048679179,30.808819358588703
46-47,0.004842396320980617,91951.41088342383,445.2651737708686,91728.7782965384,2753441.777245619,29.944529951111218
47-48,0.005262381607036074,91506.14570965296,481.5402581132407,91265.37558059634,2661712.9989490807,29.08780583322391
48-49,0.005720318664615473,91024.60545153973,520.689749503702,90764.26057678787,2570447.6233684844,28.239041637340094
49-50,0.006219227695956047,90503.91570203603,562.8644591265738,90222.48347247274,2479683.3627916966,27.398630695223193
50-51,0.006762433701936399,89941.05124290945,608.2203961126395,89636.94104485313,2389460.879319224,26.56696632181735
51-52,0.007353581517047658,89332.83084679682,656.9162537805499,89004.37271990655,2299823.938274371,25.744442625113958
52-53,0.007996653202183526,88675.91459301626,709.1105363867964,88321.35932482287,2210819.5655544642,24.931454901831696
53-54,0.008695987786058564,87966.80405662947,764.9582536550568,87584.32492980194,2122498.2062296416,24.12839967294098
54-55,0.009456303312061447,87201.8458029744,824.6071032845385,86789.54225133214,2034913.8812998396,23.335674406451954
55-56,0.010282721126148517,86377.23869968987,888.1930571956743,85933.14217109204,1948124.3390485074,22.553676968322698
56-57,0.011180792326772828,85489.0456424942,955.8352655427311,85011.12800972283,1862191.1968774153,21.782804836363415
57-58,0.01215652628518774,84533.21037695147,1027.6301939187156,84019.39527999211,1777180.0688676925,21.02345410688735
58-59,0.013216421130308945,83505.58018303275,1103.644914429742,82953.75772581788,1693160.6735877004,20.276018319692227
59-60,0.014367496074068158,82401.93526860302,1183.9094814672724,81809.98052786938,1610206.9158618825,19.54088712374462
60-61,0.015617325428833333,81218.02578713575,1268.4083394050765,80583.8216174332,1528396.935334013,18.8184448036177
61-62,0.016974074136384385,79949.61744773066,1357.0707337333508,79271.08208086398,1447813.11371658,18.109068685202015
62-63,0.018446534586732108,78592.54671399732,1449.7601312191105,77867.66664838776,1368542.031635716,17.413127438355158
63-64,0.020044164453502784,77142.78658277821,1546.2627006666744,76369.65523244487,1290674.3649873284,16.73097929386266
64-65,0.021777125209504006,75596.52388211153,1646.2749659840026,74773.38639911954,1214304.7097548835,16.062970192234268
65-66,0.023656320910305322,73950.24891612753,1749.3908197568712,73075.5535062491,1139531.323355764,15.40943188234824
66-67,0.025693436744119225,72200.85809637066,1855.088180370228,71273.31400618555,1066455.7698495148,14.770679988679007
67-68,0.027900976741933186,70345.76991600044,1962.7156903197115,69364.41207084058,995182.4558433293,14.14701206670525
68-69,0.030292299921832355,68383.05422568072,2071.479988175246,67347.3142315931,925818.0437724887,13.538705667007266
69-70,0.032881654005069025,66311.57423750548,2180.434240609104,65221.35711720093,858470.7295408957,12.946016429441801
70-71,0.03568420568832564,64131.13999689638,2288.4687906760582,62986.905601558356,793249.3724236947,12.369176229552194
71-72,0.03871606628686368,61842.67120622032,2394.304957776742,60645.51872733195,730262.4668221363,11.808391399960813
72-73,0.041994311377603115,59448.36624844358,2496.493203126931,58200.11964688011,669616.9480948043,11.263841049834328
73-74,0.04553699287122276,56951.87304531664,2593.4170368673676,55655.16452688296,611416.8284479242,10.735675505552196
74-75,0.04936314173081538,54358.45600844928,2683.3041682133744,53016.80392434259,555761.6639210413,10.224014895394669
75-76,0.05349275933557525,51675.1518402359,2764.2464610190473,50293.028609726374,502744.8599966987,9.728947900357126
76-77,0.05794679526725203,48910.90537921685,2834.2302203454146,47493.79026904414,452451.83138697234,9.250530692061725
77-78,0.0627471090825315,46076.67515887143,2891.1781623540755,44631.086077694395,404958.0411179282,8.788786077155985
78-79,0.06791641343636637,43185.49699651736,2933.004068470431,41718.994962282144,360326.95504023385,8.343702865554423
79-80,0.07347819575252587,40252.49292804693,2957.6805548941957,38773.65265059983,318607.9600779517,7.915235477402039
80-81,0.07945661551419037,37294.81237315274,2963.319567407467,35813.152589449004,279834.3074273519,7.503303800739726
81-82,0.08587637418830954,34331.49280574527,2948.2641226294377,32857.36074443055,244021.15483790287,7.107793308570219
82-83,0.0927625548247916,31383.228683115834,2911.1884712965048,29927.634447467583,211163.7940934723,6.728555440411979
83-84,0.10014042851030279,28472.04021181933,2851.20230737416,27046.43905813225,181236.15964600473,6.365408249555993
84-85,0.10803522513369569,25620.837904445172,2767.952991120658,24236.861408884844,154189.7205878725,6.018137313187593
85-86,0.11647186636415661,22852.884913324513,2661.7181576601834,21522.02583449442,129952.85917898765,5.686496898394559
86-87,0.12547465938207775,20191.16675566433,2533.4797711937135,18924.426870067473,108430.83334449324,5.3702113729546905
87-88,0.1350669507619448,17657.686984470616,2384.9699385013264,16465.202015219955,89506.40647442576,5.068976845786419
88-89,0.14527074100655446,15272.71704596929,2218.678922451394,14163.377584743592,73041.20445920581,4.782463018162346
89-90,0.15610626158446858,13054.038123517896,2037.81709004351,12035.12957849614,58877.82687446222,4.510315223332242
90-91,0.16759151792727223,11016.221033474385,1846.2252048223158,10093.108431063227,46842.69729596608,4.2521566291768975
91-92,0.17974180368290024,9169.995828652069,1648.2315900065942,8345.880033648771,36749.58886490285,4.00759057600409
92-93,0.1925691935584484,7521.7642386454745,1448.4600735727356,6797.534201859106,28403.70883125408,3.7762030196746825
93-94,0.2060820242586331,6073.304165072739,1251.5988162765775,5447.504756934451,21606.174629394973,3.557565048964775
94-95,0.22028437524589706,4821.705348796161,1062.1463503793625,4290.63217360648,16158.669872460523,3.3512354454622306
95-96,0.23517556319913033,3759.5589984167987,884.156404833029,3317.480796000284,11868.037698854043,3.156763254374206
96-97,0.2507496659886163,2875.40259358377,721.0062399239314,2514.899473621804,8550.55690285376,2.9736903353755193
97-98,0.26699509355311357,2154.3963536598385,575.2132559958953,1866.7897256618908,6035.657429231955,2.801553864022616
98-99,0.2838942240872837,1579.1830976639433,448.32096020305835,1355.022617562414,4168.867703570064,2.639888756241752
99-100,0.3014231242509418,1130.862137460885,340.867998570558,960.4281381756059,2813.84508600765,2.488229990903712
100-101,0.3195513715395458,789.994138890327,252.44371059060646,663.7722835950237,1853.4169478320441,2.3461148084408125
101-102,0.33824199538644173,537.5504282997206,181.82212948893385,446.6393635552536,1189.6446642370204,2.2130847667629676
102-103,0.3574515509338123,355.7282988107867,127.15563212096234,292.15048275030557,743.0053006817668,2.088687639318159
103-104,0.3771303357141668,228.5726666898244,86.20168652381582,185.47182342791646,450.85481793146124,1.9724791439882712
104-105,0.39722275481458796,142.37098016600856,56.55299294719499,114.09448369241107,265.38299450354475,1.8640244956809366
105-106,0.4176678346288096,85.81798721881358,35.843412893884725,67.89628077187122,151.28851081113368,1.7628997802685265
106-107,0.4383998793017359,49.97457432492886,21.908847352204443,39.020150648826636,83.39223003926246,1.66869315378368
107-108,0.459349257775023,28.065726972724416,12.891970853837403,21.619741545805713,44.37207939043582,1.581005880715603
108-109,0.48044330333913976,15.173756118887013,7.2901295138205615,11.528691361976733,22.75233784463011,1.499453244560186
