x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005774932582463247,100000.0,577.4932582463247,99711.25337087683,7958727.6423,79.587276423
1-2,0.0005320907744366996,99422.50674175368,52.9017986086577,99396.05584244935,7859016.388929124,79.04665298112661
2-3,0.00040560086676858317,99369.60494314502,40.30439789539131,99349.45274419733,7759620.333086675,78.0884691805547
3-4,0.00031175946029576417,99329.30054524963,30.96684912954278,99313.81712068486,7660270.880342478,77.119951900324
4-5,0.0002431334297826965,99298.33369612008,24.14274444324438,99286.26232389847,7560957.063221793,76.14384634449534
5-6,0.00019757089526976915,99274.19095167684,19.613690783504808,99264.38410628508,7461670.800897894,75.16224236498661
6-7,0.00016952209996083865,99254.57726089333,16.82584436799194,99246.16433870934,7362406.4167916095,74.17699636601469
7-8,0.0001541954626277382,99237.75141652534,15.302010989807608,99230.10041103043,7263160.2524529,73.18948836282699
8-9,0.0001475167945898287,99222.44940553553,14.636977687656056,99215.1309166917,7163930.152041869,72.20069848066258
9-10,0.00014812969188863047,99207.81242784788,14.695622687882151,99200.46461650394,7064715.021125178,71.21127709839608
10-11,0.00015750855335522384,99193.11680516,15.623764330776494,99185.3049229946,6965514.556508674,70.22175308989111
11-12,0.00017949370596326617,99177.49304082921,17.801735774044474,99168.5921729422,6866329.25158568,69.23273659235329
12-13,0.0002187202402669261,99159.69130505517,21.68823150703589,99148.84718930165,6767160.659412738,68.24507590079345
13-14,0.00027655187831717365,99138.00307354813,27.416800962603467,99124.29467306682,6668011.812223436,67.25989636160612
14-15,0.0003460108802705106,99110.58627258553,34.2933412003037,99093.43960198537,6568887.51755037,66.27836404361334
15-16,0.0004215120986602571,99076.29293138522,41.761856160986575,99055.41200330472,6469794.077948384,65.30113195120256
16-17,0.0004920611300046711,99034.53107522424,48.73104327035755,99010.16555358906,6370738.665945079,64.32845793055778
17-18,0.0005498964423857943,98985.80003195388,54.43193928428308,98958.58406231174,6271728.50039149,63.35988089571328
18-19,0.000590352186112464,98931.3680926696,58.40434942860437,98902.1659179553,6172769.916329178,62.39446633899885
19-20,0.000617474276431854,98872.963743241,61.05151174603067,98842.43798736799,6073867.750411223,61.43102745644595
20-21,0.0006464576948163399,98811.91223149496,63.877721001566734,98779.97337099418,5975025.312423855,60.468674044336495
21-22,0.0006766512170609921,98748.0345104934,66.8179777339062,98714.62552162644,5876245.339052861,59.507466332693696
22-23,0.0006908021484932536,98681.21653275948,68.16919639675824,98647.13193456111,5777530.713531234,58.54742084187066
23-24,0.0006836909189148644,98613.04733636272,67.42084495039285,98579.33691388753,5678883.5815966735,57.5875478447225
24-25,0.0006628884978676935,98545.62649141233,65.3247623163231,98512.96411025416,5580304.244682786,56.62660478564289
25-26,0.00063654328445317,98480.30172909601,62.68697471657798,98448.95824173772,5481791.280572532,55.66383514595728
26-27,0.0006236757314512201,98417.61475437944,61.380677869621984,98386.92441544462,5383342.322330794,54.69897168068934
27-28,0.0006328606675353997,98356.23407650982,62.245791953928034,98325.11118053285,5284955.397915349,53.732795359003504
28-29,0.0006678566416573914,98293.98828455589,65.64629291083448,98261.16513810048,5186630.286734817,52.76650563531715
29-30,0.0007207994744309923,98228.34199164505,70.80293728180553,98192.94052300414,5088369.121596716,51.80143549638163
30-31,0.0007832672946254034,98157.53905436324,76.88359006219848,98119.09725933213,4990176.181073712,50.838440217108236
31-32,0.0008456278886507096,98080.65546430105,82.93973759775457,98039.18559550217,4892057.08381438,49.87789957821977
32-33,0.0009039655467054772,97997.71572670329,88.58655867277727,97953.4224473669,4794017.898218878,48.919690246540725
33-34,0.0009567707351226285,97909.12916803051,93.67658948931295,97862.29087328586,4696064.475771511,47.96349958043422
34-35,0.0010111808621300175,97815.4525785412,98.90911366800714,97765.9980217072,4598202.184898225,47.008954758002936
35-36,0.0010695462410708473,97716.54346487319,104.51236175329119,97664.28728399654,4500436.186876518,46.05603132589641
36-37,0.0011422871861686275,97612.0311031199,111.50097234498737,97556.2806169474,4402771.899592522,45.10480777662867
37-38,0.0012346276122470268,97500.5301307749,120.37684670817791,97440.34170742081,4305215.618975574,44.155817544797976
38-39,0.001342066119896599,97380.15328406672,130.69060447288348,97314.80798183028,4207775.277268154,43.209782849629455
39-40,0.0014538206017501946,97249.46267959384,141.38327235273022,97178.77104341748,4110460.4692863235,42.26717923192016
40-41,0.001564325949021222,97108.07940724111,151.90868847636062,97032.12506300292,4013281.698242906,41.32798962496673
41-42,0.0016890058250523515,96956.17071876474,163.7595371187639,96874.29095020535,3916249.573179903,40.39195797593477
42-43,0.0018264511878810033,96792.41118164598,176.78661438058379,96704.01787445569,3819375.282229698,39.45944971927652
43-44,0.0019777890099738995,96615.62456726539,191.08532046090178,96520.08190703494,3722671.2643552423,38.53073745606703
44-45,0.002144247165350286,96424.53924680449,206.75804495016794,96321.1602243294,3626151.1824482074,37.606103288363684
