x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005684988097713506,100000.0,568.4988097713506,99715.75059511432,7627588.8836,76.27588883600001
1-2,0.0008383686250916605,99431.50119022865,83.3602509436518,99389.82106475682,7527873.133004886,75.70913687205466
2-3,0.00045640782482807995,99348.140939285,45.34326890681259,99325.4693048316,7428483.311940129,74.77224275872385
3-4,0.00037459095864492554,99302.79767037819,37.19793017547004,99284.19870529046,7329157.842635297,73.80615667006096
4-5,0.00028937319557605627,99265.59974020271,28.7248038075962,99251.23733829892,7229873.643930007,72.83362678361875
5-6,0.00023966541255457865,99236.87493639512,23.783646572258263,99224.98311310899,7130622.406591708,71.85456425509176
6-7,0.0002120492791162889,99213.09128982286,21.038064486905498,99202.5722575794,7031397.423478599,70.87166957572533
7-8,0.0001946462289623566,99192.05322533596,19.307359103345004,99182.39954578428,6932194.851221019,69.88659500245505
8-9,0.00017949104949815942,99172.74586623261,17.800620237144344,99163.84555611404,6833012.451675235,68.90010347088526
9-10,0.0001667214829622052,99154.94524599546,16.531259514448625,99146.67961623824,6733848.606119121,67.9123828812873
10-11,0.00016529923224852916,99138.41398648101,16.387503718302156,99130.22023462187,6634701.926502883,66.9236238478419
11-12,0.00018827164356709914,99122.02648276271,18.661866839611264,99112.69554934291,6535571.706268261,65.93460543711538
12-13,0.0002504799049584802,99103.3646159231,24.823401350062024,99090.95291524807,6436459.010718918,64.94692723767284
13-14,0.0003629517855175124,99078.54121457304,35.96073344029973,99060.56084785289,6337368.05780367,63.96307394230723
14-15,0.0005164957706070177,99042.58048113274,51.15507392851023,99017.00294416849,6238307.496955817,62.98611634158898
15-16,0.0006857701830876354,98991.42540720422,67.88536792560444,98957.48272324142,6139290.494011648,62.01840683430399
16-17,0.000842229819927682,98923.54003927863,83.31635531389047,98881.88186162167,6040333.011288406,61.06062327419772
17-18,0.000962962748949816,98840.22368396474,95.1794535055254,98792.63395721198,5941451.129426785,60.11167223198718
18-19,0.0010389007273754192,98745.04423045921,102.58629827574201,98693.75108132134,5842658.495469573,59.169131382770985
19-20,0.001081578736474781,98642.45793218348,106.68958501305775,98589.11313967695,5743964.744388252,58.230146174350374
20-21,0.0011162650528713297,98535.76834717042,109.99203466377128,98480.77232983854,5645375.631248575,57.29265347947823
21-22,0.0011473507170657495,98425.77631250666,112.92888502990758,98369.3118699917,5546894.858918736,56.356119979252924
22-23,0.0011566043221869294,98312.84742747675,113.70906426112374,98255.9928953462,5448525.547048744,55.42028015278474
23-24,0.0011353542237720789,98199.13836321562,111.49080651145565,98143.39295995989,5350269.554153398,54.48387473995956
24-25,0.0010907840596087414,98087.64755670416,106.9924423993732,98034.15133550447,5252126.161193438,53.54523522604821
25-26,0.001037023132449104,97980.65511430478,101.60820588605166,97929.85101136175,5154092.009857933,52.603159305733776
26-27,0.0010075253224936364,97879.04690841874,98.61561830177435,97829.73909926784,5056162.158846571,51.657247577997026
27-28,0.001018124148769623,97780.43129011696,99.55261837357693,97730.65498093018,4958332.419747303,50.7088417828288
28-29,0.0010733293437955593,97680.87867174338,104.84375340611598,97628.45679504033,4860601.764766373,49.760012715491904
29-30,0.0011585158495904635,97576.03491833726,113.04338299308623,97519.51322684072,4762973.307971332,48.812941742893436
30-31,0.001251757190037568,97462.99153534418,122.0000004169377,97401.9915351357,4665453.794744492,47.86897797050075
31-32,0.0013333724808821895,97340.99153492723,129.79179937445812,97276.09563524001,4568051.803209356,46.92834674454984
32-33,0.0013939775627155807,97211.19973555277,135.51023127602335,97143.44461991476,4470775.707574116,45.99033567877089
33-34,0.001437712006522616,97075.68950427674,139.5668843417602,97005.90606210586,4373632.262954202,45.05383670503332
34-35,0.001480202721082321,96936.12261993498,143.48511247319726,96864.38006369838,4276626.356892096,44.11798451708037
35-36,0.0015358118694027997,96792.63750746178,148.65528155476244,96718.3098666844,4179761.9768283977,43.18264368512717
36-37,0.0016185777511853957,96643.98222590702,156.42579941680995,96565.76932619861,4083043.666961713,42.24829702709814
37-38,0.0017342348873341357,96487.5564264902,167.33208654844032,96403.89038321598,3986477.897635515,41.31597944106548
38-39,0.0018766809706398662,96320.22433994176,180.76233210653157,96229.8431738885,3890074.0072522988,40.38688690677369
39-40,0.002032858531250599,96139.46200783523,195.43792553247067,96041.743045069,3793844.1640784102,39.461882611421494
40-41,0.0021939102395256847,95944.02408230276,210.49257685546291,95838.77779387502,3697802.4210333414,38.541247945377926
41-42,0.0023767188631034315,95733.53150544729,227.53169016050322,95619.76566036703,3601963.6432394665,37.62489053309929
42-43,0.002576362247487876,95505.99981528679,246.05805233268896,95382.97078912045,3506343.8775790995,36.71333617113624
43-44,0.0027933981183394137,95259.9417629541,266.0989420737581,95126.89229191722,3410960.906789979,35.806875835362696
44-45,0.0030293348957788468,94993.84282088034,287.76816294142367,94849.95873940963,3315834.014498062,34.90577826975979
45-46,0.0032861032462363844,94706.07465793891,311.21393937175844,94550.46768825303,3220984.0557586523,34.010321591220624
46-47,0.0035664812859199993,94394.86071856716,336.6575042397946,94226.53196644726,3126433.588070399,33.120803021169564
47-48,0.003873406299243719,94058.20321432737,364.32563682592144,93876.0403959144,3032207.0561039518,32.23756091953575
48-49,0.004210285305675633,93693.87757750145,394.477955996326,93496.63859950329,2938331.015708037,31.36097140688319
49-50,0.004579339721992788,93299.39962150513,427.2496467248373,93085.77479814271,2844834.377108534,30.491454271403597
50-51,0.004982520605919181,92872.14997478029,462.7374009653593,92640.78127429761,2751748.602310391,29.629427153970667
51-52,0.0054209966691716495,92409.41257381493,500.9511177627595,92158.93701493354,2659107.8210360934,28.77529189910224
52-53,0.005896486759388093,91908.46145605217,541.9370260513425,91637.4929430265,2566948.8840211597,27.92940762313377
53-54,0.006410533773648344,91366.52443000083,585.7081906393869,91073.67033468114,2475311.391078133,27.09210409962084
54-55,0.006966705925857663,90780.81623936145,632.4432504489549,90464.59461413696,2384237.720743452,26.26367353270917
55-56,0.007569385543691988,90148.3729889125,682.3677912896275,89807.18909326768,2293773.1261293152,25.444420682017526
56-57,0.008225359322587862,89466.00519762287,735.8900399069614,89098.0601776694,2203965.9370360477,24.634674725530356
57-58,0.008941736809507909,88730.1151577159,793.4013368176239,88333.41448930709,2114867.8768583783,23.834837508091198
58-59,0.00972686608636071,87936.71382089828,855.3486394105025,87509.03950119302,2026534.4623690713,23.045374045890973
59-60,0.01058599383396581,87081.36518148778,921.8427948645547,86620.4437840555,1939025.4228678783,22.26682389311102
60-61,0.011522424176908023,86159.52238662323,992.7665638184754,85663.13910471399,1852404.9790838228,21.499712716274523
61-62,0.01253826015899697,85166.75582280476,1067.842941404096,84632.83435210271,1766741.839979109,20.744500866687183
62-63,0.013638218330863854,84098.91288140065,1146.9593352648408,83525.43321376824,1682109.0056270063,20.00155469309309
63-64,0.014825716529145263,82951.95354613582,1229.8221488138358,82337.0424717289,1598583.572413238,19.27119861648762
64-65,0.016108482347873692,81722.13139732198,1316.4195110443754,81063.9216417998,1516246.529941509,18.553683121279875
65-66,0.017497946455699895,80405.71188627761,1406.9348413185182,79702.24446561835,1435182.6082997092,17.849261882409174
66-67,0.01904004447419682,78998.77704495909,1504.1402283431798,78246.7069307875,1355480.3638340908,17.158244906280913
67-68,0.020685249468527702,77494.63681661591,1602.9958950246514,76693.13886910358,1277233.6569033032,16.48157484660212
68-69,0.022468878689520865,75891.64092159126,1705.2000734159114,75039.0408848833,1200540.5180341997,15.819140335554987
69-70,0.024401003246081913,74186.44084817535,1810.2235839515904,73281.32905619955,1125501.4771493163,15.171255882900313
70-71,0.02649477330755045,72376.21726422376,1917.5914692736276,71417.42152958694,1052220.1480931167,14.538203126197907
71-72,0.028758698409289987,70458.62579495013,2026.2983695699907,69445.47661016513,980802.7265635298,13.920264772376887
72-73,0.031197503215486925,68432.32742538014,2134.917754896551,67364.86854793187,911357.2499533647,13.317642176457104
73-74,0.03381784956607927,66297.40967048358,2242.035826857143,65176.39175705501,843992.3814054328,12.730397546454798
74-75,0.03663459391955826,64055.37384362644,2346.6426091267485,62882.052539063065,778815.9896483778,12.158480122989253
75-76,0.039658730760844245,61708.73123449969,2447.289957622323,60485.086255688526,715933.9371093147,11.601825589132439
76-77,0.042920402926062105,59261.44127687737,2543.524937582745,57989.678808086,655448.8508536262,11.060292101086127
77-78,0.046456159161195935,56717.91633929462,2634.8965487496666,55400.46806491979,597459.1720455402,10.533870258411023
78-79,0.050297735127464924,54083.01979054495,2720.2534043182736,52722.89308838582,542058.7039806204,10.022715190089766
79-80,0.05445242706454704,51362.76638622668,2796.8272904793766,49964.35274098699,489335.81089223456,9.527053259020988
80-81,0.059364019275481766,48565.9390957473,2883.069344611816,47124.404423441396,439371.4581512476,9.046905430677059
81-82,0.06437790831902941,45682.869751135484,2940.9676005887623,44212.385950841104,392247.0537278062,8.586305016839635
82-83,0.0697838564073339,42741.902150546724,2982.6947622500684,41250.55476942169,348034.66777696507,8.142704237895348
83-84,0.07560707424548987,39759.20738829666,3006.077344948775,38256.16871582227,306784.1130075434,7.716052033216512
84-85,0.0818734609481968,36753.13004334788,3009.1059573280413,35248.577064683865,268527.9442917211,7.306260554543522
85-86,0.08860945087297843,33744.02408601984,2990.039444506776,32249.004363766453,233279.36722703723,6.913205331775618
