x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005558510532591326,100000.0,555.8510532591326,99722.07447337043,7316559.0094,73.165590094
1-2,0.0011297230790607092,99444.14894674087,112.34435014268387,99387.97677166952,7216836.934926629,72.57176024294539
2-3,0.000504864746308524,99331.80459659819,50.149126328029425,99306.73003343417,7117448.95815496,71.6532734612043
3-4,0.0004343176416534758,99281.65547027015,43.11977446330064,99260.0955830385,7018142.228121526,70.68921438586513
4-5,0.0003331958368656975,99238.53569580686,33.06586695049076,99222.00276233161,6918882.132538487,69.71971204559834
5-6,0.0002794502797414926,99205.46982885637,27.722996295560115,99191.6083307086,6819660.129776156,68.74278345277781
6-7,0.0002521436596753829,99177.7468325608,25.007040044720497,99165.24331253844,6720468.521445447,67.76185924844046
7-8,0.00023269824686637943,99152.73979251609,23.07266872171679,99141.20345815523,6621303.278132908,66.77882317713498
8-9,0.0002095095655565134,99129.66712379438,20.76861349286795,99119.28281704795,6522162.074674753,65.79424973282514
9-10,0.00018414590137886758,99108.89851030151,18.25049745084618,99099.77326157609,6423042.7918577045,64.80793236936323
10-11,0.00017259033556950136,99090.64801285067,17.102088192337238,99082.0969687545,6323943.018596129,63.81977659260036
11-12,0.00019647823329941918,99073.54592465833,19.46579526998574,99063.81302702334,6224860.921627374,62.83070686054928
12-13,0.000280156618989452,99054.08012938834,27.750656186159702,99040.20480129526,6125797.108600351,61.84295589438207
13-14,0.0004436873592042692,99026.32947320217,43.93673061565696,99004.36110789435,6026756.903799056,60.86014634552294
14-15,0.0006758857513771174,98982.39274258651,66.90078889192802,98948.94234814055,5927752.542691162,59.88693926713681
15-16,0.0009329796589057889,98915.49195369458,92.28614194345627,98869.34888272286,5828803.600343022,58.927105200787615
16-17,0.0011700854789511424,98823.20581175112,115.63159810373013,98765.39001269925,5729934.251460299,57.98166740689715
17-18,0.0013503515414867544,98707.57421364739,133.28992499581696,98640.92925114947,5631168.8614476,57.04900466157976
18-19,0.0014607045385173973,98574.28428865157,143.98790444153752,98502.2903364308,5532527.93219645,56.12546895086497
19-20,0.0015195400890436043,98430.29638421003,149.56878133225086,98355.5119935439,5434025.641860019,55.20684018514988
20-21,0.001561479889040873,98280.72760287779,153.46337963219787,98203.99591306169,5335670.129866475,54.290095932401705
21-22,0.001595227808749218,98127.26422324558,156.53534068540358,98048.99655290289,5237466.133953414,53.374219442599106
22-23,0.0016010962778384586,97970.72888256019,156.86056935098787,97892.2985978847,5139417.137400511,52.45870063456658
23-24,0.001566759424397732,97813.8683132092,153.2508000165192,97737.24291320094,5041524.838802626,51.54202492696833
24-25,0.0014992875124321347,97660.61751319267,146.42134429394082,97587.4068410457,4943787.595889426,50.62212099182749
25-26,0.001419131770199476,97514.19616889874,138.38549382874822,97445.00342198437,4846200.189048381,49.69738129876552
26-27,0.0013737457254279725,97375.81067506998,133.7696036749609,97308.9258732325,4748755.185626396,48.767298086712266
27-28,0.0013856718859195148,97242.04107139503,134.74556244206286,97174.668290174,4651446.259753164,47.833696295392194
28-29,0.001460187593397101,97107.29550895296,141.79486813051912,97036.3980748877,4554271.59146299,46.899376278511454
29-30,0.001576310571366671,96965.50064082244,152.84774371799014,96889.07676896345,4457235.193388103,45.9672271470912
30-31,0.001698885499453407,96812.65289710445,164.4736121705066,96730.41609101919,4360346.116619139,45.03901077117939
31-32,0.0017990849619633775,96648.17928493394,173.87828595266507,96561.2401419576,4263615.70052812,44.11480621852497
32-33,0.0018632898587625422,96474.30099898127,179.7595866826068,96384.42120563997,4167054.460386162,43.193414383278764
33-34,0.0019012261236796377,96294.54141229867,183.07769770081293,96203.00256344826,4070670.0391805223,42.27311309112916
34-35,0.0019358165362247121,96111.46371459786,186.05416077947993,96018.43663420812,3974467.036617074,41.35268450826239
35-36,0.0019926196986918727,95925.40955381839,191.1428606820241,95829.83812347738,3878448.599982866,40.43192119817727
36-37,0.0020885409554410915,95734.26669313636,199.9449368277353,95634.2942247225,3782618.7618593886,39.511649198547445
37-38,0.0022293508701308785,95534.32175630862,212.97952333478995,95427.83199464122,3686984.4676346662,38.593297150729974
38-39,0.002406959416864365,95321.34223297384,229.43460231580727,95206.62493181594,3591556.635640025,37.67841022278034
39-40,0.0026064046647953673,95091.90763065802,247.84799163283725,94967.9836348416,3496350.010708209,36.76811305845516
40-41,0.0028159663444520884,94844.05963902519,267.0776799147016,94710.52079906783,3401382.0270733675,35.862889463177424
41-42,0.0030552391035811835,94576.98195911049,288.9552935801665,94432.50431232041,3306671.5062742997,34.96275137753824
42-43,0.0033170826443422864,94288.02666553033,312.76117682151335,94131.64607711957,3212239.001961979,34.06836600109168
43-44,0.0036030026937519427,93975.26548870881,338.59313470187186,93805.96892135788,3118107.3558848593,33.180085628590234
44-45,0.00391474046229721,93636.67235400694,366.5632700190975,93453.39071899738,3024301.3869635016,32.298257839937904
45-46,0.00425426852696252,93270.10908398785,396.79608958237054,93071.71103919666,2930847.996244504,31.423228996176416
46-47,0.004623790661466342,92873.31299440548,429.4267573229727,92658.599615744,2837776.2852053074,30.555346780578937
47-48,0.005025745445941316,92443.88623708251,464.5994402611345,92211.58651695194,2745117.6855895636,29.694961963730165
48-49,0.005462813364528339,91979.28679682137,502.4656771734608,91728.05395823464,2652906.0990726114,28.842429545390765
49-50,0.005937927064013462,91476.82111964791,543.1826918562756,91205.22977371977,2561178.0451143766,27.998109398275453
50-51,0.006454284461124216,90933.63842779164,586.9115694979835,90640.18264304264,2469972.815340657,27.16236651304794
51-52,0.007015364424908441,90346.72685829365,633.8152135085933,90029.81925153936,2379332.632697614,26.33557092145166
52-53,0.00762494480775106,89712.91164478505,684.0559998341334,89370.883644868,2289302.8134460747,25.51809735604708
53-54,0.008287122644614538,89028.85564495092,737.7930456393916,88659.95912213123,2199931.9298012066,24.71032469039684
54-55,0.009006336379887027,88291.06259931152,795.1790091070623,87893.473094758,2111271.9706790755,23.912635192313775
55-56,0.00978739001232332,87495.88359020447,856.3563371701711,87067.70542161938,2023378.4975843173,23.125413614439378
56-57,0.01063547907004233,86639.52725303429,921.4528787380082,86178.8008136653,1936310.792162698,22.349046140425294
57-58,0.011556218339271822,85718.07437429628,990.5767830913087,85222.78598275063,1850131.9913490326,21.583919200870657
58-59,0.012555671272712919,84727.49759120497,1063.8106075147452,84195.5922874476,1764909.205366282,20.830418170517127
59-60,0.013640380996290292,83663.68698369022,1141.2045660119074,83093.08470068427,1680713.6130788345,20.088925956687522
60-61,0.014817402816822273,82522.48241767831,1222.7688634268732,81911.09798596488,1597620.5283781502,19.359821488306334
61-62,0.016094338107770608,81299.71355425144,1308.4650780070237,80645.48101524793,1515709.4303921852,18.64347811484907
62-63,0.017479369415500715,79991.24847624442,1398.196582123385,79292.15018518273,1435063.9493769372,17.940261925066945
63-64,0.018981296583984657,78593.05189412103,1491.7980274428085,77847.15288039963,1355771.7991917545,17.250529996191304
64-65,0.020609573641023445,77101.25386667822,1589.0239693805484,76306.74188198795,1277924.6463113548,16.574628585432784
65-66,0.022374346123117544,75512.22989729767,1689.5367682505628,74667.46151317238,1201617.9044293668,15.912891276865453
66-67,0.024286488438245178,73822.69312904711,1792.8939831587245,72926.24613746775,1126950.4429161944,15.265637098150945
67-68,0.026357640775133178,72029.79914588839,1898.5355709923208,71080.53136039223,1054024.1967787268,14.63316862294614
68-69,0.02860024496326916,70131.26357489607,2005.7713178256233,69128.37791598326,982943.6654183345,14.015770076188751
69-70,0.031027578569141286,68125.49225707045,2113.76906356768,67068.60772528661,913815.2875023512,13.413705460711887
70-71,0.03365378638044071,66011.72319350277,2221.5444309589257,64900.950978023306,846746.6797770646,12.827216724746947
71-72,0.03649390828097446,63790.178762543845,2327.95293298724,62626.20229605022,781845.7287990412,12.25652199078212
72-73,0.03956390235503114,61462.225829556606,2431.6855012434503,60246.38307893488,719219.526502991,11.701813866902377
73-74,0.042880661881771184,59030.54032831315,2531.2686405166546,57764.90600805482,658973.1434240561,11.163257862100055
74-75,0.04646202468958234,56499.2716877965,2625.0705561018212,55186.73640974559,601208.2374160013,10.640990927071696
75-76,0.050326773140027335,53874.20113169468,2711.314698455002,52518.54378246718,546021.5010062556,10.13512014167067
76-77,0.05449462280514853,51162.88643323968,2788.102197802047,49768.835334338655,493502.9572237884,9.645721569437642
77-78,0.05898619769626395,48374.784235437626,2853.4445864256368,46948.061942224806,443734.1218894498,9.172839298462154
78-79,0.0638229897047041,45521.33964901199,2905.307991763231,44068.68565313038,396786.059947225,8.716484686228625
79-80,0.0690272997351878,42616.031657248765,2941.6695907291623,41145.196861884186,352717.3742940946,8.276635824070194
80-81,0.07462215786320633,39674.3620665196,2960.5865092498307,38194.068811894685,311572.1774322104,7.853237234408867
81-82,0.08063121974412576,36713.77555726977,2960.276504594732,35233.637304972406,273378.10862031573,7.446199811127395
82-83,0.0870786364617985,33753.49905267504,2939.20867332155,32283.894716014267,238144.47131534334,7.055401010238962
83-84,0.09398889504914745,30814.29037935349,2896.2011044790092,29366.189827113983,205860.57659932907,6.680685294549632
84-85,0.10138662706577767,27918.08927487448,2830.5209057007864,26502.828822024087,176494.38677221508,6.321864832313406
85-86,0.10929638290336145,25087.568369173696,2741.9804785914675,23716.578129877962,149991.557950191,5.978720446039436
86-87,0.11774236993438361,22345.58789058223,2631.0224758142153,21030.07665267512,126274.97982031303,5.651002803713788
87-88,0.12674815324924932,19714.565414768014,2498.7847584333667,18465.173035551332,105244.90316763791,5.338433840839314
88-89,0.13633631856356418,17215.78065633465,2347.136155882487,16042.212578393406,86779.73013208658,5.040708397975288
89-90,0.1465280979392226,14868.644500452163,2178.674197585738,13779.307401659295,70737.51755369318,4.757496054972733
90-91,0.15734296025918654,12689.970302866424,1996.6774930541692,11691.63155633934,56958.210152033884,4.488443139947152
91-92,0.16879816992406718,10693.292809812256,1805.008256758495,9790.788681433009,45266.57859569455,4.233174888296106
92-93,0.18090831898094606,8888.284553053762,1607.9646171172656,8084.302244495128,35475.789914261535,3.9912977248318477
93-94,0.19368483981413157,7280.319935936496,1410.0876005874889,6575.276135642752,27391.487669766408,3.762401640422267
94-95,0.20713550756427307,5870.232335349007,1215.9335543027246,5262.265558197645,20816.211534123657,3.5460626334623697
95=96,0.2212639435124925,4654.298781046283,1029.8285025796874,4139.384529756439,15553.945975926012,3.341845186060336
96-97,0.23606913266113796,3624.470278466595,855.6255549936823,3196.657500969754,11414.561446169573,3.14930474502297
97-98,0.2515449705306707,2768.844723472913,696.4889643699969,2420.6002412879143,8217.90394519982,2.967990178550803
98-99,0.2676798556232499,2072.3557591029157,554.727890396679,1794.9918139045762,5797.303703911905,2.7974461809691644
99-100,0.2844563449180263,1517.6278687062368,431.6988764779104,1301.7784304672816,4002.311890007329,2.637215599776289
100-101,0.3018508900028619,1085.9289922283263,327.7886327840312,922.0346758363106,2700.5334595400473,2.4868416617172664
101-102,0.31983367087010933,758.1403594442951,242.47881419585306,636.9009523463685,1778.4987837037365,2.3458700774185774
102-103,0.33836854290073665,515.661545248442,174.48364569565763,428.41972240061324,1141.597831357368,2.2138510072674786
103-104,0.3574131100715634,341.1778995527844,121.94145416684414,280.2071724693624,713.1781089567548,2.0903408746334033
104-105,0.37691893394985454,219.23644538594027,82.63436727782411,177.9192617470282,432.97093648739246,1.9749040161876255
105-106,0.3968318836695807,136.60207810811616,54.20805996882293,109.49804812370469,255.05167474036426,1.8671141630693133
106-107,0.41709262697801086,82.39401813929322,34.36593747299169,65.21104940279739,145.55362661665959,1.766555751299692
107-108,0.4376372568425711,48.028080666301534,21.018877474213927,37.51864192919457,80.3425772138622,1.6728250660708546
108-109,0.45839804232598574,27.009203192087607,12.380965868037725,20.818720258068744,42.82393528466763,1.5855312346723718
109-110,0.4793042868283377,14.628237324049882,7.0113768581594,11.122548894970182,22.005215026598883,1.5042971028656142
