x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.012429441007290584,100000.0,1242.9441007290584,99378.52794963548,7667337.7702,76.673377702
1-2,0.0006847471335679753,98757.05589927094,67.62361094663808,98723.24409379762,7567959.242250364,76.6320864199257
2-3,0.00036630598655239965,98689.4322883243,36.15052985667088,98671.35702339596,7469235.998156567,75.68425336904318
3-4,0.0002930793157835188,98653.28175846762,28.91323631757039,98638.82514030884,7370564.6411331715,74.7118039030723
4-5,0.00025011883403787606,98624.36852215005,24.667812062481975,98612.0346161188,7271925.815992863,73.73356022411095
5-6,0.0002197484990995352,98599.70071008756,21.667136242705116,98588.86714196621,7173313.781376744,72.7518818994027
6-7,0.000199223857489939,98578.03357384486,19.639096112354093,98568.2140257887,7074724.914234778,71.76776263177432
7-8,0.00018466811028410466,98558.39447773251,18.200592460838198,98549.29418150209,6976156.700208989,70.78196369955201
8-9,0.00017408481409112803,98540.19388527167,17.15435133302123,98531.61670960516,6877607.406027487,69.79494493419553
9-10,0.0001670078091801087,98523.03953393865,16.45411698632833,98514.81247544548,6779075.789317882,68.80701023218701
10-11,0.00016446713685356343,98506.58541695232,16.201096064747134,98498.48486891994,6680560.976842436,67.81841994182814
11-12,0.0001688661189750173,98490.38432088758,16.63168895662618,98482.06847640926,6582062.491973516,66.8294934308385
12-13,0.0001835166375306955,98473.75263193095,18.071571968041443,98464.71684594694,6483580.423497106,65.84069612672351
13-14,0.00021091146035661656,98455.68105996291,20.76543147276205,98445.29834422652,6385115.706651159,64.85268943254177
14-15,0.00024948034061807243,98434.91562849015,24.557576279706947,98422.6368403503,6286670.408306932,63.86626501549387
15-16,0.0002995604682552976,98410.35805221045,29.479852939291657,98395.6181257408,6188247.771466582,62.88207759780206
16-17,0.0003540876553256041,98380.87819927116,34.83545449045376,98363.46047202594,6089852.153340842,61.900770401803115
17-18,0.0004030389700869872,98346.0427447807,39.63728777998723,98326.22410089071,5991488.692868816,60.922519357666665
18-19,0.0004382102160069841,98306.40545700071,43.07887117018244,98284.86602141563,5893162.468767925,59.94688180665499
19-20,0.0004630372465257988,98263.32658583054,45.4995801767683,98240.57679574215,5794877.60274651,58.97294345805432
20-21,0.0004850472341720423,98217.82700565377,47.640285335480485,98194.00686298603,5696637.025950768,58.000031151400336
21-22,0.0005151558993937669,98170.18672031829,50.5729508335596,98144.90024490151,5598443.019087782,57.02793491711952
22-23,0.0005575140546673758,98119.61376948473,54.70306371502231,98092.26223762722,5500298.11884288,56.057070625704775
23-24,0.0006164864103764159,98064.91070576971,60.45568478488372,98034.68286337727,5402205.856605253,55.0880617514029
24-25,0.0006860165482116643,98004.45502098482,67.23267794286133,97970.83868201339,5304171.173741876,54.12173530893204
25-26,0.0007689412662051021,97937.22234304197,75.30797175706931,97899.56835716343,5206200.335059863,53.15854595941317
26-27,0.0008385907276963446,97861.9143712849,82.06609398637318,97820.88132429172,5108300.7667026995,52.19906844783328
27-28,0.0008829052596568225,97779.84827729853,86.33034233247297,97736.68310613229,5010479.885378407,51.242459194341855
28-29,0.0009012603474598512,97693.51793496606,88.04729391864272,97649.49428800674,4912743.202272275,50.28729956825443
29-30,0.0009141860931478736,97605.47064104742,89.22956387519862,97560.85585910981,4815093.707984269,49.33221136438339
30-31,0.0009361791027450108,97516.24107717222,91.29266707469326,97470.59474363488,4717532.8521251585,48.376893941100604
31-32,0.0009891775820950607,97424.94841009752,96.37057490403629,97376.76312264551,4620062.257381524,47.42175728884124
32-33,0.0010846441802107296,97328.57783519349,105.56687551712963,97275.79439743492,4522685.494258879,46.46821719636286
33-34,0.0012231265545016579,97223.01095967635,118.91604641338586,97163.55293646966,4425409.699861444,45.51813049378712
34-35,0.0013853813239546515,97104.09491326296,134.5261995723544,97036.83181347679,4328246.146924974,44.57326079596465
35-36,0.00155204355197303,96969.5687136906,150.50099385968917,96894.31821676076,4231209.315111497,43.63440377469799
36-37,0.0017194554513462734,96819.06771983091,166.47607378512728,96735.82968293835,4134314.996894737,42.70145431330081
37-38,0.0018947414776841081,96652.59164604578,183.13167431742747,96561.02580888706,4037579.1672117985,41.77414281862128
38-39,0.0020793398932757736,96469.45997172836,200.59279660198516,96369.16357342736,3941018.1414029114,40.85249510630492
