x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.003120370393153422,100000.0,312.0370393153422,99843.98148034234,8162590.8979,81.625908979
1-2,0.0007645188109036473,99687.96296068466,76.21332290410948,99649.8562992326,8062746.916419658,80.87984423555206
2-3,0.00036816117008752256,99611.74963778055,36.67317830111064,99593.41304863,7963097.060120425,79.94134315556884
3-4,0.00022869326791895872,99575.07645947945,22.77214963879853,99563.69038466005,7863503.647071796,78.97060114507397
4-5,0.0001651523443662797,99552.30430984065,16.441296443835473,99544.08366161873,7763939.956687136,77.98855094828455
5-6,0.00013248262640116446,99535.86301339681,13.186772553121333,99529.26962712024,7664395.873025517,77.00135047800755
6-7,0.00011490925374765732,99522.67624084369,11.436076457805054,99516.95820261478,7564866.603398397,76.01148692074467
7-8,0.00010572900388177725,99511.24016438589,10.521224297620824,99505.97955223708,7465349.645195782,75.02016488653469
8-9,0.0001017614199037332,99500.71894008826,10.125334440785661,99495.65627286787,7365843.665643545,74.0280446624581
9-10,0.00010162488881954459,99490.59360564747,10.110720513764418,99485.53824539059,7266348.009370677,73.03552774217452
10-11,0.00010542891230356355,99480.48288513371,10.488119106012917,99475.2388255807,7166862.471125287,72.04289990631216
11-12,0.00011479583702860612,99469.9947660277,11.41874130839722,99464.2853953735,7067387.232299706,71.05044339173378
12-13,0.00013219533287682245,99458.5760247193,13.14795956504252,99452.00204493677,6967922.946904332,70.0585432187621
13-14,0.00015929852240495072,99445.42806515425,15.84150975070689,99437.5073102789,6868470.944859396,69.06773974927574
14-15,0.0001952910467350168,99429.58655540354,19.41770803483471,99419.87770138613,6769033.437549117,68.07866422915596
15-16,0.00023643344035864517,99410.16884736871,23.503888227217196,99398.4169032551,6669613.559847731,67.09186431508883
16-17,0.0002772301224130535,99386.66495914149,27.552977292847928,99372.88847049506,6570215.142944476,66.10761258208568
17-18,0.0003124194411508887,99359.11198184865,31.041718238617722,99343.59112272934,6470842.2544739805,65.12580603232547
18-19,0.0003386426760717701,99328.07026361003,33.63672352311371,99311.25190184847,6371498.663351251,64.14600270036175
19-20,0.0003551135625108118,99294.43354008692,35.260800031913305,99276.80314007096,6272187.411449403,63.16756325436118
20-21,0.0003632976872765592,99259.172740055,36.060627897446466,99241.14242610628,6172910.608309331,62.189825261542985
21-22,0.0003660332616226286,99223.11211215756,36.31895935476078,99204.95263248017,6073669.465883225,61.21224517749261
22-23,0.00036657652624221443,99186.7931528028,36.35955008305951,99168.61337776127,5974464.513250745,60.23447601584163
23-24,0.0003678838724272174,99150.43360271974,36.47584546660624,99132.19567998644,5875295.899872984,59.25638130252031
24-25,0.0003722315577411847,99113.95775725314,36.893342889876315,99095.5110858082,5776163.704192997,58.27800478253325
25-26,0.0003811276316179523,99077.06441436327,37.761006907905575,99058.18391090931,5677068.193107189,57.29951958774608
26-27,0.00039541044739580146,99039.30340745536,39.16117527011045,99019.72281982031,5578010.00919628,56.32117570786938
27-28,0.00041542974269615635,99000.14223218524,41.1276036143996,98979.57843037804,5478990.2863764595,55.34325671499109
28-29,0.00044123635390246074,98959.01462857085,43.66431480049088,98937.1824711706,5380010.707946082,54.36604970390234
29-30,0.00047274079385236815,98915.35031377035,46.76132123151689,98891.96965315459,5281073.525474911,53.38982785505754
30-31,0.0005098272466415308,98868.58899253883,50.40590050539923,98843.38604228613,5182181.555821756,52.41484285987769
31-32,0.0005524252516716807,98818.18309203343,54.58965966435479,98790.88826220126,5083338.16977947,51.44132396206019
32-33,0.000600548306141308,98763.59343236907,59.31230874423805,98733.93727799696,4984547.281517269,50.469480790313355
33-34,0.000654309970835117,98704.28112362484,64.58319530330016,98671.98952597319,4885813.344239272,49.49950791009666
34-35,0.0007139266033891351,98639.69792832153,70.42150450129691,98604.48717607089,4787141.354713299,48.531589768167876
35-36,0.000779713439424497,98569.27642382024,76.85578954200086,98530.84852904924,4688536.867537228,47.565905296675155
36-37,0.0008520784119372282,98492.42063427824,83.92326536190929,98450.4590015973,4590006.019008179,46.60263185176223
37-38,0.0009315162602629632,98408.49736891633,91.66911544719059,98362.66281119274,4491555.560006582,45.64194840988702
38-39,0.0010186042060514075,98316.82825346914,100.14593478461752,98266.75528607683,4393192.8971953895,44.68403807605922
39-40,0.0011139996823326835,98216.68231868453,109.41335290278465,98161.97564223314,4294926.141909312,43.72909001317646
40-41,0.0012184401638475528,98107.26896578174,119.53783687330304,98047.5000473451,4196764.166267079,42.777300912645366
41-42,0.001332744940961618,97987.73112890843,130.59265293835995,97922.43480243925,4098716.666219734,41.82887611539489
42-43,0.0014578186117218369,97857.13847597007,142.65795776011024,97785.80949709001,4000794.231417295,40.88403047264391
43-44,0.001594656072407909,97714.48051820997,155.82098972054783,97636.57002334969,3903008.421920205,39.94298901474326
44-45,0.0017443488259711955,97558.65952848941,170.17633321184408,97473.57136188349,3805371.8518968555,39.00598747757084
45-46,0.0019080924770848943,97388.48319527757,185.8262321396178,97295.57007920777,3707898.280534972,38.07327272055481
46-47,0.002087195330468933,97202.65696313795,202.88093172263507,97101.21649727663,3610602.710455764,37.145103058499814
47-48,0.002283088050743334,96999.77603141531,221.45902958210397,96889.04651662426,3513501.4939584876,36.22174852053854
48-49,0.0024973343760084027,96778.3170018332,241.6878179009165,96657.47309288275,3416612.4474418634,35.30349104311397
49-50,0.0027316429041190863,96536.62918393228,263.70359809786413,96404.77738488335,3319954.9743489805,34.39062459932628
50-51,0.002987879991365724,96272.92558583441,287.6519480681559,96129.09961180034,3223550.196964097,33.48345526375496
51-52,0.0032680838192584902,95985.27363776625,313.6879196626824,95828.42967793491,3127421.097352297,32.582301209607486
52-53,0.003574479697453832,95671.58571810357,341.9761407725752,95500.59764771728,3031592.667674362,31.687492633465418
53-54,0.003909496680431025,95329.609577331,372.69079218936116,95143.26418123631,2936092.070026645,30.799371601799113
54-55,0.004275785582944269,94956.91878514164,406.01542434231845,94753.91107297047,2840948.8058454087,29.91829181266511
55-56,0.004676238484930572,94550.90336079932,442.14257308072115,94329.83207425896,2746194.8947724383,29.04461826549832
56-57,0.005114009820639547,94108.7607877186,481.2731268766108,93868.12422428028,2651865.0626981794,28.178726831607094
57-58,0.005592539149299357,93627.48766084199,523.6153901938013,93365.67996574509,2557996.938473899,27.321003717840174
58-59,0.006115575705534594,93103.8722706482,569.383779349572,92819.18038097341,2464631.2585081537,26.471844815901928
59-60,0.006687204826777327,92534.48849129862,618.7970780823831,92225.08995225742,2371812.07812718,25.631654929936865
60-61,0.007311876351718162,91915.69141321623,672.0761703961199,91579.65332801818,2279586.9881749228,24.800846875282808
61-62,0.007994435077977575,91243.61524282012,729.4411583386905,90878.89466365078,2188007.3348469045,23.979840441702326
62-63,0.008740153358072827,90514.17408448142,791.1077625776687,90118.62020319258,2097128.4401832537,23.169061214941856
63-64,0.009554765899730908,89723.06632190375,857.2828945118206,89294.42487464784,2007009.8199800611,22.36893925113321
64-65,0.010444506818841487,88865.78342739193,928.1592809690858,88401.70378690738,1917715.3951054134,21.579907599332525
65-66,0.011416148969911026,87937.62414642284,1003.909017315608,87435.66963776504,1829313.691318506,20.802400668371018
66-67,0.012512153086338709,86933.71512910722,1087.7279520595491,86389.85115307744,1741878.0216807409,20.0368524351437
67-68,0.013679933144048565,85845.98717704767,1174.3673652668626,85258.80349441424,1655488.1705276635,19.284397849760943
68-69,0.014955053439959549,84671.61981178081,1266.2685991331198,84038.48551221425,1570229.3670332492,18.544931235799684
69-70,0.01634705909669352,83405.35121264769,1363.4322052536302,82723.63511002087,1486190.881521035,17.818891233152282
70-71,0.01786628161913316,82041.91900739406,1465.7840295602157,81309.02699261394,1403467.246411014,17.106709148094478
