x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0057827528687347364,100000.0,578.2752868734736,99710.86235656326,7602223.0015,76.022230015
1-2,0.0004979590534872298,99421.72471312653,49.50794793421641,99396.97073915943,7502512.139143437,75.46149657724546
2-3,0.00032492901792486684,99372.21676519232,32.28891680253093,99356.07230679106,7403115.168404277,74.49884293008354
3-4,0.00024706177216840173,99339.9278483898,24.543098621304345,99327.65629907914,7303759.096097486,73.52289511669777
4-5,0.0001974380778900056,99315.38474976849,19.608638669900664,99305.58043043355,7204431.439798407,72.54094074095808
5-6,0.00017085094283617614,99295.77611109859,16.96477696823105,99287.29372261447,7105125.859367974,71.55516717466709
6-7,0.00015675506208337545,99278.81133413035,15.562456234245323,99271.03010601323,7005838.565645359,70.56730909143019
7-8,0.00014575546486837385,99263.24887789611,14.468160984542836,99256.01479740384,6906567.535539346,69.57829421879114
8-9,0.00013154995585758352,99248.78071691157,13.056172722228704,99242.25263055046,6807311.520741942,68.58836422543583
9-10,0.0001145112429729223,99235.72454418935,11.363606164873655,99230.04274110691,6708069.268111392,67.59732242519487
10-11,0.00010247149799434704,99224.36093802447,10.167668902851142,99219.27710357305,6608839.225370285,66.60500670292213
11-12,0.00011072020961830886,99214.19326912162,10.985016275868555,99208.70076098369,6509619.948266712,65.61178127618457
12-13,0.00015864701936743822,99203.20825284575,15.738293301001228,99195.33910619526,6410411.247505728,64.61899126454752
13-14,0.0002573915281106836,99187.46995954476,25.53001446231975,99174.7049523136,6311215.908399533,63.62916516545553
14-15,0.00039252616979465027,99161.93994508244,38.92365647605034,99142.47811684442,6212041.203447219,62.64541826115496
15-16,0.0005421539567520462,99123.01628860639,53.73993548606548,99096.14632086336,6112898.725330374,61.66982154308208
16-17,0.0006847946938586597,99069.27635312032,67.84211477103399,99035.3552957348,6013802.579009511,60.70300299332001
17-18,0.0008129239582030958,99001.43423834929,80.48063778882239,98961.19391945488,5914767.223713776,59.7442579414938
18-19,0.0009158130081496931,98920.95360056048,90.5930960859655,98875.65705251749,5815806.029794321,58.792458201306395
19-20,0.0009963870726750568,98830.3605044745,98.4732935944739,98781.12385767727,5716930.3727418035,57.845892128289584
20-21,0.001079754482882831,98731.88721088003,106.60619781942975,98678.58411197031,5618149.248884127,56.903087822927986
21-22,0.001165488268641863,98625.2810130606,114.94660801222919,98567.80770905448,5519470.664772157,55.964055139586705
22-23,0.0012030497564033916,98510.33440504837,118.5128338092101,98451.07798814376,5420902.857063103,55.02877327340894
23-24,0.0011947578050701367,98391.82157123917,117.55439677730624,98333.04437285052,5322451.7790749585,54.09445311693223
24-25,0.0011651361090008743,98274.26717446186,114.50289727056483,98217.01572582657,5224118.734702108,53.15856210281341
25-26,0.0011337566843446641,98159.7642771913,111.28928888296221,98104.11963274982,5125901.718976282,52.21998806457354
26-27,0.0010970022713615542,98048.47498830833,107.55939976571078,97994.69528842547,5027797.599343532,51.27869250330579
27-28,0.0010671850504433886,97940.91558854262,104.52108094283052,97888.6550480712,4929802.904055106,50.33445801921631
28-29,0.0010490860263301183,97836.39450759979,102.63879434444367,97785.07511042757,4831914.249007035,49.38769742410835
29-30,0.0010456494179075394,97733.75571325535,102.1952447714831,97682.6580908696,4734129.173896607,48.43903868573558
30-31,0.0010583595537895657,97631.56046848386,103.32929477320359,97579.89582109726,4636446.515805737,47.489218584214
31-32,0.0010876710304663667,97528.23117371066,106.07863170027191,97475.19185786053,4538866.61998464,46.5390027621881
32-33,0.0011334064653363506,97422.15254201039,110.41889755809876,97366.94309323134,4441391.428126779,45.58913257651089
33-34,0.0011950797503352043,97311.73364445228,116.29528234849793,97253.58600327803,4344024.485033548,44.640294878573464
34-35,0.001272133539488178,97195.43836210379,123.64557702568813,97133.61557359094,4246770.89903027,43.69310916844503
35-36,0.001364097896127253,97071.7927850781,132.4154283114257,97005.58507092239,4149637.283456679,42.748126560763
36-37,0.0014706853891349437,96939.37735676668,142.56732591043556,96868.09369381146,4052631.6983857565,41.805835862456874
37-38,0.0015918398453683906,96796.81003085624,154.08501911167167,96719.76752130041,3955763.604691945,40.86667322436507
38-39,0.0017277543314865923,96642.72501174457,166.9748867457093,96559.23756837171,3859043.8371706447,39.93103295361003
39-40,0.0018788708085194562,96475.75012499886,181.26547063987763,96385.11738967891,3762484.5996022727,38.999278002269044
40-41,0.0020458705307699284,96294.48465435898,197.00604843003015,96195.98163014397,3666099.482212594,38.071749336130225
41-42,0.0022296612891643153,96097.47860592895,214.26482803393574,95990.34619191197,3569903.5005824496,37.14877385307585
42-43,0.0024313652687686744,95883.21377789501,233.12711583749598,95766.65021997626,3473913.1543905376,36.23067080790127
43-44,0.0026523096134432054,95650.08666205751,253.69364438045085,95523.23983986728,3378146.504170561,35.317756857930846
44-45,0.0028940206723761133,95396.39301767707,276.07913346327376,95258.35345094543,3282623.264330694,34.41034991461805
45-46,0.0031582222142385653,95120.3138842138,300.41108833446907,94970.10834004657,3187364.9108797484,33.50877200383928
46-47,0.003446837510479469,94819.90279587933,326.82879769685394,94656.4883970309,3092394.802539702,32.61335132558363
47-48,0.0037619950069038926,94493.07399818247,355.4824725681625,94315.33276189839,2997738.314142671,31.724423677870092
48-49,0.004106037244718553,94137.5915256143,386.53245693227393,93944.32529714817,2903422.981380773,30.842333379548677
49-50,0.004481532704460319,93751.05906868204,420.1484372940897,93540.98485003499,2809478.656083625,29.967433797472093
50-51,0.0048912902929957765,93330.91063138795,456.5085772077642,93102.65634278406,2715937.6712335898,29.100087557917792
51-52,0.005338376253082246,92874.40205418019,495.79850244524846,92626.50280295756,2622835.014890806,28.240666500988304
52-53,0.005826133334185101,92378.60355173494,538.2100615182331,92109.49852097582,2530208.512087848,27.389551419997936
53-54,0.00635820211579662,91840.39349021671,583.93978420509,91548.42359811417,2438099.013566872,26.547131615094727
54-55,0.006938544417527559,91256.45370601161,633.186957425209,90939.86022729901,2346550.5899687577,25.71380428093686
55-56,0.007571468762941748,90623.26674858641,686.1512333826595,90280.19113189507,2255610.729741459,24.88997374150213
56-57,0.008261657886693701,89937.11551520375,743.0296797026656,89565.60067535243,2165330.538609564,24.076050540485898
57-58,0.009014198287616314,89194.08583550109,804.0131758038764,88792.07924759915,2075764.9379342115,23.27245039275927
58-59,0.009834611834610495,88390.07265969721,869.2820546411398,87955.43163237664,1986972.8586866122,22.47959300063572
59-60,0.010728889427961819,87520.79060505607,939.0008850494462,87051.29016253135,1899017.4270542355,21.69790073793654
60-61,0.011703526706232975,86581.78972000662,1013.3122882615452,86075.13357587585,1811966.136891704,20.927797204831972
61-62,0.012765561768043767,85568.47743174508,1092.329684052401,85022.31258971887,1725891.0033158283,20.16970565699863
62-63,0.013922614848446405,84476.14774769268,1176.1288689715784,83888.0833132069,1640868.6907261093,19.42404731365046
63-64,0.015182929850548676,83300.01887872111,1264.738343185003,82667.64970712861,1556980.6074129024,18.691239550374593
64-65,0.016555417583595137,82035.2805355361,1358.1283258531744,81356.21637260952,1474312.9577057739,17.971693984359934
65-66,0.01804970049772059,80677.15220968293,1456.1984343937936,79949.05299248603,1392956.7413331643,17.26581446148245
66-67,0.019676158631689065,79220.95377528913,1558.7640534362956,78441.57174857099,1313007.6883406783,16.573994956751406
67-68,0.02144597640160923,77662.18972185283,1665.5414880721548,76829.41897781675,1234566.1165921073,15.896617401771781
68-69,0.023371189754259607,75996.64823378068,1776.1320865594064,75108.58219050098,1157736.6976142905,15.234049455087336
69-70,0.025464733086598045,74220.51614722128,1890.0056332385302,73275.51333060201,1082628.1154237895,14.586642233480637
70-71,0.027740485191646853,72330.51051398275,2006.4834558173955,71327.26878607406,1009352.6020931875,13.954728024462955
71-72,0.030213313328750976,70324.02705816536,2124.721864047912,69261.6661261414,938025.3333071135,13.338618002226578
72-73,0.03289911433200748,68199.30519411745,2243.6967389447414,67077.45682464508,868763.667180972,12.738599971190139
73-74,0.03581485146371602,65955.60845517271,2362.190320021023,64774.5132951622,801686.210356327,12.154936162876881
74-75,0.038978585489953345,63593.41813515169,2478.7814853793593,62354.02739246201,736911.6970611648,11.587861113158688
75-76,0.04240949820373287,61114.63664977233,2591.8410732203065,59818.716113162176,674557.6696687028,11.037579647807915
