x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0046313641460924305,100000.0,463.13641460924305,99768.43179269538,8135607.7043,81.356077043
1-2,0.00036570285165636016,99536.86358539076,36.40091485810751,99518.66312796171,8035839.272507305,80.73229337403738
2-3,0.00020576418094309397,99500.46267053265,20.473631204861046,99490.22585493022,7936320.609379344,79.76164528659733
3-4,0.00017746426099225592,99479.98903932779,17.654142738382024,99471.1619679586,7836830.383524413,78.77795785066131
4-5,0.00015426052312687057,99462.33489658941,15.343111812567876,99454.66334068312,7737359.221556455,77.7918518562927
5-6,0.00013948857711950608,99446.99178477684,13.871719382873732,99440.0559250854,7637904.558215772,76.80377677733806
6-7,0.0001303601333946118,99433.12006539396,12.962114795567208,99426.63900799617,7538464.502290687,75.8144217674441
7-8,0.0001237179167947286,99420.1579505984,12.300054829050907,99414.00792318388,7439037.863282691,74.82424104555464
8-9,0.00011756411316434717,99407.85789576935,11.68679665508357,99402.0144974418,7339623.855359507,73.83343742358088
9-10,0.00011173996328560923,99396.17109911428,11.106524509345162,99390.6178368596,7240221.840862065,72.842059817801
10-11,0.00010812201493813065,99385.06457460493,10.745713436562513,99379.69171788664,7140831.223025205,71.85014422025988
11-12,0.00011060069213547131,99374.31886116836,10.990868446536242,99368.82342694509,7041451.531307318,70.85785957581889
12-13,0.0001242135019963241,99363.32799272182,12.342266939985358,99357.15685925183,6942082.707880373,69.86564206453379
13-14,0.0001519459993952221,99350.98572578184,15.095984817004368,99343.43773337333,6842725.551021121,68.87425928422788
14-15,0.00019001765095897323,99335.88974096483,18.875572424497705,99326.45195475259,6743382.113287748,67.88465005822427
15-16,0.00023417941968360048,99317.01416854034,23.2580007426967,99305.38516816898,6644055.661332996,66.8974567646393
16-17,0.0002769120213230803,99293.75616779763,27.495634725185916,99280.00835043505,6544750.276164827,65.91300932462238
17-18,0.0003124999604486733,99266.26053307245,31.020702490472836,99250.75018182721,6445470.267814392,64.93112799053169
18-19,0.00033614870704737224,99235.23983058198,33.35779756258603,99218.56093180069,6346219.517632565,63.95126900954805
19-20,0.0003502102587538587,99201.8820330194,34.741516775653494,99184.51127463157,6247000.956700765,62.97260524373365
20-21,0.00036467975533376973,99167.14051624374,36.16424854061333,99149.05839197343,6147816.445426133,61.99449145575707
21-22,0.00038078835586815565,99130.97626770312,37.74792146858383,99112.10230696884,6048667.38703416,61.01692543307289
22-23,0.00038931182228129626,99093.22834623454,38.57816530320917,99073.93926358293,5949555.284727192,60.03997835189381
23-24,0.00038846875656016336,99054.65018093133,38.47963678728836,99035.41036253769,5850481.345463608,59.06316699697824
24-25,0.00038226045604488457,99016.17054414404,37.84996650802257,98997.24556089003,5751445.93510107,58.0859257987252
25-26,0.00037599886375612294,98978.32057763603,37.215736073680425,98959.71270959919,5652448.68954018,57.107947038832066
26-27,0.000375866861670327,98941.10484156235,37.18868256699284,98922.51050027886,5553488.976830581,56.12923956856522
27-28,0.00038489662144223374,98903.91615899536,38.067783177003264,98884.88226740685,5454566.466330302,55.15015661828479
28-29,0.0004049262190858521,98865.84837581836,40.03337417953526,98845.83168872859,5355681.584062895,54.171199378215654
