x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005410502216242269,100000.0,541.0502216242269,99729.47488918788,7610754.8805,76.107548805
1-2,0.0004729407252725997,99458.94977837577,47.038187843036106,99435.43068445424,7511025.405610812,75.51884895575128
2-3,0.0003107379487812933,99411.91159053273,30.891053492069418,99396.4660637867,7411589.974926358,74.5543452122108
3-4,0.00023881874449924027,99381.02053704066,23.734050551709263,99369.1535117648,7312193.508862572,73.57736386030788
4-5,0.00019130791852995635,99357.28648648896,19.007835668514762,99347.7825686547,7212824.355350807,72.59482027351501
5-6,0.00016600943979860062,99338.27865082044,16.49109198937999,99330.03310482575,7113476.572782152,71.60861522260132
6-7,0.00015281486215529388,99321.78755883107,15.177845274820154,99314.19863619366,7014146.539677327,70.62042188399651
7-8,0.0001426311663813736,99306.60971355624,14.164217572824372,99299.52760476983,6914832.341041133,69.63113896433015
8-9,0.00012935033007863267,99292.44549598343,12.8435105992201,99286.02374068381,6815532.813436363,68.6410006258942
9-10,0.00011330921721297784,99279.6019853842,11.249293986179884,99273.97733839111,6716246.789695679,67.64981582706622
10-11,0.00010214094419911166,99268.35269139802,10.13936327298982,99263.28300976152,6616972.812357288,66.65742538236634
11-12,0.00011090043772487508,99258.21332812503,11.007779305878095,99252.70943847208,6517709.529347526,65.66418345453654
12-13,0.00015882173053911975,99247.20554881915,15.762612936435186,99239.32424235094,6418456.819909054,64.67141099254276
13-14,0.0002569928833463587,99231.44293588272,25.501774638712156,99218.69204856336,6319217.495666703,63.68160442602648
14-15,0.00039110999619501477,99205.941161244,38.800435270097,99186.54094360895,6219998.80361814,62.697845822645725
15-16,0.0005395423596081505,99167.1407259739,53.50487310288548,99140.38828942247,6120812.262674531,61.72218153983101
16-17,0.000681173869269509,99113.63585287103,67.51361883126928,99079.8790434554,6021671.874385108,60.75523133188216
17-18,0.000808054265422524,99046.12223403975,80.03464154477652,99006.10491326737,5922591.995341653,59.79630359830687
18-19,0.0009091458293450608,98966.08759249498,89.97460578131478,98921.10028960432,5823585.890428386,58.8442569782865
19-20,0.000987310704695205,98876.11298671366,97.62144479043499,98827.30226431844,5724664.790138781,57.89734868428763
20-21,0.0010676021897538383,98778.49154192323,105.45613387073823,98725.76347498786,5625837.487874462,56.95407370628619
21-22,0.001143586153172296,98673.03540805248,112.8411169841285,98616.61484956041,5527111.724399474,56.014408612673726
22-23,0.0011811693389192936,98560.19429106836,116.41627953453835,98501.98615130108,5428495.1095499145,55.077966805934466
23-24,0.001170203688869056,98443.77801153382,115.19927217530335,98386.17837544618,5329993.123398613,54.142508862003886
24-25,0.0011264669197106458,98328.57873935852,110.76389121205088,98273.19679375249,5231606.945023167,53.20535506661486
25-26,0.0010708771714053207,98217.81484814647,105.17921574619461,98165.22524027337,5133333.748229414,52.26479286029736
26-27,0.0010282233304940679,98112.63563240028,100.88170097349757,98062.19478191354,5035168.522989141,51.3202860216136
27-28,0.0010072556318768502,98011.75393142679,98.72289113755765,97962.39248585801,4937106.328207227,50.37259441006879
28-29,0.0010163477131337648,97913.03104028924,99.5136851837933,97863.27419769733,4839143.935721369,49.42287951161638
29-30,0.0010472341009890769,97813.51735510545,102.43365091195332,97762.30052964947,4741280.661523672,48.472652755250266
30-31,0.0010860528415352281,97711.08370419349,106.11940010642586,97658.02400414027,4643518.360994022,47.52294401985775
31-32,0.0011305333484571667,97604.96430408706,110.34566712074178,97549.79147052669,4545860.336989882,46.574068946199404
32-33,0.0011885279737014658,97494.61863696632,115.87508153539075,97436.68109619862,4448310.545519356,45.62621617181979
33-34,0.001260038075094231,97378.74355543093,122.70092458467994,97317.3930931386,4350873.864423157,44.679913763176735
34-35,0.0013447112120276187,97256.04263084625,130.781290963135,97190.65198536468,4253556.471330018,43.73565236943886
35-36,0.0014418697332343106,97125.26133988312,140.04197465845,97055.2403525539,4156365.8193446533,42.79387012200399
36-37,0.0015523545312549653,96985.21936522466,150.55544474636332,96909.94164285148,4059310.5789920995,41.85494042866102
37-38,0.00167748623760297,96834.6639204783,162.43881604951122,96753.44451245354,3962400.637349248,40.919237770094554
38-39,0.0018176700848866144,96672.22510442878,175.71821161174498,96584.36599862292,3865647.1928367945,39.98715441442446
39-40,0.0019725935333610245,96496.50689281704,190.34838548869843,96401.33270007269,3769062.8268381716,39.05905973388899
40-41,0.002142161692830119,96306.15850732833,206.30336353802423,96203.00682555932,3672661.494138099,38.135271420452625
41-42,0.002333509909816305,96099.85514379031,224.24996430994608,95987.73016163534,3576458.4873125395,37.21606533080856
42-43,0.0025421765769609575,95875.60517948036,243.73271778923163,95753.73882058574,3480470.7571509043,36.301943029568555
43-44,0.0027696158432374152,95631.87246169113,264.86354908835966,95499.44068714695,3384717.0183303184,35.39318985609313
44-45,0.0030174419781809183,95367.00891260277,287.7644160264414,95223.12670458955,3289217.5776431714,34.49009898860842
45-46,0.003287431180218564,95079.24449657633,312.56647294966933,94922.9612601015,3193994.450938582,33.592972555157324
46-47,0.0035815277376965863,94766.67802362666,339.4094859509804,94596.97328065117,3099071.4896784807,32.70212224708181
47-48,0.0039018534644550294,94427.26853767569,368.4413648827553,94243.04785523431,3004474.5163978296,31.81786959345403
48-49,0.004250719682283756,94058.82717279292,399.8177079559171,93858.91831881496,2910231.4685425954,30.94054599677591
49-50,0.004630641284314891,93659.00946483701,433.7012758759134,93442.15882689906,2816372.5502237803,30.07049259133099
50-51,0.005044352599037743,93225.3081889611,470.26132565908057,92990.17752613156,2722930.391396881,29.208059960259867
51-52,0.005494824901213373,92755.04686330202,509.6727412176853,92500.21049269318,2629940.2138707493,28.353607731411426
52-53,0.005985285499411287,92245.37412208434,552.1149001206805,91969.316672024,2537440.003378056,27.507504062152975
53-54,0.006519238382956634,91693.25922196366,597.7702149782178,91394.37411447454,2445470.686706032,26.670125017437037
54-55,0.007100486443163818,91095.48900698544,646.8222847274787,90772.07786462171,2354076.3125915574,25.84185384208257
55-56,0.00773315530134202,90448.66672225797,699.4535865625468,90098.9399289767,2263304.2347269356,25.023080126508628
56-57,0.00842171878344341,89749.21313569542,755.8426340641522,89371.29181866335,2173205.294797959,24.21419886447587
57-58,0.009171026080997626,88993.37050163127,816.1605219063451,88585.2902406781,2083834.0029792956,23.41560940138904
58-59,0.009986330631592835,88177.20997972492,880.5667730289205,87736.92659321046,1995248.7127386176,22.627714272173005
59-60,0.010873320740282473,87296.64320669601,949.2044011364068,86822.04100612781,1907511.786145407,21.85091792852687
60-61,0.011838151946019821,86347.4388055596,1022.194100729863,85836.34175519468,1820689.7451392792,21.08562535640665
61-62,0.01288748111426438,85325.24470482975,1099.6274797034803,84775.430964978,1734853.4033840846,20.33224058583784
62-63,0.014028502207694932,84225.61722512626,1181.559257187152,83634.83759653268,1650077.9724191066,19.59116509658363
63-64,0.015268983650716439,83044.05796793911,1267.9983634016105,82410.0587862383,1566443.134822574,18.862796124767073
64-65,0.016617307159201733,81776.0596045375,1358.8979007177886,81096.6106541786,1484033.0760363357,18.14752487724404
65-66,0.018082507853561566,80417.16170381971,1454.1439580704505,79690.08972478448,1402936.4653821571,17.445734662325435
66-67,0.019674315409567784,78963.01774574927,1553.5433168211691,78186.24608733869,1323246.3756573726,16.757798947325636
67-68,0.021403195926052557,77409.4744289281,1656.8101477351033,76581.06935506054,1245060.1295700339,16.084079355339895
68-69,0.023280394100304073,75752.66428119299,1763.5518786142004,74870.88834188589,1168479.0602149733,15.424923615591828
69-70,0.025317975199293342,73989.11240257879,1873.254512826217,73052.48514616568,1093608.1718730873,14.78066348360426
70-71,0.027528866196457457,72115.85788975257,1985.2678024897393,71123.2239885077,1020555.6867269216,14.1516126492886
71-72,0.0299268953084187,70130.59008726284,2098.7908274591414,69081.19467353327,949432.4627384138,13.538064652771977
72-73,0.03252682901274814,68031.7992598037,2212.8587019532406,66925.36990882708,880351.2680648805,12.940290829336222
73-74,0.035344405456056154,65818.94055785045,2326.331321764725,64655.77489696809,813425.8981560534,12.35853830617505
74-75,0.03839636297121364,63492.60923608573,2437.8852702181794,62273.66660097664,748770.1232590853,11.793028074731025
75-76,0.041700462214009006,61054.72396586755,2546.01020972541,59781.71886100485,686496.4566581087,11.24395316309828
76-77,0.04527550020464622,58508.71375614214,2649.0112816398005,57184.20811532224,626714.7377971039,10.711476933319398
77-78,0.049141314321092304,55859.70247450234,2745.019197182217,54487.19287591123,569530.5296817817,10.19573152831863
78-79,0.053318774043896885,53114.68327732012,2832.0097960765797,51698.678379281824,515043.3368058704,9.696816492658877
79-80,0.05782975800224859,50282.67348124354,2907.8348391263967,48828.75606168034,463344.6584265886,9.214797590255927
80-81,0.06269711362760387,47374.838642117145,2970.2656414342173,45889.705821400035,414515.90236490825,8.749705840610412
81-82,0.06794459649591811,44404.573000682925,3017.050795104941,42896.04760313046,368626.1965435082,8.301536793019919
82-83,0.0735967862472208,41387.52220557798,3045.988625066027,39864.52789304497,325730.14894037775,7.870250055618881
83-84,0.07967897583037062,38341.533580511954,3055.0141274609555,36814.02651678148,285865.62104733277,7.455769092987745
84-85,0.08621703075334093,35286.519453051,3042.298932862061,33765.36998661997,249051.5945305513,7.057981302517423
85-86,0.09323721505102237,32244.220520188937,3006.3613227934443,30741.039858792214,215286.2245439313,6.676738375769855
86-87,0.10076598084227922,29237.859197395494,2946.1815597540117,27764.768417518488,184545.1846851391,6.311856946817035
87-88,0.10882971866749082,26291.677637641482,2861.315880600882,24861.019697341042,156780.4162676206,5.963119525060658
88-89,0.11745446630998647,23430.3617570406,2752.0006356231206,22054.36143922904,131919.39657027955,5.630275705437584
89-90,0.12666557454213784,20678.361121417478,2619.2364920341506,19368.742875400403,109865.0351310505,5.313043644317562
90-91,0.13648732922877072,18059.12462938333,2464.8416888740444,16826.703784946305,90496.2922556501,5.011111784920458
91-92,0.14694253048999678,15594.282940509283,2291.463396455422,14448.551242281572,73669.58847070379,4.724140811844078
92-93,0.15805203118506903,13302.819544053862,2102.537649426147,12251.550719340788,59221.03722842222,4.4517658104212225
93-94,0.16983423882586826,11200.281894627715,1902.1913502092516,10249.18621952309,46969.48650908143,4.1935986032289625
94-95,0.182304587140449,9298.090544418463,1695.0845578947205,8450.548265471103,36720.300289558334,3.9492302332548386
95=96,0.19547498583611617,7603.005986523742,1486.1974875276348,6859.907242759924,28269.752024087233,3.7182335610671764
