x to x + 1,nqx,Ix,ndx,nLx,Tx,ex
0-1,0.0094936951991217,100000.0,949.36951991217,99525.31524004391,7659148.0423,76.591480423
1-2,0.0015877599231610144,99050.63048008783,157.2686214401143,98971.99616936778,7559622.727059956,76.32079362260767
2-3,0.000710209478441038,98893.36185864771,70.23500294691104,98858.24435717425,7460650.730890588,75.44137028685907
3-4,0.0006763995474530162,98823.1268557008,66.84391828308804,98789.70489655925,7361792.486533414,74.4946321854694
4-5,0.0004795558017385433,98756.28293741771,47.35914844077177,98732.60336319733,7263002.781636855,73.54471599786164
5-6,0.00033935127144857325,98708.92378897694,33.49699879110965,98692.17528958138,7164270.178273657,72.57976182163287
6-7,0.00024241350185444689,98675.42679018584,23.920255755191054,98663.46666230824,7065578.002984076,71.60423048392441
7-8,0.00018664407294081365,98651.50653443065,18.41271898133343,98642.30017493998,6966914.536321768,70.62147128883657
8-9,0.00016738330360994557,98633.09381544932,16.509533088099598,98624.83904890527,6868272.236146827,69.6345614890468
9-10,0.0001792860687403594,98616.58428236122,17.68057970858686,98607.74399250692,6769647.397097922,68.64613539762152
10-11,0.00021647078580005796,98598.90370265263,21.343782163537462,98588.23181157086,6671039.653105415,67.65835524118452
11-12,0.00026865751518294844,98577.5599204891,26.48360230103681,98564.31811933858,6572451.4212938445,66.67289621081173
12-13,0.0003215302632246596,98551.07631818806,31.687153509660526,98535.23274143322,6473887.103174506,65.69067883411559
13-14,0.0003651494002405816,98519.3891646784,35.97429586555077,98501.40201674563,6375351.870433073,64.71164635193243
14-15,0.0004019731447129535,98483.41486881285,39.587687976887146,98463.6210248244,6276850.468416327,63.735101760814786
15-16,0.000442429042011461,98443.82718083596,43.55440815155907,98422.04997676017,6178386.847391502,62.760530795314786
16-17,0.000491429228321953,98400.2727726844,48.356770115349974,98376.09438762673,6079964.7974147415,61.78808885479553
17-18,0.0005452520591729646,98351.91600256905,53.62658472400722,98325.10271020705,5981588.703027115,60.81822242152222
18-19,0.0005987447221842576,98298.28941784504,58.855581988675375,98268.8616268507,5883263.600316908,59.85112899888228
19-20,0.000651838216505395,98239.43383585635,64.03621734206436,98207.41572718532,5784994.738690058,58.8866864639706
20-21,0.0007053588505433544,98175.3976185143,69.24888561583202,98140.77317570637,5686787.322962873,57.92476996182225
21-22,0.0007570076675073809,98106.14873289847,74.26710682042366,98069.01517948825,5588646.5497871665,56.965303622331426
22-23,0.0008006399513693182,98031.88162607804,78.48824093774589,97992.63750560918,5490577.534607679,56.00808067267677
23-24,0.000831968367403457,97953.3933851403,81.49412477626376,97912.64632275216,5392584.897102069,55.05255827022868
24-25,0.0008540547296363673,97871.89926036404,83.58795846180799,97830.10528113313,5294672.250779317,54.09798206423018
25-26,0.0008731887286729934,97788.31130190223,85.38765122478692,97745.61747628983,5196842.145498184,53.143796802605095
26-27,0.0008872237992711418,97702.92365067745,86.68435912125234,97659.58147111682,5099096.528021893,52.189804946400265
27-28,0.00089824127134648,97616.2392915562,87.68293488530965,97572.39782411353,5001436.946550776,51.235706096120836
28-29,0.0009075968041431723,97528.55635667089,88.51660606201177,97484.29805363988,4903864.548726663,50.28131997353452
29-30,0.000919418596473935,97440.03975060888,89.58818458786925,97395.24565831495,4806380.250673023,49.32654238416389
30-31,0.0009395395050205942,97350.451566021,91.4645950778707,97304.71926848206,4708985.005014708,48.371475727785146
31-32,0.0009760750043885493,97258.98697094314,94.93206613448918,97211.52093787589,4611680.285746226,47.41649516793755
32-33,0.0010360808013414546,97164.05490480865,100.66981186735924,97113.71999887498,4514468.76480835,46.46233392823264
33-34,0.0011185848643270975,97063.3850929413,108.57363344531656,97009.09827621865,4417355.044809476,45.5100040100571
34-35,0.001215625693393685,96954.81145949599,117.86075990830382,96895.88107954184,4320345.946533257,44.5604079003148
35-36,0.0013197192625196664,96836.95069958769,127.79758916191315,96773.05190500674,4223450.065453716,43.614034053549545
36-37,0.001429576485367888,96709.15311042577,138.25313120650742,96640.02654482253,4126677.013548709,42.671007663946035
37-38,0.001548116223600906,96570.89997921926,149.50297698556975,96496.14849072648,4030036.9870038866,41.73138065267172
38-39,0.0016787589334777322,96421.39700223369,161.86828159590283,96340.46286143574,3933540.83851316,40.795310592959325
39-40,0.0018238410808520723,96259.52872063778,175.5620829041591,96171.7476791857,3837200.375651724,39.8630704580734
40-41,0.0019844443220347163,96083.96663773363,190.6732820328236,95988.62999671721,3741028.6279725386,38.93499361945971
41-42,0.002156319716733774,95893.29335570081,206.77659916543348,95789.90505611809,3645039.9979758216,38.01141738301895
42-43,0.0023448355830161857,95686.51675653538,224.36914930559865,95574.33218188258,3549250.0929197036,37.09247878622659
43-44,0.002551294137665911,95462.14760722978,243.55201755932322,95340.37159845012,3453675.760737821,36.178483800172316
44-45,0.002777138734937742,95218.59558967045,264.43525009844586,95086.37796462124,3358335.389139371,35.26974293562981
45-46,0.0030239636408494245,94954.16033957202,287.1379284142522,94810.5913753649,3263249.0111747496,34.36657224396302
46-47,0.003293524488351026,94667.02241115777,311.78815655042354,94511.12833288255,3168438.4197993847,33.469294154391214
47-48,0.0035877496147098363,94355.23425460735,338.5229553428239,94185.97277693593,3073927.291466502,32.578238141742546
48-49,0.003908752440703839,94016.71129926453,367.4880497579484,93832.96727438555,2979741.318689566,31.693741224416517
49-50,0.00425884502042984,93649.22324950658,398.8375281032835,93449.80448545494,2885908.3514151806,30.816148295499993
50-51,0.004640552868447944,93250.3857214033,432.7333449433353,93034.01904893164,2792458.5469297254,29.94581229157089
51-52,0.00505663115551538,92817.65237645997,469.34463278860363,92582.98006006567,2699424.527880794,29.08309420423793
52-53,0.0055100823534673625,92348.30774367136,508.84678087097694,92093.88435323587,2606841.5478207283,28.22836293932387
53-54,0.006004175402299188,91839.46096280038,551.4202324732626,91563.75084656375,2514747.6634674924,27.381995028107713
54-55,0.006542466466847617,91288.04073032712,597.2489453023846,90989.41625767593,2423183.9126209286,26.544374194416402
55-56,0.007128821345516585,90690.79178502473,646.5184523188846,90367.53255886529,2332194.496363253,25.715890780747987
56-57,0.00776743958825204,90044.27333270585,699.4134533798469,89694.56660601593,2241826.9638043875,24.896941036117084
57-58,0.008462880374560411,89344.859879326,756.1148612405979,88966.8024487057,2152132.3971983716,24.087926268004203
58-59,0.009220090193967316,88588.7450180854,816.7962192371202,88180.34690846685,2063165.5947496658,23.289251860701608
59-60,0.01004443236013899,87771.94879884829,881.6194028276143,87331.13909743448,1974985.247841199,22.501326162500725
60-61,0.010941718375139646,86890.32939602068,950.7295137743761,86414.9646391335,1887654.1087437645,21.724559244566674
61-62,0.011918241141147238,85939.5998822463,1024.2488749703202,85427.47544476113,1801239.144104631,20.95936153499287
62-63,0.01298080999250733,84915.35100727598,1102.2700368725154,84364.21598883973,1715811.6686598698,20.206142332413492
63-64,0.01413678749031036,83813.08097040346,1184.847714586769,83220.65711311008,1631447.45267103,19.465308204660033
64-65,0.015394127883679805,82628.2332558167,1271.9895895425668,81992.23846104542,1548226.79555792,18.73726127926051
65-66,0.01676141709551046,81356.24366627412,1363.6459334144017,80674.42069956692,1466234.5570968746,18.022397434072975
66-67,0.01824791403425457,79992.59773285972,1459.6980468059312,79262.74870945676,1385560.1363973077,17.32110439799033
67-68,0.01986359296618212,78532.89968605379,1559.945553817784,77752.9269091449,1306297.387687851,16.633759773419253
68-69,0.021619186602929663,76972.954132236,1664.092658763556,76140.90780285423,1228544.460778706,15.960728994084377
69-70,0.02352622946564411,75308.86147347244,1771.7335558213179,74422.99469556178,1152403.5529758518,15.302363233598827
