x to x + 1,nqx,Ix,ndx,nLx,Tx,ex
0-1,0.012482093615125945,100000.0,1248.2093615125946,99375.8953192437,7413466.675,74.13466675
1-2,0.0013770907280101481,98751.79063848741,135.99017526266036,98683.79555085608,7314090.779680756,74.0653990412825
2-3,0.0005735446999816326,98615.80046322475,56.56056969012878,98587.52017837968,7215406.9841299,73.16684497045308
3-4,0.00046903598642500605,98559.23989353461,46.22783030476282,98536.12597838223,7116819.463951521,72.20854657198281
4-5,0.0003259201145288562,98513.01206322985,32.10737217423046,98496.95837714273,7018283.337973138,71.2421962437663
5-6,0.00023182724970769394,98480.90469105562,22.830557283252958,98469.489412414,6919786.379595996,70.26526006543149
6-7,0.00017563256752757732,98458.07413377237,17.29244435393499,98449.42791159541,6821316.890183582,69.28143730412236
7-8,0.0001523108084632573,98440.78168941844,14.993595044870336,98433.28489189601,6722867.4622719865,68.29351968661418
8-9,0.0001568022381390384,98425.78809437357,15.433383863796495,98418.07140244167,6624434.177380091,67.30384694535934
9-10,0.0001855681010236736,98410.35471050977,18.26182264469543,98401.22379918741,6526016.105977649,66.31432358083657
10-11,0.00023671209441556126,98392.09288786507,23.29059838141699,98380.44758867436,6427614.882178461,65.32653888665472
11-12,0.0003078847266220653,98368.80228948366,30.286251801037665,98353.65916358314,6329234.434589786,64.34188774570886
12-13,0.0003956205905055373,98338.51603768262,38.90474178426625,98319.06366679049,6230880.775426203,63.36154974149268
13-14,0.0004968705498857391,98299.61129589836,48.842181918147425,98275.19020493928,6132561.711759413,62.3864289076319
14-15,0.000608797498863358,98250.7691139802,59.81482249799241,98220.86170273121,6034286.521554474,61.41719373773176
15-16,0.0007358014450749449,98190.95429148221,72.24904606096047,98154.82976845173,5936065.659851743,60.4543025646781
16-17,0.0008685841738958987,98118.70524542125,85.2243545393294,98076.09306815159,5837910.830083291,59.4984495105302
17-18,0.0009885265817450833,98033.48089088193,96.90870176163546,97985.02654000111,5739834.737015139,58.54973917945415
18-19,0.0010805903728688178,97936.57218912028,105.82931705933538,97883.65753059062,5641849.710475138,57.607179671149325
19-20,0.0011484795017420865,97830.74287206095,112.35660282876273,97774.56457064656,5543966.0529445475,56.668955894515896
20-21,0.0012094825109383602,97718.38626923219,118.18867918975552,97659.29192963731,5446191.488373901,55.73353896132339
21-22,0.0012696481509030526,97600.19759004243,123.91791039796995,97538.23863484344,5348532.196444264,54.8004238568257
22-23,0.0013158381317614908,97476.27967964446,128.26300574472393,97412.1481767721,5250993.95780942,53.869453933477956
23-24,0.0013462358943856767,97348.01667389974,131.05339429365918,97282.48997675291,5153581.809632648,52.93977202325879
24-25,0.0013645101772960047,97216.96327960608,132.65353580083448,97150.63651170566,5056299.319655895,52.01046349404531
25-26,0.0013801038782996595,97084.30974380524,133.98643239947103,97017.3165276055,4959148.683144189,51.080846083479756
26-27,0.001386388219927821,96950.32331140577,134.41078615712658,96883.1179183272,4862131.366616584,50.15074937913669
27-28,0.0013861533925271883,96815.91252524864,134.2017055974889,96748.8116724499,4765248.248698257,49.21968015800633
28-29,0.0013823679404243192,96681.71081965115,133.64969746246078,96614.88597091992,4668499.437025807,48.28730684890721
29-30,0.0013831772335460982,96548.0611221887,133.54308008722856,96481.28958214508,4571884.551054887,47.35345793499498
30-31,0.0013901418106505412,96414.51804210147,134.0298526840462,96347.50311575945,4475403.261472741,46.41835433454597
