x to x + 1,nqx,Ix,ndx,nLx,Tx,ex
0-1,0.003595180951892546,100000.0,359.5180951892546,99820.24095240537,8115879.4575,81.158794575
1-2,0.0008866990401927844,99640.48190481075,88.3511196693422,99596.30634497608,8016059.216547594,80.44982383972764
2-3,0.00042586839139742785,99552.1307851414,42.39610579765453,99530.93273224258,7916462.910202619,79.52077818694148
3-4,0.00026310678532983977,99509.73467934375,26.181686400507406,99496.6438361435,7816931.9774703765,78.55444497625635
4-5,0.00018869807525047247,99483.55299294324,18.77235496884677,99474.16681545881,7717435.333634233,77.57498703510983
5-6,0.00015022945005365316,99464.78063797439,14.94253929495014,99457.30936832691,7617961.166818774,76.58953368173754
6-7,0.00012933484977860847,99449.83809867944,12.86232987099964,99443.40693374394,7518503.857450447,75.60096628805154
7-8,0.00011836654416757539,99436.97576880844,11.770011184228787,99431.09076321631,7419060.450516704,74.61068071665879
8-9,0.00011435799073050588,99425.20575762421,11.37006675840903,99419.520724245,7319629.359753488,73.61945398028203
9-10,0.00011746033435666755,99413.8356908658,11.677182379927906,99407.99709967583,7220209.839029242,72.62781673046983
10-11,0.00013012032813531426,99402.15850848588,12.934241482482703,99395.69138774463,7120801.841929566,71.63628988319876
11-12,0.0001554045562565051,99389.2242670034,15.445538293891932,99381.50149785646,7021406.1505418215,70.64554736516727
12-13,0.00019467003138823536,99373.77872870951,19.345096624285436,99364.10618039737,6922024.649043965,69.65644999714762
13-14,0.0002459247653673017,99354.43363208523,24.43371577917171,99342.21677419565,6822660.542863567,68.66991530673148
14-15,0.00030388024246527596,99329.99991630606,30.184424458642926,99314.90770407673,6723318.326089372,67.6866841010202
15-16,0.00036152605100028053,99299.81549184742,35.89947015982408,99281.86575676751,6624003.418385295,66.70710701299471
16-17,0.00041223663532903934,99263.91602168759,40.920222750364815,99243.4559103124,6524721.552628527,65.73105126341156
17-18,0.0004514164714574846,99222.99579893722,44.79089465099706,99200.60035161172,6425478.096718215,64.75795298237749
18-19,0.0004772007817659439,99178.20490428622,47.327916914468354,99154.54094582898,6326277.496366603,63.78697318097152
19-20,0.000490266568950184,99130.87698737175,48.6005549376215,99106.57670990295,6227122.955420774,62.81718819267629
20-21,0.0004931026864017929,99082.27643243413,48.857736683638315,99057.84756409231,6128016.378710872,61.84775521270617
21-22,0.0004891236476321052,99033.41869575049,48.439586989943,99009.19890225552,6028958.53114678,60.87802087968797
22-23,0.0004818999470196671,98984.97910876054,47.70085618825456,98961.12868066641,5929949.332244524,59.90756764952129
23-24,0.00047463138438025006,98937.27825257229,46.95873734383239,98913.79888390037,5830988.203563858,58.93620995595012
