x to x + 1,nqx,Ix,ndx,nLx,Tx,ex
0-1,0.0068596623916826,100000.0,685.96623916826,99657.01688041587,7628791.1308,76.287911308
1-2,0.0006033446138537505,99314.03376083173,59.920587349687366,99284.0734671569,7529134.113919584,75.8113816225737
2-3,0.00028499564681929405,99254.11317348205,28.286990183351932,99239.96967839038,7429850.040452427,74.85684777079321
3-4,0.00020725764009172547,99225.8261832987,20.565310570902234,99215.54352801325,7330610.070774036,73.87804518989125
4-5,0.00016568495394310898,99205.2608727278,16.436819078612015,99197.0424631885,7231394.5272460235,72.89325650303273
5-6,0.00014944362824906556,99188.82405364918,14.82313774833552,99181.412484775,7132197.4847828355,71.90525296403531
6-7,0.00014604781756685453,99174.00091590085,14.48414639314055,99166.75884270428,7033016.07229806,70.9159256190746
7-8,0.00014488607973336408,99159.51676950771,14.366833652988747,99152.33335268122,6933849.313455356,69.92621121352184
8-9,0.00013843536642318393,99145.14993585472,13.725195160451559,99138.28733827449,6834696.980102675,68.93627156269986
9-10,0.00012757083868653962,99131.42474069426,12.64627899436195,99125.10160119708,6735558.6927644005,67.94574687474858
10-11,0.00012195538677999197,99118.7784616999,12.088068964456948,99112.73442721767,6636433.591163203,66.95435208301686
11-12,0.0001388478874354286,99106.69039273544,13.760754591748404,99099.81001543957,6537320.856735986,65.96245753773222
12-13,0.00019875930092183626,99092.9296381437,19.69564142117415,99083.08181743312,6438221.046720546,64.97154812387635
13-14,0.0003130280730401749,99073.23399672253,31.0127035278524,99057.7276449586,6339137.9649031125,63.984364991182375
14-15,0.0004657029016232153,99042.22129319467,46.124249839449355,99019.15916827494,6240080.237258154,63.004243602187046
15-16,0.0006352406008575184,98996.09704335523,62.886340168370175,98964.65387327105,6141061.078089879,62.03336557198218
16-17,0.0007932936344857548,98933.21070318687,78.48308629007609,98893.96916004183,6042096.424216608,61.07247891048155
17-18,0.0009254803908080408,98854.7276168968,91.48811194810807,98808.98356092274,5943202.455056566,60.120568821846824
18-19,0.0010169994383829272,98763.23950494868,100.44215910941134,98713.01842539398,5844393.471495643,59.175797602333624
19-20,0.0010755650212434073,98662.79734583927,106.1182537232116,98609.73821897765,5745680.453070249,58.23553160498902
20-21,0.0011303738070827596,98556.67909211606,111.40588855878904,98500.97614783666,5647070.714851271,57.297696785960426
21-22,0.0011961763172592128,98445.27320355727,117.7579043522082,98386.39425138116,5548569.738703434,56.3619720698072
22-23,0.0012374681150373497,98327.51529920506,121.67716501361345,98266.67671669825,5450183.344452053,55.4288728629769
23-24,0.001253736607845984,98205.83813419145,123.12425437303295,98144.27600700494,5351916.667735355,54.49692981004177
24-25,0.0012559584754798956,98082.71387981842,123.18781579542754,98021.1199719207,5253772.39172835,53.56471271957097
25-26,0.0012525077699082879,97959.52606402298,122.69506753172223,97898.17853025712,5155751.271756429,52.63144360648302
26-27,0.0012286675792884518,97836.83099649126,120.20894230571228,97776.72652533841,5057853.093226172,51.696820529761055
27-28,0.0012058663539304946,97716.62205418554,117.83318675488488,97657.7054608081,4960076.366700834,50.75980178633668
28-29,0.0011885948631941005,97598.78886743066,116.00541910179363,97540.78615787976,4862418.661240025,49.820481561965835
29-30,0.0011802764195875555,97482.78344832886,115.05663061982261,97425.25513301895,4764877.875082145,48.87917339381049
30-31,0.0011833510159984055,97367.72681770904,115.2201984551912,97310.11671848145,4667452.619949127,47.936341665729636
31-32,0.0011994354843024705,97252.50661925385,116.64810737649397,97194.1825655656,4570142.503230645,46.99254201357375
32-33,0.0012295130124855749,97135.85851187736,119.4298020193109,97076.1436108677,4472948.32066508,46.048373784827845
33-34,0.001274120436037372,97016.42870985805,123.61061445059295,96954.62340263276,4375872.177054212,45.10444504343593
34-35,0.0013335149032326094,96892.81809540746,129.2080169464321,96828.21408693424,4278917.55365158,44.161348980873456
35-36,0.00140781154980731,96763.61007846103,136.22492786950846,96695.49761452628,4182089.339564645,43.219649785426434
36-37,0.001497090613966707,96627.38515059152,144.65995136109655,96555.05517491097,4085393.841950119,42.27987578866103
37-38,0.0016014764708507006,96482.72519923042,154.5148142501215,96405.46779210537,3988838.786775208,41.34251782936811
