x to x + 1,nqx,Ix,ndx,nLx,Tx,ex
0-1,0.004965883456545169,100000.0,496.5883456545169,99751.70582717274,7871599.9068,78.715999068
1-2,0.0007417897838753992,99503.41165434549,73.81061422594182,99466.50634723251,7771848.200972827,78.10634903625856
2-3,0.0003537452416268602,99429.60104011955,35.1727482447994,99412.01466599715,7672381.694625595,77.16395936789299
3-4,0.00023450784655483083,99394.42829187475,23.3087733382761,99382.77390520561,7572969.679959597,76.19108847551638
4-5,0.00017690990915376456,99371.11951853648,17.579735726532167,99362.32965067321,7473586.9060543915,75.20884279320497
5-6,0.00014982677808187656,99353.53978280995,14.885820756687961,99346.0968724316,7374224.576403718,74.22206186638152
6-7,0.00013790175999151515,99338.65396205327,13.698975216555246,99331.80447444499,7274878.479531287,73.23310906055002
7-8,0.00013196348239097897,99324.95498683672,13.107266948390205,99318.40135336253,7175546.675056842,72.24314046764782
8-9,0.00012670430381015536,99311.84771988833,12.583238525448616,99305.5561006256,7076228.273703479,71.2526091918274
9-10,0.00012264507967702694,99299.26448136289,12.178566204186923,99293.1751982608,6976922.717602854,70.26157498792276
10-11,0.00012593265167183546,99287.0859151587,12.503486006065282,99280.83417215568,6877629.542404593,69.27013195131501
11-12,0.00014690887958577757,99274.58242915264,14.584317676012734,99267.29027031462,6778348.708232437,68.2787934471526
12-13,0.0001967705739080505,99259.99811147663,19.531446794507264,99250.23238807937,6679081.417962123,67.28875221678928
13-14,0.00028045672066080404,99240.46666468211,27.832655837624586,99226.5503367633,6579831.185574044,66.30189686437343
14-15,0.00038736131082816076,99212.63400884448,38.43113596038056,99193.41844086429,6480604.63523728,65.32035662574542
15-16,0.0005030788211980067,99174.20287288411,49.89244107454251,99149.25665234684,6381411.216796416,64.34547525404109
16-17,0.0006098096730357487,99124.31043180957,60.446963334315846,99094.08695014242,6282261.960144069,63.37761072714665
17-18,0.0006980545042275029,99063.86346847526,69.15197610034754,99029.28748042509,6183167.873193926,62.415977498813916
18-19,0.0007592931007749301,98994.71149237492,75.16600144936497,98957.12849165023,6084138.585713501,61.45922841728907
19-20,0.000797687215551563,98919.54549092555,78.90685680628256,98880.09206252241,5985181.457221851,60.5055495101411
20-21,0.0008296002220524389,98840.63863411927,81.99821575867023,98799.63952623993,5886301.365159328,59.55345338215376
21-22,0.0008642067542363886,98758.6404183606,85.34788408875004,98715.96647631623,5787501.7256330885,58.60248481668153
22-23,0.0008839619439141683,98673.29253427185,87.22343548100635,98629.68081653134,5688785.759156772,57.65274080806522
23-24,0.0008896036295905853,98586.06909879085,87.70252489735257,98542.21783634217,5590156.078340241,56.70330635394817
24-25,0.0008882431398582965,98498.3665738935,87.49049839650864,98454.62132469524,5491613.860503899,55.753349537873696
25-26,0.0008856031373183053,98410.87607549698,87.15298059870308,98367.29958519763,5393159.239179203,54.802471578870836
26-27,0.000874703834204951,98323.72309489828,86.00413758441341,98280.72102610607,5294791.939594005,53.850604644859466
27-28,0.0008671968767424375,98237.71895731386,85.19144305808392,98195.12323578482,5196511.218567899,52.897311477945465
28-29,0.0008656660000694836,98152.52751425578,84.96730588997573,98110.0438613108,5098316.095332115,51.94278970138217
29-30,0.000871935465462235,98067.5602083658,85.50858375702718,98024.80591648728,5000206.051470804,50.987360558851286
30-31,0.0008873583764259062,97982.05162460878,86.94519424849217,97938.57902748453,4902181.245554317,50.0314206966769
31-32,0.0009126239394868697,97895.10643036029,89.3414176869618,97850.43572151681,4804242.666526833,49.07541185365001
32-33,0.0009480314011787547,97805.76501267334,92.72293644832473,97759.40354444917,4706392.230805316,48.119783431942665
33-34,0.0009938324338438801,97713.04207622501,97.11039042490417,97664.48688101256,4608632.827260867,47.16497132149172
34-35,0.001050357552987584,97615.93168580011,102.53163113810017,97564.66587023107,4510968.340379855,46.21139462049565
35-36,0.0011177934444622029,97513.40005466201,108.99983932832141,97458.90013499785,4413403.674509624,45.25945841326065
36-37,0.001196479073594002,97404.40021533369,116.54232653362187,97346.12905206688,4315944.774374627,44.309546230286195
37-38,0.0012868374904612895,97287.85788880006,125.19366289797804,97225.26105735108,4218598.645322559,43.36202622679198
38-39,0.0013893297525516505,97162.66422590209,134.99098024623166,97095.16873577898,4121373.384265208,42.417253757915304
39-40,0.001504301161037055,97027.67324565585,145.95884151616409,96954.69382489777,4024278.2155294293,41.47557166851474
40-41,0.001632107877759246,96881.71440413968,158.1214092898178,96802.65369949477,3927323.5217045313,40.53730413276749
41-42,0.0017732552268860593,96723.59299484987,171.51561684131735,96637.8351864292,3830520.8680050364,39.60275615701121
42-43,0.0019285906164748072,96552.07737800854,186.2094304323768,96458.97266279235,3733883.032818607,38.67221849821188
43-44,0.0020989867660050334,96365.86794757616,202.270681516551,96264.73260681788,3637424.0601558145,37.7459793350754
44-45,0.00228559492636378,96163.59726605962,219.79103001219573,96053.70175105352,3541159.3275489965,36.82432259425083
45-46,0.002489699087703623,95943.80623604741,238.87120685670044,95824.37063261906,3445105.625797943,35.90753547260844
46-47,0.002712941159859509,95704.93502919072,259.6418574423716,95575.11410046954,3349281.255165324,34.995909606372635
47-48,0.0029571972968298207,95445.29317174834,282.2505629626239,95304.16789026704,3253706.1410648543,34.08974956166771
48-49,0.003224528548317339,95163.04260878572,306.8559476367689,95009.61463496734,3158401.9731745874,33.18937569239716
49-50,0.0035168239823792496,94856.18666114895,333.5925121269713,94689.39040508546,3063392.35853962,32.29512450761759
50-51,0.0038362466248248414,94522.59414902198,362.6119827738739,94341.28815763505,2968702.9681345345,31.407336995577488
51-52,0.004184497717380343,94159.98216624811,394.01223044323905,93962.97605102649,2874361.6799768996,30.52636177120286
52-53,0.004563137272331074,93765.96993580487,427.86699229034605,93552.0364396597,2780398.703925873,29.652534985020914
53-54,0.004973800620317603,93338.10294351452,464.2451143197208,93105.98038635465,2686846.6674862136,28.786171807158052
54-55,0.005419174524233584,92873.85782919479,503.29964431526423,92622.20800703716,2593740.687099859,27.927564846827323
55-56,0.005902563923753588,92370.55818487953,545.2231243590516,92097.9466227,2501118.479092822,27.0770094740235
56-57,0.006428576983149093,91825.33506052048,590.3062354400154,91530.18194280047,2409020.532470122,26.23481341922007
57-58,0.007002193747627097,91235.02882508046,638.8453484035564,90915.60615087868,2317490.3505273215,25.40132206206137
58-59,0.007629835874984057,90596.1834766769,691.2340108269873,90250.5664712634,2226574.744376443,24.576915482865264
59-60,0.008316360535171381,89904.94946584992,747.6819736543716,89531.10847902273,2136324.1779051796,23.76203079583127
60-61,0.009064761468019017,89157.26749219555,808.1893629571186,88753.17281071699,2046793.0694261568,22.957108567793696
61-62,0.009877877705565127,88349.07812923843,872.7013891600359,87912.72743465842,1958039.8966154398,22.162539078802702
