x to x + 1,nqx,lx,ndx,nLx,Tx,ex
0-1,0.00520560812219586,100000.0,520.5608122195863,99739.7195938902,8130966.4399,81.309664399
1-2,0.0004938458750841474,99479.43918778042,49.127510698569644,99454.87543243113,8031226.72030611,80.73252911233368
2-3,0.00023632224234994411,99430.31167708185,23.497594213081815,99418.5628799753,7931771.844873679,79.77217119296137
3-4,0.0001882352557401339,99406.81408286876,18.711867071200746,99397.45814933316,7832353.281993704,78.79090939846839
4-5,0.00016038336734089346,99388.10221579755,15.940198506990527,99380.13211654406,7732955.82384437,77.80564928238695
5-6,0.00014878574724573807,99372.16201729057,14.785161381167127,99364.76943659998,7633575.691727826,76.81804981157197
6-7,0.0001455380340651753,99357.3768559094,14.460277297481804,99350.14671726066,7534210.922291227,75.82940653936075
7-8,0.0001437950690602161,99342.91657861193,14.285021550064789,99335.7740678369,7434860.775573966,74.84037142890425
8-9,0.00013860132193630313,99328.63155706186,13.76707963993277,99321.74801724189,7335525.001506129,73.85106274510638
9-10,0.00012997746755838362,99314.86447742193,12.908694575679375,99308.41013013409,7236203.253488887,72.86123070866147
10-11,0.00012310780358030314,99301.95578284624,12.224845667654582,99295.84336001241,7136894.843358753,71.87063726081823
11-12,0.00012760012996002545,99289.73093717858,12.669382571279947,99283.39624589295,7037598.999998741,70.87942462500465
12-13,0.0001549983814409224,99277.0615546073,15.387783855174956,99269.36766267971,6938315.603752848,69.88840619478277
13-14,0.00021168788653861951,99261.67377075212,21.01249393481644,99251.16752378472,6839046.236090168,68.89916295271381
14-15,0.0002882353733182555,99240.6612768173,28.60466905147398,99226.35894229157,6739795.068566384,67.91364529269622
15-16,0.0003785015083446437,99212.05660776583,37.55191307201354,99193.28065122983,6640568.709624092,66.93308189222942
16-17,0.0004599091189048071,99174.50469469381,45.611259071957285,99151.69906515782,6541375.428972863,65.95823643496199
17-18,0.0005111262540625739,99128.89343562185,50.66737997111747,99103.55974563629,6442223.7299077045,64.98835512666682
18-19,0.0005179918667368461,99078.22605565074,51.321715267541755,99052.56519801696,6343120.170162069,64.02133367425486
19-20,0.0004920486268222376,99026.9043403832,48.72605229914264,99002.54131423363,6244067.604964051,63.05425426105862
20-21,0.0004559889722409209,98978.17828808406,45.13295779186208,98955.61180918814,6145065.063649817,62.085049148551754
21-22,0.0004297517084310041,98933.0453302922,42.516645250975046,98911.7870076667,6046109.451840629,61.11314406278948
22-23,0.0004149843879964167,98890.52868504122,41.038025525003924,98870.00967227873,5947197.664832962,60.13920386424803
23-24,0.0004199769991818238,98849.49065951622,41.51451245783534,98828.7334032873,5848327.655160683,59.16396347761723
24-25,0.0004396534693954967,98807.97614705838,43.44126951700169,98786.25551229987,5749498.921757396,58.18861134449585
25-26,0.00046356191705238686,98764.53487754137,45.783477124620404,98741.64313897907,5650712.666245096,57.213985498452885
26-27,0.0004872007865722945,98718.75140041675,48.09585333171784,98694.70347375088,5551971.023106118,56.24028813519495
27-28,0.0005110207459742993,98670.65554708503,50.42275200344453,98645.4441710833,5453276.319632367,55.267458084638925
28-29,0.0005348991904974226,98620.23279508158,52.7518826887565,98593.8568537372,5354630.875461284,54.29545970133151
29-30,0.000561502778473657,98567.48091239283,55.345914399457726,98539.8079551931,5256037.018607547,53.32425024921894
30-31,0.0005920455835754317,98512.13499799337,58.323674454148694,98482.9731607663,5157497.210652353,52.35392787657488
31-32,0.000629221813607993,98453.81132353922,61.949285717616505,98422.83668068041,5059014.237491587,51.38464595206618
32-33,0.0006740377630367109,98391.8620378216,66.31983058898994,98358.7021225271,4960591.400810907,50.41668384021503
33-34,0.0007249966224718256,98325.5422072326,71.28568600295456,98289.89936423113,4862232.6986883795,49.4503522639179
34-35,0.0007787752624562594,98254.25652122965,76.51798440976526,98215.99752902477,4763942.799324148,48.485866851934404
35-36,0.0008333127977196528,98177.73853681989,81.81276597390595,98136.83215383293,4665726.801795123,47.52326618366058
36-37,0.0008898020378499106,98095.92577084598,87.28595465567231,98052.28279351814,4567589.969641291,46.562483953831794
37-38,0.0009504652815045307,98008.6398161903,93.15380943277147,97962.06291147391,4469537.686847772,45.603506948266386
38-39,0.0010165356195316144,97915.48600675754,99.5345792296184,97865.71871714272,4371575.623936298,44.64641705025698
39-40,0.0010888337918337784,97815.95142752792,106.50531329466392,97762.69877088058,4273709.905219155,43.691339120547816
40-41,0.001168373557754459,97709.44611423326,114.16113318270432,97652.36554764191,4175947.2064482747,42.738418571794234
41-42,0.001260863873823957,97595.28498105056,123.05436908816046,97533.75779650648,4078294.8409006326,41.787826550150335
42-43,0.0013633671046024047,97472.2306119624,132.89043282856906,97405.78539554811,3980761.083104126,40.83995060040805
43-44,0.001476903889754033,97339.34017913383,143.76085013665377,97267.4597540655,3883355.297708578,39.895023847110835
44-45,0.0016025940143416662,97195.57932899718,155.76505365312147,97117.69680217061,3786087.8379545123,38.95329256836866
45-46,0.0017416667435381855,97039.81427534406,169.0110173224888,96955.30876668282,3688970.141152342,38.015016503279085
46-47,0.0018954721113337652,96870.80325802158,183.61590597807995,96778.99530503254,3592014.832385659,37.08046915661573
47-48,0.002065493255099527,96687.1873520435,199.70673333019013,96587.33398537841,3495235.8370806267,36.14993809215151
48-49,0.002253359894930111,96487.4806187133,217.42101918905493,96378.77010911878,3398648.5030952482,35.22372520561073
49-50,0.0024608630640176187,96270.05959952425,236.907433839244,96151.60588260462,3302269.7329861294,34.30214696784553
50-51,0.0026899712038654915,96033.15216568501,258.3264139421256,95903.98895871395,3206118.1271035247,33.38553462841709
51-52,0.0029428477458651667,95774.82575174289,281.85073007414564,95633.90038670582,3110214.1381448107,32.474234369340124
52-53,0.003221870308532693,95492.97502166874,307.6659808957686,95339.14203122085,3014580.2377581047,31.568607398335352
53-54,0.0035296516474018136,95185.30904077298,335.97098286421505,95017.32354934087,2919241.095726884,30.66902997054321
54-55,0.0038690625020162427,94849.33805790877,366.9780172209169,94665.84904929831,2824223.772177543,29.77589332730248
55-56,0.004243256491425888,94482.36004068785,400.9128875678866,94281.90359690391,2729557.923128245,28.88960354030942
56-57,0.00465569721577562,94081.44715311997,438.01473156692174,93862.43978733651,2635276.019531341,28.010581249269705
57-58,0.005110187726611301,93643.43242155305,478.5355190383752,93404.16466203386,2541413.579744004,27.139261281062037
58-59,0.005610902531955863,93164.89690251468,522.7391559197266,92903.52732455482,2448009.4150819704,26.276092138474684
59-60,0.006162422303461184,92642.15774659495,570.900099138386,92356.70769702576,2355105.8877574154,25.421535346784136
60-61,0.006769771451324388,92071.25764745657,623.3013715092837,91759.60696170192,2262749.1800603895,24.5760646468469
61-62,0.007438458727326702,91447.95627594729,680.2318484570108,91107.84035171878,2170989.5730986875,23.740165024001776
62-63,0.008174521006290618,90767.72442749028,741.9826700257173,90396.73309247741,2079881.7327469687,22.914331562960804
63-64,0.008984570380238395,90025.74175746457,808.842612853107,89621.32045103802,1989484.9996544914,22.099068120030584
64-65,0.009875844676119296,89216.89914461145,881.0922384371831,88776.35302539286,1899863.6792034535,21.294885805479176
65-66,0.010856261475443824,88335.80690617427,958.9966174177442,87856.3085974654,1811087.3261780606,20.502301270669367
66-67,0.011934475670509814,87376.81028875653,1042.7964165579165,86855.41208047757,1723231.0175805953,19.721834796735962
67-68,0.013119940534799666,86334.01387219861,1132.6971281338153,85767.6653081317,1636375.6055001179,18.95400818410304
68-69,0.014422972211882764,85201.3167440648,1228.8562238154682,84586.88863215706,1550607.9401919863,18.19934244502158
69-70,0.0158548174347205,83972.46052024933,1331.3680310928278,83306.77650470291,1466021.0515598292,17.458355304550224
70-71,0.01742772417221061,82641.0924891565,1440.2461651911651,81920.96940656091,1382714.2750551263,16.73155851898443
71-72,0.01915501475831495,81200.84632396534,1555.4034097232202,80423.14461910372,1300793.3056485653,16.019455024628897
72-73,0.021051160887066732,79645.44291424211,1676.6290327093998,78807.12839788741,1220370.1610294615,15.322535933957827
73-74,0.02313185964974893,77968.81388153271,1803.5636597650107,77067.03205165021,1141563.0326315742,14.641277400552568
74-75,0.025414109544057432,76165.2502217677,1935.6720125865488,75197.41421547442,1064496.000579924,13.976137378666364
