x to x + 1,nqx,lx,ndx,nLx,Tx,ex
0-1,0.00572474202987428,100000.0,572.4742029874279,99713.76289850629,7873419.6703,78.73419670300001
1-2,0.0005429793278134787,99427.52579701257,53.9870911234192,99400.53225145086,7773705.907401494,78.1846460030796
2-3,0.00025944796699985356,99373.53870588915,25.7822625908242,99360.64757459374,7674305.375150043,77.22685007588687
3-4,0.00019897865565794904,99347.75644329832,19.768083019720844,99337.87240178845,7574944.727575449,76.24676186722715
4-5,0.00016569228841546442,99327.9883602786,16.457881695119173,99319.75941943104,7475606.85517366,75.26183685567487
5-6,0.0001528070970036425,99311.53047858347,15.175506671421104,99303.94272524776,7376287.095754229,74.27422636835634
6-7,0.0001497936150337466,99296.35497191205,14.873959970916843,99288.91799192659,7276983.153028982,73.2855013166135
7-8,0.0001476790599407262,99281.48101194113,14.661795785366524,99274.15011404845,7177694.235037055,72.29640575339276
8-9,0.0001400986645519957,99266.81921615577,13.907148806507807,99259.86564175252,7078420.084923007,71.30701014514815
9-10,0.00012770295082468908,99252.91206734926,12.674889748943892,99246.57462247479,6979160.219281254,70.31693150267935
10-11,0.00011843144906317585,99240.23717760031,11.753165094316461,99234.36059505315,6879913.64465878,69.32584846957275
11-12,0.00012647056045508916,99228.484012506,12.549481986170488,99222.20927151291,6780679.284063727,68.33400058000626
12-13,0.00016868388551895752,99215.93453051984,16.73612934200259,99207.56646584884,6681457.074792214,67.3425806692062
13-14,0.000254473013719205,99199.19840117784,25.243518975677066,99186.57664169,6582249.508326365,66.35385783770819
14-15,0.00037079828976627064,99173.95488220216,36.77353285967785,99155.56811577232,6483062.931684675,65.37062013292898
15-16,0.0005027435941882264,99137.18134934249,49.84058286925845,99112.26105790786,6383907.363568902,64.39468297038931
16-17,0.0006244147605292317,99087.34076647322,61.87159815617576,99056.40496739514,6284795.102510994,63.42682177053127
17-18,0.0007187698821160394,99025.46916831705,71.17652480059674,98989.88090591675,6185738.697543599,62.466138756984655
18-19,0.0007715526929432342,98954.29264351646,76.34845096739798,98916.11841803275,6086748.816637682,61.510710187836295
19-20,0.000792260423260242,98877.94419254905,78.3370819170915,98838.7756515905,5987832.6982196495,60.557819512906725
20-21,0.0008070050281553537,98799.60711063196,79.73177971805342,98759.74122077294,5888993.922568059,59.60543867319019
21-22,0.0008267312690926892,98719.8753309139,81.6148078169985,98679.0679270054,5790234.181347285,58.653175583317285
22-23,0.0008375991514060146,98638.2605230969,82.61932331031136,98596.95086144174,5691555.11342028,57.7012924116556
23-24,0.0008402906935522614,98555.6411997866,82.8153880972565,98514.23350573797,5592958.162558838,56.749244330125144
24-25,0.0008380484579563461,98472.82581168934,82.52499982209012,98431.5633117783,5494443.9290531,55.79654979699867
25-26,0.0008346572353534834,98390.30081186724,82.12217646123071,98349.23972363662,5396012.365741322,54.84292985402162
26-27,0.0008377490640602913,98308.17863540602,82.35758464128331,98266.99984308537,5297663.126017685,53.8883254633884
27-28,0.0008448125174221426,98225.82105076473,82.98240315775344,98184.32984918586,5199396.1261746,52.933088983674324
28-29,0.000857818121331492,98142.83864760697,84.18870547082996,98100.74429487156,5101211.796325414,51.977422567141105
29-30,0.0008777552743566599,98058.64994213614,86.07149718300337,98015.61419354464,5003111.052030543,51.021618745341186
30-31,0.0009019623986174731,97972.57844495313,88.36758185294848,97928.39465402666,4905095.437836998,50.06600332145974
31-32,0.0009341681118775,97884.21086310019,91.44030844460137,97838.49070887789,4807167.043182972,49.1107503528452
32-33,0.0009797540547010048,97792.7705546556,95.81286347136884,97744.86412291991,4709328.552474094,48.156203426531285
33-34,0.0010375324040072652,97696.95769118423,101.36375937753046,97646.27581149546,4611583.688351174,47.20294057598176
34-35,0.0011026627512251345,97595.5939318067,107.61502611229702,97541.78641875055,4513937.412539679,46.25144671688476
35-36,0.0011708748812895033,97487.9789056944,114.14622572835853,97430.90579283022,4416395.626120928,45.30195082198961
36-37,0.0012441104411449072,97373.83267996604,121.14380193144294,97313.26077900032,4318964.720328097,44.35446979398494
37-38,0.0013260320363727108,97252.6888780346,128.96018107566192,97188.20878749677,4221651.459549097,43.409097560721484
38-39,0.0014176953348838091,97123.72869695895,137.69185708019944,97054.88276841884,4124463.2507616007,42.466071948602426
39-40,0.001519122128806646,96986.03683987875,147.3336347487164,96912.3700225044,4027408.367993182,41.52565151870595
40-41,0.0016309409439787038,96838.70320513003,157.9382060190483,96759.7341021205,3930495.9979706774,40.58806931403083
41-42,0.001765556974371359,96680.76499911098,170.69539893173877,96595.41729964511,3833736.263868557,39.65355739483246
42-43,0.001913959377064689,96510.06960017924,184.71635269242884,96417.71142383303,3737140.846568912,38.72280749616174
43-44,0.0020770563104767093,96325.35324748681,200.07318282159068,96225.31665607601,3640723.135145079,37.796104684828315
44-45,0.0022560687592425403,96125.28006466522,216.86524132733095,96016.84744400156,3544497.818489003,36.873732030788936
45-46,0.0024523622285686224,95908.41482333788,235.2021739146448,95790.81373638056,3448480.9710450014,35.955979226609685
46-47,0.0026676999085013344,95673.21264942324,255.22742063089507,95545.59893910779,3352690.157308621,35.04314389017052
