x to x + 1,nqx,lx,ndx,nLx,Tx,ex
0-1,0.0064417572168079425,100000.0,644.1757216807943,99677.9121391596,7622899.0858,76.22899085799999
1-2,0.0005898684725767639,99355.82427831921,58.6068683086575,99326.52084416489,7523221.17366084,75.71998147372332
2-3,0.0002813657303750049,99297.21741001055,27.93883410077327,99283.24799296015,7423894.652816675,74.7643775571524
3-4,0.0002091676442299507,99269.27857590978,20.763921144129764,99258.89661533771,7324611.404823715,73.78527888890308
4-5,0.00017072772306019093,99248.51465476565,16.94447292411413,99240.0424183036,7225352.508208377,72.80061100502762
5-6,0.00015662047608018656,99231.57018184154,15.541695764064468,99223.79933395951,7126112.465790073,71.8129568314952
6-7,0.00015382795467211517,99216.02848607747,15.262198732703613,99208.39738671112,7026888.666456114,70.8241276503238
7-8,0.00015136047931848788,99200.76628734477,15.015075534013798,99193.25874957777,6927680.2690694025,69.83494713138299
8-9,0.0001415179718891353,99185.75121181076,14.036566351795802,99178.73292863485,6828487.010319824,68.84544329091806
9-10,0.00012554665547230987,99171.71464545895,12.450677091191663,99165.48930691335,6729308.27739119,67.85511676841138
10-11,0.00011399855553605839,99159.26396836776,11.304012860412644,99153.61196193755,6630142.788084276,66.86357403983274
11-12,0.00012540072788530402,99147.95995550734,12.433226346763595,99141.74334233395,6530989.1761223385,65.87114025395097
12-13,0.00018161620624827145,99135.52672916057,18.00461826897425,99126.52442002608,6431847.432780004,64.87933887063402
13-14,0.0002947391320988076,99117.5221108916,29.213812442748566,99102.91520467022,6332720.908359978,63.89103332582305
14-15,0.00044806963690358445,99088.30829844886,44.398462320676416,99066.10906728852,6233617.993155308,62.90972265244425
15-16,0.0006183678130277928,99043.90983612818,61.24556591908847,99013.28705316863,6134551.88408802,61.93769908960443
16-17,0.0007766253752483429,98982.66427020909,76.87244878193188,98944.22804581812,6035538.597034851,60.97571369223462
17-18,0.0009094876497328876,98905.79182142716,89.95359614864005,98860.81502335284,5936594.368989033,60.022717170167944
18-19,0.001002305855321806,98815.83822527852,99.043693251729,98766.31637865266,5837733.55396568,59.07690162640652
19-20,0.0010626740343374322,98716.79453202679,104.90377430220828,98664.34264487568,5738967.237587027,58.1356725042883
20-21,0.00111979030678068,98611.89075772458,110.4246394038153,98556.67843802267,5640302.894942151,57.196985592737235
