x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.013457133484769826,100000.0,1345.7133484769827,99327.14332576151,7770784.3266,77.707843266
1-2,0.0006470765041902748,98654.28665152301,63.83687092985281,98622.36821605808,7671457.183274238,77.76101215319879
2-3,9.519040551157522e-05,98590.44978059316,9.384864894183256,98585.75734814607,7572834.81505818,76.81103830960349
3-4,9.967095571381245e-05,98581.06491569898,9.825668955433104,98576.15208122127,7474249.057710034,75.8183030798216
4-5,0.00010475328570285924,98571.23924674354,10.325661186899017,98566.0764161501,7375672.9056288125,74.82581087538148
5-6,0.00010824333919885104,98560.91358555664,10.668562400990053,98555.57930435614,7277106.829212663,73.83359756396442
6-7,0.00011208047549073397,98550.24502315566,11.045558321923625,98544.72224399469,7178551.249908307,72.84153629675515
7-8,0.00011720501927523317,98539.19946483373,11.549288772641884,98533.42482044741,7080006.527664312,71.84964527939967
8-9,0.00012453660584732846,98527.65017606108,12.270299135039581,98521.51502649357,6981473.102843865,70.85800879619606
9-10,0.00013420721735421108,98515.37987692605,13.221474999875287,98508.7691394261,6882951.587817371,69.86677203514975
10-11,0.00014553227169130176,98502.15840192616,14.33524287872876,98494.9907804868,6784442.818677945,68.87608280617411
11-12,0.00015712546832174855,98487.82315904743,15.47494533785488,98480.0856863785,6685947.827897458,67.88603518122599
12-13,0.0001672902762372989,98472.34821370957,16.47346633440696,98464.11148054237,6587467.74221108,66.8966249074779
13-14,0.00017515838287228243,98455.87474737516,17.24537180502622,98447.25206147264,6489003.630730538,65.90773427568918
14-15,0.00018246991111875292,98438.62937557013,17.96208795281214,98429.64833159372,6390556.378669065,64.91919299574312
15-16,0.0001920617414537623,98420.66728761733,18.90284475430112,98411.21586524017,6292126.730337472,63.93094970540916
16-17,0.00020689355533471592,98401.76444286303,20.358690896793163,98391.58509741463,6193715.514472231,62.943134704343755
17-18,0.00022807157339283022,98381.40575196623,22.438002002449377,98370.186750965,6095323.929374817,61.95605645991694
18-19,0.0002570283908073363,98358.96774996378,25.281047202243876,98346.32722636266,5996953.742623852,60.97007603687525
19-20,0.0002934823556894287,98333.68670276154,28.859202017152707,98319.25710175296,5898607.415397489,59.9856225591086
20-21,0.0003346582421923533,98304.82750074439,32.89852077042163,98288.37824035918,5800288.158295737,59.00308566486031
21-22,0.0003817391584029989,98271.92897997396,37.51424346345454,98253.17185824223,5701999.780055378,58.022670758984916
22-23,0.00043864413610811455,98234.4147365105,43.08994998818289,98212.86976151641,5603746.608197136,57.04463780058953
23-24,0.0005065346351515736,98191.32478652232,49.73730687579075,98166.45613308443,5505533.7384356195,56.069451658842524
24-25,0.0005831078369651937,98141.58747964654,57.22712879158703,98112.97391525074,5407367.282302535,55.09761377585178
25-26,0.0006788637046961908,98084.36035085494,66.58591224053755,98051.06739473468,5309254.308387284,54.129468647149174
26-27,0.0007724311510089743,98017.7744386144,75.71198232895694,97979.91844744992,5211203.24099255,53.16590047916432
27-28,0.0008448968135245824,97942.06245628545,82.7509364793412,97900.68698804578,5113223.3225451,52.20661270868467
28-29,0.0008945945191417452,97859.31151980611,87.5444037326032,97815.53931793981,5015322.635557055,51.2503364030104
29-30,0.000942847050921885,97771.7671160735,92.18382228881124,97725.6752049291,4917507.096239115,50.29577802762947
30-31,0.000989509126769983,97679.58329378469,96.6548391682887,97631.25587420053,4819781.421034186,49.342772138349886
31-32,0.0010720753608012173,97582.9284546164,104.61625323102224,97530.62032800089,4722150.165159985,48.39115037786707
32-33,0.0012252423977925644,97478.31220138537,119.4345609743976,97418.59492089818,4624619.544831985,47.442548402743675
33-34,0.0014454015592010635,97358.87764041098,140.72267354351558,97288.51630363922,4527200.949911087,46.50013496079962
34-35,0.0016856845844898311,97218.15496686747,163.879145160192,97136.21539428737,4429912.433607448,45.56671986952631
35-36,0.0019103752927665599,97054.27582170728,185.4100905871405,96961.57077641372,4332776.2182131605,44.64281641926472
36-37,0.002101844200436425,96868.86573112014,203.60326363980963,96767.06409930023,4235814.647436746,43.72730717415582
37-38,0.002267674261361007,96665.26246748032,219.2053276652113,96555.65980364772,4139047.583337446,42.81835560866433
38-39,0.0024167944011259665,96446.05713981511,233.0902909061802,96329.51199436202,4042491.9235337987,41.91453796471444
39-40,0.00256399812884338,96212.96684890892,246.68986697107263,96089.62191542338,3946162.411539437,41.01487087220185
40-41,0.002719329549820496,95966.27698193784,260.96393278324206,95835.79501554622,3850072.7896240135,40.11901795824224
41-42,0.0028970381329436524,95705.3130491546,277.2619414287106,95566.68207844025,3754236.9946084674,39.22704889623294
42-43,0.0030791330418054137,95428.0511077259,293.83566528089455,95281.13327508545,3658670.3125300272,38.3395686075561
43-44,0.0032671777130693306,95134.215442445,310.82038844389245,94978.80524822306,3563389.1792549416,37.4564415408539
44-45,0.0034630625318033117,94823.3950540011,328.37934654989465,94659.20538072615,3468410.3740067184,36.57758058579836
45-46,0.0036689625168250545,94495.01570745121,346.69867065743324,94321.66637212249,3373751.1686259923,35.702953678222016
46-47,0.0038872959208419273,94148.31703679377,365.98236877126095,93965.32585240815,3279429.5022538695,34.83258761781421
47-48,0.004120686521146161,93782.33466802251,386.4476023881387,93589.11086682844,3185464.1764014615,33.96656937234073
48-49,0.00437193159384964,93395.88706563436,408.32042939785987,93191.72685093543,3091875.065534633,33.105045229259446
49-50,0.004643976838802925,92987.5666362365,431.8321057553259,92771.65058335883,2998683.338683698,32.24821819904614
50-51,0.0049398988949097035,92555.73453048118,457.21597072467983,92327.12654511884,2905911.688100339,31.396344082206397
51-52,0.005262895577105003,92098.5185597565,484.7048859860655,91856.16611676347,2813584.5615552203,30.549726592286884
52-53,0.005616283581300244,91613.81367377043,514.5291575562967,91356.54909499228,2721728.395438457,29.708711888474777
53-54,0.0060035031352521275,91099.28451621413,546.9148402123171,90825.82709610797,2630371.8463434647,28.873682821024826
54-55,0.006428128907600401,90552.36967600182,582.0823051660253,90261.32852341881,2539546.019247357,28.045053137028916
55-56,0.006893886406568917,89970.2873708358,620.2449411009039,89660.16490028534,2449284.690723938,27.22326183786185
56-57,0.007404673085274205,89350.0424297349,661.6078543475662,89019.23850256111,2359624.5258236527,26.40876782659916
57-58,0.007964583404193204,88688.43457538733,706.3664341630047,88335.25135830583,2270605.2873210916,25.602044936208923
58-59,0.008577937166913942,87982.06814122433,754.7046523305631,87604.71581505904,2182270.0359627856,24.803577388746046
59-60,0.009249310529073455,87227.36348889377,806.7929715411426,86823.9670031232,2094665.3201477265,24.01385570268245
60-61,0.009983569171249998,86420.57051735262,862.7857435788782,85989.17764556318,2007841.3531446033,23.23337303983018
61-62,0.010785903215934554,85557.78477377375,922.8179859396827,85096.37578080391,1921852.1754990402,22.462621964566697
62-63,0.011661863550253377,84634.96678783407,987.0014342599472,84141.46607070409,1836755.7997182363,21.70209157549126
63-64,0.012617399285478557,83647.96535357412,1055.4197782839212,83120.25546443216,1752614.3336475322,20.952264962325785
64-65,0.013658896138721864,82592.5455752902,1128.123001845541,82028.48407436743,1669494.0781831,20.213616937877436
65-66,0.014793215559919458,81464.42257344467,1205.1207635933356,80861.862191648,1587465.5941087327,19.48661199528598
66-67,0.016027734447480242,80259.30180985133,1286.3747763484675,79616.11442167709,1506603.7319170847,18.771702443742893
67-68,0.017370385298553975,78972.92703350286,1371.790170726534,78287.03194813959,1426987.6174954076,18.069326680648846
68-69,0.01882969662485904,77601.13686277631,1461.2058648702437,76870.53393034119,1348700.585547268,17.379907564140495
69-70,0.02041483343263973,76139.93099790608,1554.384008894935,75362.73899345861,1271830.0516169267,16.703850856548627
70-71,0.022135637515867224,74585.54698901114,1650.9986320714327,73760.04767297543,1196467.312623468,16.041543716234276
71-72,0.02400266724548056,72934.5483569397,1750.6236949110348,72059.23650948418,1122707.2649504927,15.393353222069653
