x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00579608410620163,100000.0,579.608410620163,99710.19579468992,7172954.166,71.72954166
1-2,0.001467051816356585,99420.39158937984,145.85486606408264,99347.46415634779,7073243.970205311,71.14480095209039
2-3,0.00039814408497267697,99274.53672331576,39.52556958479097,99254.77393852336,6973896.5060489625,70.24859280366768
3-4,0.00021252237763194891,99235.01115373097,21.089660514723874,99224.4663234736,6874641.732110439,69.27637385418856
4-5,0.00017861824850926584,99213.92149321624,17.72141688485409,99205.06078477381,6775417.265786965,68.29099347968254
5-6,0.00017170517240711015,99196.20007633138,17.032500636236673,99187.68382601326,6676212.2050021915,67.30310435142528
6-7,0.0001744350303327196,99179.16757569514,17.30032110444026,99170.51741514292,6577024.521176178,66.31457675984714
7-8,0.00017529504166769204,99161.8672545907,17.382583652239624,99153.17596276458,6477854.003761035,65.32605913046825
8-9,0.00016816429382516724,99144.48467093846,16.672562251348484,99136.14838981278,6378700.827798271,64.33742480955186
9-10,0.00015685295561516048,99127.81210868711,15.548490312911868,99120.03786353066,6279564.679408458,63.34816179059142
10-11,0.00015416948857817367,99112.2636183742,15.280086993869878,99104.62357487726,6180444.641544928,62.3580212570097
11-12,0.00017500913638126647,99096.98353138033,17.34287750581546,99088.31209262743,6081340.017970051,61.36755934699381
12-13,0.0002357732339886489,99079.64065387452,23.36032729939721,99067.96049022482,5982251.705877423,60.37821359057873
13-14,0.00035577457575616166,99056.28032657513,35.241706109170686,99038.65947352054,5883183.745387198,59.3923345999985
14-15,0.0005420583413472858,99021.03862046596,53.67517995309531,98994.2010304894,5784145.085913678,58.413294452338675
15-16,0.0007710922500513047,98967.36344051287,76.3129669569903,98929.20695703437,5685150.884883189,57.44470386240419
16-17,0.0010050608681846172,98891.05047355588,99.39152504464087,98841.35471103356,5586221.677926154,56.48864736672957
17-18,0.001215336670673307,98791.65894851123,120.06512587677646,98731.62638557285,5487380.3232151205,55.544975978944365
18-19,0.0013908125033062454,98671.59382263446,137.2336864096753,98602.97697942962,5388648.696829547,54.61195555952837
19-20,0.0015370915803211611,98534.36013622479,151.45633533772417,98458.63196855593,5290045.719850117,53.68731996165169
20-21,0.0016685670038455126,98382.90380088706,164.1584670246674,98300.82456737472,5191587.087881561,52.76919959984706
21-22,0.001798511624161929,98218.74533386239,176.64755519355174,98130.42155626562,5093286.263314187,51.856560028345214
22-23,0.001932641572613138,98042.09777866883,189.48023403325757,97947.3576616522,4995155.841757921,50.94909181803252
23-24,0.0020708537582828897,97852.61754463558,202.6384608001268,97751.29831423551,4897208.484096268,50.04678062763524
24-25,0.0022116994117008892,97649.97908383545,215.972401292323,97541.99288318929,4799457.185782033,49.14959768359555
25-26,0.0023442569217866946,97434.00668254313,228.41034458296278,97319.80151025165,4701915.192898843,48.25743447273494
26-27,0.00245381482423279,97205.59633796016,238.52453329247524,97086.33407131392,4604595.391388591,47.369653238683256
27-28,0.0025078229693069375,96967.07180466768,243.17624993818072,96845.48367969859,4507509.057317277,46.4849455946993
