x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006810796585324462,100000.0,681.0796585324462,99659.46017073377,7613144.7978,76.131447978
1-2,0.00033175363234021936,99318.92034146756,32.94941258339076,99302.44563517586,7513485.337629266,75.65009075609375
2-3,0.00024068059016004657,99285.97092888417,23.89620607777707,99274.02282584528,7414182.89199409,74.67503034547214
3-4,0.000169807092115425,99262.0747228064,16.855404266023786,99253.6470206734,7314908.869168244,73.69288713333306
4-5,0.0001324778167724295,99245.21931854037,13.147789980421171,99238.64542355016,7215655.222147571,72.70531791549567
5-6,0.0001160911926723148,99232.07152855996,11.519969535094978,99226.31154379241,7116416.576724021,71.71488478577056
6-7,0.0001103633034700931,99220.55155902487,10.950307842178681,99215.07640510378,7017190.265180228,70.72315316656754
7-8,0.00010664354095022265,99209.60125118268,10.58006317368576,99204.31121959584,6917975.188775124,69.73090408114763
8-9,9.905431137685101e-05,99199.02118800899,9.826090733035883,99194.10814264248,6818770.877555529,68.73828789733835
9-10,8.824164742327829e-05,99189.19509727595,8.752617981972588,99184.81878828496,6719576.769412886,67.74504786355935
10-11,8.164540110125575e-05,99180.44247929398,8.09762700762198,99176.39366579016,6620391.950624601,66.7509822010196
11-12,9.28018688464246e-05,99172.34485228636,9.20337894017427,99167.74316281627,6521215.55695881,65.75639173069797
12-13,0.00013847705126975067,99163.14147334619,13.731819425874098,99156.27556363324,6422047.813795994,64.76244820785715
13-14,0.00022947833635092408,99149.40965392032,22.752641577557885,99138.03333313153,6322891.538232361,63.7713483146529
14-15,0.0003558018289353092,99126.65701234275,35.269445861234644,99109.02228941214,6223753.50489923,62.78587105105622
15-16,0.0005017698889352257,99091.38756648151,49.72107453367083,99066.52702921467,6124644.482609818,61.80804036577574
16-17,0.0006451894608627421,99041.66649194784,63.90063940688733,99009.71617224439,6025577.955580603,60.83881833784054
17-18,0.0007763841099516082,98977.76585254095,76.84476464642368,98939.34347021773,5926568.239408359,59.877773440934995
18-19,0.0008837165215653279,98900.92108789453,87.40037796340114,98857.22089891283,5827628.895938141,58.92390921980446
19-20,0.0009716254783271542,98813.52070993112,96.00973432497699,98765.51584276864,5728771.675039228,57.975585060430554
20-21,0.0010648350322889834,98717.51097560614,105.11786398719764,98664.95204361255,5630006.15919646,57.031484116203835
21-22,0.0011681317498678672,98612.39311161895,115.19226732413345,98554.79697795688,5531341.207152847,56.09174498880628
22-23,0.0012404931027047415,98497.20084429481,122.18509828307135,98436.10829515327,5432786.41017489,55.15675941657554
23-24,0.001277886882162883,98375.01574601175,125.71214215439548,98312.15967493455,5334350.3018797375,54.224644961197875
24-25,0.0012950205456930374,98249.30360385735,127.23486676702825,98185.68617047384,5236038.142204803,53.29338682456811
25-26,0.0013041328576718838,98122.06873709032,127.96421390277861,98058.08663013893,5137852.45603433,52.36184399862956
26-27,0.0012898647340811008,97994.10452318753,126.39913957231688,97930.90495340138,5039794.369404191,51.42956705330846
27-28,0.001269866286410613,97867.70538361522,124.27889959501942,97805.5659338177,4941863.46445079,50.49534414932901
28-29,0.0012494919627729403,97743.4264840202,122.12962580567098,97682.36167111735,4844057.898516972,49.5589122743606
29-30,0.0012333017741135923,97621.29685821453,120.39651860650562,97561.09859891127,4746375.5368458545,48.62028767902464
30-31,0.0012249537857866796,97500.90033960802,119.43409698861261,97441.18329111372,4648814.438246943,47.67970779812834
31-32,0.001227227172433643,97381.46624261941,119.50918146437209,97321.71165188722,4551373.254955829,46.73757164034055
32-33,0.0012421274602174633,97261.95706115504,120.81174770015248,97201.55118730497,4454051.543303942,45.79438536799527
33-34,0.0012710335262972237,97141.1453134549,123.4696524763116,97079.41048721674,4356849.9921166375,44.85071673859682
34-35,0.0013148564921359096,97017.67566097858,127.56432069477371,96953.8935006312,4259770.581629421,43.907159727418005
35-36,0.0013741909674936574,96890.11134028381,133.1455158432728,96823.53858236218,4162816.6881287894,42.96430905635695
36-37,0.0014494477056208547,96756.96582444053,140.24416211707077,96686.84374338199,4065993.149546427,42.02274342628641
37-38,0.0015409631244695148,96616.72166232346,148.88280528877542,96542.28025967907,3969306.305803045,41.08301583317861
38-39,0.0016490854228874104,96467.83885703469,159.08370683658762,96388.29700361639,3872764.025543366,40.145649279889035
39-40,0.0017742395441877918,96308.75515019809,170.8748018389811,96223.3177492786,3776375.7285397495,39.21113633594694
40-41,0.001916974464087101,96137.88034835912,184.29386165926556,96045.73341752948,3680152.410790471,38.27994124121839
41-42,0.002077996628955625,95953.58648669985,199.3912292555643,95853.89087207206,3584106.6773729413,37.35250352387543
42-43,0.0022581931882647613,95754.19525744428,216.2314714781346,95646.07952170522,3488252.7865008693,36.42924236501982
43-44,0.002458648206165562,95537.96378596615,234.8942432830761,95420.5166643246,3392606.706979164,35.51056116895715
44-45,0.002680654473037515,95303.06954268306,255.47459966379873,95175.33224285116,3297186.190314839,34.5968519811226
45-46,0.0029257229743464524,95047.59494301927,278.08293218116717,94908.55347692869,3202010.858071988,33.68849953532841
46-47,0.0031955915687421933,94769.51201083811,302.8446535556463,94618.08968406028,3107102.3045950592,32.78588481324798
47-48,0.00349223400493664,94466.66735728247,329.8997080781399,94301.7175032434,3012484.214910999,31.88938806867696
48-49,0.0038178700722233646,94136.76764920432,359.4019479037418,93957.06667525246,2918182.4974077553,30.999391314159073
49-50,0.004174977425905626,93777.36570130059,391.51838486382644,93581.60650886867,2824225.430732503,30.116280294417933
50-51,0.00456630544444641,93385.84731643676,426.4283030352863,93172.63316491911,2730643.8242236343,29.24044598504185
51-52,0.0049948913463081345,92959.41901340148,464.3221975878709,92727.25791460754,2637471.1910587153,28.37228566024584
52-53,0.005464078708209516,92495.09681581361,505.40048912506495,92242.39657125108,2544743.933144108,27.512203573465968
53-54,0.0059775384714544225,91989.69632668854,549.8719487701903,91714.76035230345,2452501.536572857,26.66061129132485
54-55,0.006539292489571319,91439.82437791835,597.9517568022419,91140.84849951723,2360786.7762205536,25.817927716740627
55-56,0.007153739651126537,90841.87262111611,649.8591061522645,90516.94306803998,2269645.927721036,24.984578831694613
56-57,0.0078256846002951,90192.01351496385,705.8142512336601,89839.10638934703,2179128.984652996,24.160997185093937
57-58,0.008560369070012343,89486.19926373019,766.0348923701972,89103.18181754509,2089289.878263649,23.34762114665499
58-59,0.00936350583476042,88720.16437135999,830.7317767521328,88304.79848298393,2000186.696446104,22.54489394399488
59-60,0.010241315279508788,87889.43259460786,900.1033889385152,87439.3809001386,1911881.8979631201,21.753262497230146
60-61,0.011200564565785118,86989.32920566935,974.3295983024366,86502.16440651813,1824442.5170629816,20.97317606334729
61-62,0.012248609353386428,86014.9996073669,1053.5641287223243,85488.21754300574,1737940.3526564634,20.205084701385204
62-63,0.013393438005096093,84961.43547864458,1137.9257189071977,84392.47261919097,1652452.1351134577,19.449437568987506
63-64,0.014643718160246148,83823.50975973738,1227.4878521242365,83209.76583367526,1568059.6624942666,18.706681061062497
64-65,0.01600884550931401,82596.02190761315,1322.2669544028943,81934.8884304117,1484849.8966605915,17.977256802046153
65-66,0.01749899453413434,81273.75495321026,1422.2089936948,80562.65045636286,1402915.0082301798,17.261599504512194
66-67,0.019125170894787078,79851.54595951545,1527.1744626886777,79087.95872817111,1322352.357773817,16.560134708528327
67-68,0.0208992650427089,78324.37149682677,1636.9217992157771,77505.91059721888,1243264.3990456457,15.873276418132704
68-69,0.022834106517889405,76687.449697611,1751.0893949805352,75811.90500012072,1165758.4884484268,15.20142465351463
69-70,0.02494351824391739,74936.36030263046,1869.1764703414299,74001.77206745975,1089946.5834483062,14.54496293984065
70-71,0.027242369965942256,73067.18383228904,1990.5232543287325,72071.92220512468,1015944.8113808464,13.904255756082547
71-72,0.029746629781264706,71076.66057796031,2114.2911083011973,70019.51502380971,943872.8891757218,13.279645969585705
72-73,0.0324734124885694,68962.36946965911,2239.443469977365,67842.64773467043,873853.374151912,12.671452284370467
73-74,0.035441023228606795,66722.92599968174,2364.728770235333,65540.56161456408,806010.7264172416,12.07996673318982
74-75,0.038668994606138395,64358.19722944641,2488.666781526254,63113.86383868328,740470.1648026776,11.505452245077544
75-76,0.04217811517111981,61869.53044792015,2609.5401808154797,60564.76035751241,677356.3009639943,10.948140321416725
76-77,0.04599044679903015,59259.99026710467,2725.393429690322,57897.293552259514,616791.540606482,10.408228854348362
77-78,0.050129328150813286,56534.59683741435,2834.041356736675,55117.57615904601,558894.2470542224,9.885880121539111
78-79,0.054619361019770066,53700.55548067767,2933.0900267613256,52234.010467297005,503776.67089517636,9.381218990862084
79-80,0.05948637599716217,50767.465453916346,3019.972538414609,49257.47918470904,451542.66042787937,8.894331367354997
80-81,0.0647573735257916,47747.49291550174,3092.0022336492343,46201.49179867712,402285.18124317034,8.425262912863099
81-82,0.07046043608194748,44655.490681852505,3146.4453468966694,43082.26800840417,356083.6894444932,7.974018066029261
82-83,0.07662460695715433,41509.04533495584,3180.6142839576914,39918.73819297699,313001.42143608903,7.540559386763406
83-84,0.08327973093460365,38328.431050998144,3191.9814250726336,36732.44033846183,273082.68324311206,7.124807245038549
84-85,0.09045625210999733,35136.44962592551,3178.3115456129394,33547.29385311904,236350.24290465022,6.726639868880168
85-86,0.09818496423797284,31958.138080312572,3137.8086445276876,30389.23375804873,202802.94905153118,6.345893760827872
86-87,0.1064967093439076,28820.329435784883,3069.2702471184475,27285.69431222566,172413.71529348244,5.9823644860701775
87-88,0.11542202098085932,25751.059188666437,2972.2392939536076,24264.939541689633,145128.0209812568,5.635807829028274
88-89,0.1249907094876108,22778.81989471283,2847.1408599306606,21355.2494647475,120863.08143956716,5.3059413085583325
89-90,0.13523138796768622,19931.67903478217,2695.388620400025,18583.98472458216,99507.83197481967,4.9924460353375935
90-91,0.1461709395032146,17236.290414382143,2519.4447634204903,15976.568032671898,80923.84725023751,4.6949688885906555
91-92,0.15783392836788843,14716.845650961654,2322.817562275152,13555.436869824078,64947.27921756561,4.413124983295704
92-93,0.17024196071186995,12394.028088686502,2109.9836429359802,11339.036267218513,51391.84234774153,4.146500393576884
93-94,0.18341300332664476,10284.044445750522,1886.227478139803,9340.93070668062,40052.80608052301,3.894655093315283
94-95,0.19736067258519874,8397.816967610719,1657.3988049750456,7569.117565123196,30711.87537384239,3.657126071250907
95-96,0.21209350936775295,6740.418162635673,1429.5989427195414,6025.618691275902,23142.757808719194,3.4334305751247034
96-97,0.22761425954512424,5310.819219916132,1208.8181843192247,4706.41012775652,17117.139117443294,3.22306943780956
97-98,0.24391918316388939,4102.001035596907,1000.556741940226,3601.722664626794,12410.728989686773,3.025530437946565
98-99,0.26099741857248715,3101.444293656681,809.4689544907645,2696.709816411299,8809.00632505998,2.8402916483384386
99-100,0.2788304300208304,2291.9753391659165,639.0724694167711,1972.439104457531,6112.29650864868,2.6668247272123944
100-101,0.2973915684189578,1652.9028697491453,491.5593768788947,1407.123181309698,4139.857404191149,2.504598110365335
101-102,0.31664577463022403,1161.3434928702507,367.73450991167056,977.4762379144154,2732.7342228814505,2.353080066025531
102-103,0.33654945263363123,793.6089829585801,267.0886688198429,660.0646485486586,1755.257984967035,2.2117415788609405
103-104,0.35705053594607855,526.5203141387371,187.99436034973374,432.5231339638703,1095.1933364183765,2.0800590347778964
104-105,0.3780887648124851,338.52595378900344,127.99285972505272,274.52952392647705,662.6702024545061,1.9575166838390636
105-106,0.39959618398142427,210.53309406395073,84.12822098975695,168.46898356907224,388.14067852802907,1.8436088646953004
106-107,0.4214978617024176,126.40487307419377,53.27938370953818,99.76518121942469,219.67169495895683,1.7378419804276042
107-108,0.4437128204061697,73.12548936465559,32.446717129572704,56.90213079986924,119.90651373953214,1.6397362230506678
108-109,0.46615515901263394,40.67877223508289,18.962619539683782,31.197462465240996,63.004382939662904,1.5488270534705464
109-110,0.48873533670832114,21.716152695399106,10.613451199595199,16.409427095601508,31.806920474421908,1.4646664591357696
