x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006143507345360947,100000.0,614.3507345360947,99692.82463273195,7890320.441,78.90320441
1-2,0.00029372237499513575,99385.6492654639,29.191788942685626,99371.05337099255,7790627.616367267,78.3878525113633
2-3,0.00020707347769396674,99356.45747652122,20.574087181015972,99346.17043293071,7691256.562996275,77.41073663796624
3-4,0.00016607431240395828,99335.8833893402,16.497138530924456,99327.63482007475,7591910.392563344,76.42666611024508
4-5,0.00014415401761982304,99319.38625080929,14.317288555589172,99312.2276065315,7492582.757743269,75.43927767356917
5-6,0.00013352711568039125,99305.0689622537,13.259919430972081,99298.43900253822,7393270.530136738,74.45008202901458
6-7,0.0001282091023155041,99291.80904282273,12.730113704662756,99285.4439859704,7293972.0911342,73.45995768884062
7-8,0.00012288592886779603,99279.07892911807,12.200001831343911,99272.9789282024,7194686.647148229,72.46931301895935
8-9,0.00011408274956296192,99266.87892728673,11.324638488558515,99261.21660804245,7095413.668220026,71.47815812177834
9-10,0.00010247408449304781,99255.55428879817,10.171122056594598,99250.46872776987,6996152.451611984,70.48625642909295
10-11,9.305080554341714e-05,99245.38316674158,9.234862850130396,99240.76573531651,6896901.982884213,69.49342894164425
11-12,9.465114839781876e-05,99236.14830389144,9.392815399539579,99231.45189619168,6797661.217148897,68.4998494332164
12-13,0.00011814725874741918,99226.75548849191,11.72336915536575,99220.89380391422,6698429.765252706,67.50628630631357
13-14,0.00017068738058340077,99215.03211933654,16.934753946947527,99206.56474236306,6599208.871448792,66.51420385079568
14-15,0.0002462729734539694,99198.09736538959,24.429810399150863,99185.88246019001,6500002.3067064285,65.52547356593043
15-16,0.0003341517379762828,99173.66755499045,33.13905337498215,99157.09802830295,6400816.424246239,64.54149152744677
16-17,0.0004212100990432182,99140.52850161547,41.75899182936245,99119.64900570079,6301659.326217935,63.56289825623889
17-18,0.0005034377679813306,99098.7695097861,49.890063331703054,99073.82447812025,6202539.677212235,62.58947217906402
18-19,0.0005743180230985443,99048.87944645439,56.88555663381373,99020.43666813748,6103465.852734114,61.62074610883038
19-20,0.0006357990518782723,98991.99388982057,62.93901585868765,98960.52438189123,6004445.416065977,60.65586902663064
20-21,0.0007038148951315538,98929.05487396188,69.62774238158121,98894.24100277109,5905484.891684086,59.694140404028154
