x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005817415564383908,100000.0,581.7415564383908,99709.12922178081,7673258.885,76.73258885
1-2,0.0003237103337354811,99418.25844356162,32.18271762016564,99402.16708475153,7573549.755778219,76.17866048294961
2-3,0.00023220453985137946,99386.07572594145,23.07789798157659,99374.53677695067,7474147.588693467,75.20316638020337
3-4,0.00016274258655657743,99362.99782795987,16.170591274537774,99354.9125323226,7374773.051916516,74.22051682342982
4-5,0.00012389771083122023,99346.82723668533,12.308844472970033,99340.67281444884,7275418.139384193,73.23251624383666
5-6,0.00010571416449572804,99334.51839221237,10.501065617418261,99329.26785940366,7176077.466569744,72.24152875273148
6-7,9.862428550521301e-05,99324.01732659496,9.795760242342824,99319.11944647378,7076748.19871034,71.24911365033432
7-8,9.463976544396247e-05,99314.22156635261,9.399074634289331,99309.52202903548,6977429.079263866,70.25609191934501
8-9,8.834616423493933e-05,99304.82249171833,8.773200157174843,99300.43589163973,6878119.55723483,69.26269424436504
9-10,8.017337719413078e-05,99296.04929156115,7.960899613739335,99292.06884175428,6778819.121343191,68.26876970138731
10-11,7.65331340166774e-05,99288.08839194741,7.598828575160623,99284.28897765983,6679527.052501436,67.27420338815958
11-12,8.910209455513008e-05,99280.48956337225,8.8460995685552,99276.06651358797,6580242.763523776,66.27931421836419
12-13,0.00013235277459362275,99271.64346380369,13.138877450903292,99265.07402507824,6480966.697010188,65.28517581532002
13-14,0.0002157905094827562,99258.50458635278,21.419043275185558,99247.79506471519,6381701.62298511,64.29375144810051
14-15,0.00033102684027192024,99237.0855430776,32.850138865119234,99220.66047364504,6282453.827920395,63.30752050545921
15-16,0.0004643835863377376,99204.23540421248,46.06881861690135,99181.20099490402,6183233.16744675,62.328318365167235
16-17,0.0005962149854712208,99158.16658559558,59.119584850183756,99128.60679317049,6084051.966451846,61.357043760989214
17-18,0.0007182546537626989,99099.0470007454,71.17835169173381,99063.45782489954,5984923.359658675,60.39334928835046
18-19,0.0008200692218437269,99027.86864905366,81.20970718387224,98987.26379546172,5885859.901833775,59.43639888577994
19-20,0.0009050766386069197,98946.6589418698,89.55430947649283,98901.88178713156,5786872.638038314,58.4847704806086
20-21,0.0009980541605923278,98857.10463239331,98.66474458247123,98807.77226010208,5687970.756251182,57.53729868381517
21-22,0.0010949896165839555,98758.43988781083,108.1394662271836,98704.37015469724,5589162.98399108,56.594281869380936
22-23,0.0011579425895850875,98650.30042158366,114.23138433351542,98593.1847294169,5490458.6138363825,55.655771856475035
23-24,0.0011700271702980776,98536.06903725014,115.28987802794981,98478.42409823617,5391865.429106966,54.71971311407449
24-25,0.0011435763302066757,98420.77915922219,112.55167344698498,98364.5033224987,5293387.005008729,53.78322596334303
25-26,0.0011097317194680256,98308.2274857752,109.09575832564313,98253.67960661238,5195022.50168623,52.844229161164854
26-27,0.0010915536486585829,98199.13172744957,107.18962053220238,98145.53691718346,5096768.8220796175,51.90238174636446
27-28,0.0010766870667255639,98091.94210691737,105.6143254165107,98039.13494420912,4998623.285162434,50.95855151602646
28-29,0.0010697337761747126,97986.32778150086,104.81928443119807,97933.91813928526,4900584.150218225,50.012938143227586
29-30,0.00107278667475996,97881.50849706966,105.00597802106013,97829.00550805913,4802650.23207894,49.06596052535009
30-31,0.0010737332206483927,97776.5025190486,104.98587895351373,97724.00957957185,4704821.226570881,48.11811739384213
31-32,0.0010875212625455924,97671.5166400951,106.21985109117905,97618.4067145495,4607097.216991309,47.169301506474724
32-33,0.0011326707963089846,97565.29678900391,110.50936240612349,97510.04210780085,4509478.81027676,46.22011062016264
33-34,0.001205737207946771,97454.78742659779,117.50486329279211,97396.03499495139,4411968.768168959,45.271955177081686
34-35,0.0012894232445497956,97337.282563305,125.50895469843697,97274.52808595578,4314572.733174007,44.32600355745446
35-36,0.0013751222653793243,97211.77360860656,133.67807434620906,97144.93457143345,4217298.205088052,43.38258678488587
36-37,0.0014567745454979616,97078.09553426034,141.4208984997298,97007.38508501048,4120153.2705166186,42.44163678574178
37-38,0.0015381153657851498,96936.67463576062,149.099788765379,96862.12474137793,4023145.885431608,41.50282543267109
38-39,0.0016266932662883787,96787.57484699524,157.4436962639896,96708.85299886324,3926283.7606902304,40.56598966238197
39-40,0.0017334191085198892,96630.13115073125,167.50051579546053,96546.38089283352,3829574.907691367,39.63127093057233
40-41,0.0018655429464600587,96462.63063493579,179.95518017798645,96372.6530448468,3733028.5267985333,38.69921960687795
41-42,0.002028572098286035,96282.6754547578,195.31634897585135,96185.01728026988,3636655.8737536864,37.77061508290255
42-43,0.0022094486639160963,96087.35910578196,212.3000871954961,95981.2090621842,3540470.8564734166,36.84637489699072
43-44,0.0024092440105590984,95875.05901858646,230.9864117025295,95759.56581273519,3444489.6474112323,35.92685817010532
44-45,0.0026292435508613113,95644.07260688393,251.47156107976056,95518.33682634405,3348730.081598497,35.01241624624707
45-46,0.002870947853893858,95392.60104580417,273.8671832498045,95255.66745417927,3253211.744772153,34.10339700465946
46-47,0.0031360749418997786,95118.73386255436,298.29947777159066,94969.58412366857,3157956.0773179736,33.20014837330771
47-48,0.0034265645776374617,94820.43438478277,324.9083416990938,94657.98021393322,3062986.493194305,32.30302110581627
48-49,0.0037445849797511865,94495.52604308368,353.8465274746182,94318.60277934637,2968328.5129803717,31.412370905549658
49-50,0.004092542165184689,94141.67951560907,385.27879291893385,93949.0401191496,2874009.910201025,30.528559985213594
50-51,0.00447309197396573,93756.40072269013,419.38100358058,93546.71022089984,2780060.8700818755,29.65195814528606
51-52,0.004889154753966835,93337.01971910955,456.33913368078066,93108.85015226917,2686514.1598609756,28.782943444582113
52-53,0.005343932648958052,92880.68058542877,496.3481014379171,92632.50653470981,2593405.3097087066,27.921902524426194
53-54,0.005840929425655861,92384.33248399085,539.6103660753167,92114.52730095318,2500772.803173997,27.069230636129266
54-55,0.006383972782600132,91844.72211791553,586.3342062262451,91551.5550148024,2408658.2758730436,26.225331410776874
55-56,0.006977239097359967,91258.3879116893,636.7315920994807,90940.02211563956,2317106.720858241,25.390616401206913
56-57,0.00762528058332459,90621.6563195898,691.0155563624822,90276.14854140856,2226166.6987426016,24.565504418631644
57-58,0.00833305483963329,89930.64076322732,749.3969612433342,89555.94228260565,2135890.550201193,23.75042068058476
58-59,0.00910595678535385,89181.24380198399,812.0805521249721,88775.2035259215,2046334.6079185873,22.94579578260001
59-60,0.009949852970319256,88369.16324985902,879.260181446237,87929.5331591359,1957559.4043926657,22.152064503063954
60-61,0.0108711182489885,87489.90306841278,951.1130818492572,87014.34652748815,1869629.8712335299,21.369664448840133
61-62,0.011876674789402858,86538.78998656353,1027.7930653388476,86024.8934538941,1782615.5247060417,20.59903454835479
62-63,0.01297403336587517,85510.99692122468,1109.4225272052179,84956.28565762207,1696590.6312521475,19.840613398708218
63-64,0.0141713368505077,84401.57439401947,1196.0831414508352,83803.53282329405,1611634.3455945253,19.09483747389341
64-65,0.015477405773862895,83205.49125256864,1287.8051507296045,82561.58867720384,1527830.8127712314,18.362139202249654
