x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.013963147084724145,100000.0,1396.3147084724144,99301.8426457638,7520567.6322,75.205676322
1-2,0.0013183844856019843,98603.68529152758,129.99756891153055,98538.68650707182,7421265.789554236,75.26357425295848
2-3,0.000490305176856818,98473.68772261606,48.28215887458034,98449.54664317876,7322727.103047165,74.36227151027455
3-4,0.0004252166565463265,98425.40556374147,41.85212187303035,98404.47950280496,7224277.556403986,73.3985043295093
4-5,0.0003471510465958506,98383.55344186844,34.153953545163425,98366.47646509585,7125873.076901182,72.42951517411518
5-6,0.0002727391283336895,98349.39948832328,26.8237294885871,98335.98762357899,7027506.600436086,71.45449425210207
6-7,0.00021818606019344475,98322.57575883469,21.452615432891637,98311.84945111825,6929170.612812507,70.47385159852153
7-8,0.0001952881273434229,98301.1231434018,19.197042254430144,98291.52462227458,6830858.763361389,69.48912224936153
8-9,0.00021239037183980945,98281.92610114737,20.874134829755363,98271.48903373249,6732567.238739114,68.50259763743597
9-10,0.00026621584485111044,98261.05196631761,26.15864896517211,98247.97264183502,6634295.749705382,67.51704380266067
10-11,0.0003407718164645884,98234.89331735244,33.47568303595925,98218.15547583446,6536047.777063547,66.53488955241735
11-12,0.0004077565824737014,98201.41763431649,40.042274448641564,98181.39649709217,6437829.621587712,65.55740005262422
12-13,0.00041008826427909434,98161.37535986784,40.25482804057687,98141.24794584756,6339648.22509062,64.58393845694334
13-14,0.0003965020900973722,98121.12053182727,38.90522937356569,98101.66791714048,6241506.977144772,63.610229309603454
14-15,0.0004294890914567811,98082.21530245371,42.12524153831924,98061.15268168456,6143405.309227631,62.635262573172554
15-16,0.00046321914130253224,98040.09006091539,45.41404633124015,98017.38303774977,6045344.156545947,61.66196045709245
16-17,0.0004994940706250088,97994.67601458415,48.947759622103554,97970.2021347731,5947326.773508198,60.69030497762022
17-18,0.000538494776706983,97945.72825496206,52.743263066058624,97919.35662342903,5849356.5713734245,59.72038470270998
18-19,0.0005804228980277749,97892.984991896,56.81933004558575,97864.57532687321,5751437.214749996,58.75229175232653
19-20,0.0006254981639718666,97836.1656618504,61.19634199153481,97805.56749085464,5653572.639423123,57.7861223523771
20-21,0.0006739579810193584,97774.96931985886,65.89622091704179,97742.02120940035,5555767.071932268,56.82197714383582
21-22,0.0007260580130280789,97709.07309894182,70.942455469033,97673.60187120731,5458025.050722868,55.859961389624296
22-23,0.0007820732381014122,97638.13064347279,76.36016899450948,97599.95055897553,5360351.448851661,54.90018513796696
23-24,0.0008422992672507445,97561.77047447828,82.17620778233837,97520.6823705871,5262751.4982926855,53.942763366203955
24-25,0.0009070538377364177,97479.59426669595,88.41924008059546,97435.38464665564,5165230.815922098,52.98781611452406
25-26,0.0009766784484023724,97391.17502661535,95.11986171307856,97343.61509575881,5067795.431275442,52.03546861294671
26-27,0.001051540127852704,97296.05516490228,102.31070628766508,97244.89981175846,4970451.816179683,51.08585140225377
27-28,0.0011320333367276832,97193.74445861462,110.02655884854327,97138.73117919035,4873206.916367925,50.139100448413636
28-29,0.0012185820101449807,97083.71789976607,118.30447211064518,97024.56566371075,4776068.185188734,49.19535724950067
29-30,0.001311641748786218,96965.41342765543,127.18388444002859,96901.82148543542,4679043.619525023,48.2547689338322
30-31,0.0014117021685062271,96838.22954321539,136.70673864046097,96769.87617389516,4582141.798039587,47.31748834787137
31-32,0.0015192894193162495,96701.52280457492,146.9176004287597,96628.06400436054,4485371.921865692,46.3836741323115
32-33,0.0016349688853996968,96554.60520414617,157.86377525083063,96475.67331652076,4388743.857861332,45.45349078464125
33-34,0.001759348078570894,96396.74142889533,169.5954218134223,96311.94371798862,4292268.184544811,44.527108706375685
34-35,0.0018930797383304582,96227.1460070819,182.1656603833734,96136.06317689021,4195956.240826823,43.604704233024
35-36,0.002036865152424409,96044.98034669853,195.63067353347748,95947.16500993179,4099820.1776499324,42.68645964474769
36-37,0.002191457712583898,95849.34967316505,210.04979658740848,95744.32477487135,4003873.012640001,41.77256315554288
37-38,0.002357666720908359,95639.29987657764,225.48559452998205,95526.55707931265,3908128.6878651297,40.86320887865724
38-39,0.002536361463153604,95413.81428204766,242.00392159748066,95292.81232124893,3812602.130785817,39.95859676582668
39-40,0.002728475565992274,95171.81036045018,259.67395913973866,95041.97338088031,3717309.318464568,39.058932517788286
