x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.01058157299192,100000.0,1058.157299192,99470.921350404,7269142.926,72.69142926
1-2,0.0015928510612863796,98941.842700808,157.59961915161205,98863.0428912322,7169672.004649596,72.46349783811986
2-3,0.0005817097215961518,98784.24308165639,57.46375454111692,98755.51120438582,7070808.961758364,71.57830784727011
3-4,0.0004644274940117938,98726.77932711528,45.85143071474752,98703.8536117579,6972053.450553978,70.61967885585736
4-5,0.00042354666347906494,98680.92789640054,41.79597775953863,98660.02990752077,6873349.59694222,69.65225949393339
5-6,0.0003626671183704522,98639.131918641,35.773169731496424,98621.24533377525,6774689.567034699,68.6815611133172
6-7,0.0003133615450704973,98603.3587489095,30.89850084669882,98587.90949848614,6676068.321700924,67.70629729461176
7-8,0.0002757611325129037,98572.4602480628,27.18245327258898,98558.8690214265,6577480.412202438,66.72736376519225
8-9,0.00025118734320308405,98545.2777947902,24.753326514483227,98532.90113153297,6478921.543181011,65.74563173562369
9-10,0.00024151477955861036,98520.52446827572,23.79416274895429,98508.62738690124,6380388.642049478,64.76202473022774
10-11,0.0002496714631639311,98496.73030552677,24.591822772243983,98484.43439414064,6281880.014662577,63.77754870823456
11-12,0.0002705319769328345,98472.13848275453,26.63986229654343,98458.81855160625,6183395.580268436,62.79335125185016
12-13,0.00027803823379571834,98445.49862045798,27.371612561570963,98431.81281417719,6084936.76171683,61.810208155645604
13-14,0.0003000212642270082,98418.1270078964,29.527530887763337,98403.36324245251,5986504.948902653,60.82725947855456
14-15,0.00037342762361357984,98388.59947700864,36.74102089336764,98370.22896656196,5888101.5856602,59.8453643710634
15-16,0.0004695373108729656,98351.85845611527,46.17986713884291,98328.76852254584,5789731.356693638,58.86753384814811
16-17,0.0005731812363033075,98305.67858897643,56.346970389265095,98277.50510378179,5691402.588171092,57.89495245709337
17-18,0.0006755451733715206,98249.33161858717,66.37186176191449,98216.14568770622,5593125.08306731,56.92786903406458
18-19,0.0007768356979983438,98182.95975682525,76.27202807423664,98144.82374278812,5494908.937379604,55.96601437753685
19-20,0.0008808378155046615,98106.68772875101,86.41608050539102,98063.47968849832,5396764.113636816,55.00913585583471
20-21,0.0009883176647163196,98020.27164824562,96.87516597025338,97971.8340652605,5298700.633948318,54.057191893562305
21-22,0.0010941302633200225,97923.39648227536,107.14095157834291,97869.8260064862,5200728.799883057,53.110175777291545
22-23,0.001186702641093448,97816.25553069702,116.07880878014974,97758.21612630694,5102858.973876571,52.16780121250067
23-24,0.0012568652865375138,97700.17672191687,122.79596061035778,97638.77874161169,5005100.757750264,51.22918837696924
24-25,0.0013061477800839778,97577.38076130651,127.45047926778955,97513.65552167263,4907461.979008652,50.29302837112702
25-26,0.0013471760564905133,97449.93028203872,131.28221278263237,97384.28917564741,4809948.32348698,49.3581504837004
26-27,0.0014026363735244983,97318.64806925609,136.50267560416827,97250.396731454,4712564.034311333,48.424059805656896
27-28,0.00147610178750434,97182.14539365192,143.45073852907626,97110.4200243874,4615313.637579879,47.4913742527993
28-29,0.0015668769615638253,97038.69465512285,152.0476950353387,96962.67080760517,4518203.217555491,46.56084084409071
29-30,0.0016691043910643756,96886.64696008751,161.713927876586,96805.78999614922,4421240.546747886,45.633125776034106
30-31,0.0017748035399209289,96724.93303221093,171.66775354418274,96639.09915543885,4324434.756751737,44.7085836214705
31-32,0.0018788895397754187,96553.26527866675,181.4129201632481,96462.55881858512,4227795.657596298,43.78718467360234
32-33,0.0019813575156165104,96371.8523585035,190.94709396440564,96276.3788115213,4131333.0987777123,42.86866961329273
33-34,0.0020871294746750797,96180.90526453909,200.74200227855107,96080.53426339982,4035056.719966191,41.952783755445424
34-35,0.0022029955773168737,95980.16326226054,211.44387517691143,95874.44132467208,3938976.185702791,41.03948203275873
35-36,0.0023369444886595626,95768.71938708363,223.8061809576293,95656.81629660483,3843101.744378119,40.12898751255976
36-37,0.002495764320144009,95544.913206126,238.45758535110542,95425.68441345045,3747444.928081514,39.221815189646755
37-38,0.002682141928670172,95306.4556207749,255.62544069342331,95178.64290042818,3652019.2436680635,38.318697509846295
38-39,0.0028923512163371054,95050.83018008148,274.92038428521033,94913.36998793887,3556840.6007676353,37.42040541917323
39-40,0.003118839281364535,94775.90979579627,295.5908303981912,94628.11438059717,3461927.2307796963,36.527501959503724
40-41,0.0033562538176838087,94480.31896539808,317.0999312236013,94321.76899978628,3367299.116399099,35.64021748944687
41-42,0.0036229806894407897,94163.21903417449,341.15152421639755,93992.64327206629,3272977.347399313,34.75855414640675
42-43,0.003910960201531826,93822.06750995808,366.9343720568782,93638.60032392964,3178984.7041272465,33.883123539031324
43-44,0.004220629582353401,93455.13313790121,394.43949954460146,93257.91338812892,3085346.103803317,33.01419622666012
44-45,0.004553549996381627,93060.6936383566,423.7565211802104,92848.8153777665,2992088.190415188,32.15200825863978
45-46,0.004911107762978793,92636.93711717639,454.94998101474323,92409.46212666902,2899239.3750374215,31.296796561507378
46-47,0.005297184312479037,92181.98713616165,488.3049761508199,91937.83464808624,2806829.9129107525,30.44878940139135
47-48,0.00571760340308069,91693.68216001084,524.2681091590772,91431.5481054313,2714892.0782626662,29.608278501947613
48-49,0.006179127020365757,91169.41405085176,563.3473897925317,90887.7403559555,2623460.530157235,28.775665144605863
49-50,0.006685129563829133,90606.06666105923,605.7132948981202,90303.21001361017,2532572.7898012795,27.951470394087103
50-51,0.007237090254077734,90000.35336616111,651.3406802097968,89674.68302605621,2442269.5797876692,27.136222119611464
51-52,0.00783366564030915,89349.01268595131,699.9302906734831,88999.04754061457,2352594.896761613,26.33039611786914
52-53,0.008474955782491541,88649.08239527783,751.297053458429,88273.43386854861,2263595.8492209986,25.53434043601083
53-54,0.009158697419129237,87897.7853418194,805.029219757297,87495.27073194075,2175322.4153524498,24.74831882160619
54-55,0.009887643322518225,87092.7561220621,861.1421085100156,86662.18506780709,2087827.144620509,23.972454628653395
55-56,0.01066873904582171,86231.61401355208,919.9825874106095,85771.62271984678,2001164.9595527018,23.206859600681955
56-57,0.011512981542813187,85311.63142614148,982.1912379964483,84820.53580714326,1915393.336832855,22.45172557145512
57-58,0.012428415696133172,84329.44018814503,1048.0813380804652,83805.3995191048,1830572.8010257117,21.707398945630047
58-59,0.013428562815660555,83281.35885006457,1118.34895869166,82722.18437071874,1746767.401506607,20.974290352915546
59-60,0.014519516777966993,82163.00989137292,1192.967200646057,81566.52629104989,1664045.2171358883,20.252972953837862
60-61,0.01570361665070203,80970.04269072686,1271.5225106061525,80334.28143542378,1582478.6908448385,19.544002179784854
61-62,0.016975877973427828,79698.5201801207,1352.9523532405042,79022.04400350044,1502144.4094094147,18.847833134348416
62-63,0.01833170132794498,78345.5678268802,1436.2075497706232,77627.46405199489,1423122.3654059144,18.16468250700002
63-64,0.0197623072444901,76909.36027710958,1519.9064077734217,76149.40707322287,1345494.9013539194,17.494553283319625
64-65,0.021272714140955797,75389.45386933615,1603.738301405162,74587.58471863357,1269345.4942806966,16.83717587980816
65-66,0.02287952780058429,73785.715567931,1688.1823306224821,72941.62440261975,1194757.909562063,16.19226567589639
66-67,0.02535309231502816,72097.53323730851,1827.8954158512938,71183.58552938286,1121816.2851594433,15.559704122844163
67-68,0.027296014837534285,70269.63782145722,1918.0810766026566,69310.59728315589,1050632.6996300605,14.951446061235341
68-69,0.029391763811603213,68351.55674485456,2008.9728120001598,67347.07033885448,981322.1023469046,14.356982475322736
69-70,0.031648223629013573,66342.58393285441,2099.624932433579,65292.77146663762,913975.0320080501,13.776596837607167
70-71,0.03406051587577901,64242.95900042083,2188.148324940854,63148.884837950405,848682.2605414125,13.210510128212698
71-72,0.03663288645501719,62054.810675479974,2273.2468334624464,60918.18725874875,785533.3757034622,12.658702317399122
72-73,0.03939593078521782,59781.56384201753,2355.150351352203,58603.98866634143,724615.1884447134,12.121047725677208
73-74,0.04237946982708773,57426.41349066533,2433.700957805515,56209.56301176257,666011.199778372,11.597645739910819
74-75,0.04560321470019109,54992.71253285981,2507.8444765818954,53738.79029456886,609801.6367666094,11.08877174229648
