x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005348704520815438,100000.0,534.8704520815438,99732.56477395922,7026849.7271,70.268497271
1-2,0.0018561530645345055,99465.12954791846,184.62250502469044,99372.81829540612,6927117.162326041,69.64367506291562
2-3,0.0006713338914534416,99280.50704289378,66.65036913857669,99247.18185832449,6827744.3440306345,68.77225497126776
3-4,0.0005024029410329016,99213.8566737552,49.845333384111385,99188.93400706314,6728497.16217231,67.818119240114
4-5,0.0004966976832375007,99164.01134037109,49.25453469329956,99139.38407302444,6629308.228165247,66.85195706142598
5-6,0.0004479980894457716,99114.75680567778,44.40322168482594,99092.55519483537,6530168.844092222,65.88493030250912
6-7,0.00040315606153003346,99070.35358399295,39.940813565310435,99050.3831772103,6431076.288897387,64.91423575514999
7-8,0.0003515666063890845,99030.41277042765,34.815786147009504,99013.00487735415,6332025.905720176,63.94021521852162
8-9,0.00028785053590617635,98995.59698428064,28.495935644277036,98981.3490164585,6233012.900842822,62.96252652360441
9-10,0.000217996128421135,98967.10104863637,21.574444869665978,98956.31382620153,6134031.551826363,61.98051157234419
10-11,0.00016203118089563266,98945.5266037667,16.032260519948554,98937.51047350673,6035075.238000162,60.993917008173426
11-12,0.00013713376040165996,98929.49434324676,13.566573573924176,98922.7110564598,5936137.727526655,60.00372049745421
12-13,0.00014875915573185367,98915.92776967282,14.71464990344955,98908.5704447211,5837215.016470196,59.011881585564616
13-14,0.0002054259479450394,98901.21311976938,20.316875458042993,98891.05468204035,5738306.446025475,58.0205870586884
14-15,0.0003185785323159973,98880.89624431134,31.501330799603117,98865.14557891154,5639415.391343434,57.03240570766845
15-16,0.0004756935942151491,98849.39491351174,47.02202395240108,98825.88390153555,5540550.245764523,56.05042145793837
16-17,0.0006448925638307274,98802.37288955934,63.71691556530748,98770.51443177668,5441724.361862987,55.07685901375782
17-18,0.0008096962832012831,98738.65597399403,79.94832275043314,98698.68181261882,5342953.847431211,54.112077936714556
18-19,0.0009722145577011428,98658.70765124359,95.91743182252013,98610.74893533233,5244255.165618592,53.15552261394829
19-20,0.0011411005241613811,98562.79021942106,112.47005158218963,98506.55519362996,5145644.416683259,52.20676489807153
20-21,0.0013186303579553228,98450.32016783887,129.8195809237335,98385.410377377,5047137.861489629,51.26583491943175
21-22,0.0014922476020471822,98320.50058691514,146.71853123290268,98247.14132129868,4948752.451112253,50.332864677977966
22-23,0.001633531156063293,98173.78205568223,160.36993169652436,98093.59708983396,4850505.309790954,49.40733878460385
23-24,0.0017175855558848273,98013.4121239857,168.34642094714465,97929.23891351213,4752411.71270112,48.48736116532073
24-25,0.0017475297259640632,97845.06570303856,170.98716085496673,97759.57212261108,4654482.473787609,47.569925374816975
25-26,0.0017530522885263065,97674.07854218359,171.22776691807314,97588.46465872455,4556722.901664997,46.652325465215775
26-27,0.001784946500388022,97502.85077526551,174.0373722691657,97415.83208913093,4459134.437006273,45.733374989046624
27-28,0.001850999158608985,97328.81340299634,180.15555171735713,97238.73562713766,4361718.604917143,44.814258516202806
28-29,0.0019505176900716887,97148.65785127899,189.49017570564152,97053.91276342617,4264479.8692900045,43.896436282406775
29-30,0.002069539340901221,96959.16767557335,200.66081196563704,96858.83726959053,4167425.9565265784,42.981247224304155
30-31,0.002188535637619525,96758.50686360772,211.75944051385892,96652.6271433508,4070567.1192569877,42.06934616090058
31-32,0.0022938366176759933,96546.74742309385,221.46246455660804,96436.01619081554,3973914.492113637,41.16052169731698
32-33,0.0023842983287067077,96325.28495853725,229.66821593883773,96210.45085056782,3877478.475922821,40.25400472567367
33-34,0.002469359797193409,96095.6167425984,237.29465267067835,95976.96941626306,3781268.0250722533,39.349016669519415
34-35,0.002563885687849471,95858.32208992772,245.76978006763048,95735.4371998939,3685291.0556559903,38.44518634697885
35-36,0.0026856262544417736,95612.5523098601,256.77958073754775,95484.16251949132,3589555.6184560964,37.54272354139344
36-37,0.0028489707833329815,95355.77272912255,271.66581052741003,95219.93982385885,3494071.455936605,36.64247434565105
37-38,0.003058464084372012,95084.10691859513,290.81132600511154,94938.70125559258,3398851.516112746,35.745737392502654
38-39,0.003305251880731406,94793.29559259002,313.31571853813625,94636.63773332095,3303912.8148571537,34.853865921667776
39-40,0.0035720522536883213,94479.97987405187,337.48742503753425,94311.2361615331,3209276.1771238325,33.96779065154345
40-41,0.0038451108760454754,94142.49244901435,361.9883216137341,93961.49828820748,3114964.9409622992,33.087767913615636
41-42,0.004163551688171426,93780.5041274006,390.4599762772062,93585.27413926201,3021003.4426740916,32.21355516035684
42-43,0.004511289661915528,93390.0441511234,421.3095407047977,93179.389380771,2927418.1685348297,31.34614824464258
43-44,0.004890097108841553,92968.7346104186,454.62614033106564,92741.42154025307,2834238.7791540585,30.485934771843585
44-45,0.005302069745763074,92514.10847008754,490.5162555754945,92268.85034229979,2741497.3576138057,29.633289483627358
45-46,0.0057496117807626255,92023.59221451204,529.0999299046542,91759.04224955972,2649228.507271506,28.788579575289877
46-47,0.006235426313911277,91494.49228460739,570.5071647693932,91209.23870222269,2557469.465021946,27.95216849847696
47-48,0.006762511576299685,90923.98511983799,614.8745019362046,90616.5478688699,2466260.2263197233,27.124418524652075
48-49,0.007334162791006739,90309.11061790178,662.3417187827268,89977.93975851042,2375643.6784508536,26.30569232933997
49-50,0.00795397909136564,89646.76889911905,713.0485254320805,89290.24463640302,2285665.7386923432,25.496353820230148
50-51,0.00862587482223424,88933.72037368697,767.1311394190067,88550.15480397746,2196375.4940559403,24.69676838916757
51-52,0.009354094570805436,88166.58923426796,824.7186136826989,87754.22992742661,2107825.339251963,23.90730272724113
52-53,0.010143231354307242,87341.87062058526,885.928800622567,86898.90622027399,2020071.1093245363,23.128324307361854
53-54,0.010998247490295782,86455.9418199627,950.8638451425629,85980.50989739141,1933172.2031042622,22.360200610964743
54-55,0.011924497767871592,85505.07797482013,1019.605111452429,84995.27541909392,1847191.693206871,21.60329815441884
55-56,0.012927754613949823,84485.4728633677,1092.2074616211344,83939.36913255713,1762196.417787777,20.857981355417763
56-57,0.014014235003700568,83393.26540174657,1168.6928190660483,82808.91899221354,1678257.0486552198,20.124611268910343
57-58,0.015190628898236478,82224.57258268051,1249.0429684196095,81600.0510984707,1595448.1296630064,19.40354421494513
58-59,0.01646412900703205,80975.5296142609,1333.1915659819356,80308.93383126993,1513848.0785645356,18.6951303162323
59-60,0.017842461669388285,79642.33804827897,1421.0153638868817,78931.83036633552,1433539.1447332657,17.999711960543628
60-61,0.019333918630358923,78221.32268439209,1512.3246879390852,77465.16034042255,1354607.3143669302,17.317622201717413
61-62,0.020947389453391214,76708.997996453,1606.8532556111074,75905.57136864745,1277142.1540265076,16.649183112593416
62-63,0.02269239426550966,75102.1447408419,1704.2474786445573,74250.02100151962,1201236.5826578601,15.994704103365052
63-64,0.02457911647175786,73397.89726219735,1804.055465589666,72495.86952940252,1126986.5616563405,15.3544802193779
64-65,0.026618435004060897,71593.84179660768,1905.71602455402,70640.98378433067,1054490.692126938,14.728790433158494
65-66,0.028821955585690156,69688.12577205367,2008.5480658521203,68683.85173912761,983849.7083426072,14.117895946301237
66-67,0.031202040396017674,67679.57770620154,2111.740917574318,66623.70724741438,915165.8566034796,13.522038517678608
67-68,0.03377183541116957,65567.83678862722,2214.346192291948,64460.66369248124,848542.1493560652,12.941438835194962
68-69,0.036545294574605744,63353.49059633527,2315.2719761725875,62195.85460824898,784081.485663584,12.376294948915406
69-70,0.03953719981793597,61038.21862016268,2413.280246116232,59831.578497104565,721885.631055335,11.826780783816574
70-71,0.04276317580725058,58624.93837404645,2506.988546378579,57371.44410085716,662054.0525582305,11.293044750582204
71-72,0.046239698135309676,56117.94982766787,2594.877060003816,54820.511297665966,604682.6084573733,10.77520847276652
72-73,0.04998409351733628,53523.07276766405,2675.302274554115,52185.421630387,549862.0971597073,10.27336564824257
73-74,0.05401453038111437,50847.770493109936,2746.5184441120173,49474.511271053925,497676.6755293203,9.78758106211869
74-75,0.05834999807505742,48101.25204899792,2806.7079644668806,46697.89806676448,448202.1642582664,9.317889767229119
75-76,0.06301027275678248,45294.544084531044,2854.0215771604094,43867.53329595084,401504.2661915019,8.864296446878761
76-77,0.0680158678770883,42440.52250737063,2886.628971495913,40997.208021622675,357636.7328955511,8.426774972750168
77-78,0.07338796704952723,39553.89353587472,2902.779835491282,38102.50361812908,316639.5248739284,8.005268168776903
78-79,0.07914833700550364,36651.11370038344,2900.87469878498,35200.67635099095,278537.02125579934,7.599687789375015
79-80,0.08531921829262597,33750.23900159846,2879.5440088056775,32310.466997195617,243336.3449048084,7.209914717738255
80-81,0.09192319139562999,30870.694992792778,2837.732804338607,29451.828590623474,211025.87790761277,6.835799386987559
81-82,0.09898301606221263,28032.96218845417,2774.7871465711587,26645.56861516859,181574.0493169893,6.4771624238759005
82-83,0.10652144181973144,25258.175041883012,2690.5372231965343,23912.906430284744,154928.4807018207,6.133795511548988
83-84,0.11456098799294401,22567.63781868648,2585.370885175651,21274.952376098652,131015.57427153595,5.805462464620568
84-85,0.12312369199767224,19982.26693351083,2460.290479336858,18752.1216938424,109740.6218954373,5.49190050661365
85-86,0.13223082530883953,17521.97645417397,2316.945407577478,16363.503750385233,90988.5002015949,5.192821736723668
86-87,0.14190257729891273,15205.031046596494,2157.633093422027,14126.21449988548,74624.99645120966,4.9079147699546315
87-88,0.15215770812410837,13047.397953174466,1985.2621695382093,12054.766868405362,60498.781951324185,4.636846532040105
88-89,0.1630131730027077,11062.135783636257,1803.2738542773407,10160.498856497587,48444.01508291882,4.379264188257387
89-90,0.17448372157378206,9258.861929358916,1615.5206869723518,8451.10158587274,38283.516226421234,4.134797183337195
90-91,0.18658147752356433,7643.341242386565,1426.105902221281,6930.288291275924,29832.414640548493,3.903059368213369
91-92,0.19931550528279643,6217.235340165284,1239.1914032871023,5597.639638521732,22902.12634927257,3.6836511883855634
92-93,0.21269137227600393,4978.043936878182,1058.7869961848617,4448.650438785751,17304.48671075084,3.4761619082058135
93-94,0.22671071686848326,3919.2569406933203,888.5375506163613,3474.98816538514,12855.836271965089,3.280171845454684
94-95,0.24137083371621487,3030.719390076959,731.5272659427739,2664.955757105572,9380.84810657995,3.095254591135784
95-96,0.2566642895694951,2299.192124134185,590.1205131246791,2004.1318675718458,6715.892349474378,2.92097919046387
96-97,0.2725785835930756,1709.0716110095061,465.856318988107,1476.1434515154526,4711.760481902532,2.756912262511582
97-98,0.28909586682006566,1243.2152920213991,359.40840249088745,1063.5110907759554,3235.6170303870795,2.6026200378585638
98-99,0.3061927353349296,883.8068895305117,270.6152490132033,748.4992650239101,2172.105939611124,2.4576702957870937
99-100,0.3238401110801461,613.1916405173084,198.5760489785422,513.9036160280374,1423.606674587214,2.3216341850097844
100-101,0.34200322272777034,414.61559153876624,141.79986849943893,343.71565728904676,909.7030585591766,2.194087914501691
101-102,0.36064169681855734,272.81572303932734,98.3887252756846,223.62136040148505,565.9874012701298,2.074614303621132
102-103,0.37970976636646525,174.42699776364273,66.23163456883674,141.31118047922436,342.36604086864475,1.9628041831721932
103-104,0.3991566004333592,108.19536319480599,43.18689335549136,86.60191651706032,201.05486038942038,1.8582576411100045
104-105,0.4189267539374355,65.00846983931464,27.233787248223763,51.39157621520276,114.45294387236007,1.7605851076830499
105-106,0.43896073236734073,37.77468259109088,16.581602335129087,29.483881423526334,63.061367657157305,1.669408273784682
106-107,0.459195661378458,21.193080255961792,9.731770504783116,16.327195003570235,33.57748623363097,1.5843608304264944
107-108,0.47956604672617564,11.461309751178677,5.496455007676926,8.713082247340214,17.250291230060736,1.5050889998227928
108-109,0.500004605930862,5.964854743501751,2.982454845459426,4.473627320772038,8.537208982720522,1.4312517822870963
109-110,0.5204431497432698,2.9823998980423245,1.552169596731154,2.2063150996767473,4.063581661948484,1.3625207218575406
