x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005336965407213094,100000.0,533.6965407213094,99733.15172963934,7978064.7616,79.780647616
1-2,0.0009965233270218324,99466.30345927869,99.1204916498036,99416.74321345378,7878331.60987036,79.20603597273255
2-3,0.000402065571755391,99367.18296762888,39.95212323360225,99347.20690601207,7778914.866656907,78.2845466112395
3-4,0.00022658846697253104,99327.23084439528,22.506404965658227,99315.97764191245,7679567.659750895,77.31583367889922
4-5,0.00015875287015329034,99304.72443942961,15.764910024541047,99296.84198441735,7580251.6821089825,76.33324320568974
5-6,0.00013009524291033314,99288.95952940507,12.917021308292188,99282.50101875092,7480954.840124565,75.34528386219046
6-7,0.00012004711416353348,99276.04250809677,11.917802408673296,99270.08360689243,7381672.339105815,74.3550221444794
7-8,0.00012189782706104622,99264.1247056881,12.100081106740094,99258.07466513473,7282402.255498922,73.36388929122973
8-9,0.0001333741190229385,99252.02462458136,13.237651345546537,99245.40579890858,7183144.180833788,72.3727723238279
9-10,0.00015306809849662163,99238.78697323581,15.19029241910451,99231.19182702625,7083898.775034879,71.38235957020888
10-11,0.00017913516017612632,99223.5966808167,17.774434884669457,99214.70946337437,6984667.583207853,70.39321105922204
11-12,0.00020917782831769444,99205.82224593202,20.75165845387528,99195.44641670509,6885452.873744478,69.4057336340138
12-13,0.00024065143640456273,99185.07058747814,23.86902970676456,99173.13607262477,6786257.4273277735,68.42015020136026
13-14,0.00027133814808665176,99161.20155777138,26.90621679273289,99147.74844937501,6687084.291255149,67.43649921748124
14-15,0.00029966057379279316,99134.29534097864,29.70663982442188,99119.44202106642,6587936.542805774,66.45466657271484
15-16,0.0003247843824829292,99104.58870115422,32.18762264252906,99088.49488983296,6488817.100784708,65.47443651021516
16-17,0.0003465557911125338,99072.4010785117,34.334114333181866,99055.23402134511,6389728.605894875,64.49554604850265
17-18,0.00036534823079424937,99038.06696417852,36.18338254664502,99019.9752729052,6290673.37187353,63.51773176417941
18-19,0.0003818828841111533,99001.88358163188,37.80712483459022,98982.98001921458,6191653.396600625,62.54076359562699
19-20,0.0003970650643841721,98964.07645679728,39.29517739003834,98944.42886810226,6092670.41658141,61.564464952503876
20-21,0.00041185661348554177,98924.78127940724,40.74282540753458,98904.40986670347,5993725.987713308,60.58872114950025
21-22,0.00042718895947060106,98884.0384539997,42.242169495415034,98862.917369252,5894821.577846604,59.61347928350279
22-23,0.00044391261202387524,98841.7962845043,43.877119965786065,98819.8577245214,5795958.660477352,58.63874270146182
23-24,0.00046277511367548776,98797.9191645385,45.72121827227095,98775.05855540237,5697138.802752831,57.66456268441029
24-25,0.0004844189024467439,98752.19794626623,47.83743134333388,98728.27923059456,5598363.744197428,56.69102926948169
25-26,0.0005093916260369062,98704.3605149229,50.27917469962958,98679.22092757309,5499635.464966834,55.71826245847929
26-27,0.000538163142812696,98654.08134022327,53.09199046535391,98627.5353449906,5400956.244039261,54.74640451430752
27-28,0.0005711451604434598,98600.98934975792,56.31547788205136,98572.8316108169,5302328.70869427,53.775613649127024
28-29,0.0006087109219204489,98544.67387187587,59.985219282899536,98514.68126223442,5203755.877083453,52.806059146831046
29-30,0.000651213464209774,98484.68865259297,64.13455526907609,98452.62137495844,5105241.195821219,51.83791780903198
30-31,0.0006990017605593424,98420.5540973239,68.7961405892554,98386.15602702927,5006788.574446261,50.871371537852355
31-32,0.0007524345700403897,98351.75795673464,74.00326271089212,98314.75632537919,4908402.418419232,49.90660584408119
32-33,0.0008118921241677603,98277.75469402375,79.79093501696902,98237.85922651527,4810087.662093853,48.943809075303925
33-34,0.0008777859417484444,98197.96375900679,86.19679209597939,98154.8653629588,4711849.802867337,47.98317218095231
34-35,0.0009505671290927994,98111.76696691081,93.26182065595816,98065.13605658284,4613694.937504378,47.02488886027701
35-36,0.0010307335304332351,98018.50514625486,101.0309598571875,97967.98966632626,4515629.801447796,46.0691559691709
36-37,0.0011188360687888093,97917.47418639767,109.55360188443888,97862.69738545545,4417661.81178147,45.11617408933486
37-38,0.0012154845777649927,97807.92058451322,118.884019053739,97748.47857498635,4319799.114396014,44.16614818698032
38-39,0.0013213533805762469,97689.03656545948,129.08173871100647,97624.49569610397,4222050.635821028,43.21928830766916
39-40,0.001437186830089023,97559.95482674848,140.21188222108293,97489.84888563794,4124426.1401249235,42.27581026917522
40-41,0.0015638049860630587,97419.7429445274,152.34547975763343,97343.57020464858,4026936.291239286,41.335936325887225
41-42,0.001702109574284266,97267.39746476978,165.5597684904978,97184.61758052453,3929592.721034637,40.399895786848155
42-43,0.001853090347075902,97101.83769627928,179.93847811830608,97011.86845722013,3832408.1034541125,39.467925575634716
43-44,0.0020178319452808604,96921.89921816098,195.57210443969728,96824.11316594113,3735396.2349968925,38.54027072446145
44-45,0.0021975213474786327,96726.32711372129,212.5581686956038,96620.04802937349,3638572.1218309514,37.617184797610236
45-46,0.0023934559821010464,96513.76894502569,231.00145763658992,96398.26821620739,3541952.073801578,36.698930240918024
46-47,0.0026070525714292454,96282.7674873891,251.01423656232188,96157.26036910793,3445553.8055853704,35.785778654904796
47-48,0.002839856772454412,96031.75325082678,272.71642484003144,95895.39503840676,3349396.5452162623,34.87801098942683
48-49,0.003093553677627417,95759.03682598674,296.23572053909055,95610.9189657172,3253501.1501778555,33.97591765767356
49-50,0.003369979238064536,95462.80110544765,321.7076577328428,95301.94727658122,3157890.231212138,33.07979856702456
50-51,0.0036711326723611283,95141.09344771481,349.2755766400691,94966.45565939478,3062588.283935557,32.18996306384281
51-52,0.003999189925406682,94791.81787107475,379.0904830409872,94602.27262955425,2967621.8282761625,31.30672978877133
52-53,0.004356518243160943,94412.72738803376,411.3107692525499,94207.07200340749,2873019.555646608,30.430426438573004
53-54,0.0047456919309480415,94001.41661878121,446.10176434543513,93778.3657366085,2778812.4836432007,29.56138943003974
54-55,0.005169509364180159,93555.31485443577,483.6350762088289,93313.49731633136,2685034.1179065923,28.699963461020687
55-56,0.005631011321270132,93071.67977822694,524.0876825208243,92809.63593696653,2591720.620590261,27.846500963191648
56-57,0.00613350070856156,92547.59209570612,567.6407216946798,92263.77173485878,2498910.9846532946,27.00136144081522
57-58,0.006680563746108151,91979.95137401143,614.4779285180115,91672.71240975244,2406647.2129184357,26.164910689422523
58-59,0.007276092680753533,91365.47344549342,664.7836526103359,91033.08161918825,2314974.5005086833,25.337519888076155
59-60,0.007924310088842344,90700.68979288309,718.7403911907032,90341.31959728773,2223941.418889495,24.51956455863689
60-61,0.008629794824629156,89981.94940169239,776.5257612567675,89593.686521064,2133600.0992922075,23.711423385233736
61-62,0.00939750966157758,89205.42364043562,838.3088305261148,88786.26922517257,2044006.4127711435,22.91347688689887
62-63,0.0102328306617284,88367.1148099095,904.2457219153157,87914.99194895184,1955220.143545971,22.12610593603665
63-64,0.011141578292550872,87462.86908799419,974.4744036350147,86975.63188617668,1867305.1515970193,21.349690114994633
64-65,0.012130050290482539,86488.39468435917,1049.1085770643795,85963.84039582698,1780329.5197108425,20.584605902424073
65-66,0.01320505624492173,85439.28610729479,1128.2305785727874,84875.1708180084,1694365.6793150154,19.83122468026276
66-67,0.014271107593275042,84311.055528722,1203.2121447529782,83709.44945634552,1609490.508497007,19.08991055092065
67-68,0.015578972750919327,83107.84338396903,1294.7348274665244,82460.47597023577,1525781.0590406614,18.359050083773138
68-69,0.017004628594600456,81813.1085565025,1391.2015251730536,81117.50779391597,1443320.5830704258,17.64167880350894
69-70,0.018558288900595032,80421.90703132945,1492.4929846242069,79675.66053901735,1362203.0752765099,16.938209072135596
70-71,0.020250977923592445,78929.41404670525,1598.3978213819155,78130.21513601429,1282527.4147374926,16.249042644337596
71-72,0.022094580308494816,77331.01622532333,1708.596348327922,76476.71805115936,1204397.1996014782,15.574568373602704
72-73,0.024101891198922563,75622.41987699541,1822.6433360745823,74711.09820895812,1127920.481550319,14.91515986112256
73-74,0.026286665843420983,73799.77654092082,1939.9500652503245,72829.80150829566,1053209.3833413608,14.27117306727037
74-75,0.028663667836750433,71859.8264756705,2059.7661969051437,70829.94337721793,980379.5818330651,13.64294390781741
75-76,0.03124871494639985,69800.06027876536,2181.162186892666,68709.47918531903,909549.6384558472,13.030785859257362
76-77,0.03405872126236977,67618.8980918727,2303.0132021796794,66467.39149078286,840840.1592705281,12.434987599592235
77-78,0.03711173417072368,65315.88488969302,2423.985757151875,64103.89201111708,774372.7677797453,11.855810712624102
78-79,0.04042696438869305,62891.89913254115,2542.5285665685165,61620.63484925689,710268.8757686282,11.293487485117542
79-80,0.04402480701278023,60349.37056597263,2656.8693925097045,59020.93586971778,648648.2409193714,10.748218827075968
80-81,0.047926851224512304,57692.50117346293,2765.019920510559,56309.99121320765,589627.3050496536,10.22017234574096
81-82,0.05215587597657135,54927.48125295237,2864.7908999344318,53495.08580298515,533317.313836446,9.70948060371474
82-83,0.05673582865294602,52062.69035301794,2953.8198790802116,50585.780413477834,479822.2280334609,9.21623959076957
83-84,0.06169178337177412,49108.87047393773,3029.6137989106805,47594.06357448239,429236.44761998305,8.740507437404421
84-85,0.06704987529380046,46079.25667502705,3089.608413691586,44534.452468181255,381642.38404550066,8.282303396016676
85-86,0.07283720703247396,42989.64826133546,3131.245910664125,41424.0253060034,337107.9315773194,7.8416071126711575
86-87,0.07908172305824085,39858.402350671335,3152.0711362397265,38282.36678255147,295683.906271316,7.418358208889318
87-88,0.08581204787945972,36706.33121443161,3149.845451652112,35131.40848860555,257401.53948876454,7.012456188690509
88-89,0.09305728380082805,33556.4857627795,3122.6754189854178,31995.14805328679,222270.131000159,6.623760681361297
89-90,0.10084676424750362,30433.81034379408,3069.1512968938387,28899.23469534716,190274.9829468722,6.2520920251996035
90-91,0.10920975904341436,27364.65904690024,2988.487820817164,25870.415136491658,161375.74825152502,5.897232191891863
91-92,0.11817512869199474,24376.171226083075,2880.6571716604667,22935.842640252842,135505.33311503337,5.558926045368416
92-93,0.12777092567264,21495.51405442261,2746.50172854282,20122.2631901512,112569.49047478053,5.236882923096219
93-94,0.13802394207805824,18749.01232587979,2587.8125912880323,17455.106030235773,92447.22728462933,4.930778521971625
94-95,0.1489592046086145,16161.199734591759,2407.3594579857404,14957.520005598888,74992.12125439357,4.6402570654379645
95-96,0.16059942002635122,13753.840276606019,2208.8587715579965,12649.410890827021,60034.60124879468,4.364933723340371
96-97,0.1729643766477871,11544.981505048023,1996.8705294308622,10546.546240332591,47385.19035796766,4.1043972515026175
97-98,0.1860703102848833,9548.11097561716,1776.619971867585,8659.800989683368,36838.64411763506,3.8582128142110252
98-99,0.19992924615438523,7771.491003749576,1553.7483378752393,6994.616834811956,28178.843127951695,3.625924949839872
99-100,0.21454833155046804,6217.742665874336,1334.006314973498,5550.739508387587,21184.226293139738,3.407060637843368
100-101,0.22992917735063453,4883.736350900838,1122.9134815600196,4322.279610120829,15633.486784752151,3.2011324243309014
101-102,0.24606722949029428,3760.8228693408187,925.4152640624342,3298.1152373096015,11311.207174631323,3.0076415634576015
