x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.010481859390270638,100000.0,1048.1859390270638,99475.90703048647,7424162.2973,74.24162297299999
1-2,0.00043227055736355294,98951.81406097293,42.773955816271425,98930.4270830648,7324686.390269513,74.0227600653802
2-3,0.00044396945093222483,98909.04010515666,43.912592227719806,98887.0838090428,7225755.963186448,73.05455553409755
3-4,0.0003288027584277124,98865.12751292894,32.50712663855856,98848.87394960967,7126868.879377406,72.08678184777945
4-5,0.0002648563058693985,98832.62038629038,26.176442734905475,98819.53216492293,7028020.005427796,71.11032752100026
5-6,0.00023578099479819247,98806.44394355547,23.296681645483346,98794.79560273273,6929200.4732628735,70.12903406605012
6-7,0.00019178405792057542,98783.14726190998,18.945032836054875,98773.67474549195,6830405.677660141,69.14545514074639
7-8,0.00018468818780880935,98764.20222907393,18.240581530070433,98755.0819383089,6731632.002914649,68.15862277003247
8-9,0.00017975296374061017,98745.96164754385,17.749879263562633,98737.08670791207,6632876.920976341,67.17112082670495
9-10,0.0001727088279018501,98728.2117682803,17.05123373534533,98719.68615141262,6534139.834268428,66.18310731287586
10-11,0.00016194715979356338,98711.16053454495,15.985992088496038,98703.1675385007,6435420.148117016,65.19445332490926
11-12,0.0001630071500516449,98695.17454245646,16.08801912601548,98687.13053289345,6336716.980578516,64.20493210488829
12-13,0.0002194327242571762,98679.08652333044,21.653420783024,98668.25981293892,6238029.850045622,63.21531815731575
13-14,0.00031450505282964775,98657.43310254741,31.02826120995411,98641.91897194243,6139361.590232683,62.2290829708822
14-15,0.0004333822228084638,98626.40484133745,42.74293055774626,98605.03337605858,6040719.671260741,61.24850318713923
15-16,0.0005484783782822686,98583.6619107797,54.071007009951906,98556.62640727473,5942114.637884682,60.27484192322275
16-17,0.0006816541448963944,98529.59090376976,67.16310403450073,98496.00935175251,5843558.011477407,59.30764512342892
17-18,0.0008228386785173967,98462.42779973526,81.01869397434875,98421.91845274808,5745062.002125654,58.34775894222975
18-19,0.0009605682384626004,98381.40910576092,94.5020568421892,98334.15807733983,5646640.083672906,57.39539751461291
19-20,0.0010844553260940723,98286.90704891873,106.58775983451294,98233.61316900147,5548305.925595567,56.4501019737461
20-21,0.0011870190332812385,98180.31928908422,116.54190768977209,98122.04833523933,5450072.312426565,55.51084323100699
21-22,0.0012645417962163902,98063.77738139445,124.00574519363276,98001.77450879764,5351950.264091326,54.576219752133944
22-23,0.001317004386096191,97939.77163620082,128.9871088181358,97875.27808179175,5253948.489582528,53.64468797311905
23-24,0.0013473793539625334,97810.78452738268,131.78823166707343,97744.89041154915,5156073.211500737,52.71477206132893
24-25,0.0013606234831498507,97678.99629571561,132.90433617045792,97612.54412763038,5058328.321089188,51.78522008739207
25-26,0.0013626559243101962,97546.09195954516,132.92176010198142,97479.63107949417,4960715.776961558,50.855095035677
26-27,0.0013595060907487606,97413.17019944318,132.43379820528867,97346.95330034054,4863236.145882064,49.923805332739924
27-28,0.0013567129041214799,97280.7364012379,131.98203039799964,97214.74538603889,4765889.192581723,48.99108876935966
28-29,0.0013589798247030374,97148.7543708399,132.02319718500246,97082.7427722474,4668674.447195685,48.05696663257507
29-30,0.0013700446005024014,97016.7311736549,132.9172487028589,96950.27254930347,4571591.704423437,47.12168353972394
30-31,0.0013927042623683116,96883.81392495205,134.9305006077791,96816.34867464815,4474641.431874134,46.18564495551622
31-32,0.0014289359437183054,96748.88342434427,138.2479570396577,96679.75944582444,4377825.083199485,45.24936028458518
32-33,0.001480064136129579,96610.63546730462,142.9899367238459,96539.1404989427,4281145.323753661,44.31339575654177
33-34,0.0015469385822488113,96467.64553058078,149.2295228099575,96393.03076917579,4184606.183254718,43.37833851172593
34-35,0.0016301001546017403,96318.41600777082,157.00866482526195,96239.91167535819,4088213.152485542,42.444771435565464
35-36,0.001729922798787983,96161.40734294556,166.3518109260997,96078.23143748251,3991973.240810184,41.51325725270842
36-37,0.0018467273480572903,95995.05553201945,177.2766943292586,95906.41718485483,3895895.0093727014,40.58432997179957
37-38,0.001980867954989935,95817.7788376902,189.80236761789328,95722.87765388125,3799988.5921878465,39.658491756783555
38-39,0.002132794600615667,95627.9764700723,203.95483188317226,95525.99905413072,3704265.714533965,38.73621351481019
39-40,0.002303096273569803,95424.02163818914,219.77070864395762,95314.13628386716,3608739.7154798345,37.81793780566884
40-41,0.002492529533352644,95204.25092954517,237.29940714260727,95085.60122597388,3513425.5791959674,36.90408300986516
41-42,0.002702036726523903,94966.95152240257,256.60419081954683,94838.6494269928,3418339.9779699934,35.995047994813355
42-43,0.0029327574239092413,94710.34733158302,277.7624742577229,94571.46609445415,3323501.3285430004,35.091216769666666
43-44,0.0031860358883402176,94432.5848573253,300.8656043841714,94282.15205513322,3228929.862448546,34.19296281391658
44-45,0.0034634266779257515,94131.71925294113,326.0183076996534,93968.7100990913,3134647.710393413,33.300652907128026
45-46,0.0037666998919949047,93805.70094524148,353.3379236189474,93629.03198343201,3040679.0002943217,32.4146503853673
46-47,0.004097847090967506,93452.36302162253,382.95349395219523,93260.88627464643,2947049.96831089,31.535317813515498
47-48,0.00445908856163312,93069.40952767033,415.0047394627833,92861.90715793894,2853789.0820362433,30.663019100682995
48-49,0.004852882339541493,92654.40478820755,449.6409246774212,92429.58432586884,2760927.1748783044,29.79812110594549
49-50,0.005281935220909111,92204.76386353013,487.0195897863874,91961.25406863693,2668497.5905524357,28.940994789618568
50-51,0.005749215878559477,91717.74427374374,527.3051117242651,91454.0917178816,2576536.336483799,28.092015965785045
51-52,0.00625797012321706,91190.43916201947,570.6670437989608,90905.10564011999,2485082.2447659173,27.251565708008414
52-53,0.006811738309260128,90619.7721182205,617.2781733141054,90311.13303156344,2394177.1391257974,26.420030454307568
53-54,0.0074143748620984955,90002.4939449064,667.3122286312861,89668.83783059075,2303866.006094234,25.597801850963254
54-55,0.00807006989461021,89335.18171627511,720.9411604980443,88974.71113602609,2214197.1682636435,24.78527636845071
55-56,0.008783372876635357,88614.24055577707,778.3319169812532,88225.07459728644,2125222.457127617,23.98285471723841
56-57,0.009559218320134247,87835.90863879581,839.6426270256148,87416.087325283,2036997.3825303307,23.19094108660042
57-58,0.010402953440243978,86996.26601177019,905.0181047955249,86543.75695937243,1949581.2952050476,22.40994222604081
58-59,0.01132036774693883,86091.24790697466,974.584586099831,85603.95561392474,1863037.5382456752,21.640266386413266
59-60,0.012317724511710575,85116.66332087482,1048.4436101425563,84592.44151580354,1777433.5826317505,20.882322136279463
60-61,0.013401794037378859,84068.21971073227,1126.6649656523475,83504.8872279061,1692841.141115947,20.13651706840934
61-62,0.014579888635753642,82941.55474507992,1209.2786314595292,82336.91542935015,1609336.2538880408,19.40325641150953
62-63,0.015859899186412823,81732.27611362039,1296.2656594380762,81084.14328390136,1526999.3384586906,18.68294156320726
63-64,0.017250333109347763,80436.01045418231,1387.547974321624,79742.2364670215,1445915.1951747893,17.975968561971467
64-65,0.01876035353364387,79048.46247986068,1482.9771024131692,78306.9739286541,1366172.9587077678,17.282726517999386
65-66,0.0203998193826246,77565.48537744752,1582.321892025539,76774.32443143475,1287865.9847791137,16.60359602614652
66-67,0.021851727041172365,75983.16348542197,1660.363348208216,75152.98181131786,1211091.660347679,15.938947587777617
67-68,0.023762393846373835,74322.80013721375,1766.0876486258005,73439.75631290085,1135938.678536361,15.283852013637894
68-69,0.02583571248762919,72556.71248858795,1874.5543629027325,71619.43530713658,1062498.9222234602,14.643702640063452
69-70,0.028084728292066017,70682.15812568521,1985.0892060567153,69689.61352265684,990879.4869163235,14.018806346495065
70-71,0.03052338810362281,68697.0689196285,2096.8672962151445,67648.63527152092,921189.8733936667,13.40944945513475
71-72,0.03316657609634024,66600.20162341335,2208.9006551745415,65495.75129582608,853541.2381221458,12.815895707770391
72-73,0.03603014574714216,64391.30096823881,2320.0279587337404,63231.286988871936,788045.4868263197,12.238384300000794
73-74,0.039130946661685206,62071.273009505065,2428.907673357843,60856.819172826144,724814.1998374477,11.677127996496155
74-75,0.0424868447384374,59642.365336147224,2534.0159158700476,58375.357378212204,663957.3806646216,11.132311351545601
75-76,0.04611673393223003,57108.349420277176,2633.6505555237454,55791.5241425153,605582.0232864094,10.604089059372962
76-77,0.050040537642279614,54474.69886475343,2725.943219093541,53111.72725520666,549790.4991438942,10.092584458500296
77-78,0.05427919750591397,51748.75564565989,2808.880928376054,50344.315181471866,496678.7718886875,9.59788821376893
78-79,0.05885464713482363,48939.874717283834,2880.339057308216,47499.70518862973,446334.45670721564,9.120057198462465
79-80,0.06378976809484334,46059.53565997562,2938.1270983060117,44590.472110822615,398834.7515185859,8.659113597299278
80-81,0.06910832521515631,43121.40856166961,2980.048326615489,41631.384398361864,354244.2794077633,8.215044248871061
81-82,0.074834878133633,40141.36023505412,3003.9738013085366,38639.373334399854,312612.8950094014,7.787800243410958
82-83,0.08099466586048831,37137.38643374558,3007.930205133055,35633.42133117905,273973.5216750016,7.3772967886089695
83-84,0.08761346109483362,34129.45622861253,2990.199785473371,32634.356335875844,238340.10034382256,6.98341335259861
84-85,0.09471739108382884,31139.25644313916,2949.429130584449,29664.541877846936,205705.74400794672,6.605994089279848
85-86,0.10233272200090411,28189.82731255471,2884.741761629155,26747.45643174013,176041.2021300998,6.244848546897537
86-87,0.11048560416916688,25305.085550925556,2795.847665646465,23907.161718102325,149293.74569835965,5.899752656354845
87-88,0.11920177600088024,22509.23788527909,2683.1411323515654,21167.667319103308,125386.58398025733,5.570449991212693
88-89,0.12850622529506564,19826.096752927526,2547.776856053474,18552.20832490079,104218.91666115403,5.25665328682334
89-90,0.13842280756058037,17278.31989687405,2391.7135500551435,16082.463121846478,85666.70833625324,4.9580462016883855
90-91,0.1489738223321404,14886.606346818908,2217.7146490395135,13777.749022299151,69584.24521440676,4.6742853000392595
91-92,0.16017955003145365,12668.891697779394,2029.2973715475223,11654.243012005632,55806.49619210762,4.405002230928329
