x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007462987987160118,100000.0,746.2987987160118,99626.85060064199,7704048.9851,77.040489851
1-2,0.0007071594126447874,99253.70120128398,70.18818904432122,99218.60710676182,7604422.134499358,76.61600567497008
2-3,0.00042346897332816007,99183.51301223967,42.00114042637334,99162.51244202648,7505203.527392596,75.6698699154407
3-4,0.00027897985568888195,99141.51187181329,27.658484674776048,99127.6826294759,7406041.01495057,74.70171550869969
4-5,0.0002132512881776863,99113.85338713852,21.136156911061626,99103.28530868299,7306913.332321093,73.72242206929747
5-6,0.000184439003760383,99092.71723022746,18.276562045852494,99083.57894920453,7207810.04701241,72.73804017570853
6-7,0.00015695183333160208,99074.4406681816,15.549915099174138,99066.66571063202,7108726.4680632055,71.75136614570077
7-8,0.0001542048618497183,99058.89075308244,15.275362563565414,99051.25307180066,7009659.802352574,70.7625509337177
8-9,0.00015723765562754578,99043.61539051887,15.5733858888815,99035.82869757443,6910608.549280773,69.77338743171832
9-10,0.00016317305271213925,99028.04200462998,16.15870791800143,99019.96265067099,6811572.720583199,68.7842815297179
10-11,0.00017029555320153587,99011.88329671198,16.861283439539477,99003.45265499222,6712552.757932528,67.79542550278347
11-12,0.00018545785161971825,98995.02201327244,18.359404103628222,98985.84231122062,6613549.305277536,66.80688756643588
12-13,0.00022977396788262895,98976.66260916881,22.742260495488956,98965.29147892106,6514563.462966315,65.81918698037443
13-14,0.00029339030602291717,98953.92034867332,29.032120973264636,98939.40428818669,6415598.171487395,64.83419907853514
14-15,0.0003676769329985868,98924.88822770005,36.37239950078876,98906.70202794966,6316658.767199208,63.85307964826666
15-16,0.00043803255154449235,98888.51582819926,43.31638890667404,98866.85763374592,6217752.0651712585,62.87638168190801
16-17,0.0005154533835287299,98845.19943929258,50.95009249655547,98819.72439304431,6118885.207537512,61.90371654109036
17-18,0.0005950198253344066,98794.24934679603,58.78453699037439,98764.85707830085,6020065.483144468,60.93538361744436
18-19,0.0006714384230864011,98735.46480980565,66.29478479459875,98702.31741740835,5921300.626066167,59.9713652786502
19-20,0.0007400609320255398,98669.17002501104,73.02119793089614,98632.65942604559,5822598.308648759,59.011323467835226
20-21,0.0007975039777557511,98596.14882708015,78.63082088099445,98556.83341663965,5723965.649222713,58.05465748222596
21-22,0.0008425663026567072,98517.51800619916,83.0075408933988,98476.01423575246,5625408.815806073,57.10059418520976
22-23,0.0008762616970649289,98434.51046530576,86.25439119008433,98391.38326971073,5526932.8015703205,56.148324154244094
23-24,0.0009007610707382197,98348.25607411568,88.58828044655705,98303.9619338924,5428541.41830061,55.197129415387266
24-25,0.0009186913740422686,98259.66779366913,90.27030921830274,98214.53263905998,5330237.456366718,54.24644287989487
25-26,0.000932986811696086,98169.39748445082,91.59075316514354,98123.60210786825,5232022.923727658,53.29586467673253
26-27,0.000946454128122999,98077.80673128567,92.82614505807499,98031.39365875664,5133899.321619789,52.34516852202543
27-28,0.0009618172006452259,97984.9805862276,94.24363973272223,97937.85876636124,5035867.927961033,51.39428408142029
28-29,0.0009814718730781515,97890.73694649487,96.07700494787693,97842.69844402093,4937930.069194672,50.44328220650383
29-30,0.0010076810107949863,97794.659941547,98.54582178025004,97745.38703065687,4840087.370750651,49.4923482902198
30-31,0.001042349180621011,97696.11411976675,101.83346450259565,97645.19738751545,4742341.983719994,48.54176674730691
31-32,0.0010867584758960333,97594.28065526416,106.0614117010846,97541.24994941361,4644696.786332479,47.59189529496212
32-33,0.0011416278181757915,97488.21924356307,111.29526303287213,97432.57161204664,4547155.536383065,46.643128489428264
33-34,0.00120759223479621,97376.9239805302,117.59161724722912,97318.12817190659,4449722.964771018,45.69586697625309
34-35,0.0012851320288001942,97259.33236328297,124.99108311977824,97196.83682172307,4352404.836599112,44.75051114212889
35-36,0.001374552748469778,97134.3412801632,133.51627577744972,97067.58314227447,4255207.999777389,43.80745206789587
36-37,0.001476358628960884,97000.82500438574,143.20800501154955,96929.22100187997,4158140.4166351142,42.86706238268706
37-38,0.0015912350390463775,96857.6169993742,154.1232339679383,96780.55538239023,4061211.1956332345,41.92970384207857
38-39,0.0017198423388395398,96703.49376540625,166.31476289145115,96620.33638396053,3964430.6402508444,40.995733306887416
39-40,0.0018627694718669587,96537.17900251481,179.82650994604057,96447.26574754178,3867810.3038668837,40.06549957054501
40-41,0.00202082912946713,96357.35249256877,194.72174475531514,96259.99162019111,3771363.038119342,39.139338520225486
41-42,0.0021945951817638493,96162.63074781345,211.0380461048876,96057.11172476101,3675103.0464991513,38.21758013398272
42-43,0.0023845998529444215,95951.59270170856,228.80615384627728,95837.18962478543,3579045.9347743904,37.30053701037377
43-44,0.0025915402556903654,95722.78654786228,248.0694547256413,95598.75182049947,3483208.745149605,36.38850132520921
44-45,0.002816775562718415,95474.71709313664,268.9308499654014,95340.25166815394,3387609.9933291054,35.48174947745019
45-46,0.003061951791654465,95205.78624317124,291.5155277631502,95060.02847928967,3292269.7416609516,34.580563551588696
46-47,0.0033294433117974647,94914.27071540809,316.0116838275494,94756.2648734943,3197209.713181662,33.68523709957387
47-48,0.0036218986903501236,94598.25903158054,342.6253104958833,94426.9463763326,3102453.4483081675,32.79609455891201
48-49,0.003942422703099338,94255.63372108465,371.5955502770197,94069.83594594615,3008026.501931835,31.913492946564848
49-50,0.004293233950210665,93884.03817080763,403.0661400577853,93682.50510077874,2913956.665985889,31.037828397244596
50-51,0.004676062363812632,93480.97203074985,437.12285504561066,93262.41060322705,2820274.16088511,30.169499734741766
51-52,0.005092448680688041,93043.84917570424,473.8210269809521,92806.93866221375,2727011.750281883,29.308887953809684
52-53,0.005544842009049682,92570.02814872329,513.2861808579524,92313.38505829431,2634204.811619669,28.4563466631721
53-54,0.006035378783204073,92056.74196786534,555.5973073237465,91778.94331420347,2541891.4265613747,27.612224506584038
54-55,0.006567353632447928,91501.1446605416,600.9203747595512,91200.68447316182,2450112.483247171,26.776850632162013
55-56,0.007145160091295911,90900.22428578205,649.4966548566173,90575.47595835374,2358911.7987740096,25.950560818835882
56-57,0.00777383946589392,90250.72763092544,701.594668282931,89899.93029678398,2268336.3228156557,25.133717836512872
57-58,0.008457821016552207,89549.1329626425,757.3905387854657,89170.43769324977,2178436.392518872,24.326716746969034
58-59,0.009202719620650017,88791.74242385704,817.1255101557317,88383.17966877918,2089265.9548256223,23.529957829324758
59-60,0.010013802869687432,87974.6169137013,880.9604713100746,87534.13667804627,2000882.775156843,22.743864598121625
60-61,0.010894877775555435,87093.65644239124,948.8747419660687,86619.2190714082,1913348.6384787967,21.9688633665805
61-62,0.01185175173102571,86144.78170042517,1020.9665656368459,85634.29841760674,1826729.4194073884,21.205340397285752
62-63,0.012893720494110254,85123.81513478832,1097.5626797402729,84575.03379491818,1741095.1209897818,20.453678189033994
63-64,0.014029488949297626,84026.25245504806,1178.8453802689894,83436.82976491356,1656520.0871948637,19.714315928596964
64-65,0.015266021234765023,82847.40707477907,1264.7502756487993,82215.03193695466,1573083.2574299502,18.98771866221554
65-66,0.016610708571164697,81582.65679913027,1355.145736551701,80905.08393085442,1490868.2254929955,18.2743279513899
66-67,0.017858955160471514,80227.51106257857,1432.779522702823,79511.12130122716,1409963.141562141,17.574559186590623
67-68,0.01944418784765916,78794.73153987575,1532.0995614672179,78028.68175914214,1330452.0202609138,16.885037797071625
68-69,0.021155367238786874,77262.63197840854,1634.5193533384709,76445.3723017393,1252423.3385017717,16.209949188008096
69-70,0.023002562740080588,75628.11262507006,1739.640405572055,74758.29242228404,1175977.9662000323,15.549481870980948
70-71,0.02500486105884464,73888.47221949801,1847.57098169885,72964.6867286486,1101219.6737777481,14.903808952855213
71-72,0.0271749841045919,72040.90123779916,1957.7103460176672,71062.04606479032,1028254.9870490995,14.273211042362476
