x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00399037871999768,100000.0,399.03787199976796,99800.48106400011,8054808.8878,80.548088878
1-2,0.0006610904909887462,99600.96212800023,65.8452489561512,99568.03950352216,7955008.4067359995,79.86879079052244
2-3,0.00025811309320974263,99535.11687904409,25.691316900643333,99522.27122059377,7855440.367232477,78.9212954537289
3-4,0.0002070531419614113,99509.42556214344,20.603739217416976,99499.12369253473,7755918.096011884,77.94154224283335
4-5,0.00014568480567296713,99488.82182292602,14.49400967390543,99481.57481808907,7656418.972319349,76.95758007815726
5-6,0.0001043371807177044,99474.32781325212,10.378870917823457,99469.1383777932,7556937.39750126,75.96872040883008
6-7,8.193506167245609e-05,99463.9489423343,8.149584790776185,99459.87414993891,7457468.259123467,74.97659542400679
7-8,7.554449684362059e-05,99455.79935754352,7.513338320645709,99452.0426883832,7358008.384973528,73.98269816847476
8-9,8.304724990948703e-05,99448.28601922288,8.258906662108547,99444.15656589183,7258556.342285145,72.98824980132991
9-10,0.00010318444376869098,99440.02711256077,10.260663885953132,99434.8967806178,7159112.1857192535,71.99427025110847
10-11,0.00013379504439924313,99429.76644867481,13.30321001660682,99423.11484366651,7059677.288938636,71.00164810889714
11-12,0.0001707549258231661,99416.46323865821,16.975850805918604,99407.97531325524,6960254.174094969,70.01108214226299
12-13,0.00020860936103555186,99399.48738785229,20.735663551241263,99389.11955607666,6860846.198781714,69.02295352903585
13-14,0.00024293975773841928,99378.75172430105,24.143049868248216,99366.68019936692,6761457.079225637,68.03725104118269
14-15,0.0002738204270675617,99354.6086744328,27.20532137836366,99341.00601374362,6662090.39902627,67.05366251158759
15-16,0.00030391992291141297,99327.40335305444,30.187576770051127,99312.30956466941,6562749.393012526,66.07189125528181
16-17,0.00033235113014199434,99297.21577628439,33.00154188320158,99280.71500534279,6463437.083447857,65.09182591795842
17-18,0.0003538724314583755,99264.21423440118,35.126868847932634,99246.65079997721,6364156.368442514,64.11330022130917
18-19,0.0003655356845121578,99229.08736555325,36.271772373684215,99210.95147936641,6264909.717642536,63.13581918337143
19-20,0.00037024046133656653,99192.81559317956,36.725193806491774,99174.45299627632,6165698.76616317,62.15872318264066
20-21,0.00037312789583308865,99156.09039937308,36.9979033697536,99137.5914476882,6066524.313166894,61.18156019194208
21-22,0.00037703018579992735,99119.09249600332,37.37088986008831,99100.40705107327,5967386.721719205,60.204210626321284
22-23,0.00038208843738482323,99081.72160614323,37.857980181889346,99062.79261605228,5868286.314668132,59.22672940620653
23-24,0.0003883164506645423,99043.86362596134,38.46036158333627,99024.63344516967,5769223.522052079,58.249176787362856
24-25,0.0003963878155029833,99005.40326437801,39.24453552295873,98985.78099661652,5670198.88860691,57.27161045408356
25-26,0.00040733544679797377,98966.15872885505,40.31242448369736,98946.0025166132,5571213.107610293,56.294122952414064
26-27,0.00042466567481668724,98925.84630437136,42.010411277657745,98904.84109873253,5472267.105093679,55.316859137669766
27-28,0.00045049324418965656,98883.8358930937,44.546500029397386,98861.562643079,5373362.263994947,54.34014786607036
28-29,0.00048500550445952596,98839.2893930643,47.93759941250423,98815.32059335805,5274500.701351868,53.364413420418494
29-30,0.0005267026358714733,98791.3517936518,52.03366539102241,98765.33496095629,5175685.38075851,52.39006539326545
30-31,0.0005730797051452995,98739.31812826078,56.58549931919161,98711.02537860119,5076920.045797554,51.41741043018665
31-32,0.0006207032432367664,98682.7326289416,61.25269219425071,98652.10628284447,4978209.020418952,50.44660689664513
32-33,0.000666554454230019,98621.47993674735,65.73658673459539,98588.61164338005,4879556.914136108,49.47762817254111
33-34,0.0007117390557185159,98555.74335001275,70.14597170757447,98520.67036415897,4780968.3024927275,48.510296203778864
34-35,0.0007589476847058772,98485.59737830517,74.74541610713992,98448.2246702516,4682447.632128568,47.544491344681
35-36,0.0008128773507440482,98410.85196219804,79.99595262749627,98370.85398588429,4583999.407458317,46.58022277074829
36-37,0.0008804170515883627,98330.85600957055,86.57216232810593,98287.56992840649,4485628.553472432,45.617710813336615
37-38,0.0009659663578464437,98244.28384724245,94.90067304715299,98196.83351071888,4387340.983544026,44.65746821836262
38-39,0.0010648544657840026,98149.38317419529,104.51480898698709,98097.1257697018,4289144.150033306,43.70016408988474
39-40,0.00116808325182254,98044.8683652083,114.52456866454538,97987.60608087602,4191047.0242636045,42.7462150150718
40-41,0.001269310453488532,97930.34379654375,124.30400909467879,97868.1917919964,4093059.4181827283,41.79561982020923
41-42,0.0013885570062536,97806.03978744907,135.80926180078077,97738.13515654868,3995191.226390732,40.84810340008689
42-43,0.0015195748815199888,97670.2305256483,148.417228979042,97596.02191115878,3897453.0912341834,39.904206944722105
43-44,0.0016634263660801423,97521.81329666925,162.22035550562464,97440.70311891644,3799857.0693230247,38.96417571485829
44-45,0.0018212830963668413,97359.59294116363,177.31938089289775,97270.93325071718,3702416.366204108,38.028264646109946
45-46,0.0019944351383139455,97182.27356027074,193.82374120984227,97085.36168966582,3605145.4329533908,37.09673895124035
46-47,0.0021843009734858303,96988.4498190609,211.85196535665634,96882.52383638258,3508060.071263725,36.16987463773542
47-48,0.0023924384799697395,96776.59785370424,231.53205666575892,96660.83182537137,3411177.5474273423,35.247958939246544
48-49,0.002620556994053163,96545.06579703848,253.001847415752,96418.5648733306,3314516.715601971,34.33129065932693
49-50,0.00287053053867702,96292.06394962272,276.4093101996326,96153.8592945229,3218098.15072864,33.4201804253802
50-51,0.0031444123063782796,96015.6546394231,301.91280605316877,95864.6982363965,3121944.291434117,32.51495085002813
51-52,0.0034444504873405953,95713.74183336993,329.68124470314297,95548.90121101835,3026079.5931977206,31.61593659629237
52-53,0.0037731055367749736,95384.06058866679,359.8941271271782,95204.1135251032,2930530.6919867024,30.723484342151167
53-54,0.004133068979733475,95024.16646153961,392.7414347272194,94827.79574417601,2835326.578461599,29.837952639228657
54-55,0.004527283855233685,94631.4250268124,428.4233227216447,94417.21336545158,2740498.782717423,28.95971165964101
55-56,0.004958966904869987,94203.00170409076,467.14956778999704,93969.42692019575,2646081.5693519716,28.08914282438482
56-57,0.005431632613533151,93735.85213630076,509.13871152085227,93481.28278054034,2552112.142431776,27.22663830612821
57-58,0.005949119211047468,93226.71342477991,554.616831818175,92949.40500887082,2458630.859651236,26.37260039886513
58-59,0.006515616743015654,92672.09659296174,603.8158641714655,92370.18866087601,2365681.454642365,25.52744074662528
59-60,0.007135697316421864,92068.28072879027,656.9713837240035,91739.79503692826,2273311.2659814893,24.691579423298737
60-61,0.007814347619987914,91411.30934506627,714.3197476205976,91054.14947125597,2181571.470944561,23.8654438556328
61-62,0.008557003810213673,90696.98959744567,776.0944855602525,90308.94235466555,2090517.321473305,23.04946758158091
62-63,0.009369588840647773,89920.89511188542,842.5218153813805,89499.63420419472,2000208.3791186395,22.244088836413944
63-64,0.010258552293286184,89078.37329650404,913.8151506630543,88621.46572117251,1910708.7449144449,21.449748959318192
64-65,0.011230912745982848,88164.55814584099,990.1684598240714,87669.47391592895,1822087.2791932723,20.6668906135637
65-66,0.01229430267711595,87174.38968601692,1071.7483324927468,86638.51551977055,1734417.8052773434,19.89595581367804
66-67,0.013272784652728948,86102.64135352417,1142.8218167164805,85531.23044516593,1647779.2897575728,19.137383753328137
67-68,0.014560812684742946,84959.8195368077,1237.084018005021,84341.27752780518,1562248.059312407,18.388081187432185
68-69,0.01597181131665449,83722.73551880268,1337.2037346204836,83054.13365149245,1477906.7817846017,17.65239480801113
69-70,0.017517110605572688,82385.5317841822,1443.1564725624437,81663.95354790098,1394852.6481331093,16.930796195951938
70-71,0.019209001611117597,80942.37531161975,1554.8222177685889,80164.96420273546,1313188.6945852083,16.223747938327335
71-72,0.02106080105837892,79387.55309385117,1671.9654622210933,78551.57036274062,1233023.7303824727,15.531700906876479
72-73,0.023086916795702305,77715.58763163007,1794.2133053805546,76818.4809789398,1154472.160019732,14.85509143277538
73-74,0.025302913162366922,75921.37432624951,1921.0319417446449,74960.85835537719,1077653.6790407924,14.194338400802604
74-75,0.02772557515046974,74000.34238450487,2051.702053942081,72974.49135753383,1002692.8206854152,13.549840289595359
75-76,0.03037296997775781,71948.64033056279,2185.293892700678,70855.99338421244,929718.3293278813,12.921972188165865
76-77,0.03326450438124044,69763.34643786211,2320.6431432322593,68603.02486624598,858862.3359436688,12.311082822104204
77-78,0.03642097559359329,67442.70329462986,2456.3290506596677,66214.53876930002,790259.3110774229,11.717491625819031
78-79,0.03986461357540356,64986.37424397019,2590.65669690243,63691.045895518975,724044.772308123,11.141485899643094
79-80,0.04361911164797722,62395.71754706776,2721.6457700412,61034.89466204716,660353.726412604,10.583318092535292
80-81,0.04770964220819014,59674.07177702656,2847.0286135877946,58250.55747023266,599318.8317505568,10.043203252325807
81-82,0.05216285371676074,56827.043163438764,2964.260739690505,55344.91279359351,541068.2742803241,9.521316685863312
82-83,0.057006844646984974,53862.78242374826,3070.5472698849694,52327.508788805775,485723.36148673063,9.017791870933385
83-84,0.06227110958070502,50792.23515386329,3162.8888411151584,49210.79073330571,433395.8526979248,8.532718660343509
84-85,0.06798645216726662,47629.34631274813,3238.1502748498274,46010.271175323214,384185.0619646191,8.066141816054923
85-86,0.07418485925260193,44391.196037898306,3293.1546301261465,42744.618722835236,338174.79078929586,7.618059907657913
86-87,0.08089933018148025,41098.04140777216,3324.8040216595073,39435.6393969424,295430.1720664606,7.188424604842386
87-88,0.08816365512808587,37773.23738611265,3330.226673980555,36108.12404912237,255994.5326695182,6.777140387856582
88-89,0.0960121363797167,34443.01071213209,3306.9470418212695,32789.537191221454,219886.4086203958,6.384064693361541
89-90,0.10447924685556192,31136.06367031082,3253.072482320898,29509.527429150374,187096.87142917435,6.009008505708346
90-91,0.11359922086385657,27882.991187989923,3167.4860743094337,26299.248150835207,157587.34400002396,5.65173739566011
91-92,0.12340557326565757,24715.50511368049,3050.031077104032,23190.489575128475,131288.09584918874,5.311973000160063
92-93,0.13393054489857062,21665.47403657646,2901.6687432045196,20214.6396649742,108097.60627406026,4.989394928150008
93-94,0.14520447438450282,18763.80529337194,2724.5884850772245,17401.511050833327,87882.96660908607,4.683643068931734
94-95,0.15725509934610332,16039.216808294717,2522.248632622076,14778.09249198368,70481.45555825274,4.39432027141145
95=96,0.17010679359727693,13516.96817567264,2299.3281155201066,12367.304117912587,55703.363066269056,4.120995355047294
96-97,0.18377975101646013,11217.640060152533,2061.5750972471014,10186.852511528983,43336.05894835647,3.8632064066929246
97-98,0.19828913145769092,9156.064962905431,1815.548169064713,8248.290878373075,33149.20643682749,3.6204643120300095
98-99,0.21364418902969778,7340.5167938407185,1568.2587574789775,6556.38741510123,24900.915558454413,3.3922564661044405
99-100,0.2298474081202293,5772.258036361741,1326.7385486589105,5108.888762032286,18344.528143353185,3.178050604770912
100-101,0.2468936773202179,4445.519487702831,1097.570653917643,3896.734160744009,13235.6393813209,2.9772986976962414
101-102,0.2647695354933164,3347.9488337851876,886.4348575766944,2904.7314049968404,9338.905220576891,2.789440843998304
102-103,0.28345252717022007,2461.513976208493,697.7223572211144,2112.652797597936,6434.17381558005,2.6139091135654264
103-104,0.3029107057352965,1763.7916189873788,534.2713640774681,1496.6559369486447,4321.521017982114,2.450131280509865
