x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005378551602792655,100000.0,537.8551602792655,99731.07241986037,7780185.1729,77.80185172899999
1-2,0.0005396924523289261,99462.14483972073,53.67896886244372,99435.3053552895,7680454.100480139,77.219872071499
2-3,0.00030452136393197823,99408.46587085829,30.272001613379274,99393.3298700516,7581018.795124849,76.26129956550545
3-4,0.0002688213112559698,99378.1938692449,26.714976386180396,99364.83638105182,7481625.465254798,75.28437752751488
4-5,0.00017589400659580602,99351.47889285872,17.475329683683576,99342.74122801688,7382260.628873746,74.30448656768183
5-6,0.00013949272881866754,99334.00356317504,13.85637122151053,99327.07537756428,7282917.887645729,73.31747061834567
6-7,0.00011661638619015739,99320.14719195353,11.582356641400128,99314.35601363283,7183590.812268165,72.32762954312403
7-8,0.00010039781555985852,99308.56483531212,9.970362975849918,99303.5796538242,7084276.456254533,71.33600679863522
8-9,8.776490848267025e-05,99298.59447233628,8.714932056322379,99294.23700630812,6984972.876600709,70.3431192930597
9-10,8.433612892751017e-05,99289.87954027996,8.373724082106005,99285.6926782389,6885678.6395944,69.34924960605895
10-11,9.416056753221508e-05,99281.50581619785,9.348402933106103,99276.8316147313,6786392.946916161,68.35505657498756
11-12,0.00011559109704011937,99272.15741326475,11.474977580938692,99266.41992447428,6687116.11530143,67.3614464472986
12-13,0.00014969143365248298,99260.68243568382,14.858473859121347,99253.25319875426,6587849.695376956,66.36917592870236
13-14,0.00020776603320875336,99245.8239618247,20.619911157082562,99235.51400624616,6488596.442178202,65.37903745626683
14-15,0.00031612028815417395,99225.20405066761,31.367100096653754,99209.52050061928,6389360.928171956,64.39251991771506
15-16,0.00038493590691866835,99193.83695057096,38.18326958731055,99174.7453157773,6290151.407671337,63.41272402645103
16-17,0.000466569354160843,99155.65368098364,46.26298929933275,99132.52218633397,6190976.66235556,62.436950718654614
17-18,0.0005533223600782972,99109.39069168431,54.839441963444784,99081.97097070259,6091844.140169226,61.46586209091039
18-19,0.0006365627761800845,99054.55124972087,63.05444013679478,99023.02402965247,5992762.169198523,60.49961454159241
19-20,0.0007100539922923619,98991.49680958407,70.28930751264177,98956.35215582776,5893739.145168871,59.537832390854966
20-21,0.0007697225981781125,98921.20750207143,76.14188885341062,98883.13655764471,5794782.793013043,58.57978222608836
21-22,0.0008129991954621837,98845.06561321802,80.36095881895301,98804.88513380854,5695899.656455398,57.62452198416788
22-23,0.0008395715246953762,98764.70465439906,82.92003367278234,98723.24463756266,5597094.771321589,56.67100196276738
23-24,0.0008513950170034257,98681.78462072628,84.01717969509164,98639.77603087873,5498371.526684026,55.71820116363396
24-25,0.0008525809235225599,98597.76744103119,84.06257562213696,98555.73615322012,5399731.750653148,54.76525372526908
25-26,0.000848226479890982,98513.70486540905,83.56193309900502,98471.92389885955,5301176.014499928,53.81155872416408
26-27,0.0008445692574102866,98430.14293231005,83.13107272312946,98388.57739594848,5202704.090601068,52.85681738955661
27-28,0.0008464662863503477,98347.01185958691,83.24742990243813,98305.3881446357,5104315.513205119,51.90107372548044
28-29,0.0008570002191246316,98263.76442968448,84.21206764825078,98221.65839586036,5006010.125060484,50.94461986180757
29-30,0.0008775032264228027,98179.55236203624,86.15287396643329,98136.47592505302,4907788.4666646235,49.9878879928806
30-31,0.0009081546195986986,98093.3994880698,89.0839738972312,98048.85750112118,4809651.99073957,49.031351913994214
31-32,0.0009478111920726322,98004.31551417257,92.88958711575027,97957.8707206147,4711603.133238449,48.07546594779386
32-33,0.0009950064450471032,97911.42592705683,97.42249984117359,97862.71467713625,4613645.262517834,47.120601286666584
33-34,0.0010501830577988448,97814.00342721566,102.72260921474003,97762.64212260829,4515782.547840698,46.167035287548934
34-35,0.00111463498673272,97711.28081800092,108.91241219820954,97656.82461190181,4418019.905718089,45.2150444527197
35-36,0.0011905918536724261,97602.3684058027,116.20458472308367,97544.26611344116,4320363.081106187,44.26494102216203
36-37,0.0012816322740706837,97486.16382107962,124.94141382843749,97423.6931141654,4222818.814992745,43.31710931556461
37-38,0.0013901801473932458,97361.22240725119,135.34963851649906,97293.54758799294,4125395.12187858,42.37205552558194
38-39,0.001514181228067097,97225.87276873468,147.21759142885801,97152.26397302025,4028101.574290587,41.430346260526655
