x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.010907505673125997,100000.0,1090.7505673125997,99454.62471634371,7445986.8483,74.459868483
1-2,0.0019046931051676023,98909.2494326874,188.39176543174227,98815.05354997153,7346532.223583656,74.27548248238737
2-3,0.0006966327302621427,98720.85766725565,68.7721806105607,98686.47157695037,7247717.170033685,73.41627029277373
3-4,0.0005163400704888281,98652.0854866451,50.93802477404422,98626.61647425807,7149030.698456734,72.46710156395554
4-5,0.0003968467084865064,98601.14746187105,39.12954082323617,98581.58269145944,7050404.081982477,71.50428025910003
5-6,0.0002985203947269702,98562.01792104781,29.422772494877904,98547.30653480037,6951822.499291018,70.53246926072183
6-7,0.00022558954235632229,98532.59514855294,22.227923046742838,98521.48118702957,6853275.192756217,69.55338162385613
7-8,0.0001732617277777193,98510.3672255062,17.068076429508814,98501.83318729144,6754753.711569187,68.56896285957863
8-9,0.00013783841670137763,98493.29914907669,13.576160410403876,98486.51106887149,6656251.878381896,67.58075864945066
9-10,0.00011714312471083199,98479.72298866628,11.536222471549523,98473.95487743051,6557765.367313025,66.59000622968586
10-11,0.00010975422462806092,98468.18676619473,10.807299489054792,98462.7831164502,6459291.412435594,65.59774912655489
11-12,0.00011475162536221043,98457.37946670568,11.298144322708401,98451.73039454433,6360828.6293191435,64.6048946637882
12-13,0.00013131285162983934,98446.08132238298,12.927235670225173,98439.61770454787,6262376.898924599,63.61225164887054
13-14,0.00015863548304769588,98433.15408671275,15.614990946453956,98425.34659123952,6163937.281220051,62.62054018699891
14-15,0.0001939179419506621,98417.53909576629,19.084926633299826,98407.99663244963,6065511.934628812,61.63039627242353
15-16,0.00023594517723907668,98398.454169133,23.21664070898725,98386.8458487785,5967103.937996362,60.642252852262864
16-17,0.0002911946655299744,98375.23752842401,28.646344388521214,98360.91435622975,5868717.092147584,59.65644647568865
17-18,0.0003733789884302018,98346.5911840355,36.72055073185378,98328.23090866958,5770356.177791354,58.673677534926604
18-19,0.0004880677292173835,98309.87063330364,47.981875319651245,98285.87969564382,5672027.946882685,57.69540647692825
