x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.009854236476385324,100000.0,985.4236476385324,99507.28817618074,6960908.1124,69.609081124
1-2,0.0020940141246321093,99014.57635236147,207.33792142630935,98910.90739164832,6861400.824223819,69.29687604586894
2-3,0.0006950875109431417,98807.23843093516,68.67967742412425,98772.8985922231,6762489.91683217,68.44123997614865
3-4,0.00045636362889318806,98738.55875351104,45.060686984435556,98716.02841001881,6663717.018239947,67.48849793194893
4-5,0.0003697862620734778,98693.4980665266,36.49549974097688,98675.25031665612,6565000.989829929,66.51908300387367
5-6,0.0003146998800102722,98657.00256678562,31.047346869940554,98641.47889335065,6466325.739513272,65.5435049847162
6-7,0.0002765899778083994,98625.95521991569,27.278950765608673,98612.31574453288,6367684.260619922,64.56398061160766
7-8,0.0002307639597279845,98598.67626915008,22.75302095980673,98587.29975867017,6269071.944875388,63.581704968962946
8-9,0.00017388479800315159,98575.92324819027,17.14085450198574,98567.35282093928,6170484.6451167185,62.59626531299062
9-10,0.00013118968801111044,98558.78239368829,12.929895912982891,98552.3174457318,6071917.292295779,61.60706478740574
10-11,5.460606768918911e-05,98545.85249777531,5.381201491982365,98543.16189702932,5973364.974850047,60.61508245600592
11-12,5.7135036629708436e-05,98540.47129628333,5.630113437021881,98537.65623956482,5874821.812953018,59.618365283529954
12-13,0.0001474431479862889,98534.84118284631,14.528287170327882,98527.57703926114,5776284.156713453,58.62174320649366
13-14,0.00022526521024906796,98520.31289567599,22.193198998248413,98509.21629617686,5677756.579674192,57.63031412300139
14-15,0.000555371163708842,98498.11969667774,54.70301535907672,98470.76818899819,5579247.363378015,56.64318649492147
15-16,0.0010325915505308941,98443.41668131866,101.65184027052172,98392.5907611834,5480776.595189017,55.67438412800527
16-17,0.0014567558852915659,98341.76484104813,143.25994470215605,98270.13486869706,5382384.0044278335,54.73141562109948
17-18,0.0018337801422260685,98198.50489634598,180.07446827520863,98108.46766220838,5284113.869559136,53.81053280940289
18-19,0.002163191918377736,98018.43042807077,212.03267655407305,97912.41408979373,5186005.4018969275,52.90847220515934
19-20,0.0024563806923855935,97806.3977515167,240.24974702861135,97686.2728780024,5088092.987807134,52.02208756050656
20-21,0.002715663851781628,97566.14800448809,264.9568612933645,97433.66957384141,4990406.714929132,51.14895706141407
21-22,0.002926077836734202,97301.19114319472,284.7108588919403,97158.83571374875,4892973.04535529,50.28687714782931
22-23,0.0030496060501320945,97016.48028430279,295.8620452375308,96868.54926168402,4795814.209641541,49.43298494840883
23-24,0.0030635895635479984,96720.61823906525,296.3122766171105,96572.4621007567,4698945.660379858,48.5826677489326
24-25,0.0029981167177810424,96424.30596244814,289.09132370645,96279.76030059492,4602373.198279101,47.730425978606135
25-26,0.0029004394215334933,96135.21463874169,278.83436633579015,95995.79745557379,4506093.437978506,46.87245412528146
26-27,0.00283779793927085,95856.38027240589,272.0210384029964,95720.36975320439,4410097.640522933,46.007345864618095
27-28,0.0028544370552905773,95584.3592340029,272.8395369037439,95447.93946555103,4314377.270769728,45.13685403495329
28-29,0.002951812084887163,95311.51969709915,281.34169567085814,95170.84884926373,4218929.331304178,44.26463185889777
29-30,0.0031104163923591716,95030.1780014283,295.5834234244525,94882.38628971607,4123758.482454914,43.39419928680902
30-31,0.0032998613267401404,94734.59457800385,312.6110249523611,94578.28906552767,4028876.096165198,42.528034390307624
