x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007940825205566902,100000.0,794.0825205566903,99602.95873972165,6459440.5584,64.594405584
1-2,0.0022781344767507376,99205.9174794433,226.00442090760842,99092.9152689895,6359837.599660279,64.10744198780397
2-3,0.0006935597751158755,98979.91305853569,68.64848624186692,98945.58881541475,6260744.68439129,63.25267916419315
3-4,0.0003969307600476186,98911.26457229382,39.260923423951674,98891.63411058184,6161799.095575876,62.296232104809896
4-5,0.0003429420151024618,98872.00364886987,33.90736416856139,98855.04996678559,6062907.461465294,61.320770670298785
5-6,0.00033075498727400143,98838.0962847013,32.691193278832905,98821.75068806189,5964052.4114985075,60.34163582349022
6-7,0.0003271867833409476,98805.40509142246,32.3278226685618,98789.24118008818,5865230.660810445,59.36143529175835
7-8,0.00028777858849488654,98773.0772687539,28.42477675769836,98758.86488037505,5766441.419630357,58.38070027868339
8-9,0.00020959880184700733,98744.6524919962,20.69676085112151,98734.30411157063,5667682.554749982,57.39736189976849
9-10,0.00014509767085727502,98723.95573114508,14.324616034405878,98716.79342312788,5568948.250638411,56.409290018770385
10-11,0.0,98709.63111511068,0.0,98709.63111511068,5470231.457215283,55.41740350377916
11-12,0.0,98709.63111511068,0.0,98709.63111511068,5371521.8261001725,54.41740350377916
12-13,0.00016350269095798182,98709.63111511068,16.13929031079033,98701.56146995528,5272812.194985062,53.41740350377916
13-14,0.0002920860885766547,98693.49182479989,28.826995995077844,98679.07832680235,5174110.6335151065,52.4260570565297
14-15,0.0009214920756359979,98664.6648288048,90.91870678502538,98619.2054754123,5075431.555188304,51.44122836675921
15-16,0.0018463074914589948,98573.74612201977,181.99744592626215,98482.74739905664,4976812.3497128915,50.488213601543876
16-17,0.002659684678436654,98391.74867609351,261.69102643839585,98260.90316287431,4878329.602313835,49.580677932387786
17-18,0.003371155357200902,98130.05764965512,330.8116695480682,97964.65181488109,4780068.699150961,48.711565178294386
18-19,0.00398369150800468,97799.24598010705,389.6020257002133,97604.44496725695,4682104.04733608,47.87464361727746
19-20,0.004520866716700588,97409.64395440684,440.3760172391325,97189.45594578728,4584499.602368823,47.064124415798354
20-21,0.0049939754244778456,96969.26793716771,484.26214100782306,96727.1368666638,4487310.146423036,46.275590626616236
21-22,0.005377736820895378,96485.00579615988,518.8709683343129,96225.57031199272,4390583.009556373,45.505340164793964
22-23,0.005610985332223555,95966.13482782556,538.4645749091172,95696.902540371,4294357.43924438,44.74867563384686
23-24,0.0056500620744227,95427.67025291645,539.1722605465185,95158.08412264318,4198660.536704009,43.99835525247658
24-25,0.005523520030014928,94888.49799236993,524.1185192788865,94626.43873273049,4103502.452581366,43.245520156840634
25-26,0.0053106546264977275,94364.37947309104,501.13662842535814,94113.81115887836,4008876.0138486354,42.48293727181035
26-27,0.005130273249914897,93863.24284466568,481.54408391625424,93622.47080270755,3914762.202689757,41.70708452049008
27-28,0.00504133763407146,93381.69876074944,470.76867229609036,93146.3144246014,3821139.7318870495,40.91957827493674
