x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.014683705103118528,100000.0,1468.3705103118527,99265.81474484407,6856702.9438,68.56702943799999
1-2,0.0006036783805253674,98531.62948968814,59.48141452086047,98501.88878242772,6757437.129055155,68.58140034883273
2-3,0.00041178370116354317,98472.14807516728,40.54922559591686,98451.87346236932,6658935.240272728,67.62252444406643
3-4,0.0003281298667174007,98431.59884957137,32.2983474112905,98415.44967586572,6560483.366810358,66.65017579198782
4-5,0.00031961702334319924,98399.30050216008,31.450091525553376,98383.5754563973,6462067.917134493,65.67188876502873
5-6,0.0003406676197319628,98367.85041063454,33.51074145754065,98351.09503990576,6363684.341678095,64.69272546988704
6-7,0.00036698531902928347,98334.33966917699,36.087259015026845,98316.29603966947,6265333.246638189,63.714601305265745
7-8,0.00038227589131470055,98298.25241016196,37.577052054772075,98279.46388413457,6167016.950598519,62.737808652648845
8-9,0.00037130606585711605,98260.6753581072,36.48478479568205,98242.43296570936,6068737.4867143845,61.761609765016445
9-10,0.00031817293614207464,98224.19057331151,31.252279114889213,98208.56443375407,5970495.053748675,60.784365021491126
10-11,0.0001930813078561891,98192.93829419662,18.95922094808556,98183.45868372258,5872286.48931492,59.8035519796843
11-12,0.0,98173.97907324853,0.0,98173.97907324853,5774103.030631198,58.81500459834764
12-13,0.000328958006599493,98173.97907324853,32.295116455876176,98157.83151502059,5675929.051557949,57.81500459834764
13-14,0.0006533944915942105,98141.68395679265,64.12523569314821,98109.62133894608,5577771.220042928,56.83386503229931
14-15,0.0009725715982500518,98077.5587210995,95.38744803784304,98029.86499708059,5479661.598703982,55.870697335425604
15-16,0.0013010707143135541,97982.17127306166,127.48173356823533,97918.43040627753,5381631.733706902,54.92460172891147
16-17,0.001715555229469081,97854.68953949343,167.87512436755134,97770.75197730964,5283713.303300625,53.99550423353147
17-18,0.0021508376690461445,97686.81441512587,210.10848021317264,97581.76017501928,5185942.551323315,53.08743644035055
18-19,0.002525514945688774,97476.70593491271,246.17887769513163,97353.61649606514,5088360.791148296,52.20078727881822
19-20,0.0027756324540634506,97230.52705721758,269.87620642570755,97095.58895400472,4991007.174652231,51.33168898400763
20-21,0.0028763510199780167,96960.65085079188,278.89286697240755,96821.20441730568,4893911.5856982265,50.47317177386973
21-22,0.0028432834825843378,96681.75798381947,274.89364554261033,96544.31116104816,4797090.3812809205,49.6173267979235
22-23,0.0027186030077750605,96406.86433827685,262.0919913602017,96275.81834259674,4700546.070119873,48.757379491426875
23-24,0.0025525968123295477,96144.77234691665,245.4188394148895,96022.0629272092,4604270.251777276,47.888929781473806
24-25,0.0023891690699703095,95899.35350750176,229.1197692302719,95784.79362288662,4508248.188850068,47.01020417720969
25-26,0.0022586246733315445,95670.23373827149,216.08315042465594,95562.19216305917,4412463.395227181,46.12159104051649
26-27,0.002176882429513826,95454.15058784683,207.79246323885062,95350.25435622741,4316901.203064121,45.22486635184355
27-28,0.0021484614808012594,95246.35812460798,204.63313161732233,95144.04155879932,4221550.9487078935,44.322439532910686
28-29,0.0021706731596931933,95041.72499299067,206.3045214932266,94938.57273224405,4126406.907149094,43.416793071184436
29-30,0.0022373800435112404,94835.42047149745,212.18287718092574,94729.32903290699,4031468.33441685,42.510154058192825
30-31,0.002341648970213259,94623.23759431652,221.57440687097585,94512.45039088103,3936739.005383943,41.6043575074248
31-32,0.002477270005038809,94401.66318744555,233.85840864003518,94284.73398312554,3842226.5549930623,40.70083540121398
32-33,0.00263940963106086,94167.80477880551,248.54741086903815,94043.53107337099,3747941.8210099367,39.80067104477614
33-34,0.002824723681652918,93919.25736793647,265.29595045046545,93786.60939271124,3653898.289936566,38.90467612645313
34-35,0.0030311966434141014,93653.961417486,283.8835734911173,93512.01963074044,3560111.6805438544,38.01346602599931
35-36,0.003257883777535697,93370.07784399489,304.1888619151961,93217.98341303729,3466599.660913114,37.127522445736815
36-37,0.003504653438546806,93065.88898207969,326.1636878324609,92902.80713816347,3373381.6775000766,36.24724068503379
37-38,0.0037719722654121655,92739.72529424723,349.81167171184364,92564.8194583913,3280478.870361913,35.37296298812097
38-39,0.004060744098696891,92389.91362253539,375.171796521826,92202.32772427448,3187914.0509035215,34.505000880593286
39-40,0.0043721980741358475,92014.74182601356,402.3066770038037,91813.58848751166,3095711.723179247,33.64364950382392
40-41,0.004707815843958735,91612.43514900976,431.2944736981503,91396.78791216068,3003898.1346917357,32.78919646449552
41-42,0.005069287463339521,91181.14067531162,462.22341331835446,90950.02896865243,2912501.346779575,31.94192708282459
42-43,0.005458487164344315,90718.91726199327,495.18804543780413,90471.32323927437,2821551.317810923,31.102127350818957
43-44,0.005877462430388924,90223.72921655547,530.2865787998883,89958.58592715552,2731079.9945716485,30.270085467388473
44-45,0.006328431767524486,89693.44263775558,567.6188317274076,89409.63322189187,2641121.408644493,29.446092501000056
45-46,0.006813788114400886,89125.82380602817,607.2844789357023,88822.18156656032,2551711.7754226015,28.63044251883832
46-47,0.007336105937182916,88518.53932709247,649.3813819082425,88193.84863613834,2462889.5938560413,27.823432385787637
47-48,0.007898150800115975,87869.15794518423,694.0038601302738,87522.1560151191,2374695.745219903,27.025361352629773
48-49,0.008502890682886866,87175.15408505395,741.2408054490321,86804.53368232943,2287173.589204784,26.236530502409707
49-50,0.00915350861531179,86433.91327960491,791.1735698599757,86038.32649467493,2200369.0555224544,25.45724209436734
50-51,0.009853416380633893,85642.73970974493,843.8735743383654,85220.80292257575,2114330.7290277793,24.687798827939627
51-52,0.010606269144210234,84798.86613540657,899.3995973559768,84349.16633672858,2029109.9261052036,23.92850303994781
52-53,0.011415980923164686,83899.46653805059,957.7947094620795,83420.56918331955,1944760.759768475,23.179655843061596
53-54,0.01228674084271643,82941.67182858851,1019.0828268195013,82432.13041517876,1861340.1905851555,22.441556211115397
54-55,0.013223030137389924,81922.58900176901,1083.2648633034,81380.95657011731,1778908.0601699767,21.714500015759555
55-56,0.014229639856697857,80839.32413846561,1150.3144687492274,80264.166904091,1697527.1035998594,20.998779018640118
56-57,0.015311689228909115,79689.00966971638,1220.1733510222307,79078.92299420526,1617262.9366957685,20.294679823463344
57-58,0.01647464462522424,78468.83631869416,1292.7461925053753,77822.46322244147,1538184.0137015632,19.602482792714888
58-59,0.017724339051119368,77176.09012618878,1367.8951880363156,76492.14253217062,1460361.5504791217,18.922460934355698
59-60,0.01906699207224681,75808.19493815246,1445.4342518970939,75085.47781220391,1383869.4079469512,18.254878764439262
60-61,0.020509230059196526,74362.76068625537,1525.1229667513862,73600.19920287967,1308783.9301347474,17.59999115224689
61-62,0.02205810660854266,72837.63771950398,1606.660377931227,72034.30753053837,1235183.7309318678,16.958042155190853
62-63,0.023721122966724045,71230.97734157275,1689.6787725593815,70386.13795529306,1163149.4234013294,16.329263851367614
63-64,0.025506248248188566,69541.29856901338,1773.7376248026555,68654.42975661205,1092763.2854460364,15.713875178237702
64-65,0.027421939199606574,67767.56094421072,1858.3179359177796,66838.40197625183,1024108.8556894243,15.11208078644761
65-66,0.02947715921758296,65909.24300829295,1942.817250065818,64937.834383260044,957270.4537131725,14.524069918277245
66-67,0.03168139627797616,63966.42575822713,2026.5456829321352,62953.152916761064,892332.6193299125,13.95001532057845
67-68,0.03404467938053868,61939.880075295,2108.723358032434,60885.51839627878,829379.4664131514,13.390072202350826
68-69,0.036577593053121596,59831.156717262566,2188.4797023015726,58736.91686611178,768493.9480168726,12.844377247266987
69-70,0.039291289395263704,57642.677014960995,2264.855104112548,56510.24946290472,709757.0311507608,12.313047691496795
70-71,0.042197497071948135,55377.82191084845,2336.8054779338927,54209.4191718815,653246.7816878561,11.79618047707806
71-72,0.045308526595220645,53041.016432914555,2403.2103036882445,51839.41128107043,599037.3625159746,11.29385149082932
72-73,0.048637271155093614,50637.80612922631,2462.8847074062414,49406.36377552319,547197.9512349041,10.806114898391723
73-74,0.05219720218294741,48174.921421820065,2514.5961136023466,46917.623365018895,497791.5874593809,10.333002582416546
74-75,0.05600235875214011,45660.32530821772,2557.085918650231,44381.7823488926,450873.964094362,9.874523693181308
75-76,0.06006732984392458,43103.23938956749,2589.096497754793,41808.69114069009,406492.1817454694,9.43066431902227
