x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.009532758514942582,100000.0,953.2758514942582,99523.36207425287,7308862.7731,73.088627731
1-2,0.0009833049355594445,99046.72414850575,97.39313270622053,98998.02758215263,7209339.411025747,72.78725745857501
2-3,0.0005291986516038165,98949.33101579953,52.36385255066081,98923.1490895242,7110341.383443594,71.85840783813147
3-4,0.0003688939867359309,98896.96716324888,36.482496492943326,98878.7259150024,7011418.234354069,70.89619060592976
4-5,0.00030646968304061563,98860.48466675593,30.297741401062332,98845.3357960554,6912539.508439067,69.92216892057746
5-6,0.0002799647855387856,98830.18692535486,27.66897208731507,98816.3524393112,6813694.172643011,68.94345123306611
6-7,0.0002665833255324729,98802.51795326755,26.339103806963923,98789.34840136407,6714877.8202037,67.96261835533139
7-8,0.00025510997416703057,98776.17884946059,25.19878843460388,98763.57945524328,6616088.471802336,66.9806075601037
8-9,0.00023694712821478644,98750.98006102598,23.398761133855743,98739.28068045905,6517324.892347093,65.99757175391602
9-10,0.00020343427877540126,98727.58129989213,20.084574296983348,98717.53901274364,6418585.611666634,65.01309489361152
10-11,0.0001385712384006526,98707.49672559515,13.678020060694083,98700.6577155648,6319868.07265389,64.02622173899309
11-12,0.00010003404299092957,98693.81870553446,9.872741703328442,98688.8823346828,6221167.414938325,63.03502586620919
12-13,0.00021671762578520868,98683.94596383114,21.38655047239731,98673.25268859493,6122478.532603642,62.04128212351383
13-14,0.00038898034874192345,98662.55941335874,38.37779676837903,98643.37051497455,6023805.279915047,61.05462209507038
14-15,0.0005574929940635519,98624.18161659036,54.98229029650047,98596.69047144211,5925161.909400072,60.078185818916374
15-16,0.0007307683308532044,98569.19932629386,72.03124926521257,98533.18370166126,5826565.2189286295,59.1114187672453
16-17,0.0009461673795182429,98497.16807702865,93.19480740941013,98450.57067332395,5728032.035226968,58.154281458604196
17-18,0.0011685408221070415,98403.97326961924,114.9890598230802,98346.4787397077,5629581.464553644,57.20888372189026
18-19,0.0013582345067555226,98288.98420979615,133.49948998769383,98222.2344648023,5531234.985813936,56.27522789336809
19-20,0.0014888788694870584,98155.48471980846,146.14162712358265,98082.41390624667,5433012.751349134,55.35108676665436
20-21,0.0015520973670158367,98009.34309268488,152.120043357108,97933.28307100633,5334930.337442888,54.432875163725804
21-22,0.001561163693154917,97857.22304932777,152.77114373757303,97780.83747745899,5236997.054371881,53.5167143638648
22-23,0.0015389575160068914,97704.4519055902,150.36300060744188,97629.27040528649,5139216.216894423,52.59961154953657
23-24,0.0015077351016379963,97554.08890498277,147.08572415035633,97480.54604290759,5041586.946489136,51.67991422071112
24-25,0.0014832964858679655,97407.00318083241,144.48346551705845,97334.76144807388,4944106.400446228,50.7571964950783
25-26,0.0014755575112488247,97262.51971531536,143.51644152892047,97190.7614945509,4846771.638998154,49.831853556586005
26-27,0.001490412248887776,97119.00327378644,144.74735207902333,97046.62959774693,4749580.877503603,48.904753111130525
27-28,0.0015314115075041154,96974.25592170742,148.50749145015186,96900.00217598234,4652534.247905856,47.97700383143027
