x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004717178469459374,100000.0,471.7178469459374,99764.14107652703,7894400.7937,78.94400793700001
1-2,0.0003005028761703714,99528.28215305407,29.908535047288993,99513.32788553042,7794636.652623474,78.3157961134798
2-3,0.0002890880141002606,99498.37361800678,28.763787235435345,99483.99172438907,7695123.324737944,77.339187013056
3-4,0.0003031245641639488,99469.60983077134,30.151682127510597,99454.53398970759,7595639.333013555,76.36140672448694
4-5,0.0002920858555768371,99439.45814864383,29.04485921144372,99424.9357190381,7496184.799023847,75.38440915293826
5-6,0.00028463923457585705,99410.41328943238,28.29610394757364,99396.2652374586,7396759.863304809,74.40628822022114
6-7,0.0002848302451069624,99382.1171854848,28.307032797190498,99367.96366908621,7297363.59806735,73.42733083908541
7-8,0.00029769790580022994,99353.81015268761,29.577421215728727,99339.02144207974,7197995.634398264,72.44810866675707
8-9,0.0003280805372368641,99324.23273147189,32.58634763518062,99307.93955765429,7098656.612956184,71.46953384626451
9-10,0.00037814956122536136,99291.6463838367,37.54709251339159,99272.87283758001,6999348.67339853,70.49282521049955
10-11,0.0004307723789371711,99254.09929132332,42.755924470989534,99232.72132908783,6900075.80056095,69.51930297919843
11-12,0.0004639137462722119,99211.34336685234,46.025505974015225,99188.33061386533,6800843.079231863,68.54904740161098
12-13,0.0004604658625952095,99165.31786087832,45.66224362833747,99142.48673906414,6701654.748617997,67.58063094215993
13-14,0.000428806618798889,99119.65561724998,42.50316438174327,99098.40403505911,6602512.261878933,66.61153351232876
14-15,0.00039624021717261373,99077.15245286823,39.258352404768665,99057.52327666584,6503413.857843874,65.63989473695864
15-16,0.0003803086524994073,99037.89410046347,37.66496805172626,99019.06161643761,6404356.334567208,64.66571601442439
16-17,0.0003775492177610406,99000.22913241174,37.37745906710584,98981.54040287819,6305337.27295077,63.69012807553657
17-18,0.0003828266098036708,98962.85167334463,37.88561300261005,98943.90886684333,6206355.732547892,62.71399446970016
18-19,0.0003979401372856909,98924.96606034202,39.36621457503482,98905.2829530545,6107411.823681049,61.73782076362467
19-20,0.00042451716191381115,98885.59984576699,41.9786342006698,98864.61052866666,6008506.540727994,60.762199451684886
20-21,0.00044343466686728376,98843.62121156632,43.8306882439069,98821.70586744437,5909641.930199328,59.78779265432055
21-22,0.00046446964520489446,98799.79052332242,45.889503650685455,98776.84577149707,5810820.224331884,58.81409458009121
22-23,0.0004877692941507775,98753.90101967173,48.169120595001026,98729.81645937423,5712043.378560387,57.84119229297636
23-24,0.0005135007171884015,98705.73189907672,50.68546412078198,98680.38916701633,5613313.562101012,56.86917521507703
24-25,0.0005418515053561891,98655.04643495595,53.45638542176562,98628.31824224506,5514633.172933996,55.89813569820614
25-26,0.0005730306370883833,98601.59004953418,56.501731964012166,98573.33918355218,5416004.85469175,54.92816953530799
26-27,0.0006072696583487691,98545.08831757016,59.843442114560105,98515.16659651288,5317431.515508198,53.95937642647709
27-28,0.0006448241199637262,98485.2448754556,63.50566135622773,98453.49204477748,5218916.348911685,52.99186041027288
28-29,0.0006859752598808471,98421.73921409936,67.51487813531678,98387.9817750317,5120462.856866907,52.025730268068436
29-30,0.0007310319260471041,98354.22433596404,71.90007805118874,98318.27429693844,5022074.875091876,51.06109990697687
30-31,0.0007803327416742412,98282.32425791286,76.69291554629393,98243.9778001397,4923756.600794937,50.09808872523198
31-32,0.0008342485194675492,98205.63134236656,81.92790255074524,98164.66739109118,4825512.622994797,49.13682196260205
32-33,0.0008931849353576099,98123.70343981581,87.64261371394117,98079.88213295884,4727347.955603706,48.17743103737646
33-34,0.0009575854756787099,98036.06082610188,93.87790793982971,97989.12187213196,4629268.073470747,47.22005387060814
34-35,0.0010279346747797554,97942.18291816206,100.67816594520022,97891.84383518946,4531278.951598615,46.26483519756584
35-36,0.001104761662872401,97841.50475221686,108.09154348799701,97787.45898047286,4433387.107763426,45.31192686570957
36-37,0.0011886440466153563,97733.41320872886,116.1702397659542,97675.32808884588,4335599.648782954,44.36148811792167
37-38,0.0012802121475747913,97617.2429689629,124.9707802616262,97554.7575788321,4237924.320694108,43.41368585918312
38-39,0.0013801536263401719,97492.27218870127,134.55431300137914,97424.99503220059,4140369.5631152755,42.46869490436512
39-40,0.0014892185227505612,97357.71787569989,144.9869167932157,97285.22441730328,4042944.568083075,41.52669820429489
40-41,0.0016082247454255552,97212.73095890667,156.33991949851065,97134.56099915742,3945659.3436657717,40.587887046745585
41-42,0.0017380640466164513,97056.39103940816,168.69022375994243,96972.04592752819,3848524.7826666143,39.65246122848297
42-43,0.0018797085213088454,96887.70081564822,182.12063683319593,96796.64049723162,3751552.736739086,38.72062919397069
43-44,0.0020342176725230503,96705.58017881503,196.72020023134033,96607.22007869936,3654756.096241854,37.792608135786665
44-45,0.0022027460878730355,96508.85997858369,212.58451376291177,96402.56772170223,3558148.876163155,36.868624051229546
45-46,0.0023865517756509872,96296.27546482078,229.81604719914463,96181.3674412212,3461746.3084414527,35.94891174899186
46-47,0.002587005211989321,96066.45941762163,248.52443121074776,95942.19720201626,3365564.9410002315,35.03371479914123
47-48,0.002805599153993435,95817.93498641088,268.8267173352723,95683.52162774325,3269622.7437982154,34.12328541897632
48-49,0.0030439592771061273,95549.10826907562,290.8475945348705,95403.68447180818,3173939.222170472,33.21788428660527
49-50,0.003303855698317526,95258.26067454074,314.7195473413977,95100.90090087004,3078535.537698664,32.31778027332228
50-51,0.003587215450118979,94943.54112719934,340.5829376204962,94773.24965838909,2983434.6367977937,31.4232500850245
51-52,0.0038961359732480405,94602.95818957884,368.58598857809847,94418.6651952898,2888661.3871394047,30.534577802003767
52-53,0.004232899699199142,94234.37220100075,398.8846457438361,94034.92987812882,2794242.7219441147,29.65205430545056
53-54,0.004599989796075175,93835.48755525691,431.6422852639209,93619.66641262495,2700207.792065986,28.775976577900916
54-55,0.005000107153500214,93403.84526999299,467.029234898919,93170.33065254353,2606588.125653361,27.906646863614252
55-56,0.005436188683844974,92936.81603509407,505.22206764256055,92684.2050012728,2513417.7950008176,27.044371673457377
56-57,0.005911427017744843,92431.59396745151,546.4026218724141,92158.39265651531,2420733.589999545,26.189460617242762
57-58,0.00642929167158719,91885.1913455791,590.756695460327,91589.81299784893,2328575.1973430295,25.342225044569876
58-59,0.006993551763037842,91294.43465011877,638.4723544028811,90975.19847291733,2236985.384345181,24.50297647297245
59-60,0.007608300347444083,90655.96229571589,689.7377894323729,90311.0934009997,2146010.1858722633,23.67202477948521
60-61,0.00827798044271175,89966.22450628351,744.7386469676295,89593.8551827997,2055699.0924712636,22.84967612848628
61-62,0.009007412802561985,89221.48585931589,803.654753992805,88819.65848231949,1966105.2372884639,22.036230604684295
62-63,0.00980182548740709,88417.83110532309,866.6561504694113,87984.50303008838,1877285.5788061444,21.23197951519447
63-64,0.010666885267843559,87551.17495485368,933.8983383083226,87084.22578569951,1789301.075776056,20.43720231851509
64-65,0.011608730877246756,86617.27661654535,1005.5166535615134,86114.5182897646,1702216.8499903565,19.652163130527295
65-66,0.012634008106376077,85611.75996298384,1081.6196693734607,85070.9501282971,1616102.3317005918,18.877106747943856
66-67,0.014891802518985092,84530.14029361037,1258.80615615455,83900.7372155331,1531031.3815722947,18.112254117340267
67-68,0.016317238181975193,83271.33413745582,1358.7581928517084,82591.95504102997,1447130.6443567616,17.378497166479715
68-69,0.017882975844292482,81912.57594460412,1464.840616961129,81180.15563612356,1364538.6893157316,16.658476107973243
69-70,0.01960236479057145,80447.735327643,1576.9658544678,79659.2524004091,1283358.533679608,15.952699332713568
70-71,0.021489915176211283,78870.7694731752,1694.9261458610492,78023.30640024468,1203699.2812791988,15.261665244543988
71-72,0.023561375912735043,77175.84332731414,1818.3690560171929,76266.65879930554,1125675.9748789542,14.585859076457336
72-73,0.025833812705367592,75357.47427129695,1946.7708762742425,74384.08883315983,1049409.3160796487,13.925749585258595
73-74,0.028325684878715437,73410.7033950227,2079.4084510922585,72370.99916947658,975025.2272464889,13.281785654605187
74-75,0.031056919281042497,71331.29494393045,2215.330269285883,70223.62980928751,902654.2280770123,12.654392840989898
75-76,0.03404897915876213,69115.96467464457,2353.3280407447123,67939.30065427221,832430.5982677249,12.043969901690527
76-77,0.03732492543792504,66762.63663389985,2491.9104343995946,65516.68141670005,764491.2976134527,11.45088534782746
77-78,0.04090946733812626,64270.726199500255,2629.2811742561116,62956.0856123722,698974.6161967526,10.875474069284557
78-79,0.04482899867865138,61641.445025244146,2763.3242575868317,60259.78289645073,636018.5305843805,10.318034081191811
79-80,0.04911161562303045,58878.12076765732,2891.599635747553,57432.32094978354,575758.7476879298,9.778823443770698
80-81,0.0537871109579146,55986.521131909765,3011.353224269661,54480.84451977493,518326.4267381462,9.258057408441543
81-82,0.05888693933353421,52975.167907640105,3119.5454987609914,51415.39515825961,463845.5822183713,8.755905843036983
82-83,0.06444414723264794,49855.62240887911,3212.9030708931073,48249.17087343256,412430.18706011167,8.272490987629498
83-84,0.07049326081976003,46642.719337986004,3287.997379635512,44998.720648168244,364181.01618667913,7.807885589768536
84-85,0.0770701243013789,43354.72195835049,3341.3538103817937,41684.04505315959,319182.2955385109,7.362111463778714
85-86,0.08421168106345883,40013.3681479687,3369.5929967515026,38328.57164959295,277498.2504853513,6.93513851318809
86-87,0.09195568972037763,36643.775151217196,3369.6036179886123,34958.97334222289,239169.67883575836,6.526884248382739
87-88,0.10034036740122973,33274.17153322858,3338.7425966156957,31604.800234920735,204210.70549353547,6.1372138233285405
88-89,0.10940395321648204,29935.428936612887,3275.054266896519,28297.901803164626,172605.90525861474,5.765940605832008
89-90,0.1191841860019821,26660.37466971637,3177.4950535180083,25071.627142957364,144308.00345545012,5.412827285558375
90-91,0.1297176922403869,23482.879616198363,3046.144950972074,21959.807140712324,119236.37631249275,5.07758751317041
91-92,0.14103928261631457,20436.73466522629,2882.3823962034835,18995.54346712455,97276.56917178043,4.759888052825748
92-93,0.15318115905281052,17554.352269022806,2688.9960269902476,16209.854255527682,78281.02570465588,4.459351419237159
93-94,0.16617203834561164,14865.356242032558,2470.2065474722117,13630.252968296452,62071.171449128204,4.1755589599406155
94-95,0.18003620364098988,12395.149694560347,2231.57569457042,11279.361847275137,48440.91848083175,3.9080543337116946
95=96,0.19479250089415664,10163.573999989927,1979.787997480865,9173.680001249495,37161.55663355661,3.656347327583136
