x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.012303471907230312,100000.0,1230.3471907230312,99384.82640463849,7553379.9201,75.533799201
1-2,0.0007333601693802576,98769.65280927697,72.4337293138406,98733.43594462005,7453995.093695361,75.46847520147648
2-3,0.0005635837766634971,98697.21907996314,55.62415147527018,98669.4070042255,7355261.657750741,74.52349444406947
3-4,0.00044989986067415496,98641.59492848786,44.37883981500312,98619.40550858036,7256592.250746516,73.56523640972475
4-5,0.0003495309074352523,98597.21608867285,34.46277441006348,98579.98470146782,7157972.845237935,72.5981232451883
5-6,0.00027356899374904266,98562.7533142628,26.96371324531799,98549.27145764013,7059392.860536467,71.62333257907191
6-7,0.00021854548372766472,98535.78960101747,21.534551802841758,98525.02232511605,6960843.589078827,70.64279504192403
7-8,0.00018054862170824578,98514.25504921463,17.786612967750294,98505.36174273075,6862318.566753711,69.658127783898
8-9,0.0001569125062652988,98496.46843624687,15.455327720612392,98488.74077238656,6763813.205010979,68.67061644335955
9-10,0.00014592869202325318,98481.01310852625,14.371205432052088,98473.82750581023,6665324.464238592,67.68131494436794
10-11,0.00014677150091960996,98466.6419030942,14.452096822630896,98459.41585468288,6566850.636732782,66.69112005663338
11-12,0.00015933532670780575,98452.18980627158,15.686911827881184,98444.34635035763,6468391.220878099,65.70083645276168
12-13,0.00018387850208566314,98436.50289444369,18.10035670278135,98427.4527160923,6369946.874527741,64.71122690490559
13-14,0.00022019664573351552,98418.40253774091,21.67140211726146,98407.56683668228,6271519.421811649,63.72303614059051
14-15,0.0002665655423845201,98396.73113562365,26.22917800403131,98383.61654662163,6173111.8549749665,62.736960707224625
15-16,0.0003221140143713911,98370.50195761962,31.686517281297643,98354.65869897898,6074728.238428345,61.75355535997452
16-17,0.00038374843536505515,98338.81544033832,37.737366560882755,98319.94675705789,5976373.579729366,60.77329234614589
17-18,0.00044867946803382454,98301.07807377745,44.10567541729392,98279.0252360688,5878053.632972308,59.796431007203
18-19,0.0005158173895168,98256.97239836016,50.68265500434641,98231.63107085798,5779774.607736239,58.8230480408401
19-20,0.000586770800116168,98206.28974335581,57.624583209149115,98177.47745175124,5681542.976665381,57.85314760910992
20-21,0.0006682455162768993,98148.66516014666,65.58740542183072,98115.87145743574,5583365.49921363,56.8868205197024
21-22,0.0007578774586219166,98083.07775472483,74.3349537025667,98045.91027787354,5485249.627756194,55.92452595618066
22-23,0.000844202196105662,98008.74280102226,82.739195910178,97967.37320306718,5387203.717478321,54.966562813844504
23-24,0.0009198741767813632,97926.00360511208,90.07960195174128,97880.96380413622,5289236.344275254,54.012582455668976
24-25,0.0009871671210960624,97835.92400316034,96.58040743797294,97787.63379944135,5191355.380471118,53.06185262075538
