x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.013075934678990464,100000.0,1307.5934678990463,99346.20326605048,7221614.8617,72.216148617
1-2,0.0009090839001864524,98692.40653210095,89.71967784898925,98647.54669317645,7122268.65843395,72.16632878556206
2-3,0.0005690935841850398,98602.68685425197,56.114156472161355,98574.62977601589,7023621.111740774,71.23153877259583
3-4,0.0004568877127492535,98546.5726977798,45.02471819916665,98524.06033868022,6925046.481964758,70.27181455820204
4-5,0.00036783226232419406,98501.54797958063,36.23204723576429,98483.43195596275,6826522.421626077,69.30370701424118
5-6,0.0003069444551583584,98465.31593234486,30.223382750849222,98450.20424096944,6728038.989670115,68.32902455005501
6-7,0.0002654282200902855,98435.09254959402,26.127451409861266,98422.0288238891,6629588.785429145,67.34985068550624
7-8,0.00023515126707119487,98408.96509818416,23.140992834002997,98397.39460176716,6531166.756605256,66.36759923335246
8-9,0.00021072994188489895,98385.82410535016,20.73283899601833,98375.45768585215,6432769.362003489,65.38309172585036
9-10,0.0001918224617754034,98365.09126635414,18.868633959474284,98355.6569493744,6334393.904317637,64.39676741787684
10-11,0.00018327187671630422,98346.22263239467,18.024096789798445,98337.21058399977,6236038.247368262,63.40902660468983
11-12,0.00019456411987505367,98328.19853560487,19.131139406979504,98318.63296590137,6137701.036784262,62.42055817347032
12-13,0.00023743245224959407,98309.06739619789,23.34176295024988,98297.39651472277,6039382.403818361,61.43260803684458
13-14,0.0003185345767840372,98285.72563324764,31.307402018498532,98270.0719322384,5941085.007303638,60.44707885123367
14-15,0.0004290226244011615,98254.41823122914,42.15336836857126,98233.34154704485,5842814.9353714,59.466180153050075
15-16,0.0005531024077884787,98212.26486286057,54.32144017000799,98185.10414277557,5744581.593824355,58.491488836408
16-17,0.0006786888840810241,98157.94342269056,66.61870508523415,98124.63407014793,5646396.489681579,57.52358181922072
17-18,0.0008077574995550722,98091.32471760533,79.23400318193752,98051.70771601435,5548271.855611431,56.56230937429305
18-19,0.0009385817941961425,98012.0907144234,91.99236395565859,97966.09453244557,5450220.147895417,55.60763073380054
19-20,0.0010726794120072347,97920.09835046773,105.03687352227031,97867.57991370659,5352254.053362971,54.65940234461994
