x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.014289310904691101,100000.0,1428.9310904691101,99285.53445476544,6897938.5118,68.97938511800001
1-2,0.001078664704535015,98571.06890953089,106.32513292099974,98517.9063430704,6798652.977345235,68.97209346065911
2-3,0.0005744251836827293,98464.74377660989,56.560628530152016,98436.46346234481,6700135.071002164,68.0460316456312
3-4,0.0004636483516320935,98408.18314807974,45.62679190371633,98385.36975212788,6601698.60753982,67.08485408785478
4-5,0.0003855152334324854,98362.55635617602,37.9202638746672,98343.59622423869,6503313.237787692,66.11574036606827
5-6,0.0003391400856228528,98324.63609230136,33.34582550317893,98307.96317954977,6404969.641563453,65.14104598923555
6-7,0.0003105994078667838,98291.29026679818,30.529216555329686,98276.02565852052,6306661.678383903,64.16297579638376
7-8,0.00028774950411989547,98260.76105024286,28.27448526665092,98246.62380760953,6208385.652725382,63.18275562257145
8-9,0.00026263333107739723,98232.4865649762,25.799125166575372,98219.58700239292,6110139.028917773,62.2007977460308
9-10,0.00023619634293350122,98206.68743980963,23.19606042489644,98195.08940959717,6011919.44191538,61.21700668908168
10-11,0.00021868227814274673,98183.49137938472,21.470989570852584,98172.75588459929,5913724.352505783,60.2313512121394
11-12,0.00022885138749502911,98162.02038981387,22.464514565524244,98150.7881325311,5815551.596621184,59.24441625719284
12-13,0.0002896549481988517,98139.55587524835,28.426607973303373,98125.3425712617,5717400.808488652,58.25786307568394
13-14,0.000414421250902051,98111.12926727504,40.65933691835695,98090.79959881587,5619275.465917391,57.27459777380933
14-15,0.0005872566620236462,98070.46993035669,57.59253681439163,98041.67366194949,5521184.666318575,56.29813612843258
15-16,0.0007776294396736339,98012.8773935423,76.21769892834088,97974.76854407812,5423142.992656626,55.33092321003461
16-17,0.0009652763236526991,97936.65969461395,94.53593882084242,97889.39172520353,5325168.224112548,54.37359453260388
17-18,0.001158233311139013,97842.1237557931,113.32400696654533,97785.46175230983,5227278.832387344,53.42564768355045
18-19,0.0013559828028028105,97728.79974882655,132.51857179796843,97662.54046292757,5129493.3706350345,52.48701901403046
19-20,0.0015607861183342486,97596.28117702859,152.32692086215235,97520.11771659751,5031830.830172107,51.557608235552905
20-21,0.0018055159759680442,97443.95425616644,175.9366161710078,97355.98594808094,4934310.712455509,50.63742281521028
21-22,0.0020592700014084573,97268.01763999544,200.30111082251125,97167.86708458418,4836954.726507428,49.72811047110855
22-23,0.002237348719462496,97067.71652917292,217.1743312776936,96959.12936353407,4739786.859422844,48.8296936293782
23-24,0.002285212240601573,96850.54219789522,221.32404453952932,96739.88017562545,4642827.73005931,47.93806647538013
24-25,0.0022320460992882895,96629.21815335569,215.68086945647474,96521.37771862745,4546087.849883684,47.04672082380716
25-26,0.0021354073094976664,96413.53728389922,205.88217225056417,96310.59619777394,4449566.4721650565,46.15084766636937
26-27,0.002091107542876996,96207.65511164865,201.18055328647708,96107.06483500541,4353255.875967283,45.24853943187103
27-28,0.0021153397515513467,96006.47455836217,203.08631203960653,95904.93140234236,4257148.811132277,44.34230952355577
28-29,0.0022267004126888543,95803.38824632256,213.32544414507697,95696.72552425003,4161243.879729935,43.43524749908483
29-30,0.00238690927134541,95590.06280217749,228.16480715100747,95475.98039860198,4065547.154205685,42.53106478880851
30-31,0.002550294988817607,95361.89799502648,243.20097058085184,95240.29750973605,3970071.173807083,41.63162916507953
31-32,0.0026825017852927647,95118.69702444563,255.156074582797,94991.11898715423,3874830.8762973472,40.73679515712364
32-33,0.0027845353391974977,94863.54094986283,264.150882176302,94731.46550877468,3779839.757310193,39.84502074730596
33-34,0.002859298483033537,94599.39006768653,270.48789251643393,94464.14612142832,3685108.291801418,38.954884266850954
34-35,0.0029329219735431816,94328.9021751701,276.6593099297616,94190.57252020521,3590644.14567999,38.065153551899854
35-36,0.0030221354914392903,94052.24286524033,284.23862121251057,93910.12355463408,3496453.5731597845,37.175653303340816
36-37,0.0031498186334279615,93768.00424402782,295.352206987191,93620.32814053423,3402543.4496051506,36.286828082105224
37-38,0.003324383845564666,93472.65203704062,310.738974434025,93317.2825498236,3308923.1214646166,35.399906275831164
38-39,0.0035393380554714373,93161.9130626066,329.7315042230052,92997.0473104951,3215605.838914793,34.516313944238604
39-40,0.0037758117062111165,92832.1815583836,350.5168378412605,92656.92313946298,3122608.7916042977,33.63713681166095
40-41,0.004023027685326234,92481.66472054234,372.0562975558003,92295.63657176444,3029951.8684648345,32.7627306193139
41-42,0.0043261282618802,92109.60842298654,398.47798018940057,91910.36943289184,2937656.23189307,31.89304875125231
42-43,0.004662403310315408,91711.13044279713,427.5942781692655,91497.3333037125,2845745.8624601783,31.02944919248544
43-44,0.0050335079714048415,91283.53616462786,459.4764069426765,91053.79796115652,2754248.529156466,30.17245655546515
44-45,0.0054413622717699945,90824.05975768519,494.2066121344516,90576.95645161797,2663194.7311953097,29.322568692707662
45-46,0.0058881735930508125,90329.85314555073,531.8778559557896,90063.91421757283,2572617.7747436916,28.480260790398592
46-47,0.006376454100847273,89797.97528959495,572.5926677831199,89511.67895570339,2482553.860526119,27.64598926111619
47-48,0.006909035291382083,89225.38262181183,616.4613174211676,88917.15196310125,2393042.1815704154,26.820195232039474
48-49,0.0074890813081317925,88608.92130439066,663.5994162744331,88277.12159625345,2304125.029607314,26.00330751902678
49-50,0.008120102245164866,87945.32188811623,714.1250057154394,87588.25938525851,2215847.9080110607,25.19574504292628
50-51,0.008805968296732927,87231.19688240079,768.1551542324895,86847.11930528455,2128259.6486258022,24.39791868836763
51-52,0.00955092533050888,86463.0417281683,825.802055394409,86050.14070047109,2041412.5293205178,23.61023263255678
52-53,0.010359612245506583,85637.2396727739,887.1685967854506,85193.65537438117,1955362.3886200467,22.833085186907333
53-54,0.011237080313487427,84750.07107598844,952.3433552546499,84273.89939836111,1870168.7332456654,22.066869201429206
54-55,0.012188814582643426,83797.72772073379,1021.3949656348633,83287.03023791636,1785894.8338473043,21.311972083527348
55-56,0.013220757333549384,82776.33275509892,1094.3658083162982,82229.14985094077,1702607.803609388,20.568775481352905
56-57,0.014339333510266321,81681.96694678262,1171.2649658244661,81096.33446387039,1620378.6537584472,19.837654678592095
57-58,0.015551477996118872,80510.70198095815,1252.060410308955,79884.67177580368,1539282.3192945768,19.118977743587894
58-59,0.01686466455763318,79258.6415706492,1336.6704033826793,78590.30636895786,1459397.647518773,18.41310447161654
59-60,0.018286936236303765,77921.97116726651,1424.954118142903,77209.49410819507,1380807.3411498154,17.72038515537278
60-61,0.01982693692223378,76497.0170491236,1516.7015317720156,75738.6662832376,1303597.8470416204,17.04115921545669
61-62,0.021493943793112674,74980.31551735158,1611.622687319809,74174.50417369168,1227859.180758383,16.375753719977848
62-63,0.023297900243974424,73368.69283003178,1709.336486584882,72514.02458673934,1153684.6765846913,15.72448182029566
63-64,0.025249448865766536,71659.3563434469,1809.3592537476052,70754.6767165731,1081170.651997952,15.087641128342662
64-65,0.027359963952415318,69849.99708969929,1911.0934024504875,68894.45038847404,1010415.975281379,14.465512059847802
65-66,0.029641582925611677,67938.9036872488,2013.8166475207304,66931.99536348844,941521.5248929049,13.85835616699266
66-67,0.032107235963115696,65925.08703972808,2116.6723254734898,64866.75087699133,874589.5295294165,13.266414483493474
67-68,0.034770672999488154,63808.41471425459,2218.661522645075,62699.08395293205,809722.7786524252,12.689905904707201
68-69,0.03764648713771531,61589.75319160952,2318.637851342988,60430.43426593802,747023.6946994931,12.129025625016817
69-70,0.040750133366604054,59271.11534026653,2415.3058549032326,58063.462412814915,686593.2604335551,11.583943654374087
70-71,0.044097941323141814,56855.809485363294,2507.22415056528,55602.197410080655,628529.7980207402,11.054803435391172
71-72,0.04770712067304725,54348.585334798016,2592.814518976615,53052.178075309705,572927.6006106595,10.541720581709944
72-73,0.05159575750931411,51755.7708158214,2670.378200720757,50420.58171546102,519875.42253534973,10.04478175748524
73-74,0.05578279999165573,49085.392615100645,2738.1206387600546,47716.33229572062,469454.8408198887,9.564043716652792
74-75,0.06028803127485028,46347.27197634059,2794.1857824136137,44950.17908513379,421738.50852416805,9.099532519183818
75-76,0.06513202760816643,43553.086193926974,2836.700812403704,42134.73578772512,376788.3294390343,8.651242939738527
76-77,0.07033609934037027,40716.38538152327,2863.8317269756208,39284.46951803546,334653.59365130914,8.219138082015794
77-78,0.07592221244642078,37852.55365454765,2873.849620200108,36415.628844447594,295369.12413327367,7.803149209664688
78-79,0.08191288811629722,34978.704034347546,2865.2066700185846,33546.100699338254,258953.49528882606,7.403175801897782
79-80,0.088331077929222,32113.49736432896,2836.6198382684065,30695.187445194755,225407.3945894878,7.019085838961468
