x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006676925073157197,100000.0,667.6925073157197,99666.15374634214,8140451.9985,81.404519985
1-2,0.0005026313330243112,99332.30749268428,49.927530127428675,99307.34372762057,8040785.8447536575,80.94834447841507
2-3,0.00033660097338366897,99282.37996255685,33.41854573524391,99265.67068968923,7941478.501026037,79.98880067159017
3-4,0.00026051396497932093,99248.9614168216,25.855740458775838,99236.03354659223,7842212.830336348,79.01556568840003
4-5,0.00020212528603026641,99223.10567636283,20.055498615646187,99213.07792705501,7742976.796789756,78.03602541977585
5-6,0.0001625464732134266,99203.05017774718,16.125105938407398,99194.98762477798,7643763.718862701,77.05170057943762
6-7,0.00013689707146623953,99186.92507180877,13.578399570071952,99180.13587202373,7544568.731237923,76.06414581131384
7-8,0.00012078719672979627,99173.3466722387,11.97887053485198,99167.35723697126,7445388.595365899,75.07449173791031
8-9,0.00011105531556004295,99161.36780170385,11.012396992583703,99155.86160320755,7346221.238128928,74.08350046985436
9-10,0.00010677054902560818,99150.35540471127,10.5863378826452,99145.06223576995,7247065.37652572,73.09167321634598
10-11,0.00010922944284528707,99139.76906682862,10.828981738980117,99134.35457595914,7147920.31428995,72.0994246967798
11-12,0.00012164657054522256,99128.94008508965,12.058695603134,99122.91073728808,7048785.959713991,71.10724631639863
12-13,0.0001481757547815058,99116.88138948652,14.68671871147615,99109.53803013077,6949663.048976703,70.1158364907339
13-14,0.00019101805780779842,99102.19467077505,18.9303087505018,99092.72951639979,6850553.510946572,69.12615339856626
14-15,0.0002459375194133371,99083.26436202455,24.368292252572225,99071.08021589827,6751460.781430172,68.13926473760579
15-16,0.00031041277130280774,99058.89606977197,30.749146451214727,99043.52149654637,6652389.701214273,67.15590386277547
16-17,0.0003741620308087062,99028.14692332076,37.052572560052624,99009.62063704073,6553346.179717727,66.17660113131369
17-18,0.0004274615597436389,98991.09435076072,42.314887591905894,98969.93690696477,6454336.559080686,65.20118401975306
18-19,0.00046394337535011197,98948.77946316882,45.90663073091638,98925.82614780335,6355366.622173722,64.22885311626655
19-20,0.00048798286510690536,98902.8728324379,48.262907252076964,98878.74137881187,6256440.796025919,63.25843341907403
20-21,0.0005121834514106368,98854.60992518582,50.63169529933386,98829.29407753616,6157562.054647107,62.28907341101454
21-22,0.0005417101349279577,98803.97822988649,53.52311637833081,98777.21667169733,6058732.760569571,61.320736969444305
22-23,0.0005684671128852943,98750.45511350816,56.136386114484836,98722.38692045091,5959955.543897873,60.3537020365854
23-24,0.0005911557019059804,98694.31872739368,58.343709261424955,98665.14687276297,5861233.156977422,59.387746250793796
24-25,0.0006109948535560095,98635.97501813226,60.26607311155794,98605.84198157648,5762568.010104659,58.42257866914506
25-26,0.0006327184466582942,98575.7089450207,62.370669441933615,98544.52361029973,5663962.168123082,57.45799070318716
26-27,0.0006599333806626375,98513.33827557876,65.01224036856469,98480.83215539448,5565417.644512783,56.4940518911685
27-28,0.0006853373192529788,98448.3260352102,67.4703118499142,98414.59087928524,5466936.812357388,55.53102863731914
28-29,0.0007109739304047753,98380.85572336028,69.9462236702226,98345.88261152517,5368522.221478103,54.5687693200595
29-30,0.0007395501312675505,98310.90949969005,72.70584602552806,98274.55657667729,5270176.3388665775,53.6072381558345
30-31,0.000772157075021348,98238.20365366453,75.8553239885651,98200.27599167025,5171901.7822899,52.646542688456165
31-32,0.000811614051610218,98162.34832967597,79.66994124342183,98122.51335905425,5073701.50629823,51.68683912550993
32-33,0.0008579692850167042,98082.67838843254,84.15192544944682,98040.60242570782,4975578.992939176,50.728416828449646
33-34,0.000911626612947239,97998.52646298309,89.33806475326965,97953.85743060645,4877538.3905134685,49.771548272777935
34-35,0.0009729211285402521,97909.18839822982,95.25791807086591,97861.55943919439,4779584.533082862,48.81650651257238
35-36,0.0010421619493388792,97813.93048015895,101.93795646170005,97762.96150192809,4681722.973643668,47.86356044237821
36-37,0.0011196662033955379,97711.99252369725,109.40481569522129,97657.29011584964,4583960.01214174,46.91297243815831
37-38,0.0012057848217091284,97602.58770800203,117.68771881784279,97543.7438485931,4486302.72202589,45.96499772575268
38-39,0.0013009213891502652,97484.89998918418,126.82019151510416,97421.48989342662,4388758.978177297,45.0198849120656
39-40,0.0014055455366733778,97358.07979766908,136.84121451870433,97289.65919040973,4291337.488283871,44.07787722603186
40-41,0.001520202323617158,97221.23858315038,147.7959527990433,97147.34060675086,4194047.829093461,43.139214128674354
41-42,0.0016455188851908246,97073.44263035133,159.7361830987312,96993.57453880197,4096900.48848671,42.20413305096649
42-43,0.001782209391258323,96913.7064472526,172.72051777194585,96827.34618836662,3999906.913947908,41.272871099248945
43-44,0.0019310791298892155,96740.98592948065,186.81449893332635,96647.57868001399,3903079.567759542,40.34566662990898
44-45,0.002093028320566421,96554.17143054733,202.09061527296078,96453.12612291085,3806431.989079528,39.42276063978804
45-46,0.0022690560892128717,96352.08081527437,218.62827568222903,96242.76667743326,3709978.862956617,38.50439794932261
46-47,0.0024602649024052037,96133.45253959214,236.51375923019492,96015.19565997703,3613736.096279184,37.590828174936114
47-48,0.0026678656581100068,95896.93878036195,255.84014969000535,95769.01870551694,3517720.900619207,36.68230649860511
48-49,0.002893183559499582,95641.09863067194,276.70725417073805,95502.74500358658,3421951.88191369,35.779094248257366
49-50,0.0031376648508050857,95364.39137650121,299.22149884046746,95214.78062708098,3326449.1369101033,34.88145930462862
50-51,0.0034028844640629444,95065.16987766074,323.49578965019634,94903.42198283564,3231234.356283022,33.989676349827114
51-52,0.003690554608150967,94741.67408801054,349.64932188944437,94566.84942706581,3136330.9343001866,33.10402697113715
52-53,0.004002534322788735,94392.02476612109,377.807318923924,94203.12110665912,3041764.0848731208,32.22479963121696
53-54,0.004340840017187822,94014.21744719717,408.100677279391,93810.16710855748,2947560.9637664617,31.352289513253158
54-55,0.004707657013548349,93606.11676991777,440.6654921229291,93385.78402385631,2853750.796657904,30.486798247088643
55-56,0.005105352117995382,93165.45127779484,475.6424340050855,92927.6300607923,2760365.012634048,29.62863351998764
56-57,0.00553648724468867,92689.80884378975,513.175944376273,92433.22087160162,2667437.3825732553,28.778108573604793
57-58,0.006003834121922523,92176.63289941348,553.4132138454248,91899.92629249077,2575004.1617016536,27.93554158689646
58-59,0.0065103901114954114,91623.21968556805,596.502903424294,91324.9682338559,2483104.235409163,27.10125494313192
59-60,0.0070593951740626866,91026.71678214376,642.5935651626367,90705.41999956244,2391779.267175307,26.275574377790697
60-61,0.007654350013273895,90384.12321698113,691.8317147456488,90038.2073596083,2301073.8471757444,25.45882800291882
61-62,0.008299035429967707,89692.29150223547,744.3595049720436,89320.11174974946,2211035.639816136,24.65134520240269
62-63,0.008997532914291622,88947.93199726343,800.3119458035507,88547.77602436165,2121715.5280663865,23.853455391539214
63-64,0.009754246498061345,88147.62005145987,859.8136141993945,87717.71324436017,2033167.7520420249,23.06548663316239
64-65,0.010573925881670481,87287.80643726049,922.9747956411919,86826.31903943988,1945450.0387976647,22.287764101346596
65-66,0.011461690839065673,86364.8316416193,989.8869996441971,85869.8881417972,1858623.719758225,21.520608382249797
66-67,0.012685646520145298,85374.9446419751,1083.036369405069,84833.42645727257,1772753.8316164277,20.76433359987027
67-68,0.013778734828348958,84291.90827257003,1161.4358522632563,83711.1903464384,1687920.4051591551,20.024702723552316
68-69,0.0149645840372827,83130.47242030677,1244.0129405926925,82508.46595001043,1604209.2148127167,19.297487047852346
69-70,0.01625081013663715,81886.45947971409,1330.721305766265,81221.09882683096,1521700.7488627064,18.583057058898493
70-71,0.017645608688455335,80555.73817394783,1421.4550334271469,79845.01065723426,1440479.6500358754,17.881775807520743
71-72,0.019157790713803174,79134.28314052068,1516.0380346929383,78376.26412317422,1360634.639378641,17.193997157496565
72-73,0.020796819271797575,77618.24510582774,1614.212615659986,76811.13879799774,1282258.375255467,16.520063981183625
73-74,0.022572846412190508,76004.03249016775,1715.627352107694,75146.2188141139,1205447.2364574692,15.860306314844697
74-75,0.024496750102971806,74288.40513806006,1819.824496215384,73378.49288995237,1130301.0176433553,15.215039487558874
75-76,0.026580170642622115,72468.58064184467,1926.2272396888532,71505.46702200024,1056922.524753403,14.584562239143906
76-77,0.028835545961740445,70542.35340215582,2034.1272737772015,69525.28976526721,985417.0577314027,13.969154843950639
77-78,0.03127614509996212,68508.22612837862,2142.673220932186,67436.88951791252,915891.7679661355,13.369077258690538
78-79,0.03391609901076315,66365.55290744643,2250.8606633129934,65240.12257578993,848454.878448223,12.78456731358029
79-80,0.03677042769866435,64114.69224413343,2357.5246555850244,62935.92991634092,783214.7558724331,12.215838966989631
80-81,0.03985506253072542,61757.16758854841,2461.335775962086,60526.499700567365,720278.8259560921,11.663080644418235
81-82,0.04318686238793528,59295.83181258632,2560.8009286683205,58015.43134825216,659752.3262555248,11.126453682963321
82-83,0.04678362213388865,56735.030883918,2654.270246627722,55407.89576060414,601736.8949072727,10.60609090243467
83-84,0.050664071680809226,54080.76063729028,2739.951533480361,52710.7848705501,546328.9991466685,10.10209532389525
84-85,0.05484786373069029,51340.80910380992,2815.93370154915,49932.84225303535,493618.2142761184,9.614539055627928
85-86,0.05935554806787738,48524.875402260775,2880.2205744266503,47084.76511504745,443685.37202308304,9.143462365333797
86-87,0.06420853008651713,45644.65482783413,2930.776192801677,44179.266731433294,396600.6069080356,8.688872955748334
87-88,0.06942901106189385,42713.87863503245,2965.5823522480596,41231.08745890842,352421.3401766023,8.250745458820461
88-89,0.07503990753118395,39748.296282784395,2982.7084775822436,38256.94204399327,311190.25271769386,7.829021161152892
89-90,0.08106474705167455,36765.58780520215,2980.3930756348427,35275.39126738473,272933.3106737006,7.423607970578451
90-91,0.08752753757089393,33785.19472956731,2957.13490103217,32306.627279051223,237657.91940631586,7.034380630588113
91-92,0.09445260769392988,30828.059828535137,2911.7906409496286,29372.164508060323,205351.29212726463,6.661181185887894
92-93,0.10186441529142154,27916.26918758551,2843.674437911325,26494.431968629848,175979.12761920432,6.303819698710422
93-94,0.10978732218196612,25072.594749674183,2752.6530377203517,23696.268230814007,149484.69565057446,5.962075211721635
94-95,0.11824533307045897,22319.94171195383,2639.2289418432106,21000.327241032224,125788.42741976045,5.635696949530665
95-96,0.1272617975538795,19680.71277011062,2504.602884265869,18428.411327977683,104788.10017872823,5.32440574702515
96-97,0.13685907484030832,17176.10988584475,2350.7065083321863,16000.756631678658,86359.68885075055,5.027895689111867
97-98,0.14705816188230733,14825.403377512564,2180.1965698607487,13735.30509258219,70358.9322190719,4.745835943040415
98-99,0.1578782869108122,12645.206807651815,1996.403588425009,11647.005013439311,56623.62712648971,4.477872761418647
99-100,0.16933647186723855,10648.803219226806,1803.2307667523592,9747.187835850626,44976.6221130504,4.223631631378393
100-101,0.1814470689511786,8845.572452474446,1605.0031946967767,8043.070855126057,35229.434277199776,3.982719543193019
101-102,0.19422127839150427,7240.569257777669,1406.2726175278042,6537.432949013767,27186.36342207372,3.7547273500451213
102-103,0.20766665655068048,5834.296640249865,1211.5888766055577,5228.502201947086,20648.93047305995,3.5392321896364223
103-104,0.22178662550246792,4622.707763644307,1025.254755582731,4110.080385852942,15420.428271112865,3.3357999379472316
104-105,0.23657999717463743,3597.4530080615764,851.0854224830987,3171.9102968200273,11310.347885259924,3.1439876656941528
105-106,0.2520405268913156,2746.3675855784777,692.1959333064299,2400.269618925263,8138.437588439896,2.9633460688859925
106-107,0.2681565125372182,2054.171652272048,550.8395064260876,1778.7518990590042,5738.167969514633,2.7934218463037617
107-108,0.28491045644219465,1503.3321458459604,428.31504785719653,1289.1746219173622,3959.416070455629,2.633759998677852
108-109,0.30227880729500944,1075.017097988764,324.9548862017858,912.5396548878709,2670.241448538267,2.48390602673575
109-110,0.32023179880224006,750.0622117869781,240.19377129413076,629.9653261399127,1757.701793650396,2.3434080080674606
