x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007163309623705348,100000.0,716.3309623705348,99641.83451881474,7810224.7323,78.102247323
1-2,0.0006171412133146693,99283.66903762947,61.27204397221472,99253.03301564336,7710582.897781186,77.66214698269059
2-3,0.00040257676179548035,99222.39699365725,39.94463127929214,99202.4246780176,7611329.864765543,76.70979633007751
3-4,0.0003069675213764955,99182.45236237797,30.445791565721503,99167.2294665951,7512127.440087525,75.74048897924847
4-5,0.00023952034922750714,99152.00657081224,23.74892324044903,99140.13210919201,7412960.21062093,74.7635924576751
5-6,0.0001974580712744053,99128.2576475718,19.57367456388184,99118.47081028986,7313820.078511738,73.7813843607983
6-7,0.00017149509137929703,99108.68397300791,16.996652814432863,99100.18564660069,7214701.607701449,72.79585721939725
7-8,0.00015367117775723824,99091.68732019348,15.227536296446122,99084.07355204526,7115601.422054848,71.80825773066425
8-9,0.00013848636467030044,99076.45978389704,13.720738739875122,99069.5994145271,7016517.348502803,70.8192174388048
9-10,0.0001258390145342292,99062.73904515716,12.465957458504086,99056.5060664279,6917447.749088275,69.82895704039638
10-11,0.00012109105084491111,99050.27308769865,11.994101654664847,99044.27603687132,6818391.243021848,68.83768242602295
11-12,0.00013429945110943382,99038.27898604398,13.30078650664868,99031.62859279066,6719346.966984976,67.84595850995993
12-13,0.00017768522837722288,99024.97819953733,17.59527586643431,99016.18056160412,6620315.338392185,66.85500425006018
13-14,0.0002582416824503021,99007.3829236709,25.56783314121008,98994.59900710029,6521299.157830581,65.86679664947951
14-15,0.0003665680138163075,98981.8150905297,36.28356736166848,98963.67330684885,6422304.558823481,64.88368144137972
15-16,0.0004888691032116495,98945.53152316803,48.37141326253115,98921.34581653676,6323340.885516632,63.9072910941514
16-17,0.0006080327313919737,98897.1601099055,60.13271038853518,98867.09375471123,6224419.539700096,62.93830412099629
17-18,0.0007177422937008883,98837.02739951696,70.93951474830685,98801.5576421428,6125552.445945384,61.97629175131709
18-19,0.0008104199989257838,98766.08788476865,80.04201283747808,98726.06687834991,6026750.888303241,61.02044757847156
19-20,0.0008892600162141614,98686.04587193117,87.75755475218499,98642.16709455507,5928024.821424891,60.06953434042667
20-21,0.000975353763765002,98598.28831717899,96.16821161094735,98550.20421137351,5829382.6543303365,59.12255429402491
21-22,0.0010623731544840804,98502.12010556804,104.64600805992208,98449.79710153808,5730832.450118963,58.17978784595739
22-23,0.0011137062616635009,98397.47409750812,109.58588303426693,98342.68115599098,5632382.653017425,57.241130472881345
23-24,0.0011300723981283133,98287.88821447386,111.07242954149805,98232.35199970311,5534039.971861434,56.30439388203777
24-25,0.0011320284049974325,98176.81578493236,111.13894418074374,98121.24631284199,5435807.619861731,55.36752823364627
25-26,0.001136379255474235,98065.67684075162,111.43980083587026,98009.95694033368,5337686.3735488895,54.429710225900266
26-27,0.0011339400032181143,97954.23703991575,111.07422786427,97898.69992598362,5239676.416608556,53.49106455163772
27-28,0.0011311724420064756,97843.16281205148,110.67748941174546,97787.8240673456,5141777.716682573,52.551221453863846
28-29,0.0011328066575876368,97732.48532263974,110.71201003607229,97677.1293176217,5043989.892615227,51.61016703876645
29-30,0.0011426965063385487,97621.77331260366,111.55205930688598,97565.99728295022,4946312.763297605,50.66813063780928
30-31,0.0011629708971441948,97510.22125329678,113.4015494916755,97453.52047855094,4848746.766014655,49.72552316766198
31-32,0.0011958582858164232,97396.8197038051,116.4727938549636,97338.58330687761,4751293.245536104,48.782837673605066
32-33,0.0012417646387721621,97280.34690995014,120.79929484026485,97219.94726253001,4653954.662229226,47.84064623594804
33-34,0.00130088844521042,97159.54761510987,126.39373283436805,97096.35074869268,4556734.714966696,46.89950526548201
34-35,0.0013732967543651762,97033.1538822755,133.25531529234564,96966.52622462933,4459638.364218003,45.959944470408686
35-36,0.0014590067598832755,96899.89856698315,141.37760704123212,96829.20976346252,4362671.837993374,45.02246031741332
36-37,0.0015579773215217648,96758.52095994192,150.74758131957785,96683.14716928214,4265842.628229911,44.087513801456026
37-38,0.0016701372726882998,96607.77337862234,161.34824315106164,96527.09925704681,4169159.4810606292,43.15552812423263
38-39,0.001795579777370761,96446.42513547128,173.17725057295527,96359.8365101848,4072632.3818035824,42.226887892247454
39-40,0.001934546799322949,96273.24788489832,186.2451035561549,96180.12533312023,3976272.5452933977,41.30194662225711
40-41,0.002087498368224734,96087.00278134216,200.58146151365722,95986.71205058534,3880092.4199602776,40.38103289359443
41-42,0.002255010130033631,95886.4213198285,216.224851408886,95778.30889412406,3784105.707909692,39.464458635783615
42-43,0.0024377237243485657,95670.19646841961,233.21750764415486,95553.58771459754,3688327.399015568,38.55252246955583
43-44,0.002636467047391378,95436.97896077546,251.61645013266877,95311.17073570914,3592773.8113009706,37.645510685932315
44-45,0.0028522925706642734,95185.3625106428,271.4965023250921,95049.61425948025,3497462.6405652612,36.74370248024433
45-46,0.0030862891856709425,94913.8660083177,292.93163823169175,94767.40018920184,3402413.026305781,35.84737583028821
46-47,0.0033399762363375014,94620.934370086,316.0316722561376,94462.91853395794,3307645.6261165794,34.95680578654566
47-48,0.0036153017381004514,94304.90269782986,340.9406786348583,94134.43235851244,3213182.7075826214,34.07227636805104
48-49,0.003914367653894216,93963.96201919501,367.8094935596816,93780.05727241517,3119048.2752241087,33.19409067262349
49-50,0.004238972167457267,93596.15252563533,396.7514855372534,93397.77678286671,3025268.2179516936,32.32257028004536
50-51,0.004590964502565563,93199.40104009808,427.87514183546233,92985.46346918035,2931870.441168827,31.45803952009756
51-52,0.00497182762040547,92771.52589826261,461.24403484814343,92540.90388083854,2838884.9776996467,30.600822291237233
52-53,0.005383154576064432,92310.28186341446,496.9205162308371,92061.82160529905,2746344.0738188084,29.751226173075665
53-54,0.00582653551018154,91813.36134718363,534.9538101984947,91545.88444208438,2654282.2522135093,28.909542285208243
54-55,0.006304571588675939,91278.40753698513,575.4712548172602,90990.6719095765,2562736.367771425,28.07604160636817
55-56,0.006820557017793031,90702.93628216788,618.6445485937743,90393.61400787099,2471745.6958618485,27.25099977108229
56-57,0.0073788554012047935,90084.29173357411,664.7189626219916,89751.93225226311,2381352.0818539774,26.434709492936555
57-58,0.007983893479472383,89419.57277095212,713.9163439832108,89062.61459896051,2291600.149601714,25.62750054142664
58-59,0.008641048152824512,88705.65642696891,766.5098486133455,88322.40150266224,2202537.5350027536,24.829730410890942
59-60,0.009354618703146356,87939.14657835556,822.6371853206138,87527.82798569526,2114215.1335000913,24.041797262795615
60-61,0.01012666057481846,87116.50939303495,882.199321086249,86675.40973249183,2026687.305514396,23.264101369934266
61-62,0.010961467698728244,86234.31007194871,945.2546043757815,85761.68276976082,1940011.895781904,22.496984021363133
62-63,0.01186729160108617,85289.05546757294,1012.1500916149008,84782.98042176549,1854250.2130121433,21.740775564305935
63-64,0.012850981724731933,84276.90537595804,1083.0409708033992,83735.38489055634,1769467.2325903778,20.99587336170936
64-65,0.013917640129550612,83193.86440515464,1157.8622657775725,82614.93327226586,1685731.8476998215,20.262694367583368
65-66,0.015073470631161118,82036.00213937707,1236.567268945771,81417.71850490419,1603116.9144275556,19.541626513002193
66-67,0.016460267939826575,80799.4348704313,1329.9803473538657,80134.44469675436,1521699.1959226513,18.83304256227564
67-68,0.017828888849546073,79469.45452307744,1416.852071626004,78761.02848726444,1441564.7512258969,18.139859646416415
68-69,0.019297374561158934,78052.60245145143,1506.2103049788902,77299.49729896199,1362803.7227386325,17.460067697118667
69-70,0.020875084808022137,76546.39214647254,1597.912427805734,75747.43593256967,1285504.2254396705,16.7937924883493
70-71,0.022577493161873192,74948.47971866681,1692.1487883409916,74102.40532449631,1209756.7895071008,16.141178500860192
71-72,0.024417160843874398,73256.33093032583,1788.7116151578568,72361.9751227469,1135654.3841826045,15.502474253900685
72-73,0.026399180428395296,71467.61931516798,1886.686577088988,70524.27602662348,1063292.4090598575,14.877960386098785
73-74,0.028532700961065655,69580.93273807899,1985.3319464076312,68588.26676487518,992768.133033234,14.267818696398846
74-75,0.03082867329561928,67595.60079167136,2083.8826930275404,66553.65944515758,924179.8662683589,13.672189542580849
75-76,0.03329186413983636,65511.71809864382,2181.007218507309,64421.214489390164,857626.2068232013,13.091187831951476
76-77,0.03594198444079461,63330.71088013651,2276.2314250783284,62192.59516759735,793204.9923338111,12.524807969313313
77-78,0.03880869135025236,61054.47945505818,2369.444448721677,59869.75723069734,731012.3971662137,11.973116529546491
78-79,0.04191721156554132,58685.035006336504,2459.9130280918057,57455.0784922906,671142.6399355164,11.436350678891985
79-80,0.04527626508102088,56225.1219782447,2545.66352689974,54952.29021479483,613687.5614432258,10.91482845836566
80-81,0.049025397630122626,53679.45845134496,2631.6567951468332,52363.63005377154,558735.271228431,10.408735247112608
81-82,0.05297134321726107,51047.80165619813,2704.070622017139,49695.76634518956,506371.6411746595,9.919558232595836
82-83,0.05721551899247893,48343.731034180986,2766.0116611534754,46960.72520360425,456675.87482946995,9.446434213085075
83-84,0.06177726781937332,45577.71937302751,2815.6669763037603,44169.88588487563,409715.1496258657,8.989373651467332
84-85,0.06667666487514075,42762.05239672375,2851.231037029559,41336.43687820897,365545.2637409901,8.548356387332722
85-86,0.07193445574377622,39910.82135969419,2870.9632127966806,38475.339753295855,324208.8268627811,8.12333136271153
