x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005117173146708106,100000.0,511.7173146708106,99744.14134266459,8214362.0207,82.143620207
1-2,0.0004452130617397826,99488.28268532919,44.293482941568406,99466.1359438584,8114617.879357336,81.56355361990724
2-3,0.000265717112488682,99443.98920238762,26.42396966521411,99430.777217555,8015151.743413478,80.59966024795229
3-4,0.00020240758979372285,99417.56523272241,20.12286976191556,99407.50379784145,7915720.966195923,79.62094975537114
4-5,0.00015772730029857561,99397.44236296049,15.67769024049303,99389.60351784024,7816313.462398082,78.63696767826248
5-6,0.00013031724297699117,99381.76467271999,12.951157574337008,99375.28909393282,7716923.858880241,77.64929395541832
6-7,0.00011466518218595615,99368.81351514565,11.394143105316479,99363.116443593,7617548.569786308,76.65934914906931
7-8,0.00010597241133372168,99357.41937204034,10.529145314750945,99352.15479938297,7518185.453342715,75.66808297618053
8-9,0.00010077443108909627,99346.89022672559,10.01162634306917,99341.88441355406,7418833.298543332,74.67604956342731
9-10,9.840692041255767e-05,99336.87860038252,9.775436306459746,99331.9908822293,7319491.414129778,73.68352536599224
10-11,0.00010102074581979089,99327.10316407606,10.034098041754275,99322.08611505518,7220159.423247549,72.69072784012175
11-12,0.00011317059544550256,99317.06906603431,11.239771844105206,99311.44918011226,7120837.337132494,71.69802133808403
12-13,0.00014056019440879667,99305.8292941902,13.958446671518152,99298.85007085445,7021525.887952382,70.70607977253124
13-14,0.00018637221713917917,99291.87084751869,18.505246113749088,99282.61822446181,6922227.037881527,69.71594934002107
14-15,0.0002454841194963928,99273.36560140493,24.370034744104377,99261.18058403289,6822944.4196570655,68.72885167459766
15-16,0.00031468844418733143,99248.99556666083,31.23251200202785,99233.37931065982,6723683.2390730325,67.7456048868228
16-17,0.0003810347819323885,99217.7630546588,37.80541870935131,99198.86034530413,6624449.859762372,66.76677296295202
17-18,0.00043235192843503223,99179.95763594945,42.88064594600755,99158.51731297644,6525250.999417068,65.79203253311212
18-19,0.00046037422124757874,99137.07699000345,45.640154616034096,99114.25691269543,6426092.482104092,64.82027387948982
19-20,0.0004706226420458568,99091.43683538742,46.63467380759016,99068.11949848362,6326978.225191397,63.849898914089756
20-21,0.00047800548583742545,99044.80216157982,47.343958776917646,99021.13018219137,6227910.105692913,62.87972684859139
21-22,0.0004906219168020276,98997.4582028029,48.57032270198777,98973.1730414519,6128888.975510721,61.90955896014303
22-23,0.0005019287948903166,98948.88788010091,49.6652960493961,98924.0552320762,6029915.802469269,60.93970262481256
23-24,0.0005129110090420779,98899.22258405152,50.72650004906292,98873.85933402699,5930991.747237193,59.97005428628743
24-25,0.000524128907823484,98848.49608400246,51.80935429250215,98822.59140685621,5832117.887903166,59.00057278511322
25-26,0.0005377343669358891,98796.68672970995,53.126373793963936,98770.12354281297,5733295.296496309,58.031250705619094
26-27,0.0005522765441440186,98743.560355916,54.5337522698416,98716.29347978107,5634525.172953497,57.062203880882414
27-28,0.0005671477144735783,98689.02660364615,55.97125588188008,98661.04097570521,5535808.879473716,56.09345912090687
28-29,0.0005839405568087943,98633.05534776427,57.59584125952609,98604.25742713451,5437147.838498011,55.12500671633362
29-30,0.0006059283552484321,98575.45950650475,59.72966604663484,98545.59467348144,5338543.581070877,54.15692311044819
30-31,0.0006328724612842108,98515.72984045811,62.3478924193411,98484.55589424843,5239997.986397395,53.189455073655154
31-32,0.0006694754353738127,98453.38194803876,65.91212074368752,98420.42588766692,5141513.430503147,52.22282189571415
32-33,0.0007197235342960997,98387.46982729508,70.81177751455168,98352.0639385378,5043093.00461548,51.25747225198389
33-34,0.0007821173293943136,98316.65804978053,76.89516202886828,98278.21046876609,4944740.9406769425,50.294029910712375
34-35,0.0008513074072945473,98239.76288775165,83.63223783720295,98197.94676883305,4846462.730208176,49.33300516762978
35-36,0.0009232285039050879,98156.13064991446,90.62053764903287,98110.82038108994,4748264.783439343,48.374612487268834
36-37,0.0009987580558313122,98065.51011226542,97.9437182238321,98016.5382531535,4650153.963058253,47.41885253780616
37-38,0.001081040139692238,97967.56639404158,105.90687165992331,97914.61295821163,4552137.424805099,46.465759968923365
38-39,0.0011712470632652817,97861.65952238165,114.6201813218564,97804.34943172072,4454222.811846888,45.51550457641867
39-40,0.0012694904529962723,97747.0393410598,124.08893325212647,97684.99487443375,4356418.462415167,44.56829067952344
40-41,0.0013756565237324563,97622.95040780767,134.29564859451068,97555.80258351042,4258733.4675407335,43.62430606481782
41-42,0.0014943549823164355,97488.65475921315,145.68265695875706,97415.81343073378,4161177.664957223,42.68371201997709
