x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005487952284853346,100000.0,548.7952284853345,99725.60238575733,7878603.3885,78.78603388500001
1-2,0.0005413832577821277,99451.20477151466,53.84121722956009,99424.28416289989,7778877.786114243,78.21803470340974
2-3,0.00035636451255059763,99397.3635542851,35.42169301183735,99379.65270777918,7679453.501951343,77.2601327373967
3-4,0.0002655036123633326,99361.94186127326,26.380954495603486,99348.75138402545,7580073.8492435645,76.2874970763623
4-5,0.00020423784332871918,99335.56090677765,20.288080725448896,99325.41686641493,7480725.097859539,75.30762427445185
5-6,0.00016784143315508798,99315.2728260522,16.669217725313164,99306.93821718954,7381399.680993124,74.32290594339332
6-7,0.00014670259864435256,99298.60360832688,14.567363191097037,99291.31992673133,7282092.742775935,73.33529856572203
7-8,0.00013268718672415473,99284.0362451358,13.17371945598608,99277.4493854078,7182801.422849203,72.34598526106063
8-9,0.0001201309744135756,99270.86252567981,11.925505446086023,99264.89977295676,7083523.973463796,71.35551956780269
9-10,0.00010902238722426909,99258.93702023373,10.82144626728926,99253.52629710009,6984259.073690839,70.36403253308175
10-11,0.00010504636592801919,99248.11557396644,10.425653866249219,99242.90274703331,6885005.547393739,69.37165010717574
11-12,0.00011872190001737615,99237.6899201002,11.781687100649513,99231.79907654987,6785762.644646706,68.3788855837955
12-13,0.00016277808496785445,99225.90823299954,16.15180332136373,99217.83233133887,6686530.845570156,67.38694525092205
13-14,0.0002445932572019775,99209.75642967818,24.26603747134982,99197.6234109425,6587313.013238817,66.39783475235154
14-15,0.0003545206862002541,99185.49039220683,35.16330811495388,99167.90873814936,6488115.389827875,65.41395686175542
15-16,0.00047909870362068435,99150.32708409188,47.502793169555254,99126.57568750711,6388947.481089726,64.43697836388476
16-17,0.0005993419048569181,99102.82429092233,59.39647548722185,99073.12605317873,6289820.905402219,63.467625170177485
17-18,0.0007063980316920733,99043.4278154351,69.9640824608593,99008.44577420468,6190747.77934904,62.505386938801635
18-19,0.0007909011145612194,98973.46373297424,78.27822277839375,98934.32462158504,6091739.333574835,61.54921838453651
19-20,0.0008569351047617879,98895.18551019585,84.74675615561613,98852.81213211804,5992805.00895325,60.59754049741286
20-21,0.000926746697796627,98810.43875404024,91.57224782314265,98764.65263012866,5893952.196821132,59.64908435931963
21-22,0.0009978978421334164,98718.86650621709,98.51134386441083,98669.61083428489,5795187.544191003,58.7039514258
22-23,0.00104078664791826,98620.35516235269,102.64274886593331,98569.03378791972,5696517.933356718,57.762091040727725
23-24,0.0010451330333417779,98517.71241348675,102.96411561260032,98466.23035568045,5597948.899568798,56.82175075354731
24-25,0.0010230102048892397,98414.74829787415,100.67929182033119,98364.40865196398,5499482.669213118,55.88067606054033
25-26,0.0009962304891151213,98314.06900605382,97.94347305279878,98265.09726952742,5401118.260561154,54.93738907529677
26-27,0.0009813315846123787,98216.12553300102,96.3825861037882,98167.93423994913,5302853.163291627,53.99167534367711
27-28,0.0009741639577503426,98119.74294689723,95.58471712259566,98071.95058833592,5204685.2290516775,53.04421997791487
28-29,0.0009793448457865827,98024.15822977464,95.99945412489822,97976.15850271219,5106613.278463341,52.095456576052676
29-30,0.0009969087919183854,97928.15877564973,97.6254424598248,97879.34605441982,5008637.119960629,51.14603585507266
30-31,0.0010202793523860893,97830.5333331899,99.81447319277271,97780.62609659352,4910757.7739062095,50.19657571712522
