x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005964583726182579,100000.0,596.458372618258,99701.77081369088,7563682.1941,75.636821941
1-2,0.0006327358647957585,99403.54162738174,62.89618587536256,99372.09353444405,7463980.4232863095,75.08767093294671
2-3,0.0004420962972430086,99340.64544150638,43.91813151542053,99318.68637574867,7364608.329751865,74.1348951078467
3-4,0.00032519778689977494,99296.72730999095,32.2910759675995,99280.58177200715,7265289.643376117,73.1674632205638
4-5,0.00024823117203417956,99264.43623402335,24.640527347683697,99252.1159703495,7166009.06160411,72.19110220612855
5-6,0.00020331808562895943,99239.79570667566,20.177245281290322,99229.70708403502,7066756.94563376,71.208902591064
6-7,0.00017697792096220972,99219.61846139438,17.559681793961257,99210.8386204974,6967527.238549725,70.22328191335204
7-8,0.00015792651969396814,99202.05877960041,15.66663588953875,99194.22546165565,6868316.399929227,69.23562357903005
8-9,0.0001384205628322277,99186.39214371087,13.729436225830506,99179.52742559795,6769122.174467572,68.24648047143212
9-10,0.0001190568608035177,99172.66270748504,11.807185899479258,99166.7591145353,6669942.647041974,67.25585927560823
10-11,0.00010885339364173003,99160.85552158556,10.793995639941873,99155.45852376558,6570775.887927438,66.26380796499983
11-12,0.00012397216153307904,99150.06152594562,12.291847443509257,99143.91560222387,6471620.429403673,65.27096735799984
12-13,0.00018377433569364787,99137.76967850211,18.218977764816593,99128.6601896197,6372476.513801449,64.2789981504225
13-14,0.0002995048019173286,99119.5507007373,29.686781398758935,99104.70731003792,6273347.85361183,63.290721247843244
14-15,0.0004570686634375975,99089.86391933853,45.29087166182548,99067.21848350762,6174243.146301792,62.30953300458431
15-16,0.0006332725656238187,99044.5730476767,62.72221088501795,99013.2119422342,6075175.927818284,61.33779712386564
16-17,0.0008035156415531362,98981.8508367917,79.53346537724151,98942.08410410308,5976162.71587605,60.37634844523136
17-18,0.0009620206995376005,98902.31737141445,95.14607654353792,98854.74433314268,5877220.631771947,59.424498717262914
18-19,0.0010984064703080322,98807.17129487092,108.53043626312028,98752.90607673935,5778365.887438805,58.48123989092237
19-20,0.0012154908025004553,98698.6408586078,119.96729018293343,98638.65721351633,5679612.981362065,57.544996891076536
20-21,0.0013421630681940888,98578.67356842487,132.30865497510064,98512.51924093733,5580974.324148549,56.61441894199068
21-22,0.001466561307855226,98446.36491344977,144.37762968106173,98374.17609860924,5482461.804907612,55.68983486315193
22-23,0.0015387499804015757,98301.9872837687,151.26218100633503,98226.35619326553,5384087.628809002,54.77089301630024
23-24,0.001538546374020604,98150.72510276237,151.00944221434813,98075.22038165519,5285861.272615736,53.85453104988799
24-25,0.0014879301095343735,97999.71566054803,145.81672765713668,97926.80729671946,5187786.052234082,52.93674596162671
25-26,0.0014260999539193971,97853.8989328909,139.54944075902904,97784.12421251138,5089859.244937362,52.01488443938278
26-27,0.0013858147645431117,97714.34949213186,135.41398823392205,97646.6424980149,4992075.12072485,51.08845473229928
27-28,0.0013595474652292956,97578.93550389794,132.66319442409736,97512.6039066859,4894428.478226836,50.15865824885249
28-29,0.001354774814023669,97446.27230947385,132.01775544536724,97380.26343175117,4796915.87432015,49.22626346430071
29-30,0.0013687995994155517,97314.25455402848,133.2037126509772,97247.65269770299,4699535.610888399,48.292366133054394
30-31,0.0013893572618250698,97181.0508413775,135.01919869825912,97113.54124202837,4602287.958190696,47.357873971775845
31-32,0.001423024256264282,97046.03164267924,138.09885700172362,96976.98221417838,4505174.416948668,46.4230668754864
32-33,0.0014838587933341213,96907.93278567752,143.79768820785958,96836.0339415736,4408197.43473449,45.48850964021387
33-34,0.0015696058160629164,96764.13509746965,151.88154923528614,96688.19432285201,4311361.400792916,44.55536544040951
34-35,0.0016707183697909343,96612.25354823437,161.41186674993452,96531.5476148594,4214673.206470064,43.624623706410674
35-36,0.0017800280956167785,96450.84168148444,171.68520803892815,96364.99907746498,4118141.6588552045,42.6967933826311
36-37,0.0018974821302386912,96279.15647344552,182.68797892281768,96187.8124839841,4021776.6597777396,41.77203879935295
37-38,0.0020270794771921753,96096.4684945227,194.79517911589144,95999.07090496476,3925588.8472937555,40.85050063538501
38-39,0.0021703751952066143,95901.67331540682,208.14261294256704,95797.60200893554,3829589.776388791,39.93246044616782
39-40,0.0023275016176455107,95693.53070246425,222.7268475081959,95582.16727871016,3733792.1743798554,39.01822983195357
40-41,0.002497638456997129,95470.80385495606,238.451551228568,95351.57807934178,3638210.007101145,38.108090224405075
41-42,0.0027047587874849677,95232.35230372749,257.58054174637124,95103.5620328543,3542858.429021803,37.20225683098172
42-43,0.0029300698606961315,94974.77176198112,278.2827162662749,94835.63040384797,3447754.866988949,36.30179681431046
43-44,0.0031748012518739346,94696.48904571484,300.6425319704018,94546.16777972964,3352919.236585101,35.407006852877885
44-45,0.003440373677912021,94395.84651374444,324.7569856501096,94233.46802091939,3258373.0688053714,34.51818262290744
45-46,0.003728387126924634,94071.08952809434,350.7334392123217,93895.72280848818,3164139.600784452,33.6356219180334
46-47,0.004040615538416505,93720.35608888202,378.6879270786646,93531.01212534269,3070243.877975964,32.75962668200089
47-48,0.004379006741432497,93341.66816180336,408.74379413709204,93137.29626473482,2976712.8658506214,31.890504256798053
48-49,0.0047456865421878994,92932.92436766627,441.03052849779976,92712.40910341738,2883575.569585887,31.028568068919565
49-50,0.005142966080627872,92491.89383916848,475.6826727478775,92254.05250279454,2790863.1604824695,30.174137912403676
50-51,0.005573351793722379,92016.2111664206,512.8387155559075,91759.79180864265,2698609.107979675,29.327539938576344
51-52,0.006039557509006853,91503.3724508647,552.6398801850708,91227.05251077216,2606849.3161710324,28.489106426879
52-53,0.006544518338785344,90950.73257067963,595.2287372347744,90653.11820206224,2515622.26366026,27.659175386029133
53-54,0.007091406155754774,90355.50383344485,640.7475760908148,90035.13004539943,2424969.1454581977,26.838090017496
54-55,0.00768364651017717,89714.75625735403,689.3364738282138,89370.08802043993,2334934.015412798,26.026198061719647
55-56,0.008324936903381173,89025.41978352582,741.1310024948746,88654.8542822784,2245563.9273923584,25.223851039991395
56-57,0.009019266367964783,88284.28878103095,796.259516622443,87886.15902271973,2156909.07311008,24.431403400210893
57-58,0.009770936326174597,87488.0292644085,854.8399632450352,87060.60928278598,2069022.91408736,23.64921157195469
58-59,0.010584582707987733,86633.18930116347,916.9761574149227,86174.701222456,1981962.304804574,22.877632934817473
59-60,0.011465199311845774,85716.21314374855,982.7534679497315,85224.83640977369,1895787.603582118,22.1170247033992
60-61,0.012418162385381211,84733.45967579882,1052.2338617292205,84207.34274493421,1810562.7671723443,21.36774273232548
61-62,0.013449256391782774,83681.22581406959,1125.4502611520932,83118.50068349355,1726355.4244274101,20.6301402451152
62-63,0.014564700910134043,82555.7755529175,1202.4001793323994,81954.5754632513,1643236.9237439167,19.90456649142151
63-64,0.015771178595221612,81353.3753735851,1283.0386123409144,80711.85606741464,1561282.3482806655,19.191365338082868
64-65,0.017075864093781094,80070.3367612442,1367.27018847829,79386.70166700505,1480570.4922132508,18.490873800469384
65-66,0.018486453779563716,78703.0665727659,1454.940602507363,77975.59627151223,1401183.7905462459,17.803420521750112
66-67,0.020011196128454062,77248.12597025854,1545.8273993463692,76475.21227058535,1323208.1942747335,17.12932420890294
67-68,0.02165892250654578,75702.29857091217,1639.6302183147782,74882.48346175477,1246732.9820041482,16.468892035508055
68-69,0.023439078087916974,74062.6683525974,1735.9606669160275,73194.68801913939,1171850.4985423933,15.822418022578528
69-70,0.02536175255414839,72326.70768568137,1834.3320633804735,71409.54165399112,1098655.8105232539,15.190181409857766
70-71,0.02743771015371865,70492.3756223009,1934.1493703717542,69525.30093711503,1027246.2688692628,14.572445031123113
71-72,0.02967841861567306,68558.22625192914,2034.6997382527793,67540.87638280274,957720.9679321478,13.969453708047162
72-73,0.032096076317899416,66523.52651367636,2135.144183918762,65455.95442171698,890180.0915493451,13.381432678051663
73-74,0.034703637005640206,64388.3823297576,2234.511047752286,63271.12680588146,824724.1371276281,12.808586072311918
74-75,0.0375148312404769,62153.87128200532,2331.691992086753,60988.02528596194,761453.0103217466,12.251095460600878
75-76,0.04054418363425972,59822.17928991857,2425.441422532067,58609.458578652535,700464.9850357847,11.709118479972014
76-77,0.043807024787129875,57396.7378673865,2514.3803184569965,56139.547708158,641855.5264571321,11.182787564340689
77-78,0.04731949670531755,54882.3575489295,2597.0055372166294,53583.85478032119,585715.978748974,10.672208791810522
78-79,0.05109855032500702,52285.35201171287,2671.705691031217,50949.49916619726,532132.1239686528,10.177460866084358
79-80,0.05516193361640508,49613.646320681655,2736.784664809242,48245.253988277036,481182.62480245554,9.698594247483733
80-81,0.05952816859153625,46876.86165587242,2790.4937236928945,45481.61479402597,432937.3708141785,9.235630447968417
81-82,0.06421651539586373,44086.36793217952,2831.0729250645195,42670.83146964726,387455.75602015253,8.78856150309767
82-83,0.06924692153477213,41255.295007115004,2856.802176251569,39826.89391898922,344784.9245505053,8.357349632114925
83-84,0.07463995418010548,38398.49283086343,2866.0617454807552,36965.46195812306,304958.03063151607,7.941927095284347
84-85,0.08041671343002432,35532.431085382676,2857.4013280653066,34103.730421350025,267992.568673393,7.542196255286336
85-86,0.08659872436995716,32675.02975731737,2829.6158957340754,31260.221809450333,233888.83825204297,7.158029846925083
86-87,0.09320780581776685,29845.413861583296,2781.825539761343,28454.501091702627,202628.61644259264,6.789271456658005
87-88,0.10026591374837888,27063.588321821953,2713.555412397434,25706.810615623235,174174.11535089,6.435736210576691
88-89,0.10779495759924469,24350.03290942452,2624.810765011629,23037.627526918706,148467.30473526678,6.097211666510868
89-90,0.11581658797590469,21725.22214441289,2516.1411017844684,20467.15159352066,125429.67720834808,5.773458902955569
90-91,0.12435195472404265,19209.081042628422,2388.6867761033955,18014.737654576726,104962.52561482742,5.464213794605614
91-92,0.13342143492663644,16820.394266525025,2244.2011390715375,15698.293696989256,86947.78796025069,5.169188461491009
92-93,0.14304433113487683,14576.193127453487,2085.0417964093726,13533.672229248801,71249.49426326143,4.888072876111032
93-94,0.15323854105709991,12491.151331044115,1914.1258060926518,11534.088427997789,57715.82203401263,4.620536610630292
94-95,0.16402020101151157,10577.025524951463,1734.8458527064276,9709.602598598249,46181.73360601484,4.366230704187202
95=96,0.17540330668684873,8842.179672245034,1550.9475528310154,8066.7058958295265,36472.13100741659,4.124789628726951
96-97,0.18739931612918498,7291.2321194140195,1366.3719129173353,6608.046162955352,28405.42511158706,3.8958333305496167
97-98,0.20001674134768785,5924.860206496684,1185.0712314440557,5332.324590774657,21797.37894863171,3.6789693239902284
98-99,0.21326073645636254,4739.788975052628,1010.8108874674713,4234.383531318893,16465.054357857054,3.4737948133385483
99-100,0.2271326917753631,3728.978087585157,846.9728306045624,3305.4916722828757,12230.67082653816,3.2798988192656826
100-101,0.24162984472115287,2882.0052569805944,696.3784827297673,2533.8160156157105,8925.179154255286,3.0968642866411615
101-102,0.2567449195227659,2185.626774250827,561.1485702618311,1905.0524891199116,6391.3631386395755,2.9242701516732468
102-103,0.27246580870528997,1624.478203988996,442.6147675739788,1403.1708202020066,4486.310649519664,2.7616933477490067
103-104,0.28877530977160065,1181.8634364150173,341.2929799584751,1011.2169464357797,3083.139829317658,2.608710731139835
104-105,0.30565093048432906,840.5704564565423,256.92114215357935,712.1098853797527,2071.922882881878,2.46490090981326
105-106,0.3230647755115832,583.6493143029629,188.5565347027762,489.37104695157484,1359.8129975021257,2.329845960885116
106-107,0.34098352588684705,395.09277960018676,134.72012904050663,327.7327150799334,870.4419505505508,2.2031330246819305
107-108,0.35936852071640574,260.3726505596801,93.56973426664187,213.58778342635915,542.7092354706174,2.084355765876504
108-109,0.37817594786247327,166.80291629303824,63.080850975344525,135.26249080536599,329.12145204425826,1.9731156946084798
109-110,0.39735714700421443,103.72206531769372,41.214703956023556,83.11471333968194,193.85896123889228,1.8690233427681497
