x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.011628529924842224,100000.0,1162.8529924842223,99418.57350375789,7616346.3518,76.163463518
1-2,0.0006862592783079386,98837.14700751577,67.8279091753934,98803.23305292807,7516927.7782962425,76.05367016233927
2-3,0.00037324488154968173,98769.31909834038,36.86514280760277,98750.88652693658,7418124.5452433145,75.10555517607048
3-4,0.00031914218513893843,98732.45395553278,31.509691099498355,98716.69910998303,7319373.658716378,74.13341171498568
4-5,0.0002765377314483853,98700.94426443327,27.294535218699895,98687.29699682392,7220656.959606395,73.15691874498457
5-6,0.0002461704357647708,98673.64972921458,24.290535352341113,98661.50446153841,7121969.662609572,72.17701668230633
6-7,0.0002245169942651172,98649.35919386224,22.148457612385855,98638.28496505605,7023308.158148034,71.19466578942571
7-8,0.00020736097375311885,98627.21073624985,20.451434456822827,98616.98501902143,6924669.873182978,70.21054150766788
8-9,0.000192194429742686,98606.75930179303,18.95166987278241,98597.28346685664,6826052.888163956,69.22499975151129
9-10,0.0001789470391735998,98587.80763192025,17.641996274348553,98578.98663378308,6727455.604697099,68.23821085274766
10-11,0.00017014620565518028,98570.1656356459,16.771339673707793,98561.77996580905,6628876.618063316,67.2503345745228
11-12,0.00017075480445194672,98553.39429597219,16.828465571084333,98544.98006318665,6530314.838097507,66.26169382340996
12-13,0.00018704890306690046,98536.5658304011,18.43115655055595,98527.35025212582,6431769.85803432,65.27292486633375
13-14,0.00022287257547316458,98518.13467385054,21.956990405573148,98507.15617864775,6333242.507782195,64.28504283753166
14-15,0.0002740115736873862,98496.17768344497,26.989092649233164,98482.68313712036,6234735.351603547,63.29926194335426
15-16,0.000335931322426335,98469.18859079573,33.07888474155419,98452.64914842496,6136252.668466426,62.3164743843538
16-17,0.00039948302235351174,98436.10970605418,39.32355461409637,98416.44792874713,6037800.019318001,61.337247452665785
17-18,0.0004573317493306066,98396.78615144009,44.9999743391477,98374.28616427051,5939383.571389254,60.36156061284455
18-19,0.0005033465941693964,98351.78617710093,49.50503660272047,98327.03365879957,5841009.2852249835,59.388949730990596
19-20,0.0005411002951644318,98302.28114049822,53.19139334046055,98275.68544382798,5742682.251566184,58.41860621075999
20-21,0.0005806714926551161,98249.08974715776,57.05044559548856,98220.56452436002,5644406.566122356,57.449962952818524
21-22,0.0006272065380280749,98192.03930156227,61.586689032249545,98161.24595704615,5546186.001597996,56.48305138632307
22-23,0.0006758737439611348,98130.45261253002,66.32379640383138,98097.2907143281,5448024.75564095,55.518186359055946
23-24,0.0007266576421782232,98064.12881612619,71.2590486277878,98028.4992918123,5349927.464926622,54.55539685625445
24-25,0.0007795499971341549,97992.8697674984,76.390341346421,97954.67459682519,5251898.96563481,53.5947051871801
25-26,0.0008356841924889956,97916.47942615199,81.82725404060918,97875.56579913168,5153944.291037984,52.636127455185495
26-27,0.0008916979867871524,97834.65217211138,87.23896237989302,97791.03269092143,5056068.725238852,51.67973323341695
27-28,0.0009518593836157037,97747.41320973149,93.0417924878445,97700.89231348757,4958277.69254793,50.72541082912562
28-29,0.0010177329517023438,97654.37141724364,99.38607166910838,97604.67838140909,4860576.800234443,49.7732639071206
29-30,0.0010910447832355964,97554.98534557453,106.43685783991415,97501.76691665458,4762972.121853033,48.82346201971009
